PRCP       055063 18920401 20080131 missing_value=99999.9 WILLOW TREE (MAIN STREET)                 
19521101 19521130    34.4
19521201 19521231    66.1
19530101 19530131    83.4
19530201 19530228    80.6
19530301 19530331    18.1
19530401 19530430    63.4
19530501 19530531    86.4
19530601 19530630     5.4
19530701 19530731    41.7
19530801 19530831    94.5
19530901 19530930    23.2
19531001 19531031    57.8
19531101 19531130    49.3
19531201 19531231    13.7
19540101 19540131   164.6
19540201 19540228   170.7
19540301 19540331     4.9
19540401 19540430     9.4
19540501 19540531     0.0
19540601 19540630    33.5
19540701 19540731    20.6
19540801 19540831    18.1
19540901 19540930    25.2
19541001 19541031   175.3
19541101 19541130   115.1
19541201 19541231    96.3
19550101 19550131   105.2
19550201 19550228   303.3
19550301 19550331     0.0
19550401 19550430    41.0
19550501 19550531    65.7
19550601 19550630    44.5
19550701 19550731    34.6
19550801 19550831    88.5
19550901 19550930    40.9
19551001 19551031   155.4
19551101 19551130    85.5
19551201 19551231    39.8
19560101 19560131    71.9
19560201 19560229   213.4
19560301 19560331    36.3
19560401 19560430    51.4
19560501 19560531   125.1
19560601 19560630    81.9
19560701 19560731    82.1
19560801 19560831    45.8
19560901 19560930    37.0
19561001 19561031    78.6
19561101 19561130    19.6
19561201 19561231    69.9
19570101 19570131    88.4
19570201 19570228    71.2
19570301 19570331    70.6
19570401 19570430    78.0
19570501 19570531     8.2
19570601 19570630    27.5
19570701 19570731    51.6
19570801 19570831    32.8
19570901 19570930    10.4
19571001 19571031     4.3
19571101 19571130    38.6
19571201 19571231    62.2
19580101 19580131   126.5
19580201 19580228    44.2
19580301 19580331     8.9
19580401 19580430    14.2
19580501 19580531    88.2
19580601 19580630    40.1
19580701 19580731    21.5
19580801 19580831    55.2
19580901 19580930   114.1
19581001 19581031    85.4
19581101 19581130    14.5
19581201 19581231   126.9
19590101 19590131    24.4
19590201 19590228    86.4
19590301 19590331    77.8
19590401 19590430    40.4
19590501 19590531    27.2
19590601 19590630    33.5
19590701 19590731    26.7
19590801 19590831     8.9
19590901 19590930    26.0
19591001 19591031    97.0
19591101 19591130    47.8
19591201 19591231   129.6
19600101 19600131    44.1
19600201 19600229   111.8
19600301 19600331    16.0
19600401 19600430    41.4
19600501 19600531    38.9
19600601 19600630     8.9
19600701 19600731    63.0
19600801 19600831    38.9
19600901 19600930    66.7
19601001 19601031    80.5
19601101 19601130   114.6
19601201 19601231   141.8
19610101 19610131    47.4
19610201 19610228    46.3
19610301 19610331    85.4
19610401 19610430    29.1
19610501 19610531    10.7
19610601 19610630    28.7
