PRCP       013005 19200101 20180131 missing_value=99999.9 LORNA GLEN                                
19821201 19821231    26.6
19830101 19830131     3.8
19830201 19830228    21.8
19830301 19830331    96.6
19830401 19830430    40.6
19830501 19830531     0.0
19830601 19830630     9.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    14.9
19831201 19831231    56.4
19840101 19840131     8.2
19840201 19840229     3.2
19840301 19840331    21.8
19840401 19840430    19.2
19840501 19840531    67.8
19840601 19840630     0.0
19840701 19840731    64.4
19840801 19840831     1.0
19840901 19840930    26.6
19841001 19841031     0.0
19841101 19841130     0.0
19841201 19841231    60.1
19850101 19850131    11.5
19850201 19850228    64.0
19850301 19850331     8.6
19850401 19850430     0.0
19850501 19850531    21.4
19850601 19850630     0.0
19850701 19850731    14.6
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     3.6
19851101 19851130    29.2
19851201 19851231     0.0
19860101 19860131    18.0
19860201 19860228    26.2
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531     0.6
19860601 19860630    31.4
19860701 19860731    24.0
19860801 19860831     2.0
19860901 19860930    13.2
19861001 19861031     7.5
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131    94.1
19870201 19870228    57.0
19870301 19870331     0.0
19870401 19870430     5.8
19870501 19870531    14.5
19870601 19870630    46.4
19870701 19870731     0.0
19870801 19870831     5.2
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     4.0
19871201 19871231    27.2
19880101 19880131     8.8
19880201 19880229    25.4
19880301 19880331    23.6
19880401 19880430    23.2
19880501 19880531    54.4
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     4.0
19881201 19881231    26.8
19890101 19890131 99999.9
19890201 19890228 99999.9
19890301 19890331 99999.9
19890401 19890430 99999.9
19890501 19890531 99999.9
19890601 19890630 99999.9
19890701 19890731 99999.9
19890801 19890831 99999.9
19890901 19890930 99999.9
19891001 19891031 99999.9
19891101 19891130 99999.9
19891201 19891231 99999.9
19900101 19900131 99999.9
19900201 19900228 99999.9
19900301 19900331 99999.9
19900401 19900430 99999.9
19900501 19900531 99999.9
19900601 19900630 99999.9
19900701 19900731 99999.9
19900801 19900831 99999.9
19900901 19900930 99999.9
19901001 19901031 99999.9
19901101 19901130 99999.9
19901201 19901231 99999.9
19910101 19910131 99999.9
19910201 19910228 99999.9
19910301 19910331 99999.9
19910401 19910430 99999.9
19910501 19910531 99999.9
19910601 19910630 99999.9
19910701 19910731 99999.9
19910801 19910831 99999.9
19910901 19910930 99999.9
19911001 19911031 99999.9
19911101 19911130 99999.9
19911201 19911231 99999.9
19920101 19920131 99999.9
19920201 19920229 99999.9
19920301 19920331 99999.9
19920401 19920430 99999.9
19920501 19920531 99999.9
19920601 19920630 99999.9
19920701 19920731 99999.9
19920801 19920831 99999.9
19920901 19920930 99999.9
19921001 19921031 99999.9
19921101 19921130 99999.9
19921201 19921231 99999.9
19930101 19930131     4.0
19930201 19930228    55.0
19930301 19930331     2.0
19930401 19930430    11.5
19930501 19930531    48.0
19930601 19930630    21.0
19930701 19930731     2.0
19930801 19930831    28.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     9.0
19931201 19931231    25.0
19940101 19940131     0.0
19940201 19940228    93.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    11.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     8.0
19941101 19941130     0.0
19941201 19941231 99999.9
19950101 19950131   130.0
19950201 19950228    20.5
19950301 19950331     0.9
19950401 19950430     2.6
19950501 19950531     1.0
19950601 19950630     2.2
19950701 19950731     5.5
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     0.0
19951101 19951130     0.7
19951201 19951231   130.6
19960101 19960131    10.0
19960201 19960229     0.0
19960301 19960331    48.0
19960401 19960430    65.0
19960501 19960531     9.0
19960601 19960630    82.0
19960701 19960731    40.4
19960801 19960831     6.4
19960901 19960930     0.0
19961001 19961031    18.0
19961101 19961130     0.0
19961201 19961231    48.0
19970101 19970131   133.0
19970201 19970228   147.0
19970301 19970331    15.0
19970401 19970430    16.0
19970501 19970531    75.0
19970601 19970630    25.0
19970701 19970731    14.0
19970801 19970831    43.0
19970901 19970930    17.0
19971001 19971031     0.0
19971101 19971130     0.0
19971201 19971231    16.0
19980101 19980131    32.0
19980201 19980228     0.0
19980301 19980331     0.0
19980401 19980430    37.0
19980501 19980531    43.0
19980601 19980630    43.0
19980701 19980731 99999.9
19980801 19980831    15.0
19980901 19980930     0.0
19981001 19981031    11.0
19981101 19981130    41.0
19981201 19981231    25.0
19990101 19990131    42.0
19990201 19990228   184.0
19990301 19990331    90.0
19990401 19990430    12.0
19990501 19990531    41.0
19990601 19990630     9.0
19990701 19990731     3.0
19990801 19990831     8.0
19990901 19990930     0.0
19991001 19991031    16.0
19991101 19991130    42.0
19991201 19991231   112.0
20000101 20000131   191.5
20000201 20000229    64.0
20000301 20000331   136.5
20000401 20000430    18.0
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     9.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031     0.0
20001101 20001130     0.0
20001201 20001231    22.0
20010101 20010131    25.4
20010201 20010228    49.0
20010301 20010331     0.0
20010401 20010430    54.0
20010501 20010531    70.4
20010601 20010630     0.0
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    52.0
20011101 20011130     0.0
20011201 20011231    60.0
20020101 20020131    54.0
20020201 20020228     0.0
20020301 20020331    46.0
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     6.4
20020701 20020731 99999.9
20020801 20020831 99999.9
20020901 20020930 99999.9
20021001 20021031 99999.9
20021101 20021130    13.0
20021201 20021231 99999.9
20030101 20030131 99999.9
20030201 20030228     8.4
20030301 20030331    39.0
20030401 20030430   163.4
20030501 20030531     0.2
20030601 20030630     3.4
20030701 20030731     0.0
20030801 20030831    11.8
20030901 20030930     0.0
20031001 20031031     7.6
20031101 20031130    19.4
20031201 20031231     6.8
20040101 20040131    50.8
20040201 20040229    92.0
20040301 20040331    28.6
20040401 20040430    77.0
20040501 20040531    35.4
20040601 20040630     1.2
20040701 20040731    20.0
20040801 20040831     0.0
20040901 20040930     7.2
20041001 20041031     0.0
20041101 20041130     9.8
20041201 20041231    15.8
20050101 20050131     0.0
20050201 20050228     0.4
20050301 20050331    13.2
20050401 20050430     7.8
20050501 20050531     2.8
20050601 20050630     4.3
20050701 20050731    36.3
20050801 20050831    10.6
20050901 20050930     0.0
20051001 20051031     0.5
20051101 20051130     8.8
20051201 20051231    37.1
20060101 20060131   203.7
20060201 20060228   124.6
20060301 20060331    64.8
20060401 20060430    46.2
20060501 20060531     3.6
20060601 20060630     0.0
20060701 20060731     1.4
20060801 20060831     0.6
20060901 20060930    10.7
20061001 20061031    67.8
20061101 20061130    29.4
20061201 20061231    80.7
20070101 20070131   110.0
20070201 20070228     3.0
20070301 20070331    59.2
20070401 20070430    71.4
20070501 20070531    10.2
20070601 20070630     0.0
20070701 20070731     5.2
20070801 20070831 99999.9
20070901 20070930     0.0
20071001 20071031     1.2
20071101 20071130     2.0
20071201 20071231    34.7
20080101 20080131    15.2
20080201 20080229    91.5
20080301 20080331 99999.9
20080401 20080430     7.8
20080501 20080531 99999.9
20080601 20080630    19.6
20080701 20080731     1.4
20080801 20080831 99999.9
20080901 20080930 99999.9
20081001 20081031     1.0
20081101 20081130    66.7
20081201 20081231    32.2
20090101 20090131 99999.9
20090201 20090228 99999.9
20090301 20090331   101.6
20090401 20090430    15.4
20090501 20090531     0.0
20090601 20090630     8.2
20090701 20090731     0.4
20090801 20090831 99999.9
20090901 20090930     2.4
20091001 20091031 99999.9
20091101 20091130    12.1
