PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
19520101 19520131     3.0
19520201 19520229    31.3
19520301 19520331     1.5
19520401 19520430    66.3
19520501 19520531   174.7
19520601 19520630    85.0
19520701 19520731    74.4
19520801 19520831    24.3
19520901 19520930   115.4
19521001 19521031   133.0
19521101 19521130    75.2
19521201 19521231    15.5
19530101 19530131    64.3
19530201 19530228    20.5
19530301 19530331    28.7
19530401 19530430    14.0
19530501 19530531    32.6
19530601 19530630    46.1
19530701 19530731    23.7
19530801 19530831    65.0
19530901 19530930    82.2
19531001 19531031    64.0
19531101 19531130   112.1
19531201 19531231    55.9
19540101 19540131    29.4
19540201 19540228   104.7
19540301 19540331     2.8
19540401 19540430    61.9
19540501 19540531    20.0
19540601 19540630    91.4
19540701 19540731    24.1
19540801 19540831    64.8
19540901 19540930    17.0
19541001 19541031    12.9
19541101 19541130     5.9
19541201 19541231    17.8
19550101 19550131    15.0
19550201 19550228    29.0
19550301 19550331     7.2
19550401 19550430    31.8
19550501 19550531    25.2
19550601 19550630    79.5
19550701 19550731    77.2
19550801 19550831    95.7
19550901 19550930    29.5
19551001 19551031    55.7
19551101 19551130    23.4
19551201 19551231   150.1
19560101 19560131    42.7
19560201 19560229    94.0
19560301 19560331    68.3
19560401 19560430    67.0
19560501 19560531   240.3
19560601 19560630   168.1
19560701 19560731    45.2
19560801 19560831    46.8
19560901 19560930    57.9
19561001 19561031    68.9
19561101 19561130    40.9
19561201 19561231    16.8
19570101 19570131     5.3
19570201 19570228    52.1
19570301 19570331    36.6
19570401 19570430   138.2
19570501 19570531    31.8
19570601 19570630    13.2
19570701 19570731    38.4
19570801 19570831    30.1
19570901 19570930    46.9
19571001 19571031    38.9
19571101 19571130   101.9
19571201 19571231    31.4
19580101 19580131    14.0
19580201 19580228    49.0
19580301 19580331    14.0
19580401 19580430    26.1
19580501 19580531    98.3
19580601 19580630    32.6
19580701 19580731    48.7
19580801 19580831   159.7
19580901 19580930    29.3
19581001 19581031   137.2
19581101 19581130    26.0
19581201 19581231    96.2
19590101 19590131    11.5
19590201 19590228    94.5
19590301 19590331    38.4
19590401 19590430    45.7
19590501 19590531     9.9
19590601 19590630    18.3
