PRCP       020020 19011201 20180131 missing_value=99999.9 PANARAMITEE                               
19470301 19470331    33.2
19470401 19470430    12.0
19470501 19470531     0.0
19470601 19470630    11.2
19470701 19470731    20.8
19470801 19470831    16.5
19470901 19470930    44.5
19471001 19471031    51.6
19471101 19471130    32.0
19471201 19471231     0.0
19480101 19480131     1.3
19480201 19480229     5.3
19480301 19480331     0.0
19480401 19480430    20.8
19480501 19480531    15.2
19480601 19480630    17.8
19480701 19480731     1.8
19480801 19480831     2.5
19480901 19480930     0.0
19481001 19481031    21.4
19481101 19481130    10.7
19481201 19481231    35.6
19490101 19490131     0.5
19490201 19490228    58.2
19490301 19490331     0.0
19490401 19490430    13.0
19490501 19490531    43.7
19490601 19490630    13.5
19490701 19490731    10.6
19490801 19490831     9.6
19490901 19490930    99.0
19491001 19491031    32.7
19491101 19491130     9.6
19491201 19491231     7.6
19500101 19500131     0.0
19500201 19500228   141.7
19500301 19500331   132.6
19500401 19500430     0.0
19500501 19500531    40.7
19500601 19500630    40.4
19500701 19500731    14.7
19500801 19500831    18.8
19500901 19500930     0.0
19501001 19501031    18.7
19501101 19501130    56.3
19501201 19501231    31.8
19510101 19510131     1.8
19510201 19510228     0.0
19510301 19510331    33.5
19510401 19510430     5.9
19510501 19510531    11.2
19510601 19510630    76.5
19510701 19510731    20.3
19510801 19510831    16.0
19510901 19510930    15.2
19511001 19511031    33.3
19511101 19511130     0.0
19511201 19511231     5.3
19520101 19520131    69.8
19520201 19520229     0.8
19520301 19520331    17.8
19520401 19520430    25.1
19520501 19520531    67.0
19520601 19520630    10.9
19520701 19520731    37.5
19520801 19520831    14.0
19520901 19520930     6.1
19521001 19521031    76.5
19521101 19521130    12.7
19521201 19521231     1.5
19530101 19530131    66.1
19530201 19530228     5.5
19530301 19530331     1.5
19530401 19530430     1.5
19530501 19530531     0.0
19530601 19530630    15.1
19530701 19530731    10.4
19530801 19530831     7.1
19530901 19530930    34.4
19531001 19531031    53.6
19531101 19531130     1.5
19531201 19531231    17.1
19540101 19540131    35.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    48.2
19540501 19540531     5.8
19540601 19540630     6.6
19540701 19540731    11.7
19540801 19540831    31.7
19540901 19540930     3.8
19541001 19541031    20.6
19541101 19541130    19.2
19541201 19541231    59.7
19550101 19550131     1.8
19550201 19550228    46.7
19550301 19550331    69.8
19550401 19550430    22.9
19550501 19550531    98.1
19550601 19550630    46.0
19550701 19550731    11.9
19550801 19550831    43.1
19550901 19550930    35.8
19551001 19551031    17.1
19551101 19551130    14.4
19551201 19551231     1.8
19560101 19560131     3.0
19560201 19560229     0.0
19560301 19560331    54.2
19560401 19560430    26.4
19560501 19560531    26.6
19560601 19560630    24.6
