PRCP       033035 18860101 20171130 missing_value=99999.9 KALAMIA ESTATE                            
19780901 19780930    17.4
19781001 19781031    12.8
19781101 19781130    58.2
19781201 19781231   202.4
19790101 19790131   216.2
19790201 19790228   467.0
19790301 19790331   539.4
19790401 19790430    47.3
19790501 19790531    22.8
19790601 19790630    55.0
19790701 19790731    16.6
19790801 19790831     0.0
19790901 19790930     7.6
19791001 19791031     5.0
19791101 19791130    11.4
19791201 19791231    86.2
19800101 19800131   213.4
19800201 19800229    91.6
19800301 19800331   257.0
19800401 19800430    38.6
19800501 19800531    91.6
19800601 19800630     1.0
19800701 19800731     5.6
19800801 19800831     4.4
19800901 19800930     0.0
19801001 19801031    13.8
19801101 19801130     4.4
19801201 19801231    50.2
19810101 19810131   607.6
19810201 19810228   380.0
19810301 19810331    76.5
19810401 19810430    92.8
19810501 19810531   111.0
19810601 19810630    68.6
19810701 19810731    14.2
19810801 19810831     0.4
19810901 19810930     0.0
19811001 19811031     1.6
19811101 19811130   204.2
19811201 19811231    11.8
