PRCP       009591 18991101 20151231 missing_value=99999.9 PARDELUP                                  
19570701 19570731    42.7
19570801 19570831    88.2
19570901 19570930    46.1
19571001 19571031    43.2
19571101 19571130     3.9
19571201 19571231    24.6
19580101 19580131    66.5
19580201 19580228    28.4
19580301 19580331     6.9
19580401 19580430    46.1
19580501 19580531    98.0
19580601 19580630    50.9
19580701 19580731   167.5
19580801 19580831    72.5
19580901 19580930   101.0
19581001 19581031    42.4
19581101 19581130    36.2
19581201 19581231    40.4
19590101 19590131     8.6
19590201 19590228    23.7
19590301 19590331    13.5
19590401 19590430    45.5
19590501 19590531    31.9
19590601 19590630    89.7
19590701 19590731    66.4
19590801 19590831    95.6
19590901 19590930   123.5
19591001 19591031    54.9
19591101 19591130    98.3
19591201 19591231    31.7
19600101 19600131    31.5
19600201 19600229     8.2
19600301 19600331   112.4
19600401 19600430    64.2
19600501 19600531   106.3
19600601 19600630    76.1
19600701 19600731   215.3
19600801 19600831    47.7
19600901 19600930    84.1
19601001 19601031    17.6
19601101 19601130    14.5
19601201 19601231    20.3
19610101 19610131    30.5
19610201 19610228    19.8
19610301 19610331    39.1
19610401 19610430   166.2
19610501 19610531    26.0
19610601 19610630   141.9
19610701 19610731   157.7
19610801 19610831    96.4
19610901 19610930    53.2
19611001 19611031    54.9
19611101 19611130    15.5
19611201 19611231    56.7
19620101 19620131     0.6
19620201 19620228    14.6
19620301 19620331    18.2
19620401 19620430     8.6
19620501 19620531    75.9
19620601 19620630   113.5
19620701 19620731    96.2
19620801 19620831   146.5
19620901 19620930    49.8
19621001 19621031    90.1
19621101 19621130    36.6
19621201 19621231    35.3
19630101 19630131    26.3
19630201 19630228    17.7
19630301 19630331    54.9
19630401 19630430    40.0
19630501 19630531   143.8
19630601 19630630    61.6
19630701 19630731   126.4
19630801 19630831   100.9
19630901 19630930    52.1
19631001 19631031    46.9
19631101 19631130    24.1
19631201 19631231     6.2
19640101 19640131    32.6
19640201 19640229     9.2
19640301 19640331     4.3
19640401 19640430    48.3
19640501 19640531    38.3
19640601 19640630   158.8
19640701 19640731   216.1
19640801 19640831   105.9
