PRCP       022020 18640101 20180131 missing_value=99999.9 WALLAROO                                  
19030501 19030531    26.3
19030601 19030630    76.5
19030701 19030731    63.4
19030801 19030831    19.9
19030901 19030930    23.2
19031001 19031031     6.2
19031101 19031130    45.0
19031201 19031231    31.0
19040101 19040131    42.4
19040201 19040229     6.1
19040301 19040331    15.2
19040401 19040430    35.9
19040501 19040531    31.5
19040601 19040630    61.6
19040701 19040731    53.9
19040801 19040831    33.1
19040901 19040930    12.4
19041001 19041031    39.4
19041101 19041130     2.1
19041201 19041231     0.0
19050101 19050131    35.2
19050201 19050228     7.1
19050301 19050331     5.9
19050401 19050430    79.0
19050501 19050531    76.0
19050601 19050630    55.4
19050701 19050731    48.7
19050801 19050831    24.8
19050901 19050930    44.8
19051001 19051031    77.1
19051101 19051130     1.3
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228     2.3
19060301 19060331    49.1
19060401 19060430    11.0
19060501 19060531    33.7
19060601 19060630    69.1
19060701 19060731    60.8
19060801 19060831    78.1
19060901 19060930    50.4
19061001 19061031    21.7
19061101 19061130    33.9
19061201 19061231    14.2
19070101 19070131     0.0
19070201 19070228     2.5
19070301 19070331     9.1
19070401 19070430    81.8
19070501 19070531    45.5
19070601 19070630    65.3
19070701 19070731    47.5
19070801 19070831    34.8
19070901 19070930    22.1
19071001 19071031    24.4
19071101 19071130    39.3
19071201 19071231    12.9
19080101 19080131    14.0
19080201 19080229    10.4
19080301 19080331    32.2
19080401 19080430    33.5
19080501 19080531    64.4
19080601 19080630    78.3
19080701 19080731    15.9
19080801 19080831    68.1
19080901 19080930    58.0
19081001 19081031    66.8
19081101 19081130     2.1
19081201 19081231     5.1
19090101 19090131    12.9
19090201 19090228     4.0
19090301 19090331    17.8
19090401 19090430    48.3
19090501 19090531    54.7
19090601 19090630    48.6
19090701 19090731    44.2
19090801 19090831   138.2
19090901 19090930    25.8
19091001 19091031    34.4
19091101 19091130    26.5
19091201 19091231     5.8
19100101 19100131     4.1
19100201 19100228     0.8
19100301 19100331    46.7
19100401 19100430     1.3
19100501 19100531   103.8
19100601 19100630    96.8
19100701 19100731    70.5
19100801 19100831    26.9
19100901 19100930    75.8
19101001 19101031    44.6
19101101 19101130    27.7
19101201 19101231    20.7
19110101 19110131     1.0
19110201 19110228    45.4
19110301 19110331    12.0
19110401 19110430     3.3
19110501 19110531    71.1
19110601 19110630    80.0
19110701 19110731    39.9
19110801 19110831    36.8
19110901 19110930    61.4
19111001 19111031    13.3
19111101 19111130     4.0
19111201 19111231    28.9
19120101 19120131     1.6
19120201 19120229    19.3
19120301 19120331    29.5
19120401 19120430    11.2
19120501 19120531     7.5
19120601 19120630    65.1
19120701 19120731    98.2
19120801 19120831    33.0
19120901 19120930    33.0
19121001 19121031    31.1
19121101 19121130    46.3
19121201 19121231    11.2
19130101 19130131     0.5
19130201 19130228     6.7
19130301 19130331    53.4
19130401 19130430     2.3
19130501 19130531    33.1
19130601 19130630     9.4
19130701 19130731    24.8
19130801 19130831    35.5
19130901 19130930    86.1
19131001 19131031    53.4
19131101 19131130    16.0
19131201 19131231    32.5
19140101 19140131     1.3
19140201 19140228     3.3
19140301 19140331    18.3
19140401 19140430    64.5
19140501 19140531    53.2
19140601 19140630    26.8
19140701 19140731    34.0
19140801 19140831     4.7
19140901 19140930    13.6
19141001 19141031     1.6
19141101 19141130    41.0
19141201 19141231    15.5
19150101 19150131     6.9
19150201 19150228     0.5
19150301 19150331     3.9
19150401 19150430    52.0
19150501 19150531    52.1
19150601 19150630    35.4
19150701 19150731    48.4
19150801 19150831    65.5
19150901 19150930    30.8
19151001 19151031    16.6
19151101 19151130     1.8
19151201 19151231    13.9
19160101 19160131    15.2
19160201 19160229     1.0
19160301 19160331    23.1
19160401 19160430    25.4
19160501 19160531    37.7
19160601 19160630    78.7
19160701 19160731    97.5
19160801 19160831    65.7
19160901 19160930    47.1
19161001 19161031    38.4
19161101 19161130    41.6
19161201 19161231    11.4
19170101 19170131     8.9
19170201 19170228    42.2
19170301 19170331    23.6
19170401 19170430     9.0
19170501 19170531    78.3
19170601 19170630    51.0
19170701 19170731    46.0
19170801 19170831    52.6
19170901 19170930    61.8
19171001 19171031    48.8
19171101 19171130    20.7
19171201 19171231    49.5
19180101 19180131     2.5
19180201 19180228     4.2
19180301 19180331    32.2
19180401 19180430    27.5
19180501 19180531    41.9
19180601 19180630    21.0
19180701 19180731    41.2
19180801 19180831    48.2
19180901 19180930     4.4
19181001 19181031    47.7
19181101 19181130     1.8
19181201 19181231     4.7
19190101 19190131     8.4
19190201 19190228    76.7
19190301 19190331     0.5
19190401 19190430    12.4
19190501 19190531    40.2
19190601 19190630    29.3
19190701 19190731    18.7
19190801 19190831    44.8
19190901 19190930    35.3
19191001 19191031    14.0
19191101 19191130     0.0
19191201 19191231    16.5
19200101 19200131     6.6
19200201 19200229     0.3
19200301 19200331    18.5
19200401 19200430    16.1
19200501 19200531    29.6
19200601 19200630   118.3
19200701 19200731    28.7
19200801 19200831    55.9
19200901 19200930    27.9
19201001 19201031    39.1
19201101 19201130    47.5
19201201 19201231    11.7
19210101 19210131    33.0
19210201 19210228    87.6
19210301 19210331    53.4
19210401 19210430     6.6
19210501 19210531    97.0
19210601 19210630    50.6
19210701 19210731    37.9
19210801 19210831    49.1
19210901 19210930    25.1
19211001 19211031    20.0
19211101 19211130    21.8
19211201 19211231     6.1
19220101 19220131    10.4
19220201 19220228     1.6
19220301 19220331     2.5
19220401 19220430    25.9
19220501 19220531    66.3
19220601 19220630    46.5
19220701 19220731    36.2
19220801 19220831    31.7
19220901 19220930    13.2
19221001 19221031    21.9
19221101 19221130     0.8
19221201 19221231    67.3
19230101 19230131    10.4
19230201 19230228     1.3
19230301 19230331     0.3
19230401 19230430     0.8
19230501 19230531    74.9
19230601 19230630    95.7
19230701 19230731    47.9
19230801 19230831    26.6
19230901 19230930    58.2
19231001 19231031    52.6
19231101 19231130    10.6
19231201 19231231    32.8
19240101 19240131    18.8
19240201 19240229    27.2
19240301 19240331    29.3
19240401 19240430    40.3
19240501 19240531    27.0
19240601 19240630    53.5
19240701 19240731    11.6
19240801 19240831    46.2
19240901 19240930    42.5
19241001 19241031    37.7
19241101 19241130    23.4
19241201 19241231    10.1
19250101 19250131    14.6
19250201 19250228     2.5
19250301 19250331     1.3
19250401 19250430    34.0
19250501 19250531    47.7
19250601 19250630    17.8
19250701 19250731    57.0
19250801 19250831    12.9
19250901 19250930    35.0
19251001 19251031    13.4
19251101 19251130    17.8
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     4.8
19260301 19260331     2.6
19260401 19260430    16.5
19260501 19260531    52.6
19260601 19260630    46.4
19260701 19260731    32.7
19260801 19260831    42.1
19260901 19260930    55.7
19261001 19261031    25.7
19261101 19261130     9.2
19261201 19261231    23.4
19270101 19270131     7.1
19270201 19270228     8.3
19270301 19270331    16.9
19270401 19270430     3.0
19270501 19270531    25.9
19270601 19270630    25.4
19270701 19270731    47.2
19270801 19270831    34.5
19270901 19270930    20.3
19271001 19271031     5.7
19271101 19271130    35.0
19271201 19271231    13.4
19280101 19280131    17.8
19280201 19280229    54.9
19280301 19280331    37.1
19280401 19280430    14.7
19280501 19280531    50.2
19280601 19280630    44.8
19280701 19280731    32.6
19280801 19280831     7.5
19280901 19280930    21.4
19281001 19281031    22.8
19281101 19281130     4.1
19281201 19281231     0.3
19290101 19290131     3.8
19290201 19290228    20.9
19290301 19290331     4.8
19290401 19290430    12.1
19290501 19290531    29.9
19290601 19290630    25.5
19290701 19290731    18.4
19290801 19290831    33.3
19290901 19290930    55.7
19291001 19291031     4.8
19291101 19291130    25.5
19291201 19291231    32.2
19300101 19300131     0.3
19300201 19300228    19.8
19300301 19300331     0.0
19300401 19300430    21.4
19300501 19300531     8.4
19300601 19300630    13.5
19300701 19300731    49.0
19300801 19300831    63.2
19300901 19300930    13.6
19301001 19301031    67.9
19301101 19301130    15.9
19301201 19301231    18.8
19310101 19310131     7.0
19310201 19310228     4.6
19310301 19310331    21.0
19310401 19310430    23.4
19310501 19310531    51.0
19310601 19310630    81.5
19310701 19310731    44.5
19310801 19310831    48.2
19310901 19310930    37.4
19311001 19311031    13.6
19311101 19311130    22.1
19311201 19311231     3.9
19320101 19320131     2.8
19320201 19320229    52.7
19320301 19320331    38.6
19320401 19320430    91.5
19320501 19320531    48.6
19320601 19320630    98.0
19320701 19320731    48.0
19320801 19320831    48.9
19320901 19320930    27.3
19321001 19321031    26.2
19321101 19321130     0.8
19321201 19321231    11.4
19330101 19330131    13.7
19330201 19330228     0.0
19330301 19330331    23.8
19330401 19330430    26.6
19330501 19330531    62.8
19330601 19330630    22.9
19330701 19330731    29.9
19330801 19330831    62.5
19330901 19330930    51.0
19331001 19331031     9.5
19331101 19331130    14.9
19331201 19331231    23.1
19340101 19340131     5.1
19340201 19340228    19.3
19340301 19340331    11.8
19340401 19340430    11.8
19340501 19340531    13.4
19340601 19340630    39.8
19340701 19340731    24.6
19340801 19340831    50.9
19340901 19340930    58.5
19341001 19341031    32.6
19341101 19341130    59.0
19341201 19341231    11.6
19350101 19350131    31.7
19350201 19350228     0.3
19350301 19350331    56.9
19350401 19350430    36.6
19350501 19350531    35.5
19350601 19350630    33.8
19350701 19350731    20.2
19350801 19350831    44.3
19350901 19350930    12.0
19351001 19351031    48.0
19351101 19351130     9.9
19351201 19351231    21.1
19360101 19360131    36.6
19360201 19360229    27.9
19360301 19360331     1.5
19360401 19360430    19.2
19360501 19360531    21.3
19360601 19360630    15.4
19360701 19360731    39.8
19360801 19360831    29.3
19360901 19360930     9.4
19361001 19361031    44.0
19361101 19361130     5.0
19361201 19361231    41.0
19370101 19370131    32.0
19370201 19370228    23.1
19370301 19370331    16.5
19370401 19370430    17.5
19370501 19370531    43.8
19370601 19370630    52.1
19370701 19370731    23.7
19370801 19370831    45.5
19370901 19370930    43.1
19371001 19371031    14.9
19371101 19371130    58.5
19371201 19371231    21.6
19380101 19380131    37.7
19380201 19380228    54.4
19380301 19380331     0.5
