PRCP       010537 18910101 20180131 missing_value=99999.9 CRANBROOK                                 
19590201 19590228    48.3
19590301 19590331    10.4
19590401 19590430    53.4
19590501 19590531    29.7
19590601 19590630   109.5
19590701 19590731    31.8
19590801 19590831    98.5
19590901 19590930    75.0
19591001 19591031    52.3
19591101 19591130    55.2
19591201 19591231    43.1
19600101 19600131    30.2
19600201 19600229     8.7
19600301 19600331    64.3
19600401 19600430    30.2
19600501 19600531    65.0
19600601 19600630    41.1
19600701 19600731   122.5
19600801 19600831    40.5
19600901 19600930    58.4
19601001 19601031    17.3
19601101 19601130    20.3
19601201 19601231    12.6
19610101 19610131    36.5
19610201 19610228    17.9
19610301 19610331    24.1
19610401 19610430   112.9
19610501 19610531    21.1
19610601 19610630    93.9
19610701 19610731    98.5
19610801 19610831    76.8
19610901 19610930    51.0
19611001 19611031    29.3
19611101 19611130     2.8
19611201 19611231    47.1
19620101 19620131     2.1
19620201 19620228     7.6
19620301 19620331     2.5
19620401 19620430     5.4
19620501 19620531    55.2
19620601 19620630    92.7
19620701 19620731    44.8
19620801 19620831    96.6
19620901 19620930    29.7
19621001 19621031    57.5
19621101 19621130    17.5
19621201 19621231    28.3
19630101 19630131    14.0
19630201 19630228     7.3
19630301 19630331    69.5
19630401 19630430    12.9
19630501 19630531   101.2
19630601 19630630    84.4
19630701 19630731   110.5
19630801 19630831    95.8
19630901 19630930    69.6
19631001 19631031    42.7
19631101 19631130    11.2
19631201 19631231    13.4
19640101 19640131     6.1
19640201 19640229     2.8
19640301 19640331     1.6
19640401 19640430    36.3
19640501 19640531    12.5
19640601 19640630   124.3
19640701 19640731   130.4
19640801 19640831   101.8
19640901 19640930    42.3
19641001 19641031    64.4
19641101 19641130    13.2
19641201 19641231    21.8
19650101 19650131    14.2
19650201 19650228    20.1
19650301 19650331    38.2
19650401 19650430    15.9
19650501 19650531    56.0
19650601 19650630    67.6
19650701 19650731    39.1
19650801 19650831    86.6
19650901 19650930    45.4
19651001 19651031    82.5
19651101 19651130    84.7
19651201 19651231    34.6
19660101 19660131     5.3
19660201 19660228    23.4
19660301 19660331     4.3
19660401 19660430    31.7
19660501 19660531    32.8
19660601 19660630    93.4
19660701 19660731    73.5
19660801 19660831    35.2
19660901 19660930    63.8
19661001 19661031    62.1
19661101 19661130    11.0
19661201 19661231    18.9
19670101 19670131     3.6
19670201 19670228    21.4
19670301 19670331    25.2
19670401 19670430    19.5
19670501 19670531    85.2
19670601 19670630    95.9
19670701 19670731   124.1
19670801 19670831    81.1
19670901 19670930    23.9
19671001 19671031    15.7
19671101 19671130     7.6
19671201 19671231     5.5
19680101 19680131    24.4
19680201 19680229     0.0
19680301 19680331    62.8
19680401 19680430    41.0
19680501 19680531    31.3
19680601 19680630   106.8
19680701 19680731    55.1
19680801 19680831    57.1
19680901 19680930    98.4
19681001 19681031    31.4
19681101 19681130     7.4
19681201 19681231     7.2
19690101 19690131     3.8
19690201 19690228     0.8
19690301 19690331    12.4
19690401 19690430    29.0
19690501 19690531    26.2
19690601 19690630    94.5
19690701 19690731    68.0
19690801 19690831    42.6
19690901 19690930    11.7
19691001 19691031    11.7
19691101 19691130    51.3
19691201 19691231    10.5
19700101 19700131     3.1
19700201 19700228    28.8
19700301 19700331     5.6
19700401 19700430    52.0
19700501 19700531    45.7
19700601 19700630    96.8
19700701 19700731    53.8
19700801 19700831    28.8
19700901 19700930    95.4
19701001 19701031    29.5
19701101 19701130    20.9
19701201 19701231    13.7
19710101 19710131    50.2
19710201 19710228     5.3
19710301 19710331    67.1
19710401 19710430    18.0
19710501 19710531    89.1
19710601 19710630    39.6
19710701 19710731    48.3
19710801 19710831    41.6
19710901 19710930    93.3
19711001 19711031    46.8
19711101 19711130    60.0
19711201 19711231     8.1
19720101 19720131     8.1
19720201 19720229     3.5
19720301 19720331     4.5
19720401 19720430    30.0
19720501 19720531    46.7
19720601 19720630    36.4
19720701 19720731    66.0
19720801 19720831    71.2
19720901 19720930    28.5
19721001 19721031    29.5
19721101 19721130     2.6
19721201 19721231     9.9
19730101 19730131     3.6
19730201 19730228     1.3
19730301 19730331     4.6
19730401 19730430    39.3
19730501 19730531    62.4
19730601 19730630    75.3
19730701 19730731   115.9
19730801 19730831    48.2
19730901 19730930    53.0
19731001 19731031    50.7
19731101 19731130    51.1
19731201 19731231     5.6
19740101 19740131     1.8
19740201 19740228    12.8
19740301 19740331     3.6
19740401 19740430    41.1
19740501 19740531   103.6
19740601 19740630    40.8
19740701 19740731   106.4
19740801 19740831    45.4
19740901 19740930    27.6
19741001 19741031    36.4
19741101 19741130    29.4
19741201 19741231     0.0
19750101 19750131     0.8
19750201 19750228     2.8
19750301 19750331     9.8
19750401 19750430    62.0
19750501 19750531    83.5
19750601 19750630    37.6
19750701 19750731    89.8
19750801 19750831    41.4
19750901 19750930    45.4
19751001 19751031    57.1
19751101 19751130    26.8
19751201 19751231     0.4
19760101 19760131    50.0
19760201 19760229    25.4
19760301 19760331     7.2
19760401 19760430    76.4
19760501 19760531    66.8
19760601 19760630    29.0
19760701 19760731    43.8
19760801 19760831    75.4
19760901 19760930    43.4
19761001 19761031    79.2
19761101 19761130    33.4
19761201 19761231     8.0
19770101 19770131     2.8
19770201 19770228     5.4
19770301 19770331     3.0
19770401 19770430    14.4
19770501 19770531    85.3
19770601 19770630    46.0
19770701 19770731    46.6
19770801 19770831    77.6
19770901 19770930    38.0
19771001 19771031    83.6
19771101 19771130    29.8
19771201 19771231    15.2
19780101 19780131    27.6
19780201 19780228    32.2
19780301 19780331     3.4
19780401 19780430    19.4
19780501 19780531    36.3
19780601 19780630    88.1
19780701 19780731    63.5
19780801 19780831    28.6
19780901 19780930    48.2
19781001 19781031    36.0
19781101 19781130    19.8
19781201 19781231    29.6
19790101 19790131    15.8
19790201 19790228    20.0
19790301 19790331    12.2
19790401 19790430     8.0
19790501 19790531    70.6
