PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
19310301 19310331    10.8
19310401 19310430   132.8
19310501 19310531     1.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     0.0
19311101 19311130    68.1
19311201 19311231    42.0
19320101 19320131   148.6
19320201 19320229     5.9
19320301 19320331   278.1
19320401 19320430    25.6
19320501 19320531     2.0
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     9.7
19321101 19321130     2.3
19321201 19321231    26.9
19330101 19330131    66.4
19330201 19330228   214.0
19330301 19330331    60.7
19330401 19330430    13.2
19330501 19330531     0.0
19330601 19330630     6.1
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     0.0
19331001 19331031    11.4
19331101 19331130    11.7
19331201 19331231   123.0
19340101 19340131   150.0
19340201 19340228    79.8
19340301 19340331    24.4
19340401 19340430    13.4
19340501 19340531     5.1
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     1.8
19341101 19341130     3.8
19341201 19341231     0.0
19350101 19350131   390.5
19350201 19350228    56.9
19350301 19350331    84.6
19350401 19350430     0.0
19350501 19350531     7.4
19350601 19350630    92.7
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031    19.6
19351101 19351130    16.2
19351201 19351231    33.0
19360101 19360131    32.3
19360201 19360229   320.9
19360301 19360331   141.5
19360401 19360430    11.4
19360501 19360531    59.0
19360601 19360630     6.6
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     8.4
19361201 19361231   178.6
19370101 19370131   209.9
19370201 19370228    45.7
19370301 19370331    58.2
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130    47.7
19371201 19371231     0.3
19380101 19380131   150.1
19380201 19380228   202.5
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
