PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19120801 19120831    88.9
19120901 19120930   199.6
19121001 19121031    53.0
19121101 19121130    80.6
19121201 19121231    82.0
19130101 19130131    31.0
19130201 19130228    14.2
19130301 19130331   181.7
19130401 19130430    53.5
19130501 19130531   102.9
19130601 19130630    82.0
19130701 19130731   113.6
19130801 19130831    87.8
19130901 19130930   119.7
19131001 19131031   119.3
19131101 19131130    84.5
19131201 19131231    27.0
19140101 19140131    85.5
19140201 19140228     8.9
19140301 19140331    33.3
19140401 19140430   156.3
19140501 19140531    76.6
19140601 19140630    22.4
19140701 19140731   119.1
19140801 19140831    31.8
19140901 19140930    50.9
19141001 19141031     5.1
19141101 19141130    64.1
19141201 19141231   102.7
19150101 19150131    28.9
19150201 19150228    11.0
19150301 19150331    36.4
19150401 19150430    75.5
19150501 19150531   111.9
19150601 19150630   185.7
19150701 19150731    69.0
19150801 19150831   144.6
19150901 19150930   124.4
19151001 19151031   119.7
19151101 19151130    70.5
19151201 19151231     5.7
19160101 19160131   183.6
19160201 19160229    34.3
19160301 19160331    11.7
19160401 19160430   114.2
19160501 19160531    75.5
19160601 19160630   162.6
19160701 19160731    63.7
19160801 19160831   123.8
19160901 19160930   154.7
19161001 19161031    95.7
19161101 19161130   112.6
19161201 19161231    68.8
19170101 19170131    35.3
19170201 19170228    57.5
19170301 19170331    68.3
19170401 19170430   101.8
19170501 19170531   211.7
19170601 19170630   140.0
19170701 19170731   266.1
19170801 19170831    78.6
19170901 19170930   107.6
19171001 19171031   150.6
19171101 19171130    73.2
19171201 19171231    18.0
19180101 19180131    40.6
19180201 19180228    28.7
19180301 19180331   110.1
19180401 19180430    29.7
19180501 19180531   150.6
19180601 19180630   110.3
19180701 19180731   111.9
19180801 19180831    59.0
19180901 19180930    55.4
19181001 19181031    95.7
19181101 19181130    24.5
19181201 19181231    63.8
19190101 19190131    10.2
19190201 19190228   130.0
19190301 19190331   126.1
19190401 19190430    32.8
19190501 19190531    78.8
19190601 19190630   164.4
19190701 19190731    94.8
19190801 19190831    74.5
19190901 19190930   149.7
19191001 19191031    55.6
19191101 19191130    25.4
19191201 19191231    43.3
19200101 19200131    15.9
19200201 19200229    30.0
19200301 19200331    70.7
19200401 19200430    67.2
19200501 19200531    80.7
19200601 19200630   103.3
