PRCP       013002 19500301 20171231 missing_value=99999.9 GLEN AYLE                                 
19980401 19980430    19.0
19980501 19980531    27.4
19980601 19980630    48.0
19980701 19980731    35.2
19980801 19980831    27.6
19980901 19980930     0.0
19981001 19981031     0.0
19981101 19981130    52.2
19981201 19981231    26.2
19990101 19990131    56.5
19990201 19990228   166.4
19990301 19990331    59.8
19990401 19990430    34.4
19990501 19990531    28.5
19990601 19990630     3.6
19990701 19990731     0.0
19990801 19990831     4.0
19990901 19990930     1.4
19991001 19991031    13.6
19991101 19991130    41.8
19991201 19991231    84.0
20000101 20000131    93.2
20000201 20000229    80.5
20000301 20000331   104.0
20000401 20000430    48.2
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831    10.2
20000901 20000930     0.0
20001001 20001031     0.0
20001101 20001130    29.2
20001201 20001231    23.6
20010101 20010131    20.8
20010201 20010228   167.6
20010301 20010331     0.0
20010401 20010430    35.4
20010501 20010531    21.8
20010601 20010630    13.6
20010701 20010731     0.0
20010801 20010831     4.2
20010901 20010930     1.2
20011001 20011031    38.8
20011101 20011130    10.2
20011201 20011231    37.4
20020101 20020131    40.0
20020201 20020228   289.2
20020301 20020331     8.8
20020401 20020430    13.2
20020501 20020531     2.0
20020601 20020630     5.2
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130    31.8
20021201 20021231    20.8
20030101 20030131   143.0
20030201 20030228    58.6
20030301 20030331    48.2
20030401 20030430   133.4
20030501 20030531     0.0
20030601 20030630     5.0
20030701 20030731     0.0
20030801 20030831    12.0
20030901 20030930     0.0
20031001 20031031     0.5
20031101 20031130     7.4
20031201 20031231     0.0
20040101 20040131    15.2
20040201 20040229    44.4
20040301 20040331    88.2
20040401 20040430    77.2
20040501 20040531    17.0
20040601 20040630     0.0
20040701 20040731     8.4
20040801 20040831     0.0
20040901 20040930     7.6
20041001 20041031     4.6
20041101 20041130     2.0
20041201 20041231    46.6
20050101 20050131     0.0
20050201 20050228     3.4
20050301 20050331     9.0
20050401 20050430     2.0
20050501 20050531     1.2
20050601 20050630     0.0
20050701 20050731    68.2
20050801 20050831    49.8
20050901 20050930     0.0
20051001 20051031     0.0
20051101 20051130    16.4
20051201 20051231    46.6
20060101 20060131   148.0
20060201 20060228    42.6
20060301 20060331   106.4
20060401 20060430    35.2
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731    15.0
