PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19570501 19570531    24.6
19570601 19570630    70.8
19570701 19570731    13.1
19570801 19570831    27.2
19570901 19570930    12.0
19571001 19571031    15.3
19571101 19571130     0.3
19571201 19571231     0.5
19580101 19580131     3.3
19580201 19580228    40.6
19580301 19580331     2.0
19580401 19580430     4.6
19580501 19580531    59.3
19580601 19580630    12.7
19580701 19580731   117.8
19580801 19580831    21.7
19580901 19580930    77.1
19581001 19581031    19.4
19581101 19581130    13.7
19581201 19581231    35.2
19590101 19590131     4.3
19590201 19590228    81.8
19590301 19590331    16.5
19590401 19590430    20.6
19590501 19590531    13.5
19590601 19590630   104.1
19590701 19590731    15.9
19590801 19590831    37.6
19590901 19590930    24.2
19591001 19591031     9.8
19591101 19591130    46.5
19591201 19591231    27.7
19600101 19600131    45.0
19600201 19600229     8.7
19600301 19600331    39.5
19600401 19600430    11.3
19600501 19600531    99.7
19600601 19600630    23.3
19600701 19600731   105.8
19600801 19600831    16.9
19600901 19600930    28.2
19601001 19601031     2.5
19601101 19601130     1.8
19601201 19601231    18.0
19610101 19610131    48.5
19610201 19610228     2.1
19610301 19610331    19.9
19610401 19610430    27.6
19610501 19610531     5.9
19610601 19610630    61.2
19610701 19610731    45.3
19610801 19610831    49.8
19610901 19610930    18.6
19611001 19611031     5.9
19611101 19611130     0.0
19611201 19611231    12.7
19620101 19620131     4.3
19620201 19620228     5.3
19620301 19620331    24.7
19620401 19620430     0.8
19620501 19620531    87.7
19620601 19620630    61.9
19620701 19620731    29.3
19620801 19620831    27.2
19620901 19620930    12.6
19621001 19621031    19.8
19621101 19621130     3.8
19621201 19621231    28.3
19630101 19630131     3.1
19630201 19630228    54.6
19630301 19630331    17.6
19630401 19630430    21.5
19630501 19630531    74.8
19630601 19630630    81.8
19630701 19630731    49.1
19630801 19630831    52.9
19630901 19630930    45.0
19631001 19631031    10.1
19631101 19631130    22.0
19631201 19631231     1.8
19640101 19640131     1.0
19640201 19640229    20.4
19640301 19640331     7.2
19640401 19640430    81.8
19640501 19640531     7.1
19640601 19640630    93.1
19640701 19640731    80.5
19640801 19640831    55.4
19640901 19640930    33.4
19641001 19641031    26.4
19641101 19641130    15.0
19641201 19641231    11.7
19650101 19650131     1.0
19650201 19650228     1.0
19650301 19650331     8.9
19650401 19650430     4.6
19650501 19650531    53.3
19650601 19650630    49.8
19650701 19650731    43.4
19650801 19650831    63.0
19650901 19650930    27.1
19651001 19651031    55.3
19651101 19651130    31.9
19651201 19651231    13.8
19660101 19660131    68.8
19660201 19660228    21.6
19660301 19660331     1.6
19660401 19660430    14.0
19660501 19660531     7.7
19660601 19660630    93.7
19660701 19660731    73.1
19660801 19660831    18.4
19660901 19660930    40.3
19661001 19661031    44.0
19661101 19661130     0.0
19661201 19661231     7.9
19670101 19670131     2.0
19670201 19670228     8.4
19670301 19670331     8.4
19670401 19670430    13.0
19670501 19670531    88.0
19670601 19670630    55.1
19670701 19670731    33.3
19670801 19670831    29.0
19670901 19670930    11.1
19671001 19671031     3.1
19671101 19671130     1.5
19671201 19671231     5.3
19680101 19680131    77.2
19680201 19680229    25.5
19680301 19680331   152.3
19680401 19680430    43.5
19680501 19680531    30.1
19680601 19680630    98.9
19680701 19680731    43.0
19680801 19680831    32.0
19680901 19680930    27.4
19681001 19681031     8.8
19681101 19681130     6.1
19681201 19681231     0.3
19690101 19690131     1.0
19690201 19690228     1.0
19690301 19690331    36.9
19690401 19690430    14.7
19690501 19690531    19.1
19690601 19690630    52.3
19690701 19690731    13.2
19690801 19690831     8.3
19690901 19690930    46.4
19691001 19691031     1.8
19691101 19691130    21.8
19691201 19691231    18.0
19700101 19700131     2.0
19700201 19700228    52.1
19700301 19700331     0.0
19700401 19700430    28.7
19700501 19700531    25.3
19700601 19700630    67.0
19700701 19700731    24.5
19700801 19700831    13.8
19700901 19700930    52.3
19701001 19701031    30.1
19701101 19701130     8.4
19701201 19701231     7.7
19710101 19710131     6.4
19710201 19710228    26.7
19710301 19710331    72.1
19710401 19710430     0.3
19710501 19710531    29.6
19710601 19710630    29.4
19710701 19710731    21.0
19710801 19710831    48.6
19710901 19710930    31.3
19711001 19711031    18.9
19711101 19711130   130.0
19711201 19711231     0.5
19720101 19720131     1.6
19720201 19720229     2.3
19720301 19720331     2.4
19720401 19720430     9.4
19720501 19720531    22.9
19720601 19720630    32.6
19720701 19720731    63.9
19720801 19720831    37.9
19720901 19720930    17.5
19721001 19721031     6.5
19721101 19721130     3.9
19721201 19721231     9.7
19730101 19730131    11.0
19730201 19730228     0.3
19730301 19730331     1.3
19730401 19730430    23.1
19730501 19730531    38.6
19730601 19730630    58.5
19730701 19730731    68.2
19730801 19730831    28.6
19730901 19730930    52.7
19731001 19731031    18.0
19731101 19731130    64.7
19731201 19731231     1.0
19740101 19740131     1.0
19740201 19740228     0.2
19740301 19740331    49.2
19740401 19740430    61.3
19740501 19740531   150.6
19740601 19740630    48.0
19740701 19740731    47.0
19740801 19740831    55.8
19740901 19740930    29.8
19741001 19741031    29.8
19741101 19741130    32.8
19741201 19741231     1.6
19750101 19750131     0.0
19750201 19750228     1.4
19750301 19750331     3.4
19750401 19750430   105.6
19750501 19750531    36.0
19750601 19750630    31.6
19750701 19750731    58.6
19750801 19750831    47.0
19750901 19750930    25.3
19751001 19751031    25.2
19751101 19751130    14.4
19751201 19751231    11.2
19760101 19760131    24.0
19760201 19760229    81.8
19760301 19760331     0.6
19760401 19760430    34.4
19760501 19760531    35.0
19760601 19760630    16.8
19760701 19760731    20.0
19760801 19760831   102.5
19760901 19760930    33.2
19761001 19761031    23.5
19761101 19761130    22.4
19761201 19761231     1.0
19770101 19770131     0.6
19770201 19770228    10.2
19770301 19770331     0.4
19770401 19770430     3.6
19770501 19770531    50.8
19770601 19770630    38.2
19770701 19770731    24.4
19770801 19770831    30.3
19770901 19770930    45.1
19771001 19771031    75.8
19771101 19771130     8.2
19771201 19771231    10.2
19780101 19780131    14.6
19780201 19780228    25.8
19780301 19780331     0.6
19780401 19780430    16.8
19780501 19780531    21.8
19780601 19780630    75.8
19780701 19780731    70.8
19780801 19780831    39.6
19780901 19780930    30.2
19781001 19781031    12.6
19781101 19781130     8.6
19781201 19781231     7.2
19790101 19790131    14.0
19790201 19790228    34.6
19790301 19790331    23.4
19790401 19790430     9.6
19790501 19790531    29.2
19790601 19790630    59.6
19790701 19790731    33.0
19790801 19790831    42.6
19790901 19790930    18.8
19791001 19791031     3.6
19791101 19791130    12.8
19791201 19791231     0.8
19800101 19800131    12.6
19800201 19800229    47.0
19800301 19800331     0.2
19800401 19800430    33.7
19800501 19800531    43.0
19800601 19800630    37.0
19800701 19800731    27.8
19800801 19800831    26.6
19800901 19800930    14.8
19801001 19801031    27.2
19801101 19801130     3.6
19801201 19801231    67.8
19810101 19810131    13.4
19810201 19810228    49.6
19810301 19810331     4.2
19810401 19810430    18.4
19810501 19810531    62.4
19810601 19810630    43.2
19810701 19810731    43.2
19810801 19810831    34.6
19810901 19810930    17.6
19811001 19811031    10.4
19811101 19811130    31.8
19811201 19811231     1.6
19820101 19820131    93.0
19820201 19820228     1.2
19820301 19820331    12.0
19820401 19820430     0.2
19820501 19820531    27.2
19820601 19820630    43.2
19820701 19820731    30.0
19820801 19820831    71.6
19820901 19820930    35.6
19821001 19821031     8.0
19821101 19821130    20.2
19821201 19821231     7.8
19830101 19830131    12.6
19830201 19830228    29.2
19830301 19830331     2.2
19830401 19830430     3.6
19830501 19830531    16.2
19830601 19830630   111.4
19830701 19830731    64.6
19830801 19830831    37.6
19830901 19830930    34.2
19831001 19831031     9.4
19831101 19831130    71.6
19831201 19831231    56.8
19840101 19840131     0.2
19840201 19840229     4.0
19840301 19840331    15.0
19840401 19840430    26.2
19840501 19840531    55.4
19840601 19840630    34.6
19840701 19840731    44.6
19840801 19840831    44.6
19840901 19840930    56.6
19841001 19841031     7.6
19841101 19841130    17.4
19841201 19841231    11.4
19850101 19850131     0.4
19850201 19850228     2.2
19850301 19850331     0.4
19850401 19850430    22.2
19850501 19850531    22.4
19850601 19850630    12.4
19850701 19850731    64.4
19850801 19850831    43.4
19850901 19850930    23.2
19851001 19851031    25.2
19851101 19851130    11.4
19851201 19851231     5.0
19860101 19860131     0.2
19860201 19860228    52.2
19860301 19860331     8.2
19860401 19860430     1.2
19860501 19860531    41.0
19860601 19860630    48.6
19860701 19860731    29.4
19860801 19860831    31.0
19860901 19860930    26.6
19861001 19861031    10.4
19861101 19861130    18.6
19861201 19861231    19.2
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     7.0
19870401 19870430    20.0
19870501 19870531    38.0
19870601 19870630    22.6
19870701 19870731    64.2
19870801 19870831    28.8
19870901 19870930    27.6
19871001 19871031     4.8
19871101 19871130    24.2
19871201 19871231    51.0
19880101 19880131     3.4
19880201 19880229     1.2
19880301 19880331    20.6
19880401 19880430    29.6
19880501 19880531    83.2
19880601 19880630    63.0
19880701 19880731    44.8
19880801 19880831    42.2
19880901 19880930    35.2
19881001 19881031     6.8
19881101 19881130     5.8
19881201 19881231    13.2
19890101 19890131    30.0
19890201 19890228    22.6
19890301 19890331     2.8
19890401 19890430    41.4
19890501 19890531    65.6
19890601 19890630    39.4
19890701 19890731    33.2
19890801 19890831    26.2
19890901 19890930    10.8
19891001 19891031    25.4
19891101 19891130     5.0
