PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
19350301 19350331     5.3
19350401 19350430    54.2
19350501 19350531    10.9
19350601 19350630     5.5
19350701 19350731    59.1
19350801 19350831    17.5
19350901 19350930    57.2
19351001 19351031    38.4
19351101 19351130    22.4
19351201 19351231    46.0
19360101 19360131    29.0
19360201 19360229    92.6
19360301 19360331    64.1
19360401 19360430    18.5
19360501 19360531    53.6
19360601 19360630    13.2
19360701 19360731    82.4
19360801 19360831    50.6
19360901 19360930    48.3
19361001 19361031     6.1
19361101 19361130    15.0
19361201 19361231   113.1
19370101 19370131    68.5
19370201 19370228    17.2
19370301 19370331   170.5
19370401 19370430     7.6
19370501 19370531    12.2
19370601 19370630    25.4
19370701 19370731    34.8
19370801 19370831    39.8
19370901 19370930    27.9
19371001 19371031    40.1
19371101 19371130   111.7
19371201 19371231    82.2
19380101 19380131    87.4
19380201 19380228    17.4
19380301 19380331    10.7
19380401 19380430    20.5
19380501 19380531    81.5
19380601 19380630    22.4
19380701 19380731    25.8
19380801 19380831    96.2
19380901 19380930    13.2
19381001 19381031    52.9
19381101 19381130    94.0
19381201 19381231     0.5
19390101 19390131   136.4
19390201 19390228    13.5
19390301 19390331   125.9
19390401 19390430    42.4
19390501 19390531     3.6
19390601 19390630    52.9
19390701 19390731    39.6
19390801 19390831    40.3
19390901 19390930     3.3
19391001 19391031    67.4
19391101 19391130    35.1
19391201 19391231    30.9
19400101 19400131    28.3
19400201 19400229    75.4
19400301 19400331    64.5
19400401 19400430    28.3
19400501 19400531    13.5
19400601 19400630    15.5
19400701 19400731     1.1
19400801 19400831    23.1
19400901 19400930    39.0
19401001 19401031    28.5
19401101 19401130    44.5
19401201 19401231    88.6
19410101 19410131   145.1
19410201 19410228    79.2
19410301 19410331   119.6
19410401 19410430     3.5
19410501 19410531    17.0
19410601 19410630   105.1
19410701 19410731    12.2
19410801 19410831    23.7
19410901 19410930    11.5
19411001 19411031    67.2
19411101 19411130   114.4
19411201 19411231     3.9
19420101 19420131    32.2
19420201 19420228   111.3
19420301 19420331    79.6
19420401 19420430     0.0
19420501 19420531    26.7
19420601 19420630    37.5
19420701 19420731   124.9
19420801 19420831     6.1
19420901 19420930    38.9
19421001 19421031   108.1
19421101 19421130    71.1
19421201 19421231   175.5
19430101 19430131   139.0
19430201 19430228    37.1
19430301 19430331     4.4
19430401 19430430    33.6
19430501 19430531    20.6
19430601 19430630    37.4
19430701 19430731    23.1
19430801 19430831    44.4
19430901 19430930    78.4
19431001 19431031    21.1
19431101 19431130   101.3
19431201 19431231    79.0
19440101 19440131    66.6
19440201 19440229    42.4
19440301 19440331     6.7
19440401 19440430    14.2
19440501 19440531   100.7
19440601 19440630     3.3
19440701 19440731    69.4
19440801 19440831    94.7
19440901 19440930     8.4
19441001 19441031     5.1
19441101 19441130    11.1
19441201 19441231    78.3
19450101 19450131   127.0
19450201 19450228   103.8
19450301 19450331     4.3
19450401 19450430    49.8
19450501 19450531    47.8
19450601 19450630   120.8
19450701 19450731    54.9
19450801 19450831    41.0
19450901 19450930    42.1
19451001 19451031    15.8
19451101 19451130    39.6
19451201 19451231    15.6
19460101 19460131   115.3
19460201 19460228    40.7
19460301 19460331    13.6
19460401 19460430    27.9
19460501 19460531    27.5
19460601 19460630    17.5
19460701 19460731     4.0
19460801 19460831     0.0
19460901 19460930    66.0
19461001 19461031    12.1
19461101 19461130    75.5
