PRCP       008147 19090801 20180131 missing_value=99999.9 YUNA                                      
19660201 19660228    18.4
19660301 19660331     0.0
19660401 19660430    76.9
19660501 19660531     7.9
19660601 19660630    67.0
19660701 19660731    74.7
19660801 19660831    29.7
19660901 19660930    26.8
19661001 19661031    21.5
19661101 19661130     4.3
19661201 19661231     0.5
19670101 19670131    38.5
19670201 19670228     2.1
19670301 19670331     0.0
19670401 19670430     8.0
19670501 19670531    96.1
19670601 19670630    67.2
19670701 19670731    72.1
19670801 19670831    11.2
19670901 19670930    26.4
19671001 19671031     7.4
19671101 19671130     0.0
19671201 19671231    11.1
19680101 19680131    15.8
19680201 19680229    13.2
19680301 19680331    25.3
19680401 19680430    85.4
19680501 19680531    27.4
19680601 19680630   127.0
19680701 19680731    58.1
19680801 19680831    38.3
19680901 19680930    43.9
19681001 19681031     9.2
19681101 19681130    15.2
19681201 19681231     0.0
19690101 19690131     1.0
19690201 19690228     2.8
19690301 19690331     0.0
19690401 19690430     8.4
19690501 19690531    67.4
19690601 19690630    51.4
19690701 19690731    44.2
19690801 19690831    16.4
19690901 19690930     7.1
19691001 19691031     0.0
19691101 19691130    21.6
19691201 19691231     0.8
19700101 19700131     4.1
19700201 19700228    81.1
19700301 19700331     0.0
19700401 19700430    21.4
19700501 19700531    27.7
19700601 19700630    68.5
19700701 19700731    39.4
19700801 19700831    24.4
19700901 19700930    41.8
19701001 19701031    12.7
19701101 19701130     2.1
19701201 19701231     7.7
19710101 19710131    35.4
19710201 19710228     2.3
19710301 19710331   104.1
19710401 19710430     6.1
19710501 19710531    33.0
19710601 19710630    46.2
19710701 19710731    58.8
19710801 19710831    68.3
19710901 19710930    29.7
19711001 19711031    31.4
19711101 19711130     9.2
19711201 19711231     0.0
19720101 19720131     0.0
19720201 19720229     0.0
19720301 19720331     4.8
19720401 19720430     4.1
19720501 19720531    33.8
19720601 19720630    63.3
19720701 19720731   105.5
19720801 19720831    47.7
19720901 19720930    14.2
19721001 19721031    19.4
19721101 19721130     3.3
19721201 19721231     0.5
19730101 19730131     4.3
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    14.7
19730501 19730531    28.6
19730601 19730630    74.1
19730701 19730731    78.9
19730801 19730831    35.6
19730901 19730930    38.2
19731001 19731031     5.7
19731101 19731130    25.6
19731201 19731231    19.3
19740101 19740131    27.0
19740201 19740228     4.8
19740301 19740331     3.6
19740401 19740430    41.6
19740501 19740531   121.6
19740601 19740630    82.8
19740701 19740731   103.8
19740801 19740831    57.0
19740901 19740930    44.0
19741001 19741031    29.8
19741101 19741130     4.8
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    18.8
19750301 19750331    66.6
19750401 19750430    60.4
19750501 19750531    26.8
19750601 19750630    66.6
19750701 19750731    94.6
19750801 19750831    32.4
19750901 19750930    25.6
19751001 19751031    46.8
19751101 19751130     7.0
19751201 19751231     6.2
19760101 19760131     1.0
19760201 19760229    18.8
19760301 19760331     0.0
19760401 19760430    10.4
19760501 19760531    28.8
19760601 19760630    22.6
19760701 19760731    14.2
19760801 19760831    50.8
19760901 19760930    19.6
19761001 19761031    24.0
19761101 19761130    14.0
19761201 19761231     0.0
19770101 19770131     2.0
19770201 19770228     0.8
19770301 19770331     5.6
19770401 19770430    35.4
19770501 19770531    25.0
19770601 19770630    66.8
19770701 19770731     8.2
19770801 19770831    47.0
19770901 19770930     2.6
19771001 19771031    26.0
19771101 19771130     5.8
19771201 19771231     3.0
19780101 19780131    13.8
19780201 19780228    15.0
19780301 19780331     2.8
19780401 19780430    45.2
19780501 19780531    20.8
19780601 19780630    55.6
19780701 19780731   107.4
19780801 19780831    28.6
19780901 19780930    38.0
19781001 19781031     5.0
19781101 19781130     2.2
19781201 19781231     2.8
19790101 19790131     0.0
19790201 19790228     2.4
19790301 19790331    29.0
19790401 19790430    47.0
19790501 19790531    28.8
19790601 19790630    48.8
19790701 19790731    10.8
19790801 19790831    40.2
19790901 19790930     8.8
19791001 19791031     3.6
19791101 19791130     6.8
19791201 19791231     1.6
19800101 19800131     0.0
19800201 19800229    11.2
19800301 19800331     0.0
19800401 19800430    20.2
19800501 19800531    63.2
19800601 19800630    77.2
19800701 19800731    43.2
19800801 19800831    30.4
19800901 19800930    13.4
19801001 19801031    13.0
19801101 19801130     3.6
19801201 19801231     0.0
19810101 19810131     7.2
19810201 19810228     0.8
19810301 19810331     8.4
19810401 19810430     1.6
19810501 19810531    85.2
19810601 19810630   117.0
19810701 19810731    51.8
19810801 19810831    59.2
19810901 19810930    10.8
19811001 19811031    13.0
19811101 19811130     6.8
19811201 19811231     5.4
19820101 19820131    27.6
19820201 19820228     2.0
19820301 19820331    12.2
19820401 19820430     2.4
19820501 19820531    39.6
19820601 19820630    96.0
19820701 19820731    46.4
19820801 19820831    34.8
19820901 19820930    45.8
19821001 19821031    13.0
19821101 19821130     2.6
19821201 19821231     0.0
19830101 19830131     3.6
19830201 19830228     1.0
19830301 19830331    19.6
19830401 19830430     1.0
19830501 19830531    11.8
19830601 19830630    86.0
19830701 19830731    50.4
19830801 19830831    62.0
19830901 19830930    51.2
19831001 19831031     5.6
19831101 19831130    13.4
19831201 19831231    35.8
19840101 19840131     0.0
19840201 19840229    16.2
19840301 19840331    34.2
19840401 19840430    39.2
19840501 19840531   152.0
19840601 19840630    34.6
19840701 19840731    42.8
19840801 19840831    53.2
19840901 19840930    15.8
19841001 19841031    14.8
19841101 19841130    14.2
19841201 19841231     2.8
19850101 19850131     0.0
19850201 19850228    45.6
19850301 19850331    12.2
19850401 19850430     0.0
19850501 19850531    24.0
19850601 19850630    57.2
19850701 19850731    86.8
19850801 19850831    40.0
19850901 19850930    26.6
19851001 19851031     8.8
19851101 19851130     6.0
19851201 19851231     1.0
19860101 19860131    24.8
19860201 19860228    54.6
19860301 19860331     3.0
19860401 19860430     0.6
19860501 19860531    47.2
19860601 19860630   109.8
19860701 19860731    88.4
19860801 19860831    57.6
19860901 19860930    17.4
19861001 19861031    12.8
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228    50.0
19870301 19870331    27.6
19870401 19870430    16.6
19870501 19870531    21.8
19870601 19870630    70.8
19870701 19870731    32.6
19870801 19870831    51.4
19870901 19870930     7.6
19871001 19871031    20.6
19871101 19871130    28.2
19871201 19871231     1.6
19880101 19880131    13.4
19880201 19880229     3.4
19880301 19880331    14.0
19880401 19880430    15.4
19880501 19880531   168.8
19880601 19880630    45.0
19880701 19880731    87.0
19880801 19880831    54.6
19880901 19880930    17.8
19881001 19881031     7.2
19881101 19881130     9.6
19881201 19881231    49.4
19890101 19890131     4.6
19890201 19890228    13.2
19890301 19890331     0.0
19890401 19890430    11.0
19890501 19890531    83.2
19890601 19890630   117.4
19890701 19890731    43.4
19890801 19890831    21.2
19890901 19890930     9.6
19891001 19891031    21.0
19891101 19891130     0.0
19891201 19891231     0.0
19900101 19900131    65.2
19900201 19900228     2.8
19900301 19900331     6.6
19900401 19900430    25.2
19900501 19900531    47.4
19900601 19900630    52.8
19900701 19900731    45.8
19900801 19900831    39.0
19900901 19900930    14.2
19901001 19901031    22.2
19901101 19901130     0.0
19901201 19901231     3.6
19910101 19910131     5.0
19910201 19910228     4.6
19910301 19910331     7.4
19910401 19910430    50.0
19910501 19910531    26.8
19910601 19910630   106.8
19910701 19910731    90.6
19910801 19910831    21.4
19910901 19910930    25.8
19911001 19911031    22.6
19911101 19911130    26.2
19911201 19911231    14.2
19920101 19920131     1.4
19920201 19920229     0.0
19920301 19920331    33.6
19920401 19920430    65.6
