PRCP       029048 19211201 20170131 missing_value=99999.9 VANROOK STATION                           
20050601 20050630     0.0
20050701 20050731     0.0
20050801 20050831     0.0
20050901 20050930     4.0
20051001 20051031    21.0
20051101 20051130   220.4
20051201 20051231    38.2
20060101 20060131   231.2
20060201 20060228    78.2
20060301 20060331   458.1
20060401 20060430   291.3
20060501 20060531    14.0
20060601 20060630     0.0
20060701 20060731    57.0
20060801 20060831     0.0
20060901 20060930     1.0
20061001 20061031     0.0
20061101 20061130     0.0
20061201 20061231    20.0
20070101 20070131   232.8
20070201 20070228   492.2
20070301 20070331   181.3
20070401 20070430    10.3
20070501 20070531     0.0
20070601 20070630    23.4
20070701 20070731     0.0
20070801 20070831     4.0
20070901 20070930     8.2
20071001 20071031    90.0
20071101 20071130    76.2
20071201 20071231   147.0
20080101 20080131   175.1
20080201 20080229   489.8
20080301 20080331   274.8
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630     0.0
20080701 20080731   110.5
20080801 20080831     0.0
20080901 20080930     0.0
20081001 20081031     0.0
20081101 20081130    98.0
20081201 20081231   188.6
20090101 20090131   641.5
20090201 20090228   299.0
20090301 20090331    11.5
20090401 20090430    48.0
20090501 20090531     9.5
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     0.0
20091101 20091130    11.0
20091201 20091231   147.5
20100101 20100131   262.5
20100201 20100228   154.0
20100301 20100331   141.5
20100401 20100430   103.5
20100501 20100531     0.0
20100601 20100630     0.0
20100701 20100731     0.0
20100801 20100831     0.0
20100901 20100930   123.0
20101001 20101031     9.0
20101101 20101130    59.0
20101201 20101231   250.5
20110101 20110131   293.5
20110201 20110228   343.5
20110301 20110331   558.0
20110401 20110430    71.5
20110501 20110531     0.0
20110601 20110630     0.0
20110701 20110731     0.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    76.0
20111101 20111130   123.0
20111201 20111231   234.4
20120101 20120131   255.5
20120201 20120229   194.0
20120301 20120331  1188.0
20120401 20120430     0.0
20120501 20120531    28.5
20120601 20120630    10.0
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     0.0
20121101 20121130    16.0
20121201 20121231    47.5
20130101 20130131   118.0
20130201 20130228 99999.9
20130301 20130331 99999.9
20130401 20130430 99999.9
20130501 20130531 99999.9
20130601 20130630 99999.9
20130701 20130731 99999.9
20130801 20130831 99999.9
20130901 20130930 99999.9
20131001 20131031 99999.9
20131101 20131130 99999.9
20131201 20131231 99999.9
20140101 20140131 99999.9
20140201 20140228 99999.9
20140301 20140331 99999.9
20140401 20140430 99999.9
20140501 20140531 99999.9
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831 99999.9
20140901 20140930 99999.9
20141001 20141031 99999.9
20141101 20141130 99999.9
20141201 20141231 99999.9
20150101 20150131 99999.9
20150201 20150228 99999.9
20150301 20150331 99999.9
20150401 20150430 99999.9
20150501 20150531 99999.9
20150601 20150630 99999.9
20150701 20150731 99999.9
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
