PRCP       074128 18700101 20180131 missing_value=99999.9 DENILIQUIN POST OFFICE                    
19141201 19141231    32.1
19150101 19150131    16.1
19150201 19150228     9.6
19150301 19150331     0.8
19150401 19150430    12.9
19150501 19150531    53.6
19150601 19150630    51.0
19150701 19150731    34.9
19150801 19150831    30.4
19150901 19150930    69.6
19151001 19151031    45.3
19151101 19151130     1.3
19151201 19151231     9.2
19160101 19160131    30.8
19160201 19160229    13.3
19160301 19160331     3.6
19160401 19160430     6.1
19160501 19160531    15.5
19160601 19160630    66.7
19160701 19160731    50.6
19160801 19160831    54.4
19160901 19160930   100.9
19161001 19161031    49.0
19161101 19161130    49.9
19161201 19161231    50.8
19170101 19170131    78.0
19170201 19170228    44.0
19170301 19170331    26.8
19170401 19170430     4.3
19170501 19170531    32.7
19170601 19170630   118.3
19170701 19170731    42.9
19170801 19170831    70.4
19170901 19170930    57.8
19171001 19171031    87.3
19171101 19171130    58.2
19171201 19171231    17.0
19180101 19180131   105.8
19180201 19180228    43.9
19180301 19180331    45.3
19180401 19180430    27.4
19180501 19180531   123.5
19180601 19180630    56.0
19180701 19180731     9.4
19180801 19180831    59.1
19180901 19180930    10.4
19181001 19181031    21.0
19181101 19181130     0.0
19181201 19181231    14.8
19190101 19190131     0.8
19190201 19190228    58.5
19190301 19190331    42.9
19190401 19190430    22.7
19190501 19190531    75.8
19190601 19190630    30.0
19190701 19190731     7.9
19190801 19190831    14.7
19190901 19190930    36.2
19191001 19191031    19.7
19191101 19191130    25.9
19191201 19191231    44.2
19200101 19200131     4.3
19200201 19200229     9.4
19200301 19200331     2.0
19200401 19200430     6.4
19200501 19200531    12.0
19200601 19200630    43.4
19200701 19200731    50.4
19200801 19200831    96.4
19200901 19200930    67.5
19201001 19201031    63.3
19201101 19201130    38.7
19201201 19201231    26.6
19210101 19210131     6.3
19210201 19210228    44.0
19210301 19210331    23.3
19210401 19210430    28.9
19210501 19210531    62.6
19210601 19210630    80.4
19210701 19210731    34.7
19210801 19210831    35.2
19210901 19210930    70.9
19211001 19211031    35.3
19211101 19211130    12.4
19211201 19211231     9.4
19220101 19220131     6.1
19220201 19220228     7.9
19220301 19220331     0.0
19220401 19220430    17.2
19220501 19220531    28.0
19220601 19220630    24.6
