PRCP       024501 18900901 20180131 missing_value=99999.9 AUSTRALIA PLAINS                          
19490701 19490731    21.5
19490801 19490831    10.8
19490901 19490930    23.9
19491001 19491031    48.1
19491101 19491130    27.6
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228    67.9
19500301 19500331    46.5
19500401 19500430     8.4
19500501 19500531    65.5
19500601 19500630    43.3
19500701 19500731    37.3
19500801 19500831    29.8
19500901 19500930    13.6
19501001 19501031     9.6
19501101 19501130    19.4
19501201 19501231     3.3
19510101 19510131     0.0
19510201 19510228     7.5
19510301 19510331     0.8
19510401 19510430    18.3
19510501 19510531    26.3
19510601 19510630    93.2
19510701 19510731    54.9
19510801 19510831    51.2
19510901 19510930    21.3
19511001 19511031    54.3
19511101 19511130     0.0
19511201 19511231    14.7
19520101 19520131    21.9
19520201 19520229     0.0
19520301 19520331     1.3
19520401 19520430    18.8
19520501 19520531    97.9
19520601 19520630    24.9
19520701 19520731    17.5
19520801 19520831    18.0
19520901 19520930    30.2
19521001 19521031    71.8
19521101 19521130    19.1
19521201 19521231     0.0
19530101 19530131     1.5
19530201 19530228     0.0
19530301 19530331     0.0
19530401 19530430     3.8
19530501 19530531    16.3
19530601 19530630    26.9
19530701 19530731    14.8
19530801 19530831    21.9
19530901 19530930    31.6
19531001 19531031    53.0
19531101 19531130     5.6
19531201 19531231    28.5
19540101 19540131    21.8
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    43.8
19540501 19540531     4.0
19540601 19540630    39.4
19540701 19540731    21.8
19540801 19540831    18.8
19540901 19540930    10.2
19541001 19541031    26.2
19541101 19541130    44.2
19541201 19541231    23.4
19550101 19550131     0.0
19550201 19550228    27.5
19550301 19550331    21.3
19550401 19550430    10.2
19550501 19550531   107.4
19550601 19550630    61.8
19550701 19550731    13.3
19550801 19550831    61.0
19550901 19550930    16.2
19551001 19551031     0.0
19551101 19551130    15.5
19551201 19551231     7.1
19560101 19560131     4.3
19560201 19560229     0.0
19560301 19560331    41.5
19560401 19560430    24.7
19560501 19560531    47.1
19560601 19560630    46.2
19560701 19560731    66.5
19560801 19560831    26.2
19560901 19560930    35.6
19561001 19561031    26.7
19561101 19561130    29.4
19561201 19561231     2.8
19570101 19570131     0.0
19570201 19570228     0.5
19570301 19570331     6.3
19570401 19570430     5.3
19570501 19570531    14.1
19570601 19570630    31.4
19570701 19570731    12.4
19570801 19570831    15.0
19570901 19570930    19.6
19571001 19571031    23.8
19571101 19571130     7.1
19571201 19571231    15.0
19580101 19580131     5.3
19580201 19580228     0.0
19580301 19580331    23.9
19580401 19580430    17.5
19580501 19580531    37.4
19580601 19580630     4.3
19580701 19580731    31.2
19580801 19580831    60.6
19580901 19580930    62.0
19581001 19581031    40.4
19581101 19581130    15.4
19581201 19581231     9.4
19590101 19590131     6.6
19590201 19590228    16.5
19590301 19590331    13.2
19590401 19590430     2.6
19590501 19590531     9.6
19590601 19590630     7.9
19590701 19590731     6.9
19590801 19590831    19.1
19590901 19590930     9.4
19591001 19591031    46.4
19591101 19591130     5.8
19591201 19591231    15.3
19600101 19600131    11.7
19600201 19600229    56.6
19600301 19600331     8.7
19600401 19600430    27.2
19600501 19600531    90.0
19600601 19600630    10.6
19600701 19600731    39.3
19600801 19600831    26.3
19600901 19600930    50.0
19601001 19601031     1.0
19601101 19601130    31.7
19601201 19601231    10.7
19610101 19610131     0.0
19610201 19610228     9.9
19610301 19610331     5.1
19610401 19610430    73.2
19610501 19610531     9.6
19610601 19610630     9.3
19610701 19610731    34.1
19610801 19610831    28.8
19610901 19610930    39.4
19611001 19611031     5.1
19611101 19611130    78.4
19611201 19611231    12.0
19620101 19620131    89.0
19620201 19620228     4.3
19620301 19620331    40.0
19620401 19620430     0.0
19620501 19620531    62.8
19620601 19620630    17.0
19620701 19620731    18.8
19620801 19620831    25.1
19620901 19620930    11.5
19621001 19621031    52.8
19621101 19621130    11.5
19621201 19621231    68.9
19630101 19630131     8.2
19630201 19630228     6.4
19630301 19630331     0.8
19630401 19630430    73.4
19630501 19630531    72.2
19630601 19630630    54.1
19630701 19630731    56.9
19630801 19630831    41.8
19630901 19630930    16.8
19631001 19631031    27.0
19631101 19631130     6.3
19631201 19631231     1.5
19640101 19640131    24.1
19640201 19640229    12.2
19640301 19640331     1.5
19640401 19640430    46.8
19640501 19640531    11.7
19640601 19640630    17.0
19640701 19640731    83.0
19640801 19640831    20.2
19640901 19640930    69.6
19641001 19641031    42.4
19641101 19641130    14.5
19641201 19641231    25.1
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     1.1
19650401 19650430     4.9
19650501 19650531    33.1
19650601 19650630    27.8
19650701 19650731    17.8
19650801 19650831    38.2
19650901 19650930    40.7
19651001 19651031     2.1
19651101 19651130    14.4
19651201 19651231    28.5
19660101 19660131    10.2
19660201 19660228    34.8
19660301 19660331    19.3
19660401 19660430     4.9
19660501 19660531    18.9
19660601 19660630    27.4
19660701 19660731    41.6
19660801 19660831    12.5
19660901 19660930    33.8
19661001 19661031    20.4
19661101 19661130     6.5
19661201 19661231    77.6
19670101 19670131    11.7
19670201 19670228     8.9
19670301 19670331     0.0
19670401 19670430     2.0
19670501 19670531    14.0
19670601 19670630     9.4
19670701 19670731    22.5
19670801 19670831    34.7
19670901 19670930    10.6
19671001 19671031     6.3
19671101 19671130     0.8
19671201 19671231     4.6
19680101 19680131    31.0
19680201 19680229    47.0
19680301 19680331    15.3
19680401 19680430    21.4
19680501 19680531    51.8
19680601 19680630    69.2
19680701 19680731    45.9
19680801 19680831    45.6
19680901 19680930    12.1
19681001 19681031    31.0
19681101 19681130    19.8
19681201 19681231    19.0
19690101 19690131     1.8
19690201 19690228    70.9
19690301 19690331    51.0
19690401 19690430    23.7
19690501 19690531    23.0
19690601 19690630    20.5
19690701 19690731    42.8
19690801 19690831    23.9
19690901 19690930    36.5
19691001 19691031     3.3
19691101 19691130    10.7
19691201 19691231    19.3
19700101 19700131    13.5
19700201 19700228     0.0
19700301 19700331     7.6
19700401 19700430    18.5
19700501 19700531    19.3
19700601 19700630    23.2
19700701 19700731    13.7
19700801 19700831    49.9
19700901 19700930    52.1
19701001 19701031     5.6
19701101 19701130    47.6
19701201 19701231    13.0
19710101 19710131     5.9
19710201 19710228    14.0
19710301 19710331    32.5
19710401 19710430    24.7
19710501 19710531    27.7
19710601 19710630    42.8
19710701 19710731    49.0
19710801 19710831    56.4
19710901 19710930    43.4
19711001 19711031    16.9
19711101 19711130    34.4
19711201 19711231    12.5
19720101 19720131    41.0
19720201 19720229    17.6
19720301 19720331     0.5
19720401 19720430    10.2
19720501 19720531     8.0
19720601 19720630    28.9
19720701 19720731    33.5
19720801 19720831    50.7
19720901 19720930    12.1
19721001 19721031    12.0
19721101 19721130    12.6
19721201 19721231     3.8
19730101 19730131     8.6
19730201 19730228    98.3
19730301 19730331    19.8
19730401 19730430    45.8
19730501 19730531    10.9
19730601 19730630    48.8
19730701 19730731    43.3
19730801 19730831    56.7
19730901 19730930    34.6
19731001 19731031   113.4
19731101 19731130    56.0
19731201 19731231    23.1
19740101 19740131   125.4
19740201 19740228    52.2
19740301 19740331    25.6
19740401 19740430    69.3
19740501 19740531   113.0
19740601 19740630    19.1
19740701 19740731    58.7
19740801 19740831    35.8
19740901 19740930    47.8
19741001 19741031    58.0
19741101 19741130    10.0
19741201 19741231     0.2
19750101 19750131     5.0
19750201 19750228     0.0
19750301 19750331    23.9
19750401 19750430    11.7
19750501 19750531    15.2
19750601 19750630     0.0
19750701 19750731    21.8
19750801 19750831    39.6
19750901 19750930    66.6
19751001 19751031    68.6
19751101 19751130     8.9
19751201 19751231    17.6
19760101 19760131    12.8
19760201 19760229    29.0
19760301 19760331     1.2
19760401 19760430     3.6
19760501 19760531     6.2
19760601 19760630    12.3
19760701 19760731    13.4
19760801 19760831    19.0
19760901 19760930    45.8
19761001 19761031    78.8
19761101 19761130    17.2
19761201 19761231     4.4
19770101 19770131    15.4
19770201 19770228     5.0
19770301 19770331    15.0
19770401 19770430     5.2
19770501 19770531    26.0
19770601 19770630    16.9
19770701 19770731    10.3
19770801 19770831    12.4
19770901 19770930    26.2
19771001 19771031    18.6
19771101 19771130    92.0
19771201 19771231    12.6
19780101 19780131    24.2
19780201 19780228     0.6
19780301 19780331     8.8
19780401 19780430    51.2
19780501 19780531    17.4
19780601 19780630    60.0
19780701 19780731    56.2
19780801 19780831    57.0
19780901 19780930    63.0
19781001 19781031     8.4
19781101 19781130    21.4
19781201 19781231     6.2
19790101 19790131    41.0
19790201 19790228    43.2
19790301 19790331     1.0
19790401 19790430    17.0
19790501 19790531    37.8
19790601 19790630     7.2
19790701 19790731     8.0
19790801 19790831    36.4
19790901 19790930   109.2
19791001 19791031    46.6
19791101 19791130    58.2
19791201 19791231    38.8
19800101 19800131    48.6
19800201 19800229     0.0
19800301 19800331     2.6
19800401 19800430    69.8
19800501 19800531    21.0
19800601 19800630    57.0
19800701 19800731    35.6
19800801 19800831     8.6
19800901 19800930    24.4
19801001 19801031    65.8
19801101 19801130     3.4
19801201 19801231     6.8
19810101 19810131    45.8
19810201 19810228    12.2
19810301 19810331    17.4
19810401 19810430     0.0
19810501 19810531    25.2
19810601 19810630    41.6
19810701 19810731    41.6
19810801 19810831    51.6
19810901 19810930    15.2
19811001 19811031    11.2
19811101 19811130    27.4
19811201 19811231     1.8
19820101 19820131     6.6
19820201 19820228     1.0
19820301 19820331     7.0
19820401 19820430    33.2
19820501 19820531    15.8
19820601 19820630    23.0
19820701 19820731     5.8
19820801 19820831     7.8
19820901 19820930    16.2
19821001 19821031     6.4
19821101 19821130     0.6
19821201 19821231     1.4
19830101 19830131     2.8
19830201 19830228     0.6
19830301 19830331    88.2
19830401 19830430    45.8
19830501 19830531    21.4
19830601 19830630     8.4
19830701 19830731    43.4
19830801 19830831    39.9
19830901 19830930    40.0
19831001 19831031    40.8
19831101 19831130    27.6
19831201 19831231    24.4
19840101 19840131    33.6
19840201 19840229     2.2
19840301 19840331     7.0
19840401 19840430    21.2
19840501 19840531     9.6
19840601 19840630    15.6
19840701 19840731    75.2
19840801 19840831    43.4
19840901 19840930    21.0
19841001 19841031    23.4
19841101 19841130    16.0
19841201 19841231     4.2
19850101 19850131     1.6
19850201 19850228     0.0
19850301 19850331    29.0
19850401 19850430    29.4
19850501 19850531    22.0
19850601 19850630    21.4
19850701 19850731     5.8
19850801 19850831    75.2
19850901 19850930    32.9
19851001 19851031    24.8
19851101 19851130    10.2
19851201 19851231    20.0
19860101 19860131     2.6
19860201 19860228     1.8
19860301 19860331     0.6
19860401 19860430    11.8
19860501 19860531    12.0
19860601 19860630    11.6
19860701 19860731    67.0
19860801 19860831    53.0
