PRCP       052019 18940301 20171231 missing_value=99999.9 MOGIL MOGIL (BENIMORA)                    
19430401 19430430    60.7
19430501 19430531    14.2
19430601 19430630    27.0
19430701 19430731     8.1
19430801 19430831    35.7
19430901 19430930    29.3
19431001 19431031    15.4
19431101 19431130    27.5
19431201 19431231    24.4
19440101 19440131    29.0
19440201 19440229    10.2
19440301 19440331     4.6
19440401 19440430     1.3
19440501 19440531     5.1
19440601 19440630     8.9
19440701 19440731    23.1
19440801 19440831    44.2
19440901 19440930    10.2
19441001 19441031     0.0
19441101 19441130     1.5
19441201 19441231     9.2
19450101 19450131    35.3
19450201 19450228   130.6
19450301 19450331    10.7
19450401 19450430     7.1
19450501 19450531    93.3
19450601 19450630    60.2
19450701 19450731    36.5
19450801 19450831    27.3
19450901 19450930     3.8
19451001 19451031     9.4
19451101 19451130     6.4
19451201 19451231    21.6
19460101 19460131   134.8
19460201 19460228     0.0
19460301 19460331    11.7
19460401 19460430     5.1
19460501 19460531     0.0
19460601 19460630     5.8
19460701 19460731     2.0
19460801 19460831     0.0
19460901 19460930    83.0
19461001 19461031     6.1
19461101 19461130    30.9
19461201 19461231    17.6
19470101 19470131     2.0
19470201 19470228   291.5
19470301 19470331   144.2
19470401 19470430     7.9
19470501 19470531    29.2
19470601 19470630    16.2
19470701 19470731    12.6
19470801 19470831    35.6
19470901 19470930    36.0
19471001 19471031    52.0
19471101 19471130    85.8
19471201 19471231    44.7
19480101 19480131    51.3
19480201 19480229    26.7
19480301 19480331    58.8
19480401 19480430    24.1
19480501 19480531    75.2
19480601 19480630   120.4
19480701 19480731    27.6
19480801 19480831     8.6
19480901 19480930    27.4
19481001 19481031    10.2
19481101 19481130     7.1
19481201 19481231    96.8
19490101 19490131    37.1
19490201 19490228   145.0
19490301 19490331    83.1
19490401 19490430    40.6
19490501 19490531     9.5
19490601 19490630    51.2
19490701 19490731    17.0
19490801 19490831     3.1
19490901 19490930    62.4
19491001 19491031   104.9
19491101 19491130    63.3
19491201 19491231     8.1
19500101 19500131    83.5
19500201 19500228   154.2
19500301 19500331    53.8
19500401 19500430   159.6
19500501 19500531    25.6
19500601 19500630    81.7
19500701 19500731   166.0
19500801 19500831    17.5
19500901 19500930    15.5
19501001 19501031   134.2
19501101 19501130   111.7
19501201 19501231    15.3
19510101 19510131   103.3
19510201 19510228    40.4
19510301 19510331    70.0
19510401 19510430     0.0
19510501 19510531    30.3
19510601 19510630    31.7
19510701 19510731     0.1
19510801 19510831    23.6
19510901 19510930    32.2
19511001 19511031     2.5
19511101 19511130     7.6
19511201 19511231     8.0
19520101 19520131     6.4
19520201 19520229    54.1
19520301 19520331    35.6
19520401 19520430    31.8
19520501 19520531    27.2
19520601 19520630    39.6
19520701 19520731    30.4
19520801 19520831    37.3
19520901 19520930    27.5
19521001 19521031    28.7
19521101 19521130    16.3
19521201 19521231    36.8
19530101 19530131    39.7
19530201 19530228   150.5
19530301 19530331    16.8
19530401 19530430    29.7
19530501 19530531   155.4
19530601 19530630     0.0
19530701 19530731     6.1
19530801 19530831    40.8
19530901 19530930     8.9
19531001 19531031    27.6
19531101 19531130    21.2
19531201 19531231     1.8
19540101 19540131   117.1
19540201 19540228   130.7
19540301 19540331     3.0
19540401 19540430     0.0
19540501 19540531     0.0
19540601 19540630    16.5
19540701 19540731    76.7
19540801 19540831    21.8
19540901 19540930    12.2
19541001 19541031   110.4
19541101 19541130    37.2
19541201 19541231    30.2
19550101 19550131   176.6
19550201 19550228    88.8
19550301 19550331    15.0
19550401 19550430    84.8
19550501 19550531    49.8
19550601 19550630    25.6
19550701 19550731    31.0
19550801 19550831    46.3
19550901 19550930     6.9
19551001 19551031    79.8
19551101 19551130    23.6
19551201 19551231    26.2
19560101 19560131   184.6
19560201 19560229   219.7
19560301 19560331   155.5
19560401 19560430    48.3
19560501 19560531    53.8
19560601 19560630    55.6
19560701 19560731    49.5
19560801 19560831     3.0
19560901 19560930    32.7
19561001 19561031    39.8
19561101 19561130    17.2
19561201 19561231    28.7
19570101 19570131    12.2
19570201 19570228    58.3
19570301 19570331    33.3
19570401 19570430    14.2
19570501 19570531     0.5
19570601 19570630    44.2
19570701 19570731     3.0
19570801 19570831     1.3
19570901 19570930     0.0
19571001 19571031    13.0
19571101 19571130     1.5
19571201 19571231    27.9
19580101 19580131   199.7
19580201 19580228    31.5
19580301 19580331    44.4
19580401 19580430    33.1
19580501 19580531    30.7
19580601 19580630    83.5
19580701 19580731     1.5
19580801 19580831    10.1
19580901 19580930    30.2
19581001 19581031    29.0
19581101 19581130     3.8
19581201 19581231    41.4
19590101 19590131   135.6
19590201 19590228   145.0
19590301 19590331   111.2
19590401 19590430   135.4
19590501 19590531    26.7
19590601 19590630    13.5
19590701 19590731    57.0
19590801 19590831     0.0
19590901 19590930    19.1
19591001 19591031    28.7
19591101 19591130    19.6
19591201 19591231    34.0
19600101 19600131     7.7
19600201 19600229     5.6
19600301 19600331    35.1
19600401 19600430    12.5
19600501 19600531    18.8
19600601 19600630    18.5
19600701 19600731    37.8
19600801 19600831    14.8
19600901 19600930    23.9
19601001 19601031    26.0
19601101 19601130    40.4
19601201 19601231    28.9
19610101 19610131    69.7
19610201 19610228    78.5
19610301 19610331    44.4
19610401 19610430    36.2
19610501 19610531    38.7
19610601 19610630     8.1
19610701 19610731    37.1
19610801 19610831    11.5
19610901 19610930     0.0
19611001 19611031    35.7
19611101 19611130    86.3
19611201 19611231    48.9
19620101 19620131    75.3
19620201 19620228    70.1
19620301 19620331   166.4
19620401 19620430    18.3
19620501 19620531    10.0
19620601 19620630    11.4
19620701 19620731    37.4
19620801 19620831    76.6
19620901 19620930    20.7
19621001 19621031    12.2
19621101 19621130    16.0
19621201 19621231    70.6
19630101 19630131   188.3
19630201 19630228    14.7
19630301 19630331   146.0
19630401 19630430     4.1
19630501 19630531    42.3
19630601 19630630    18.4
19630701 19630731     0.5
19630801 19630831    18.8
19630901 19630930    20.8
19631001 19631031    13.8
19631101 19631130    46.2
19631201 19631231    20.7
19640101 19640131   145.0
19640201 19640229     7.8
19640301 19640331    25.6
19640401 19640430    51.5
19640501 19640531    59.1
19640601 19640630    15.5
19640701 19640731    30.7
19640801 19640831    22.6
19640901 19640930    79.5
19641001 19641031    80.0
19641101 19641130    31.0
19641201 19641231     4.3
19650101 19650131    27.7
19650201 19650228    13.2
19650301 19650331     2.0
19650401 19650430     5.1
19650501 19650531     1.0
19650601 19650630     5.9
19650701 19650731     7.1
19650801 19650831    18.0
19650901 19650930    10.7
19651001 19651031    31.3
19651101 19651130    18.6
19651201 19651231   103.2
19660101 19660131    42.9
19660201 19660228     1.3
19660301 19660331     7.9
19660401 19660430     0.0
19660501 19660531     2.3
19660601 19660630    54.0
19660701 19660731    20.3
19660801 19660831   140.3
19660901 19660930     5.8
19661001 19661031    18.9
19661101 19661130    81.3
19661201 19661231    17.0
19670101 19670131    35.8
19670201 19670228    15.2
19670301 19670331   125.5
19670401 19670430     0.0
19670501 19670531    12.2
19670601 19670630    37.4
19670701 19670731    11.0
19670801 19670831    19.2
19670901 19670930     0.0
19671001 19671031    16.0
19671101 19671130     0.0
19671201 19671231     6.9
19680101 19680131   121.7
19680201 19680229    60.9
19680301 19680331    64.0
19680401 19680430    26.6
19680501 19680531    66.0
19680601 19680630     5.1
19680701 19680731    24.2
19680801 19680831    52.5
19680901 19680930    10.2
19681001 19681031     5.0
19681101 19681130    19.3
19681201 19681231    70.4
19690101 19690131    25.1
19690201 19690228     9.6
19690301 19690331    61.3
19690401 19690430    34.8
19690501 19690531    43.3
19690601 19690630    31.7
19690701 19690731    36.9
19690801 19690831    34.1
19690901 19690930    49.2
19691001 19691031   117.9
19691101 19691130    46.8
19691201 19691231    46.0
19700101 19700131    78.9
19700201 19700228    20.0
19700301 19700331    10.4
19700401 19700430    27.9
19700501 19700531     3.8
19700601 19700630     4.4
19700701 19700731     0.0
19700801 19700831    14.2
19700901 19700930    95.4
19701001 19701031    15.3
19701101 19701130    39.2
19701201 19701231   122.7
19710101 19710131   158.0
19710201 19710228   173.1
19710301 19710331     8.9
19710401 19710430     7.4
19710501 19710531    11.5
19710601 19710630     1.5
19710701 19710731    78.5
19710801 19710831    51.4
19710901 19710930    55.1
19711001 19711031    13.0
19711101 19711130     7.7
19711201 19711231    31.0
19720101 19720131    63.6
19720201 19720229    20.5
19720301 19720331     8.9
19720401 19720430    18.5
19720501 19720531     3.8
19720601 19720630     4.0
19720701 19720731     0.8
19720801 19720831    32.3
19720901 19720930    36.8
19721001 19721031    51.5
19721101 19721130    74.1
19721201 19721231    12.5
19730101 19730131    86.3
19730201 19730228   109.3
19730301 19730331     8.2
19730401 19730430     7.1
19730501 19730531    15.2
19730601 19730630    16.3
19730701 19730731    62.8
19730801 19730831    20.1
19730901 19730930    45.0
19731001 19731031    84.6
19731101 19731130    64.9
19731201 19731231   125.2
19740101 19740131   423.8
19740201 19740228    14.6
19740301 19740331     6.1
19740401 19740430   100.2
19740501 19740531     9.0
19740601 19740630     5.5
19740701 19740731     9.2
19740801 19740831    46.2
19740901 19740930    11.2
19741001 19741031    61.6
19741101 19741130    52.8
19741201 19741231     0.0
19750101 19750131    21.9
19750201 19750228    98.7
19750301 19750331    70.8
19750401 19750430    20.0
19750501 19750531     0.0
19750601 19750630    27.0
19750701 19750731    29.8
19750801 19750831    17.6
19750901 19750930    12.8
19751001 19751031    87.0
19751101 19751130     8.0
19751201 19751231    52.5
19760101 19760131   257.1
19760201 19760229   321.8
19760301 19760331    46.8
19760401 19760430     0.0
19760501 19760531    38.2
19760601 19760630    26.5
19760701 19760731    56.7
19760801 19760831     5.9
19760901 19760930    19.5
19761001 19761031    61.3
19761101 19761130    41.3
19761201 19761231    23.6
19770101 19770131    70.8
19770201 19770228   149.8
19770301 19770331    74.0
19770401 19770430    52.5
19770501 19770531    88.5
19770601 19770630     5.6
19770701 19770731     0.0
19770801 19770831    14.2
19770901 19770930    10.0
19771001 19771031    17.3
19771101 19771130     9.0
19771201 19771231    12.1
19780101 19780131   177.6
19780201 19780228     5.6
19780301 19780331    28.5
19780401 19780430     2.8
19780501 19780531    65.0
19780601 19780630    72.5
19780701 19780731    32.8
19780801 19780831    49.9
19780901 19780930    78.1
19781001 19781031     8.4
19781101 19781130   112.2
19781201 19781231   102.8
19790101 19790131    52.8
19790201 19790228     9.4
19790301 19790331    37.0
19790401 19790430     4.2
19790501 19790531    38.4
19790601 19790630    75.4
19790701 19790731     4.6
19790801 19790831    17.8
19790901 19790930    59.2
19791001 19791031   110.2
19791101 19791130    39.8
19791201 19791231     4.0
19800101 19800131    74.8
19800201 19800229    11.2
19800301 19800331    14.0
19800401 19800430     2.2
19800501 19800531    34.3
19800601 19800630     6.6
19800701 19800731    15.7
19800801 19800831     8.2
19800901 19800930     0.0
19801001 19801031    16.0
19801101 19801130     0.0
19801201 19801231   127.3
19810101 19810131     2.4
19810201 19810228    45.7
19810301 19810331     0.0
19810401 19810430    22.8
19810501 19810531    51.0
19810601 19810630    46.6
19810701 19810731    53.7
19810801 19810831     2.4
19810901 19810930    16.0
19811001 19811031    65.0
19811101 19811130    48.9
19811201 19811231    11.6
19820101 19820131   127.8
19820201 19820228    15.8
19820301 19820331   148.8
19820401 19820430     0.0
19820501 19820531    11.0
19820601 19820630     3.4
19820701 19820731     7.6
19820801 19820831     0.0
19820901 19820930    13.0
19821001 19821031    53.0
19821101 19821130     0.0
19821201 19821231    70.6
19830101 19830131    46.6
19830201 19830228    25.4
19830301 19830331    82.6
19830401 19830430   110.0
19830501 19830531   287.4
19830601 19830630    65.6
19830701 19830731    17.2
19830801 19830831    36.6
19830901 19830930    45.8
19831001 19831031    29.0
19831101 19831130   136.0
19831201 19831231    36.4
19840101 19840131   221.6
19840201 19840229    63.7
19840301 19840331     5.4
19840401 19840430   205.4
19840501 19840531     0.0
19840601 19840630    34.4
19840701 19840731   146.0
19840801 19840831    19.2
19840901 19840930    34.8
19841001 19841031    38.8
19841101 19841130    56.5
19841201 19841231    16.6
19850101 19850131     6.4
19850201 19850228    37.8
19850301 19850331     8.0
19850401 19850430    17.2
19850501 19850531     1.2
19850601 19850630     7.4
19850701 19850731    85.6
19850801 19850831    78.6
19850901 19850930     4.2
19851001 19851031    49.6
19851101 19851130    97.3
19851201 19851231    67.6
19860101 19860131    54.1
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430    23.2
19860501 19860531    31.0
19860601 19860630     0.0
19860701 19860731    77.2
19860801 19860831    36.2
19860901 19860930    29.4
19861001 19861031    69.6
19861101 19861130    43.2
19861201 19861231    18.2
19870101 19870131   118.8
19870201 19870228    63.4
19870301 19870331    16.4
19870401 19870430     0.0
19870501 19870531    83.4
19870601 19870630    37.6
19870701 19870731    24.0
19870801 19870831   105.2
19870901 19870930     0.0
19871001 19871031    41.2
19871101 19871130    42.0
19871201 19871231    49.8
19880101 19880131    31.4
19880201 19880229    37.0
19880301 19880331     6.0
19880401 19880430   192.4
19880501 19880531    25.4
19880601 19880630     9.6
19880701 19880731    79.6
19880801 19880831    51.8
19880901 19880930    28.4
19881001 19881031     3.1
19881101 19881130    15.0
19881201 19881231    53.4
19890101 19890131    44.2
19890201 19890228    14.0
19890301 19890331    71.2
19890401 19890430   122.8
19890501 19890531    88.9
19890601 19890630    71.8
19890701 19890731    34.1
19890801 19890831    10.8
19890901 19890930     0.0
19891001 19891031    10.6
19891101 19891130    45.0
19891201 19891231    32.4
