PRCP       011010 19110101 20150531 missing_value=99999.9 NOONDOONIA                                
19870701 19870731     6.2
19870801 19870831    12.7
19870901 19870930    13.0
19871001 19871031     9.3
19871101 19871130    16.0
19871201 19871231    10.0
19880101 19880131     8.5
19880201 19880229    17.0
19880301 19880331    18.0
19880401 19880430    72.0
19880501 19880531    70.5
19880601 19880630    14.5
19880701 19880731     9.5
19880801 19880831    16.0
19880901 19880930     0.0
19881001 19881031     7.3
19881101 19881130     3.0
19881201 19881231    81.0
19890101 19890131    16.5
19890201 19890228     6.9
19890301 19890331     0.4
19890401 19890430    23.5
19890501 19890531    43.0
19890601 19890630    37.0
19890701 19890731    10.5
19890801 19890831     4.0
19890901 19890930     3.0
19891001 19891031    14.6
19891101 19891130    11.6
19891201 19891231     5.5
19900101 19900131    46.5
19900201 19900228     4.8
19900301 19900331    24.2
19900401 19900430    16.6
19900501 19900531    33.0
19900601 19900630    36.8
19900701 19900731    22.7
19900801 19900831    14.4
19900901 19900930    10.4
19901001 19901031    43.1
19901101 19901130     0.4
19901201 19901231     9.6
19910101 19910131     3.0
19910201 19910228     0.0
19910301 19910331     0.4
19910401 19910430    13.4
19910501 19910531    14.4
19910601 19910630    38.4
19910701 19910731    19.4
19910801 19910831    13.6
19910901 19910930     7.6
19911001 19911031    25.5
19911101 19911130    22.8
19911201 19911231    82.4
19920101 19920131    19.6
19920201 19920229    89.2
19920301 19920331   108.1
19920401 19920430    43.6
19920501 19920531    75.2
19920601 19920630    53.7
19920701 19920731     8.6
19920801 19920831    50.1
19920901 19920930    50.8
19921001 19921031    23.2
19921101 19921130    22.8
19921201 19921231    22.5
19930101 19930131     7.0
19930201 19930228    84.6
19930301 19930331    34.8
19930401 19930430    14.4
19930501 19930531    53.6
19930601 19930630    28.3
19930701 19930731    16.5
19930801 19930831    41.6
19930901 19930930    22.0
19931001 19931031    17.7
19931101 19931130   125.8
19931201 19931231    19.0
19940101 19940131     2.8
19940201 19940228    27.6
19940301 19940331    17.2
19940401 19940430     0.0
19940501 19940531    11.8
19940601 19940630    19.0
19940701 19940731     2.0
19940801 19940831    17.6
19940901 19940930    12.2
19941001 19941031    24.0
19941101 19941130     2.1
19941201 19941231    42.6
19950101 19950131    35.4
19950201 19950228   157.9
19950301 19950331     4.5
19950401 19950430    26.3
19950501 19950531    23.5
19950601 19950630    40.9
19950701 19950731    48.6
19950801 19950831     2.5
19950901 19950930    12.1
19951001 19951031    16.7
19951101 19951130    14.6
19951201 19951231    34.4
19960101 19960131     0.0
19960201 19960229     6.8
19960301 19960331    48.2
19960401 19960430    46.0
19960501 19960531     9.2
19960601 19960630    52.7
19960701 19960731    47.6
19960801 19960831    20.9
19960901 19960930    23.9
19961001 19961031    23.1
19961101 19961130     6.0
19961201 19961231     2.0
19970101 19970131    40.4
19970201 19970228    51.5
19970301 19970331    11.1
19970401 19970430     2.8
19970501 19970531    47.2
19970601 19970630    12.7
19970701 19970731    23.2
19970801 19970831    28.0
19970901 19970930    39.8
19971001 19971031     8.5
19971101 19971130    26.0
19971201 19971231    15.2
19980101 19980131     0.8
19980201 19980228     1.0
19980301 19980331     5.6
19980401 19980430    61.0
19980501 19980531    32.8
19980601 19980630    49.3
19980701 19980731    46.6
19980801 19980831    29.4
19980901 19980930    23.2
19981001 19981031     9.7
19981101 19981130    42.0
19981201 19981231     7.4
19990101 19990131    32.2
19990201 19990228     6.2
19990301 19990331   140.2
19990401 19990430    10.8
19990501 19990531    22.6
19990601 19990630     7.5
19990701 19990731    19.8
19990801 19990831 99999.9
19990901 19990930 99999.9
19991001 19991031 99999.9
19991101 19991130 99999.9
19991201 19991231 99999.9
20000101 20000131 99999.9
20000201 20000229 99999.9
20000301 20000331 99999.9
20000401 20000430 99999.9
20000501 20000531 99999.9
20000601 20000630 99999.9
20000701 20000731 99999.9
20000801 20000831 99999.9
20000901 20000930 99999.9
20001001 20001031 99999.9
20001101 20001130 99999.9
20001201 20001231 99999.9
20010101 20010131    22.8
20010201 20010228   229.8
20010301 20010331    13.8
20010401 20010430     0.0
20010501 20010531    18.2
20010601 20010630    25.4
20010701 20010731    16.7
20010801 20010831    11.2
20010901 20010930    23.2
20011001 20011031     7.5
20011101 20011130     9.6
20011201 20011231    29.2
20020101 20020131    16.0
20020201 20020228    11.2
20020301 20020331    12.0
20020401 20020430    17.5
20020501 20020531    15.2
20020601 20020630    12.4
20020701 20020731    10.6
20020801 20020831    15.4
20020901 20020930     5.0
20021001 20021031     0.0
20021101 20021130     7.6
20021201 20021231    52.4
20030101 20030131     5.3
20030201 20030228    19.4
20030301 20030331     6.4
20030401 20030430     1.6
20030501 20030531    59.8
20030601 20030630     6.4
20030701 20030731    15.8
20030801 20030831    20.2
20030901 20030930    55.9
20031001 20031031     0.0
20031101 20031130    60.6
