PRCP       038002 18980101 20171130 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     1.8
19461101 19461130     1.0
19461201 19461231     3.9
19470101 19470131     0.0
19470201 19470228    52.3
19470301 19470331    27.9
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    47.0
19470901 19470930    86.1
19471001 19471031     5.4
19471101 19471130    15.3
19471201 19471231     6.8
19480101 19480131    10.2
19480201 19480229   182.9
19480301 19480331     1.3
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231    76.7
19490101 19490131    76.2
19490201 19490228    62.0
19490301 19490331   145.6
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    17.8
19491001 19491031    27.4
19491101 19491130     7.7
19491201 19491231     0.0
19500101 19500131     3.8
19500201 19500228     0.0
19500301 19500331   166.7
19500401 19500430     0.5
19500501 19500531    15.5
19500601 19500630    27.2
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     8.6
19501001 19501031    16.4
19501101 19501130    40.8
19501201 19501231   109.0
19510101 19510131     0.0
19510201 19510228    15.8
19510301 19510331     0.0
19510401 19510430     2.1
19510501 19510531     0.5
19510601 19510630    19.9
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     9.1
19511001 19511031     0.0
19511101 19511130     2.8
19511201 19511231     6.4
19520101 19520131    10.7
19520201 19520229     1.0
19520301 19520331     0.0
19520401 19520430     8.9
19520501 19520531    37.1
19520601 19520630     2.3
19520701 19520731    25.3
19520801 19520831     1.6
19520901 19520930     4.1
19521001 19521031    96.9
19521101 19521130     4.8
19521201 19521231     0.0
19530101 19530131    39.7
19530201 19530228    32.0
19530301 19530331    13.5
19530401 19530430    59.2
19530501 19530531     1.8
19530601 19530630     0.0
19530701 19530731     3.3
19530801 19530831     0.6
19530901 19530930     5.8
19531001 19531031     1.3
19531101 19531130     5.8
19531201 19531231     2.2
19540101 19540131     9.1
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     5.4
19540501 19540531     0.5
19540601 19540630    16.7
19540701 19540731     1.6
19540801 19540831     5.0
19540901 19540930     0.0
19541001 19541031    12.7
19541101 19541130     1.0
19541201 19541231    20.6
19550101 19550131     0.0
19550201 19550228    56.7
19550301 19550331   111.2
19550401 19550430     0.8
19550501 19550531    56.3
19550601 19550630    10.0
19550701 19550731    56.6
19550801 19550831     7.6
19550901 19550930     6.4
19551001 19551031    76.9
19551101 19551130     2.3
19551201 19551231     0.0
19560101 19560131     8.1
19560201 19560229    42.7
19560301 19560331   109.1
19560401 19560430     0.0
19560501 19560531    13.7
19560601 19560630    17.8
19560701 19560731    80.8
19560801 19560831     0.0
19560901 19560930     6.1
19561001 19561031    14.2
19561101 19561130     6.1
19561201 19561231    10.0
19570101 19570131    32.0
19570201 19570228    31.8
19570301 19570331    11.2
19570401 19570430     4.1
19570501 19570531     0.0
19570601 19570630    22.6
19570701 19570731     2.8
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    20.9
19571101 19571130     0.0
19571201 19571231     5.3
19580101 19580131    15.5
19580201 19580228    55.1
19580301 19580331     0.0
19580401 19580430    11.7
19580501 19580531    12.7
