PRCP       065022 18880501 20180131 missing_value=99999.9 MANILDRA (HAZELDALE)                      
19560301 19560331   175.9
19560401 19560430    85.1
19560501 19560531    97.0
19560601 19560630   102.0
19560701 19560731   124.3
19560801 19560831    94.5
19560901 19560930    66.8
19561001 19561031   110.5
19561101 19561130    21.6
19561201 19561231     1.0
19570101 19570131    16.8
19570201 19570228    27.8
19570301 19570331    25.4
19570401 19570430    30.8
19570501 19570531     6.1
19570601 19570630    19.2
19570701 19570731    60.0
19570801 19570831    33.4
19570901 19570930     4.3
19571001 19571031     8.9
19571101 19571130    23.9
19571201 19571231    58.8
19580101 19580131   114.1
19580201 19580228    22.8
19580301 19580331    68.6
19580401 19580430    41.2
19580501 19580531    44.2
19580601 19580630    26.1
19580701 19580731    45.3
19580801 19580831    75.2
19580901 19580930    55.2
19581001 19581031    91.2
19581101 19581130    18.1
19581201 19581231    66.7
19590101 19590131    55.1
19590201 19590228   174.0
19590301 19590331   126.0
19590401 19590430   137.1
19590501 19590531    14.5
19590601 19590630    73.7
19590701 19590731   103.9
19590801 19590831    16.1
19590901 19590930    27.1
19591001 19591031    35.9
19591101 19591130    26.9
19591201 19591231    26.9
19600101 19600131    36.2
19600201 19600229    56.3
19600301 19600331    20.4
19600401 19600430    54.0
19600501 19600531    88.3
19600601 19600630    20.6
19600701 19600731   114.0
19600801 19600831   100.9
19600901 19600930   134.2
19601001 19601031    41.2
19601101 19601130    60.6
19601201 19601231   116.6
19610101 19610131    47.8
19610201 19610228    27.9
19610301 19610331    37.2
19610401 19610430    67.3
19610501 19610531    18.3
19610601 19610630    55.0
19610701 19610731    92.2
19610801 19610831    93.2
19610901 19610930    19.9
19611001 19611031    44.7
19611101 19611130   158.5
19611201 19611231    62.2
19620101 19620131   108.5
19620201 19620228    48.0
19620301 19620331    11.7
19620401 19620430     9.1
19620501 19620531   142.5
19620601 19620630    33.4
19620701 19620731    42.4
19620801 19620831    72.3
19620901 19620930    55.1
19621001 19621031    30.9
19621101 19621130    26.2
19621201 19621231   296.1
19630101 19630131    85.9
19630201 19630228    68.7
19630301 19630331    99.6
19630401 19630430    26.7
19630501 19630531   116.3
19630601 19630630    71.0
19630701 19630731   105.5
19630801 19630831    51.5
19630901 19630930    40.0
19631001 19631031    39.2
19631101 19631130    48.4
19631201 19631231    55.9
19640101 19640131    36.5
19640201 19640229    24.7
19640301 19640331    40.1
19640401 19640430    49.2
19640501 19640531    72.4
19640601 19640630    85.1
19640701 19640731    71.3
19640801 19640831    38.3
19640901 19640930    95.1
19641001 19641031    95.8
19641101 19641130    40.9
19641201 19641231    27.7
19650101 19650131     0.0
19650201 19650228     3.6
19650301 19650331    14.0
19650401 19650430    34.7
19650501 19650531    41.6
19650601 19650630    14.0
19650701 19650731    37.5
19650801 19650831    36.0
19650901 19650930    42.6
19651001 19651031    88.7
19651101 19651130    35.3
19651201 19651231   147.6
19660101 19660131    27.6
19660201 19660228    17.8
19660301 19660331   102.2
19660401 19660430    19.5
19660501 19660531    48.1
19660601 19660630    28.9
19660701 19660731    29.8
19660801 19660831    98.8
19660901 19660930    43.2
19661001 19661031   145.4
19661101 19661130    69.8
19661201 19661231   104.0
19670101 19670131    31.6
19670201 19670228    33.3
19670301 19670331    35.1
19670401 19670430     4.1
19670501 19670531    38.1
19670601 19670630    56.2
19670701 19670731    21.1
19670801 19670831   134.0
19670901 19670930    31.8
19671001 19671031    39.8
19671101 19671130    27.2
19671201 19671231    13.0
19680101 19680131   157.5
19680201 19680229     3.3
19680301 19680331    70.9
19680401 19680430    52.6
19680501 19680531   132.9
19680601 19680630    19.0
19680701 19680731    48.0
19680801 19680831    58.1
19680901 19680930    20.6
19681001 19681031    59.6
19681101 19681130    37.1
19681201 19681231    90.4
19690101 19690131    31.5
19690201 19690228   105.3
19690301 19690331   181.1
19690401 19690430    91.6
19690501 19690531    98.0
19690601 19690630    28.7
19690701 19690731    74.5
19690801 19690831    76.2
19690901 19690930    53.6
19691001 19691031    88.9
19691101 19691130    71.1
19691201 19691231    51.1
19700101 19700131    58.7
19700201 19700228    24.6
19700301 19700331    39.2
19700401 19700430    54.6
19700501 19700531    69.2
19700601 19700630    24.4
19700701 19700731     9.4
19700801 19700831    75.5
19700901 19700930   116.3
19701001 19701031    82.5
19701101 19701130    86.4
19701201 19701231   104.5
19710101 19710131   108.0
19710201 19710228    97.3
19710301 19710331    46.8
19710401 19710430    21.4
19710501 19710531    27.6
19710601 19710630    14.5
19710701 19710731    69.0
19710801 19710831    71.2
19710901 19710930    57.0
19711001 19711031     8.1
19711101 19711130   124.6
19711201 19711231    88.9
19720101 19720131   212.2
19720201 19720229    56.9
19720301 19720331    17.7
19720401 19720430    25.4
19720501 19720531    31.8
19720601 19720630     0.3
19720701 19720731    14.4
19720801 19720831    57.1
19720901 19720930    13.4
19721001 19721031    58.9
19721101 19721130    61.7
19721201 19721231    16.6
19730101 19730131    58.7
19730201 19730228   280.3
19730301 19730331    37.6
19730401 19730430    59.6
19730501 19730531    46.7
19730601 19730630    83.0
19730701 19730731    51.7
19730801 19730831    94.5
19730901 19730930    37.1
19731001 19731031   107.9
19731101 19731130   121.8
19731201 19731231   138.5
19740101 19740131   178.8
19740201 19740228    92.6
19740301 19740331    12.0
19740401 19740430   117.0
19740501 19740531    63.2
19740601 19740630    33.2
19740701 19740731    88.8
19740801 19740831    64.6
19740901 19740930    90.2
19741001 19741031    81.8
19741101 19741130    21.0
19741201 19741231     0.2
19750101 19750131    32.8
19750201 19750228    72.0
19750301 19750331    29.0
19750401 19750430    11.8
19750501 19750531    21.0
19750601 19750630    61.8
19750701 19750731    31.0
19750801 19750831    76.2
19750901 19750930    86.6
19751001 19751031   119.6
19751101 19751130     9.0
19751201 19751231    42.0
19760101 19760131   197.8
19760201 19760229   148.8
