PRCP       010126 19100101 20180131 missing_value=99999.9 TRAYNING                                  
19501001 19501031    15.7
19501101 19501130     1.5
19501201 19501231     0.0
19510101 19510131    22.1
19510201 19510228    58.7
19510301 19510331     7.4
19510401 19510430    45.9
19510501 19510531    18.5
19510601 19510630    72.8
19510701 19510731    54.3
19510801 19510831    31.1
19510901 19510930    10.5
19511001 19511031     6.4
19511101 19511130     0.5
19511201 19511231    22.9
19520101 19520131    17.5
19520201 19520229     2.3
19520301 19520331     4.3
19520401 19520430     4.5
19520501 19520531    44.5
19520601 19520630    22.3
19520701 19520731    46.1
19520801 19520831    13.2
19520901 19520930    18.4
19521001 19521031    24.6
19521101 19521130     1.9
19521201 19521231    35.6
19530101 19530131     0.5
19530201 19530228    16.0
19530301 19530331   140.2
19530401 19530430    28.9
19530501 19530531    70.3
19530601 19530630    64.2
19530701 19530731    70.1
19530801 19530831    28.5
19530901 19530930     3.3
19531001 19531031     7.5
19531101 19531130     4.1
19531201 19531231     7.1
19540101 19540131     7.2
19540201 19540228     0.8
19540301 19540331     0.0
19540401 19540430    11.7
19540501 19540531    75.3
19540601 19540630    18.6
19540701 19540731    36.2
19540801 19540831    83.5
19540901 19540930    20.1
19541001 19541031     3.9
19541101 19541130     3.8
19541201 19541231     4.8
19550101 19550131     2.0
19550201 19550228    77.3
19550301 19550331     5.4
19550401 19550430     8.2
19550501 19550531    30.7
19550601 19550630    25.1
19550701 19550731    42.2
19550801 19550831    72.4
19550901 19550930    43.9
19551001 19551031    16.6
19551101 19551130    12.2
19551201 19551231     0.3
19560101 19560131     0.0
19560201 19560229     5.1
19560301 19560331     1.3
19560401 19560430     4.9
19560501 19560531    78.1
19560601 19560630    61.2
19560701 19560731    65.1
19560801 19560831     2.6
19560901 19560930     6.1
19561001 19561031    27.1
19561101 19561130    52.3
19561201 19561231     0.3
19570101 19570131    21.5
19570201 19570228     0.3
19570301 19570331    14.5
19570401 19570430    10.9
19570501 19570531    43.9
19570601 19570630    94.8
19570701 19570731    12.4
19570801 19570831    36.6
19570901 19570930     6.1
19571001 19571031     2.3
19571101 19571130     0.5
19571201 19571231     0.0
19580101 19580131     0.8
19580201 19580228     0.0
19580301 19580331     9.6
19580401 19580430     2.8
19580501 19580531    90.4
19580601 19580630    44.8
19580701 19580731   111.3
19580801 19580831    37.4
19580901 19580930    69.3
19581001 19581031     9.4
19581101 19581130    15.3
19581201 19581231    22.2
19590101 19590131     2.1
19590201 19590228     0.8
19590301 19590331    32.3
19590401 19590430     5.1
19590501 19590531     6.3
19590601 19590630    74.2
19590701 19590731    24.0
19590801 19590831    51.2
19590901 19590930    17.3
19591001 19591031    11.4
19591101 19591130    16.0
19591201 19591231     0.0
19600101 19600131    19.6
19600201 19600229     9.0
19600301 19600331    30.5
19600401 19600430     7.9
19600501 19600531    50.1
19600601 19600630    22.7
19600701 19600731   102.8
19600801 19600831     6.7
19600901 19600930    35.5
19601001 19601031     1.8
19601101 19601130     7.4
19601201 19601231     3.0
19610101 19610131    59.7
19610201 19610228     7.6
19610301 19610331    20.3
19610401 19610430    53.8
19610501 19610531     9.9
19610601 19610630    73.4
19610701 19610731    38.0
19610801 19610831    26.9
19610901 19610930     7.6
19611001 19611031     8.2
19611101 19611130     0.0
19611201 19611231     6.3
19620101 19620131    20.6
19620201 19620228     7.9
19620301 19620331    13.3
19620401 19620430     3.0
19620501 19620531    75.8
19620601 19620630    52.4
19620701 19620731    45.5
19620801 19620831    20.2
19620901 19620930    20.9
19621001 19621031    17.0
19621101 19621130     4.1
19621201 19621231    24.3
19630101 19630131    33.2
19630201 19630228    39.1
19630301 19630331    57.8
19630401 19630430    19.3
19630501 19630531   103.2
19630601 19630630    77.0
19630701 19630731    96.9
19630801 19630831   110.5
19630901 19630930    12.0
19631001 19631031     1.5
19631101 19631130     8.0
19631201 19631231    15.7
19640101 19640131     3.5
19640201 19640229    11.3
19640301 19640331    11.0
19640401 19640430    14.9
19640501 19640531     1.0
19640601 19640630    85.9
19640701 19640731    92.2
19640801 19640831    45.5
19640901 19640930    11.1
19641001 19641031    14.5
19641101 19641130    16.1
19641201 19641231     5.1
19650101 19650131     1.3
19650201 19650228     1.5
19650301 19650331     4.6
19650401 19650430    13.0
19650501 19650531    69.9
19650601 19650630   111.6
19650701 19650731    75.6
19650801 19650831    62.5
19650901 19650930    11.8
19651001 19651031    24.8
19651101 19651130    46.2
19651201 19651231    15.0
19660101 19660131     6.6
19660201 19660228    11.4
19660301 19660331     0.0
19660401 19660430    69.7
19660501 19660531     4.5
19660601 19660630    71.4
19660701 19660731    51.4
19660801 19660831    27.1
19660901 19660930    27.3
19661001 19661031    44.9
19661101 19661130    12.2
19661201 19661231     0.8
19670101 19670131    39.3
19670201 19670228     0.0
19670301 19670331     0.0
19670401 19670430    10.9
19670501 19670531    62.5
19670601 19670630    48.5
19670701 19670731    49.4
19670801 19670831    20.8
19670901 19670930     8.8
19671001 19671031    20.6
19671101 19671130     5.7
19671201 19671231     4.1
19680101 19680131    61.0
19680201 19680229    12.3
19680301 19680331    50.4
19680401 19680430    26.4
19680501 19680531    23.1
19680601 19680630   147.8
19680701 19680731    31.2
19680801 19680831    22.8
19680901 19680930    38.4
19681001 19681031    11.9
19681101 19681130     0.0
19681201 19681231     8.9
19690101 19690131     1.5
19690201 19690228     0.5
19690301 19690331    17.8
19690401 19690430    17.2
19690501 19690531    21.1
19690601 19690630    37.6
19690701 19690731    19.3
19690801 19690831     6.2
19690901 19690930    13.2
19691001 19691031     0.0
19691101 19691130     4.6
19691201 19691231     2.6
19700101 19700131     0.8
19700201 19700228   101.9
19700301 19700331     2.6
19700401 19700430    29.1
19700501 19700531    26.8
19700601 19700630    80.5
19700701 19700731    22.6
19700801 19700831    17.8
19700901 19700930    59.4
19701001 19701031    11.9
19701101 19701130    19.1
19701201 19701231     5.6
19710101 19710131    10.4
19710201 19710228    21.1
19710301 19710331   157.5
19710401 19710430     9.1
19710501 19710531    10.7
19710601 19710630    22.8
19710701 19710731    24.0
19710801 19710831    29.2
19710901 19710930    23.6
19711001 19711031    17.1
19711101 19711130    28.7
19711201 19711231     1.3
19720101 19720131     0.0
19720201 19720229     1.8
19720301 19720331     1.6
19720401 19720430     4.9
19720501 19720531    19.6
19720601 19720630    84.0
19720701 19720731    77.0
19720801 19720831    40.0
19720901 19720930     9.9
19721001 19721031     7.1
19721101 19721130    15.8
19721201 19721231     1.5
19730101 19730131    35.0
19730201 19730228     8.2
19730301 19730331     0.0
19730401 19730430    13.2
19730501 19730531    22.2
19730601 19730630    59.6
19730701 19730731    64.7
19730801 19730831    55.3
19730901 19730930    47.1
19731001 19731031    17.3
19731101 19731130    23.9
19731201 19731231     0.0
19740101 19740131     0.0
19740201 19740228     0.4
19740301 19740331    37.4
19740401 19740430   114.2
19740501 19740531    94.8
19740601 19740630    45.4
19740701 19740731    49.8
19740801 19740831    53.5
19740901 19740930    25.0
19741001 19741031    18.4
19741101 19741130    41.8
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     2.6
19750301 19750331    18.2
19750401 19750430    54.0
19750501 19750531    43.8
19750601 19750630    31.4
19750701 19750731    60.2
19750801 19750831    23.6
19750901 19750930    46.2
19751001 19751031    55.4
19751101 19751130     1.4
19751201 19751231    27.8
19760101 19760131    10.4
19760201 19760229    20.8
19760301 19760331     0.0
19760401 19760430    31.6
19760501 19760531    31.0
19760601 19760630    19.0
19760701 19760731    21.3
19760801 19760831    60.2
19760901 19760930    15.1
19761001 19761031    34.6
19761101 19761130    15.8
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     0.8
19770301 19770331     6.8
19770401 19770430    16.0
19770501 19770531    34.0
19770601 19770630    38.4
19770701 19770731    10.0
19770801 19770831    44.8
19770901 19770930     2.2
19771001 19771031    34.6
19771101 19771130    13.6
19771201 19771231    15.2
19780101 19780131    49.4
19780201 19780228    27.4
19780301 19780331     0.2
19780401 19780430    17.0
19780501 19780531    18.4
19780601 19780630    32.0
19780701 19780731    70.2
19780801 19780831    19.8
19780901 19780930    25.8
19781001 19781031    12.0
19781101 19781130    14.6
19781201 19781231    76.4
19790101 19790131     3.5
19790201 19790228    31.6
19790301 19790331    14.6
19790401 19790430    10.8
19790501 19790531    24.2
19790601 19790630    45.4
19790701 19790731    19.4
19790801 19790831    64.4
19790901 19790930     7.8
19791001 19791031     0.6
19791101 19791130    18.2
19791201 19791231     2.8
19800101 19800131    18.2
19800201 19800229    15.4
19800301 19800331     1.4
19800401 19800430    26.8
19800501 19800531    39.3
19800601 19800630    29.6
19800701 19800731    33.0
19800801 19800831    25.8
19800901 19800930     4.0
19801001 19801031    11.0
19801101 19801130     3.1
19801201 19801231     2.4
19810101 19810131     4.9
19810201 19810228    34.9
19810301 19810331     3.4
19810401 19810430    11.0
19810501 19810531   107.0
19810601 19810630    49.0
19810701 19810731    40.5
19810801 19810831    39.3
19810901 19810930    11.2
19811001 19811031    19.6
19811101 19811130    40.7
19811201 19811231    12.6
19820101 19820131    40.0
19820201 19820228     1.0
19820301 19820331     7.9
19820401 19820430     0.8
19820501 19820531    22.6
19820601 19820630    58.2
19820701 19820731    25.1
19820801 19820831    58.8
19820901 19820930    35.3
19821001 19821031    18.4
19821101 19821130    17.1
19821201 19821231     8.4
19830101 19830131     0.0
