PRCP       018069 18820101 20180131 missing_value=99999.9 ELLISTON                                  
19400301 19400331    16.8
19400401 19400430    93.1
19400501 19400531    42.4
19400601 19400630    23.6
19400701 19400731   103.2
19400801 19400831    17.3
19400901 19400930    39.8
19401001 19401031    30.2
19401101 19401130    31.1
19401201 19401231     1.0
19410101 19410131    40.9
19410201 19410228     3.1
19410301 19410331    56.2
19410401 19410430    14.3
19410501 19410531    12.0
19410601 19410630    33.6
19410701 19410731    93.6
19410801 19410831    37.0
19410901 19410930    78.2
19411001 19411031    38.4
19411101 19411130    25.7
19411201 19411231     0.0
19420101 19420131    15.7
19420201 19420228     7.9
19420301 19420331     6.6
19420401 19420430     4.6
19420501 19420531    53.3
19420601 19420630   136.9
19420701 19420731    79.7
19420801 19420831    61.2
19420901 19420930    59.8
19421001 19421031    17.0
19421101 19421130    41.7
19421201 19421231    19.3
19430101 19430131     5.6
19430201 19430228    33.0
19430301 19430331     0.0
19430401 19430430    43.9
19430501 19430531    18.1
19430601 19430630    88.5
19430701 19430731   119.1
19430801 19430831    97.2
19430901 19430930    29.8
19431001 19431031    43.9
19431101 19431130     4.6
19431201 19431231    13.5
19440101 19440131     0.0
19440201 19440229     6.1
19440301 19440331     2.8
19440401 19440430    34.3
19440501 19440531    96.3
19440601 19440630    17.8
19440701 19440731    86.2
19440801 19440831    23.3
19440901 19440930    20.6
19441001 19441031    31.4
19441101 19441130    25.8
19441201 19441231     7.2
19450101 19450131    11.2
19450201 19450228     4.5
19450301 19450331     0.0
19450401 19450430     5.4
19450501 19450531    25.6
19450601 19450630    57.2
19450701 19450731    20.9
19450801 19450831    50.5
19450901 19450930    48.0
19451001 19451031    31.5
19451101 19451130    48.8
19451201 19451231    39.1
19460101 19460131    17.5
19460201 19460228    50.1
19460301 19460331    14.9
19460401 19460430    29.7
19460501 19460531    41.9
19460601 19460630    77.0
19460701 19460731    86.6
19460801 19460831    32.1
19460901 19460930    10.6
19461001 19461031    13.2
19461101 19461130    30.7
19461201 19461231    59.1
19470101 19470131     1.8
19470201 19470228    19.3
19470301 19470331    15.7
19470401 19470430    19.3
19470501 19470531    43.4
19470601 19470630    62.9
19470701 19470731   127.1
19470801 19470831    51.8
19470901 19470930    54.9
19471001 19471031    79.1
19471101 19471130    22.0
19471201 19471231    18.1
19480101 19480131     2.8
19480201 19480229     5.6
19480301 19480331     2.6
19480401 19480430    21.1
19480501 19480531    90.4
19480601 19480630    60.8
19480701 19480731    54.5
19480801 19480831    43.2
19480901 19480930    16.5
19481001 19481031    28.2
19481101 19481130    53.8
19481201 19481231    14.4
19490101 19490131     4.1
19490201 19490228    23.3
19490301 19490331     2.3
19490401 19490430    10.7
19490501 19490531    45.3
19490601 19490630    29.0
19490701 19490731    85.6
19490801 19490831    26.4
19490901 19490930    58.2
19491001 19491031    71.4
19491101 19491130    45.0
19491201 19491231     8.4
19500101 19500131     3.8
19500201 19500228     3.5
19500301 19500331     0.0
19500401 19500430     7.3
19500501 19500531    35.5
19500601 19500630    62.1
19500701 19500731    94.3
19500801 19500831   105.3
19500901 19500930    25.3
19501001 19501031    73.5
19501101 19501130    11.2
19501201 19501231    22.1
19510101 19510131     0.5
19510201 19510228     0.0
19510301 19510331    16.2
19510401 19510430    42.8
19510501 19510531   102.6
19510601 19510630    71.2
19510701 19510731   159.0
19510801 19510831    89.1
19510901 19510930    30.9
19511001 19511031    44.5
19511101 19511130     1.8
19511201 19511231    16.3
19520101 19520131     3.1
19520201 19520229     5.9
19520301 19520331     0.8
19520401 19520430    58.6
19520501 19520531   148.7
19520601 19520630    30.2
19520701 19520731    55.6
19520801 19520831    48.0
19520901 19520930    36.5
19521001 19521031    22.9
19521101 19521130    46.3
19521201 19521231    22.4
19530101 19530131     3.0
19530201 19530228    11.7
19530301 19530331     8.9
19530401 19530430    21.4
19530501 19530531    22.1
19530601 19530630   111.9
19530701 19530731    64.3
19530801 19530831    76.8
19530901 19530930    40.1
19531001 19531031    27.0
19531101 19531130    19.3
19531201 19531231    52.2
19540101 19540131    14.7
19540201 19540228     0.0
19540301 19540331     1.5
19540401 19540430    66.6
19540501 19540531    30.6
19540601 19540630    66.5
19540701 19540731    55.7
19540801 19540831    19.3
19540901 19540930    23.0
19541001 19541031    24.8
19541101 19541130    18.6
19541201 19541231    39.9
19550101 19550131     1.3
19550201 19550228     8.4
19550301 19550331    12.2
19550401 19550430    23.2
19550501 19550531    38.0
19550601 19550630   129.4
19550701 19550731    44.6
19550801 19550831    98.3
19550901 19550930    28.6
19551001 19551031    30.7
19551101 19551130    34.8
19551201 19551231     9.5
19560101 19560131     7.7
19560201 19560229     4.8
19560301 19560331    10.1
19560401 19560430    47.1
19560501 19560531   103.7
19560601 19560630   193.5
19560701 19560731   102.6
19560801 19560831    53.3
19560901 19560930    46.3
