PRCP       024535 18980801 20161231 missing_value=99999.9 SWAN REACH                                
19380901 19380930     1.3
19381001 19381031     7.7
19381101 19381130     5.8
19381201 19381231     0.5
19390101 19390131    11.1
19390201 19390228    46.7
19390301 19390331     0.0
19390401 19390430    15.8
19390501 19390531    25.7
19390601 19390630    31.8
19390701 19390731    23.3
19390801 19390831    27.1
19390901 19390930     2.6
19391001 19391031     9.4
19391101 19391130    60.5
19391201 19391231     2.3
19400101 19400131    18.6
19400201 19400229     3.4
19400301 19400331     4.3
19400401 19400430    38.3
19400501 19400531     9.4
19400601 19400630     1.8
19400701 19400731    17.3
19400801 19400831     9.1
19400901 19400930    15.6
19401001 19401031     7.4
19401101 19401130     4.8
19401201 19401231    11.2
19410101 19410131   103.6
19410201 19410228     8.9
19410301 19410331    38.4
19410401 19410430    20.7
19410501 19410531     2.8
19410601 19410630    52.6
19410701 19410731    36.0
19410801 19410831    25.5
19410901 19410930    25.6
19411001 19411031    57.8
19411101 19411130    19.1
19411201 19411231     6.9
19420101 19420131    23.8
19420201 19420228     3.0
19420301 19420331     0.0
19420401 19420430    54.2
19420501 19420531    69.6
19420601 19420630    34.5
19420701 19420731    43.8
19420801 19420831    33.4
19420901 19420930    42.4
19421001 19421031    16.9
19421101 19421130    29.1
19421201 19421231    11.9
19430101 19430131     6.3
19430201 19430228    32.5
19430301 19430331     2.1
19430401 19430430    16.7
19430501 19430531     9.7
19430601 19430630    13.0
19430701 19430731    13.2
19430801 19430831    21.6
19430901 19430930    21.5
19431001 19431031    17.8
19431101 19431130     4.2
19431201 19431231    21.6
19440101 19440131     0.6
19440201 19440229     7.0
19440301 19440331     2.6
19440401 19440430    10.5
19440501 19440531    17.0
19440601 19440630     6.0
19440701 19440731    18.7
19440801 19440831     2.9
19440901 19440930     5.7
19441001 19441031    10.5
19441101 19441130    26.6
19441201 19441231    26.2
19450101 19450131     7.2
19450201 19450228    19.4
19450301 19450331     0.5
19450401 19450430     0.0
19450501 19450531    26.2
19450601 19450630    42.3
19450701 19450731    12.1
19450801 19450831    22.5
19450901 19450930    15.6
19451001 19451031    37.6
19451101 19451130    28.0
19451201 19451231    30.8
19460101 19460131    34.2
19460201 19460228   109.8
19460301 19460331    24.4
19460401 19460430    13.4
19460501 19460531    22.6
19460601 19460630    19.4
19460701 19460731    35.0
19460801 19460831    11.3
19460901 19460930     5.2
19461001 19461031    17.7
19461101 19461130    33.1
19461201 19461231    54.2
19470101 19470131     1.8
19470201 19470228    33.4
19470301 19470331    98.1
19470401 19470430    15.1
19470501 19470531     3.7
19470601 19470630    27.7
19470701 19470731    46.4
19470801 19470831    21.0
19470901 19470930    42.4
19471001 19471031    34.0
19471101 19471130    25.4
19471201 19471231    21.6
19480101 19480131     6.3
19480201 19480229     8.7
19480301 19480331     3.6
19480401 19480430    60.2
19480501 19480531    13.2
19480601 19480630    14.6
19480701 19480731    15.9
19480801 19480831    16.2
19480901 19480930     4.7
19481001 19481031    31.5
19481101 19481130    28.6
19481201 19481231    23.3
19490101 19490131     7.9
19490201 19490228    31.2
19490301 19490331     0.5
19490401 19490430     0.8
19490501 19490531    53.8
19490601 19490630    19.0
19490701 19490731    26.5
19490801 19490831     9.7
19490901 19490930    12.5
19491001 19491031    42.9
19491101 19491130    13.9
19491201 19491231     1.8
19500101 19500131     0.5
19500201 19500228    59.3
19500301 19500331    40.9
19500401 19500430     3.3
19500501 19500531    59.1
19500601 19500630    32.6
19500701 19500731    19.9
19500801 19500831    28.9
19500901 19500930    21.7
19501001 19501031    25.5
19501101 19501130    12.9
19501201 19501231     9.5
19510101 19510131     7.4
19510201 19510228     9.1
19510301 19510331    24.4
19510401 19510430    15.9
19510501 19510531    34.1
19510601 19510630    85.0
19510701 19510731    42.7
19510801 19510831    63.3
19510901 19510930     7.1
19511001 19511031    43.1
19511101 19511130     1.6
19511201 19511231    10.7
19520101 19520131    76.9
19520201 19520229     4.6
19520301 19520331     1.8
19520401 19520430    23.2
19520501 19520531    61.1
19520601 19520630    16.9
19520701 19520731    18.3
19520801 19520831    23.2
19520901 19520930    27.5
19521001 19521031    51.2
19521101 19521130    24.4
19521201 19521231     3.3
19530101 19530131    20.0
19530201 19530228     0.3
19530301 19530331     0.5
19530401 19530430     6.5
19530501 19530531     6.1
19530601 19530630    37.3
19530701 19530731    22.6
19530801 19530831    25.0
19530901 19530930    20.8
19531001 19531031    36.1
19531101 19531130    13.7
19531201 19531231    43.5
19540101 19540131    22.1
19540201 19540228     0.3
19540301 19540331     1.0
19540401 19540430    80.6
19540501 19540531     2.0
19540601 19540630    42.8
19540701 19540731    23.5
19540801 19540831    14.9
19540901 19540930     5.3
19541001 19541031    32.5
19541101 19541130    19.8
19541201 19541231    24.9
19550101 19550131     1.3
19550201 19550228    60.7
19550301 19550331    32.0
19550401 19550430    21.9
19550501 19550531    97.4
19550601 19550630    66.3
19550701 19550731     8.7
19550801 19550831    26.8
19550901 19550930    14.3
19551001 19551031    16.5
19551101 19551130    25.2
19551201 19551231    14.2
19560101 19560131     7.4
19560201 19560229     0.0
19560301 19560331    39.7
19560401 19560430    33.9
19560501 19560531    60.7
19560601 19560630    32.7
19560701 19560731    58.8
19560801 19560831    35.2
19560901 19560930    22.6
19561001 19561031    16.7
19561101 19561130     8.1
19561201 19561231     1.3
19570101 19570131     0.3
19570201 19570228     2.1
19570301 19570331     6.6
19570401 19570430     2.1
19570501 19570531     5.7
19570601 19570630    28.3
19570701 19570731    18.9
19570801 19570831     8.1
19570901 19570930    13.8
19571001 19571031    20.9
19571101 19571130     7.9
19571201 19571231    10.7
19580101 19580131     1.3
19580201 19580228     0.0
19580301 19580331    19.3
19580401 19580430    16.8
19580501 19580531    36.9
19580601 19580630     1.8
19580701 19580731    38.0
19580801 19580831    58.9
19580901 19580930    41.7
19581001 19581031    29.3
19581101 19581130    13.2
19581201 19581231     5.7
19590101 19590131     3.8
19590201 19590228    20.6
19590301 19590331    39.1
19590401 19590430     2.6
19590501 19590531     6.4
19590601 19590630     9.7
19590701 19590731    12.0
19590801 19590831    13.5
19590901 19590930    17.3
19591001 19591031    47.8
19591101 19591130     6.1
19591201 19591231     8.8
19600101 19600131     7.6
19600201 19600229    54.0
19600301 19600331    10.4
19600401 19600430    28.3
19600501 19600531    48.0
19600601 19600630    13.9
19600701 19600731    39.5
19600801 19600831    12.0
19600901 19600930    66.9
19601001 19601031     4.4
19601101 19601130    31.2
19601201 19601231    15.5
19610101 19610131     0.8
19610201 19610228    14.5
19610301 19610331     3.5
19610401 19610430    77.5
19610501 19610531    25.4
19610601 19610630     4.7
19610701 19610731    35.1
19610801 19610831    22.6
19610901 19610930    38.1
19611001 19611031     6.9
19611101 19611130    56.2
19611201 19611231    15.5
19620101 19620131    27.4
19620201 19620228     4.3
19620301 19620331    26.9
19620401 19620430     0.3
19620501 19620531    24.1
19620601 19620630    13.3
19620701 19620731    14.8
19620801 19620831    29.8
19620901 19620930     7.5
19621001 19621031    45.9
19621101 19621130     2.8
19621201 19621231    38.8
19630101 19630131    21.3
19630201 19630228     4.8
19630301 19630331     1.8
19630401 19630430    45.7
19630501 19630531    61.6
19630601 19630630    52.2
19630701 19630731    33.8
19630801 19630831    37.4
19630901 19630930     9.2
19631001 19631031    26.1
19631101 19631130     2.6
19631201 19631231     0.5
19640101 19640131    16.0
19640201 19640229    16.0
19640301 19640331     3.8
19640401 19640430    54.9
19640501 19640531    18.4
19640601 19640630    13.8
19640701 19640731    40.7
19640801 19640831    22.2
19640901 19640930    73.5
19641001 19641031    31.9
19641101 19641130    31.3
19641201 19641231    38.1
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     3.0
19650401 19650430    10.2
19650501 19650531    28.1
19650601 19650630    26.9
19650701 19650731    28.3
19650801 19650831    44.1
19650901 19650930    23.1
19651001 19651031     2.6
19651101 19651130    24.5
19651201 19651231     4.6
19660101 19660131    10.2
19660201 19660228    23.2
19660301 19660331     8.5
19660401 19660430     4.9
19660501 19660531    16.4
19660601 19660630    25.7
19660701 19660731    31.3
19660801 19660831     5.0
19660901 19660930    25.7
19661001 19661031    14.1
19661101 19661130     3.9
19661201 19661231   108.0
19670101 19670131     3.9
19670201 19670228     8.5
19670301 19670331    13.0
19670401 19670430     2.8
19670501 19670531    21.1
19670601 19670630     5.2
19670701 19670731    13.8
19670801 19670831    15.8
19670901 19670930     6.3
19671001 19671031     6.5
19671101 19671130     0.0
19671201 19671231     5.9
19680101 19680131    21.6
19680201 19680229    22.6
19680301 19680331    26.5
19680401 19680430    14.7
19680501 19680531    26.2
19680601 19680630    17.7
19680701 19680731    35.0
19680801 19680831    20.5
19680901 19680930     6.2
19681001 19681031    19.9
19681101 19681130    19.4
19681201 19681231    20.9
19690101 19690131     5.1
19690201 19690228    79.8
19690301 19690331    48.4
19690401 19690430    30.3
19690501 19690531    35.0
19690601 19690630     9.4
19690701 19690731    45.2
19690801 19690831    16.3
19690901 19690930    29.0
19691001 19691031     1.8
19691101 19691130    10.4
19691201 19691231    30.4
19700101 19700131     9.5
19700201 19700228     0.5
19700301 19700331    10.9
19700401 19700430    48.5
19700501 19700531    18.2
19700601 19700630    11.5
19700701 19700731     7.1
19700801 19700831    24.9
19700901 19700930    53.7
19701001 19701031     6.4
19701101 19701130    43.5
19701201 19701231    18.1
19710101 19710131     4.1
19710201 19710228     4.8
19710301 19710331    13.9
19710401 19710430    36.9
19710501 19710531    23.3
19710601 19710630    35.6
19710701 19710731    39.8
19710801 19710831    27.2
19710901 19710930    29.0
19711001 19711031     6.4
19711101 19711130    35.7
19711201 19711231     7.5
19720101 19720131    65.1
19720201 19720229    17.3
19720301 19720331     0.0
19720401 19720430     7.7
19720501 19720531     7.1
19720601 19720630     2.9
19720701 19720731    18.7
19720801 19720831    34.8
19720901 19720930     5.3
19721001 19721031     7.3
19721101 19721130    11.1
19721201 19721231     9.1
19730101 19730131     7.6
19730201 19730228   134.9
19730301 19730331    21.5
19730401 19730430    37.1
19730501 19730531    18.6
19730601 19730630    34.1
19730701 19730731    53.5
19730801 19730831    52.2
19730901 19730930    24.7
19731001 19731031   100.3
19731101 19731130    23.9
19731201 19731231    40.7
19740101 19740131    88.0
19740201 19740228    33.0
19740301 19740331    60.4
19740401 19740430    51.8
19740501 19740531   101.4
19740601 19740630    18.8
19740701 19740731    41.8
19740801 19740831    25.0
19740901 19740930    29.8
19741001 19741031    72.0
19741101 19741130    10.4
19741201 19741231     2.4
19750101 19750131    10.2
19750201 19750228     0.4
19750301 19750331    22.6
19750401 19750430     8.4
19750501 19750531    21.2
19750601 19750630     1.2
19750701 19750731    26.8
19750801 19750831    13.8
19750901 19750930    39.0
19751001 19751031    79.0
19751101 19751130     9.2
19751201 19751231     7.2
19760101 19760131    13.6
19760201 19760229    40.4
19760301 19760331     1.8
19760401 19760430     2.2
19760501 19760531     1.6
19760601 19760630     9.2
19760701 19760731     7.2
19760801 19760831    14.0
19760901 19760930    46.0
19761001 19761031    64.6
19761101 19761130    13.6
19761201 19761231    11.4
19770101 19770131    16.4
19770201 19770228     5.0
19770301 19770331     4.0
19770401 19770430     4.6
19770501 19770531    13.6
