PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
19190301 19190331     0.5
19190401 19190430    11.0
19190501 19190531    42.1
19190601 19190630    30.5
19190701 19190731    36.1
19190801 19190831    40.9
19190901 19190930    60.0
19191001 19191031    27.2
19191101 19191130     1.8
19191201 19191231    13.7
19200101 19200131     0.0
19200201 19200229     0.0
19200301 19200331     4.3
19200401 19200430    24.4
19200501 19200531    85.4
19200601 19200630   188.3
19200701 19200731   163.7
19200801 19200831    83.3
19200901 19200930    62.8
19201001 19201031    29.1
19201101 19201130    10.2
19201201 19201231    47.0
19210101 19210131     2.3
19210201 19210228    23.6
19210301 19210331     4.1
19210401 19210430     6.6
19210501 19210531    40.9
19210601 19210630    83.0
19210701 19210731    87.7
19210801 19210831    84.0
19210901 19210930    65.2
19211001 19211031    19.3
19211101 19211130    53.3
19211201 19211231     0.0
19220101 19220131    20.1
19220201 19220228     0.0
19220301 19220331    15.2
19220401 19220430    25.5
19220501 19220531    70.5
19220601 19220630   110.6
19220701 19220731    62.4
19220801 19220831    65.6
19220901 19220930    15.0
19221001 19221031     7.7
19221101 19221130     2.1
19221201 19221231    28.5
19230101 19230131     5.1
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    91.4
19230601 19230630   135.4
19230701 19230731    51.7
19230801 19230831    36.4
19230901 19230930    43.2
19231001 19231031    70.4
19231101 19231130    10.4
19231201 19231231     1.3
19240101 19240131     7.7
19240201 19240229    19.0
19240301 19240331    10.4
19240401 19240430    19.3
19240501 19240531    68.3
19240601 19240630    37.8
19240701 19240731    24.3
19240801 19240831    30.2
19240901 19240930    38.0
19241001 19241031    61.7
19241101 19241130    11.7
19241201 19241231     1.5
19250101 19250131     8.7
19250201 19250228    15.6
19250301 19250331     2.6
19250401 19250430    21.8
19250501 19250531    74.7
19250601 19250630    69.8
19250701 19250731    70.4
19250801 19250831    59.4
19250901 19250930    25.4
19251001 19251031    12.2
19251101 19251130    19.8
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     1.5
19260301 19260331    34.8
19260401 19260430    31.9
19260501 19260531    76.9
19260601 19260630    78.2
19260701 19260731    73.7
19260801 19260831    89.0
19260901 19260930    30.0
19261001 19261031    26.9
19261101 19261130     0.0
19261201 19261231     7.9
19270101 19270131     2.5
19270201 19270228    38.4
19270301 19270331    19.8
19270401 19270430     5.1
19270501 19270531    43.9
19270601 19270630    43.8
19270701 19270731    74.9
19270801 19270831    62.5
19270901 19270930    13.0
19271001 19271031     1.6
