PRCP       040152 19090601 20131231 missing_value=99999.9 MURGON POST OFFICE                        
19810601 19810630    87.0
19810701 19810731    46.8
19810801 19810831    26.8
19810901 19810930     5.8
19811001 19811031    13.4
19811101 19811130   162.5
19811201 19811231   115.3
19820101 19820131   160.4
19820201 19820228    93.2
19820301 19820331   104.8
19820401 19820430    11.4
19820501 19820531    62.4
19820601 19820630     0.0
19820701 19820731    17.6
19820801 19820831    12.6
19820901 19820930    47.0
19821001 19821031    45.7
19821101 19821130     1.5
19821201 19821231   122.7
19830101 19830131   146.8
19830201 19830228    28.0
19830301 19830331    86.7
19830401 19830430   221.4
19830501 19830531   175.0
19830601 19830630   118.0
19830701 19830731    30.7
19830801 19830831    24.2
19830901 19830930     4.4
19831001 19831031   137.5
19831101 19831130   122.8
19831201 19831231    31.4
19840101 19840131    63.4
19840201 19840229    16.6
19840301 19840331    52.8
19840401 19840430    93.7
19840501 19840531    10.2
19840601 19840630    12.0
19840701 19840731   148.0
19840801 19840831    12.4
19840901 19840930    50.2
19841001 19841031    95.8
19841101 19841130    65.8
19841201 19841231   166.4
19850101 19850131    95.2
19850201 19850228     9.8
19850301 19850331    72.6
19850401 19850430    32.4
19850501 19850531    22.6
19850601 19850630    67.8
19850701 19850731    32.6
19850801 19850831    36.5
19850901 19850930    35.1
19851001 19851031    85.4
19851101 19851130    33.0
19851201 19851231   164.4
19860101 19860131    99.2
19860201 19860228   168.4
19860301 19860331    12.2
19860401 19860430     2.6
19860501 19860531    52.4
19860601 19860630     0.4
19860701 19860731    89.2
19860801 19860831    67.4
19860901 19860930     4.0
19861001 19861031   100.2
19861101 19861130    69.8
19861201 19861231   106.8
19870101 19870131    71.6
19870201 19870228    89.0
19870301 19870331    29.6
19870401 19870430    23.0
19870501 19870531    50.6
19870601 19870630    26.0
19870701 19870731    22.8
19870801 19870831    41.0
19870901 19870930     9.0
19871001 19871031    94.6
19871101 19871130    59.8
19871201 19871231   159.8
19880101 19880131    25.2
19880201 19880229    50.2
19880301 19880331    47.2
19880401 19880430   125.6
19880501 19880531    15.6
19880601 19880630    50.4
19880701 19880731    70.6
19880801 19880831    94.0
19880901 19880930    27.0
19881001 19881031    22.6
19881101 19881130    18.4
19881201 19881231   171.0
19890101 19890131    81.2
19890201 19890228   119.0
19890301 19890331    63.0
19890401 19890430   229.0
19890501 19890531    59.6
19890601 19890630    14.2
19890701 19890731    71.6
19890801 19890831    44.4
19890901 19890930    15.2
19891001 19891031    69.4
19891101 19891130   113.6
19891201 19891231    10.6
19900101 19900131    40.0
19900201 19900228    49.6
19900301 19900331   120.8
19900401 19900430    81.6
19900501 19900531   109.6
19900601 19900630    33.2
19900701 19900731    37.6
19900801 19900831     4.2
19900901 19900930     4.4
19901001 19901031    57.0
19901101 19901130    69.0
19901201 19901231    88.8
19910101 19910131   114.6
19910201 19910228    97.2
19910301 19910331    27.4
19910401 19910430     0.0
19910501 19910531    34.2
19910601 19910630     5.8
19910701 19910731    27.6
19910801 19910831     0.0
19910901 19910930     0.2
19911001 19911031    61.0
19911101 19911130    22.4
19911201 19911231   197.2
19920101 19920131    81.0
19920201 19920229   201.3
19920301 19920331   123.6
19920401 19920430    43.8
19920501 19920531    60.0
19920601 19920630     2.2
19920701 19920731    15.2
19920801 19920831    28.8
19920901 19920930    79.4
19921001 19921031    43.4
19921101 19921130   136.7
19921201 19921231    31.2
19930101 19930131    59.4
19930201 19930228    64.6
19930301 19930331    42.4
19930401 19930430     0.6
19930501 19930531    17.2
19930601 19930630    11.0
19930701 19930731    63.8
19930801 19930831     4.7
19930901 19930930    53.8
19931001 19931031    43.8
19931101 19931130    49.2
19931201 19931231   113.4
19940101 19940131    97.2
19940201 19940228    99.0
19940301 19940331   176.8
19940401 19940430    18.2
19940501 19940531     9.8
19940601 19940630     5.4
19940701 19940731    18.4
19940801 19940831     9.2
19940901 19940930    25.0
19941001 19941031    52.8
19941101 19941130     5.6
19941201 19941231    37.6
19950101 19950131    94.9
19950201 19950228   192.4
19950301 19950331    60.4
19950401 19950430    26.4
19950501 19950531    47.4
19950601 19950630    15.8
19950701 19950731     4.6
19950801 19950831    10.4
19950901 19950930    37.8
19951001 19951031    74.2
19951101 19951130   209.6
19951201 19951231    93.6
19960101 19960131   149.5
19960201 19960229    68.8
19960301 19960331    45.4
19960401 19960430    50.0
19960501 19960531   115.0
19960601 19960630     9.2
19960701 19960731    39.8
19960801 19960831    45.4
19960901 19960930    31.1
19961001 19961031    44.4
19961101 19961130    77.6
19961201 19961231   115.0
19970101 19970131    69.5
19970201 19970228    41.1
19970301 19970331    29.0
19970401 19970430    17.0
19970501 19970531    72.2
19970601 19970630     1.8
19970701 19970731    29.8
19970801 19970831    10.6
19970901 19970930    65.0
19971001 19971031   121.8
19971101 19971130    76.1
19971201 19971231    40.2
19980101 19980131    62.4
19980201 19980228    72.2
19980301 19980331    37.6
19980401 19980430   107.2
19980501 19980531   161.0
19980601 19980630    26.9
19980701 19980731    31.5
19980801 19980831    38.0
19980901 19980930   121.4
19981001 19981031    26.2
19981101 19981130   161.2
19981201 19981231   133.6
19990101 19990131    36.4
19990201 19990228   209.0
19990301 19990331    69.0
19990401 19990430    23.3
19990501 19990531    28.0
19990601 19990630    55.4
19990701 19990731    83.1
19990801 19990831    12.9
19990901 19990930    21.1
19991001 19991031    89.2
19991101 19991130    82.2
19991201 19991231    87.6
20000101 20000131    45.5
20000201 20000229    56.0
20000301 20000331    46.2
20000401 20000430 99999.9
20000501 20000531    44.6
20000601 20000630    39.0
20000701 20000731    10.7
20000801 20000831     3.5
20000901 20000930     1.0
20001001 20001031   108.3
20001101 20001130    71.1
20001201 20001231    85.5
20010101 20010131    34.0
20010201 20010228   114.0
20010301 20010331    42.1
20010401 20010430    23.4
20010501 20010531    51.9
20010601 20010630     2.5
20010701 20010731    52.0
20010801 20010831     7.4
20010901 20010930    15.0
20011001 20011031    80.1
20011101 20011130   159.5
20011201 20011231    36.0
20020101 20020131    31.2
20020201 20020228   161.5
20020301 20020331    10.0
20020401 20020430    12.5
20020501 20020531    44.0
20020601 20020630    55.5
20020701 20020731     1.8
20020801 20020831   139.2
20020901 20020930     6.4
20021001 20021031    23.8
20021101 20021130    16.4
20021201 20021231    77.7
20030101 20030131     0.0
20030201 20030228   153.4
20030301 20030331    33.5
20030401 20030430    28.2
20030501 20030531    27.2
20030601 20030630    45.0
20030701 20030731    11.2
20030801 20030831    52.6
20030901 20030930     1.6
20031001 20031031    57.9
20031101 20031130    18.0
20031201 20031231    88.6
20040101 20040131   210.5
20040201 20040229   131.4
20040301 20040331    74.0
20040401 20040430    50.4
20040501 20040531    13.4
20040601 20040630     0.0
20040701 20040731     1.8
20040801 20040831     5.4
20040901 20040930    43.0
20041001 20041031    75.8
20041101 20041130    87.0
20041201 20041231   136.2
20050101 20050131   152.2
20050201 20050228    40.5
20050301 20050331    34.6
20050401 20050430    15.0
20050501 20050531    51.8
20050601 20050630   139.5
