PRCP       079010 19051201 20170930 missing_value=99999.9 DRUNG DRUNG                               
19650801 19650831    69.0
19650901 19650930    15.0
19651001 19651031     8.9
19651101 19651130    41.7
19651201 19651231    30.3
19660101 19660131    32.0
19660201 19660228    37.6
19660301 19660331    12.9
19660401 19660430     9.5
19660501 19660531    17.2
19660601 19660630    25.9
19660701 19660731    54.0
19660801 19660831    27.3
19660901 19660930    53.1
19661001 19661031    38.9
19661101 19661130    14.7
19661201 19661231    47.3
19670101 19670131     6.3
19670201 19670228    30.8
19670301 19670331     5.6
19670401 19670430     5.1
19670501 19670531    34.8
19670601 19670630     8.7
19670701 19670731    47.5
19670801 19670831    41.1
19670901 19670930     9.7
19671001 19671031     4.4
19671101 19671130     8.4
19671201 19671231    23.8
19680101 19680131    30.7
19680201 19680229     6.9
19680301 19680331    22.2
19680401 19680430    33.6
19680501 19680531    55.9
19680601 19680630    41.0
19680701 19680731    47.2
19680801 19680831    63.6
19680901 19680930    17.0
19681001 19681031    57.3
19681101 19681130    49.5
19681201 19681231    10.1
19690101 19690131    19.3
19690201 19690228    41.1
19690301 19690331    60.7
19690401 19690430    20.2
19690501 19690531    52.3
19690601 19690630    10.7
19690701 19690731    58.4
19690801 19690831    43.2
19690901 19690930    30.9
19691001 19691031    11.5
19691101 19691130    32.0
19691201 19691231    28.7
19700101 19700131    30.2
19700201 19700228     9.5
19700301 19700331    28.0
19700401 19700430    82.3
19700501 19700531    27.9
19700601 19700630    34.8
19700701 19700731    22.9
19700801 19700831    65.7
19700901 19700930    28.7
19701001 19701031    24.6
19701101 19701130    59.5
19701201 19701231    35.0
19710101 19710131    14.0
19710201 19710228    32.4
19710301 19710331    20.1
19710401 19710430   115.4
19710501 19710531    54.4
19710601 19710630    48.4
19710701 19710731    40.1
19710801 19710831    46.3
19710901 19710930    51.8
19711001 19711031    42.0
19711101 19711130    62.6
19711201 19711231    33.4
19720101 19720131    28.3
19720201 19720229    66.5
19720301 19720331     7.1
19720401 19720430    39.3
19720501 19720531    30.7
19720601 19720630    23.6
19720701 19720731    52.9
19720801 19720831    55.3
19720901 19720930    15.5
19721001 19721031    20.1
19721101 19721130    21.6
19721201 19721231     0.0
19730101 19730131    70.4
19730201 19730228   127.6
19730301 19730331    26.2
19730401 19730430    17.0
19730501 19730531    98.7
19730601 19730630    76.6
19730701 19730731    82.8
19730801 19730831    63.0
19730901 19730930    54.6
