PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19490701 19490731    74.4
19490801 19490831    27.4
19490901 19490930   222.8
19491001 19491031    76.3
19491101 19491130   135.5
19491201 19491231    35.2
19500101 19500131   157.5
19500201 19500228   183.3
19500301 19500331   243.4
19500401 19500430   301.7
19500501 19500531   204.0
19500601 19500630   352.5
19500701 19500731   249.8
19500801 19500831    76.2
19500901 19500930   102.0
19501001 19501031   158.3
19501101 19501130   109.4
19501201 19501231    32.4
19510101 19510131   111.9
19510201 19510228    92.7
19510301 19510331   112.3
19510401 19510430    59.2
19510501 19510531   184.3
19510601 19510630   367.3
19510701 19510731   162.9
19510801 19510831    90.7
19510901 19510930   211.6
19511001 19511031    76.6
19511101 19511130    35.3
19511201 19511231    32.6
19520101 19520131    41.6
19520201 19520229    24.5
19520301 19520331   131.4
19520401 19520430   451.8
19520501 19520531    59.9
19520601 19520630   299.6
19520701 19520731    68.9
19520801 19520831   436.9
19520901 19520930    12.4
19521001 19521031   234.7
19521101 19521130    76.1
19521201 19521231    83.7
19530101 19530131    61.7
19530201 19530228    41.1
19530301 19530331   162.0
19530401 19530430    20.0
19530501 19530531   284.3
19530601 19530630    23.7
19530701 19530731    75.7
19530801 19530831   101.3
19530901 19530930    39.6
19531001 19531031   107.1
19531101 19531130    45.8
19531201 19531231    34.6
19540101 19540131    50.7
19540201 19540228   254.8
19540301 19540331    24.2
19540401 19540430    52.2
19540501 19540531    31.6
19540601 19540630    76.5
19540701 19540731    42.7
19540801 19540831   108.1
19540901 19540930    74.6
19541001 19541031   109.2
19541101 19541130    72.7
19541201 19541231   102.8
19550101 19550131   232.5
19550201 19550228   190.9
19550301 19550331   151.1
19550401 19550430    39.8
19550501 19550531   242.4
19550601 19550630   160.8
19550701 19550731   113.1
19550801 19550831    19.5
19550901 19550930    22.9
19551001 19551031    42.9
19551101 19551130    73.9
19551201 19551231   130.3
19560101 19560131    74.4
19560201 19560229   270.5
19560301 19560331   310.6
19560401 19560430    74.3
19560501 19560531   346.0
19560601 19560630   213.6
19560701 19560731   120.6
19560801 19560831    58.3
19560901 19560930    50.4
19561001 19561031   153.3
19561101 19561130    43.0
19561201 19561231    36.2
19570101 19570131    18.3
19570201 19570228   100.5
19570301 19570331    27.4
19570401 19570430     0.8
19570501 19570531     5.8
19570601 19570630    42.4
19570701 19570731   309.4
19570801 19570831   151.9
19570901 19570930    26.6
19571001 19571031     8.6
19571101 19571130    25.7
19571201 19571231    64.6
19580101 19580131    78.9
19580201 19580228   426.7
19580301 19580331   203.7
19580401 19580430   283.4
19580501 19580531    18.8
19580601 19580630   235.1
19580701 19580731    52.9
19580801 19580831   112.8
19580901 19580930    40.6
19581001 19581031    54.1
19581101 19581130    21.5
19581201 19581231   176.7
19590101 19590131    97.9
19590201 19590228   166.9
19590301 19590331   440.1
19590401 19590430    42.9
19590501 19590531   116.4
19590601 19590630   241.5
19590701 19590731   198.5
19590801 19590831    20.6
19590901 19590930   106.2
19591001 19591031   539.8
19591101 19591130    69.7
19591201 19591231    96.5
19600101 19600131    88.1
19600201 19600229    60.3
19600301 19600331   197.5
19600401 19600430    73.5
19600501 19600531    56.6
19600601 19600630   202.9
19600701 19600731   109.7
19600801 19600831   217.1
19600901 19600930   153.9
19601001 19601031   215.8
19601101 19601130    68.5
19601201 19601231   197.2
19610101 19610131    71.0
19610201 19610228   135.3
19610301 19610331   540.4
19610401 19610430   123.9
19610501 19610531    65.9
19610601 19610630    92.7
19610701 19610731   193.6
19610801 19610831   272.8
19610901 19610930    87.7
19611001 19611031    55.4
19611101 19611130   667.1
19611201 19611231   187.8
19620101 19620131   184.4
19620201 19620228    86.2
19620301 19620331    28.7
19620401 19620430    85.6
19620501 19620531   183.8
19620601 19620630     5.4
19620701 19620731    43.4
19620801 19620831   194.1
19620901 19620930   141.8
19621001 19621031    65.2
19621101 19621130    46.8
19621201 19621231   208.4
19630101 19630131   162.6
19630201 19630228    96.3
19630301 19630331   254.5
19630401 19630430   265.7
19630501 19630531   275.5
19630601 19630630   420.6
19630701 19630731   212.6
19630801 19630831   174.2
19630901 19630930    70.8
19631001 19631031    71.2
19631101 19631130    41.0
19631201 19631231   153.7
19640101 19640131    77.8
19640201 19640229    21.7
19640301 19640331    53.5
19640401 19640430   280.2
19640501 19640531    91.2
19640601 19640630   194.7
19640701 19640731    15.8
