PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19350401 19350430    33.2
19350501 19350531    11.9
19350601 19350630    64.3
19350701 19350731    70.8
19350801 19350831   112.0
19350901 19350930    39.7
19351001 19351031    35.3
19351101 19351130     1.8
19351201 19351231    12.2
19360101 19360131     5.6
19360201 19360229     2.9
19360301 19360331     0.0
19360401 19360430    13.0
19360501 19360531    66.3
19360601 19360630    60.4
19360701 19360731    29.0
19360801 19360831    23.8
19360901 19360930    19.6
19361001 19361031    23.3
19361101 19361130    10.7
19361201 19361231    18.0
19370101 19370131    15.7
19370201 19370228     0.8
19370301 19370331   172.5
19370401 19370430    38.9
19370501 19370531    83.1
19370601 19370630    94.7
19370701 19370731    41.9
19370801 19370831    86.2
19370901 19370930    77.2
19371001 19371031    17.3
19371101 19371130    28.2
19371201 19371231     5.9
19380101 19380131    27.0
19380201 19380228     3.5
19380301 19380331    26.7
19380401 19380430    30.4
19380501 19380531    15.2
19380601 19380630    69.1
19380701 19380731    72.8
19380801 19380831    57.3
19380901 19380930    16.6
19381001 19381031    27.5
19381101 19381130    11.5
19381201 19381231    21.7
19390101 19390131   170.1
19390201 19390228    37.8
19390301 19390331    10.1
19390401 19390430    61.7
19390501 19390531    72.7
19390601 19390630    64.0
19390701 19390731   101.0
19390801 19390831    55.6
19390901 19390930    10.3
19391001 19391031   129.2
19391101 19391130    73.5
19391201 19391231     8.4
19400101 19400131     6.8
19400201 19400229     1.3
19400301 19400331     2.3
19400401 19400430    26.1
19400501 19400531    36.4
19400601 19400630    31.4
19400701 19400731    66.1
19400801 19400831    28.0
19400901 19400930    37.9
19401001 19401031     5.1
19401101 19401130    31.6
19401201 19401231    77.5
19410101 19410131    28.2
19410201 19410228     6.4
19410301 19410331    62.8
19410401 19410430    16.5
19410501 19410531    45.5
19410601 19410630    51.2
19410701 19410731    34.2
19410801 19410831    23.2
19410901 19410930    40.8
19411001 19411031    46.2
19411101 19411130    33.0
19411201 19411231     6.8
19420101 19420131     6.6
19420201 19420228    17.2
19420301 19420331    46.5
19420401 19420430    46.9
19420501 19420531   119.9
19420601 19420630    68.3
19420701 19420731    63.8
19420801 19420831    50.9
19420901 19420930    32.8
19421001 19421031    33.8
19421101 19421130    12.2
19421201 19421231    99.8
19430101 19430131    67.3
19430201 19430228    30.4
19430301 19430331    57.9
19430401 19430430    55.7
19430501 19430531    50.8
19430601 19430630    50.1
19430701 19430731    95.6
19430801 19430831    36.1
