PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19440301 19440331     4.6
19440401 19440430     0.0
19440501 19440531     1.5
19440601 19440630   117.6
19440701 19440731     2.5
19440801 19440831     0.0
19440901 19440930     6.6
19441001 19441031     4.1
19441101 19441130     0.0
19441201 19441231   151.2
19450101 19450131    52.1
19450201 19450228    59.5
19450301 19450331    12.4
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130     2.3
19451201 19451231    91.4
19460101 19460131   174.6
19460201 19460228    99.8
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    13.2
19461201 19461231   108.7
19470101 19470131    14.2
19470201 19470228    24.6
19470301 19470331    57.4
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     7.6
19470701 19470731     0.0
19470801 19470831    38.9
19470901 19470930    67.4
19471001 19471031    21.0
19471101 19471130     2.3
19471201 19471231    45.4
19480101 19480131     0.0
19480201 19480229    22.7
19480301 19480331    68.1
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731    44.2
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     5.3
19481101 19481130     0.0
19481201 19481231    82.3
19490101 19490131    14.3
19490201 19490228    78.4
19490301 19490331    96.7
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031    16.2
19491101 19491130    58.7
19491201 19491231    43.4
19500101 19500131    56.4
19500201 19500228   231.4
19500301 19500331   188.0
19500401 19500430     7.4
19500501 19500531    16.8
19500601 19500630    60.4
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    22.9
19501001 19501031    13.2
19501101 19501130    28.9
19501201 19501231   106.6
19510101 19510131    45.2
19510201 19510228    89.9
19510301 19510331    10.4
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630     4.8
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     3.3
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    31.2
19520201 19520229    14.2
19520301 19520331     0.0
19520401 19520430     4.8
19520501 19520531    27.2
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     2.5
19520901 19520930     0.0
19521001 19521031    11.6
19521101 19521130    33.5
19521201 19521231    28.9
19530101 19530131   220.7
19530201 19530228   263.6
19530301 19530331     0.0
19530401 19530430     5.1
19530501 19530531    11.4
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    12.7
19530901 19530930     7.6
19531001 19531031    22.4
19531101 19531130     5.1
19531201 19531231    11.1
19540101 19540131    40.1
19540201 19540228     2.5
19540301 19540331     3.1
19540401 19540430     1.3
19540501 19540531     3.8
19540601 19540630     1.3
19540701 19540731     0.0
19540801 19540831     1.0
19540901 19540930     0.0
19541001 19541031    44.5
19541101 19541130     6.6
19541201 19541231    65.4
19550101 19550131    24.9
19550201 19550228   110.0
19550301 19550331    41.4
19550401 19550430    29.2
19550501 19550531    76.0
19550601 19550630     5.3
19550701 19550731    28.7
19550801 19550831     2.8
19550901 19550930     0.0
19551001 19551031    44.2
19551101 19551130     1.8
19551201 19551231     3.8
19560101 19560131    12.7
19560201 19560229   159.1
19560301 19560331    65.5
19560401 19560430    10.5
19560501 19560531    14.9
19560601 19560630    12.2
19560701 19560731   126.5
19560801 19560831     0.0
19560901 19560930     6.4
19561001 19561031     1.5
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131   209.5
19570201 19570228    33.0
19570301 19570331    23.0
19570401 19570430     8.1
19570501 19570531     0.0
19570601 19570630    22.9
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.8
19571101 19571130     7.6
19571201 19571231     0.0
19580101 19580131    26.4
19580201 19580228    10.8
19580301 19580331    12.4
19580401 19580430    19.8
19580501 19580531    73.7
19580601 19580630    20.6
19580701 19580731     0.3
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031    15.8
19581101 19581130    15.8
19581201 19581231     1.0
19590101 19590131    18.1
19590201 19590228     5.6
19590301 19590331    44.2
19590401 19590430     3.6
19590501 19590531    97.7
19590601 19590630     0.0
19590701 19590731     0.5
19590801 19590831     0.0
19590901 19590930     1.6
19591001 19591031     0.0
19591101 19591130     1.8
19591201 19591231     6.6
19600101 19600131    43.9
19600201 19600229     9.4
19600301 19600331    42.4
19600401 19600430    23.3
19600501 19600531    33.3
19600601 19600630     0.0
