PRCP       054036 18830101 20171231 missing_value=99999.9 WALLANGRA (WALLANGRA STATION)             
19730801 19730831    40.7
19730901 19730930    88.5
19731001 19731031    42.9
19731101 19731130   114.7
19731201 19731231   127.7
19740101 19740131    54.2
19740201 19740228    48.0
19740301 19740331     9.4
19740401 19740430    48.2
19740501 19740531    28.6
19740601 19740630    38.0
19740701 19740731     8.6
19740801 19740831    82.4
19740901 19740930    25.6
19741001 19741031    65.2
19741101 19741130   130.4
19741201 19741231    44.6
19750101 19750131    34.0
19750201 19750228   142.0
19750301 19750331   297.8
19750401 19750430    32.6
19750501 19750531     1.6
19750601 19750630    64.8
19750701 19750731    48.7
19750801 19750831    56.8
19750901 19750930    32.8
19751001 19751031    79.8
19751101 19751130    77.8
19751201 19751231    99.8
19760101 19760131   138.6
19760201 19760229   313.0
19760301 19760331   135.6
19760401 19760430     7.4
19760501 19760531    29.6
19760601 19760630    60.0
19760701 19760731    69.0
19760801 19760831    16.4
19760901 19760930    79.0
19761001 19761031    53.4
19761101 19761130    79.4
19761201 19761231    23.0
19770101 19770131    77.8
19770201 19770228   139.0
19770301 19770331   127.6
19770401 19770430    85.4
19770501 19770531   106.8
19770601 19770630    36.4
19770701 19770731     1.0
19770801 19770831    13.8
19770901 19770930    33.8
19771001 19771031    34.4
19771101 19771130    40.4
19771201 19771231    25.8
19780101 19780131   187.0
19780201 19780228    59.8
19780301 19780331    55.2
19780401 19780430    27.0
19780501 19780531   113.0
19780601 19780630    90.4
19780701 19780731    61.6
19780801 19780831    41.4
19780901 19780930   102.6
19781001 19781031    37.2
