PRCP       047053 18680101 20130228 missing_value=99999.9 WENTWORTH POST OFFICE                     
19270401 19270430     0.0
19270501 19270531     7.1
19270601 19270630    10.9
19270701 19270731    29.2
19270801 19270831    17.9
19270901 19270930    12.9
19271001 19271031    21.0
19271101 19271130    32.8
19271201 19271231     4.5
19280101 19280131    10.9
19280201 19280229   150.4
19280301 19280331    40.2
19280401 19280430     2.0
19280501 19280531     4.4
19280601 19280630    31.6
19280701 19280731    22.0
19280801 19280831     4.1
19280901 19280930    20.1
19281001 19281031    16.4
19281101 19281130     0.0
19281201 19281231     8.1
19290101 19290131     6.4
19290201 19290228    30.7
19290301 19290331     1.0
19290401 19290430     3.0
19290501 19290531     0.0
19290601 19290630     5.8
19290701 19290731    10.9
19290801 19290831     9.7
19290901 19290930    18.7
19291001 19291031     0.0
19291101 19291130    22.4
19291201 19291231    73.9
19300101 19300131    13.2
19300201 19300228     0.0
19300301 19300331     9.4
19300401 19300430    16.5
19300501 19300531    54.1
19300601 19300630     2.0
19300701 19300731    20.6
19300801 19300831    37.6
19300901 19300930     8.9
19301001 19301031    53.0
19301101 19301130    19.3
19301201 19301231    48.9
19310101 19310131     7.8
19310201 19310228     0.5
19310301 19310331    54.6
19310401 19310430    70.0
19310501 19310531    34.9
19310601 19310630    71.6
19310701 19310731    12.7
19310801 19310831    11.4
19310901 19310930    37.2
19311001 19311031    18.1
19311101 19311130    23.9
19311201 19311231     3.3
19320101 19320131     2.0
19320201 19320229    75.0
19320301 19320331    29.4
19320401 19320430    32.1
19320501 19320531    31.8
19320601 19320630    30.0
19320701 19320731    17.5
19320801 19320831    36.8
19320901 19320930     3.6
19321001 19321031    13.9
19321101 19321130    11.5
19321201 19321231    16.0
19330101 19330131    60.4
19330201 19330228     0.0
19330301 19330331     4.8
19330401 19330430     1.0
19330501 19330531    17.8
19330601 19330630     2.3
19330701 19330731    28.0
19330801 19330831    31.3
19330901 19330930    32.9
19331001 19331031    11.1
19331101 19331130    86.8
19331201 19331231    29.0
19340101 19340131    15.2
19340201 19340228    14.8
19340301 19340331     8.1
19340401 19340430     5.6
19340501 19340531     0.0
19340601 19340630     5.6
19340701 19340731    29.0
19340801 19340831    13.9
19340901 19340930    19.1
19341001 19341031    49.0
19341101 19341130    28.5
19341201 19341231     6.6
19350101 19350131    10.2
19350201 19350228     1.3
19350301 19350331    16.3
19350401 19350430    25.2
19350501 19350531     8.1
19350601 19350630    11.6
19350701 19350731    18.5
19350801 19350831    13.8
19350901 19350930    15.5
19351001 19351031    23.6
19351101 19351130     3.3
19351201 19351231     5.6
19360101 19360131    84.2
19360201 19360229     2.8
19360301 19360331     5.8
19360401 19360430    17.3
19360501 19360531    26.2
19360601 19360630    21.0
19360701 19360731    42.5
19360801 19360831     9.7
19360901 19360930     8.6
19361001 19361031    18.3
19361101 19361130     2.0
19361201 19361231    87.5
19370101 19370131    68.6
19370201 19370228     4.1
19370301 19370331    16.0
19370401 19370430     4.5
19370501 19370531    15.3
19370601 19370630    38.0
19370701 19370731    12.5
19370801 19370831    47.0
19370901 19370930     5.6
19371001 19371031    36.0
19371101 19371130     1.5
19371201 19371231    47.0
19380101 19380131    16.2
19380201 19380228     4.3
19380301 19380331     2.5
19380401 19380430     5.9
19380501 19380531     2.8
19380601 19380630    15.9
19380701 19380731    43.1
19380801 19380831    11.5
19380901 19380930     1.6
19381001 19381031    18.6
19381101 19381130     4.4
19381201 19381231     0.5
19390101 19390131     0.8
19390201 19390228    68.9
19390301 19390331    11.4
19390401 19390430     8.0
19390501 19390531    33.6
19390601 19390630    25.5
19390701 19390731    17.2
19390801 19390831    29.0
19390901 19390930     8.9
19391001 19391031    29.8
19391101 19391130    67.5
19391201 19391231     0.5
19400101 19400131     8.6
19400201 19400229     0.0
19400301 19400331     0.3
19400401 19400430    35.1
19400501 19400531     5.6
19400601 19400630     1.0
19400701 19400731    12.0
19400801 19400831     5.7
19400901 19400930    27.5
19401001 19401031     6.1
19401101 19401130     5.9
19401201 19401231     5.9
19410101 19410131    63.2
19410201 19410228     8.6
19410301 19410331     7.4
19410401 19410430     0.5
19410501 19410531     6.8
19410601 19410630    24.2
19410701 19410731    32.5
19410801 19410831    18.8
19410901 19410930    21.8
19411001 19411031    20.0
19411101 19411130    27.6
19411201 19411231     9.4
19420101 19420131     4.3
19420201 19420228    10.7
19420301 19420331     0.8
19420401 19420430    17.6
19420501 19420531    41.3
19420601 19420630    50.1
19420701 19420731    19.1
19420801 19420831    41.6
19420901 19420930     7.0
19421001 19421031    41.4
19421101 19421130     4.1
19421201 19421231    11.9
19430101 19430131     0.3
19430201 19430228    16.5
19430301 19430331     1.3
19430401 19430430    13.3
19430501 19430531     5.7
19430601 19430630     4.3
19430701 19430731    11.6
19430801 19430831    15.2
19430901 19430930    21.9
19431001 19431031    22.4
19431101 19431130    11.8
19431201 19431231     2.3
19440101 19440131     3.3
19440201 19440229     0.0
19440301 19440331     2.8
19440401 19440430     3.6
19440501 19440531    26.2
19440601 19440630     2.6
19440701 19440731    14.8
19440801 19440831     2.3
19440901 19440930     2.4
19441001 19441031    18.6
19441101 19441130    16.8
19441201 19441231    20.4
19450101 19450131     0.9
19450201 19450228     6.6
19450301 19450331     1.0
19450401 19450430     0.0
19450501 19450531    27.0
19450601 19450630    33.0
19450701 19450731    19.3
19450801 19450831    23.5
19450901 19450930     4.6
19451001 19451031    42.2
19451101 19451130    10.3
19451201 19451231    17.8
19460101 19460131    37.6
19460201 19460228    66.4
19460301 19460331    14.7
19460401 19460430     9.8
19460501 19460531    25.4
19460601 19460630    42.6
19460701 19460731    27.0
19460801 19460831     8.7
19460901 19460930     4.1
19461001 19461031    10.6
19461101 19461130    45.0
19461201 19461231    18.0
19470101 19470131     3.1
19470201 19470228    48.8
19470301 19470331    56.2
19470401 19470430     5.3
19470501 19470531     1.5
19470601 19470630    29.3
19470701 19470731    34.0
19470801 19470831    17.5
19470901 19470930    25.7
19471001 19471031    47.5
19471101 19471130    20.0
19471201 19471231    28.0
19480101 19480131     3.3
19480201 19480229     0.8
19480301 19480331     0.0
19480401 19480430    27.3
19480501 19480531    10.6
19480601 19480630    35.7
19480701 19480731    12.3
19480801 19480831    25.2
19480901 19480930     7.6
19481001 19481031    38.0
19481101 19481130     8.4
19481201 19481231    26.9
19490101 19490131     0.0
19490201 19490228    47.0
19490301 19490331    36.1
19490401 19490430     5.1
19490501 19490531    81.6
19490601 19490630     8.4
19490701 19490731    15.1
19490801 19490831     5.6
19490901 19490930    30.9
19491001 19491031    32.2
19491101 19491130    10.8
19491201 19491231     4.6
19500101 19500131     0.3
19500201 19500228   110.3
19500301 19500331   138.7
19500401 19500430     2.0
19500501 19500531    30.2
19500601 19500630     3.1
19500701 19500731    31.3
19500801 19500831    13.5
19500901 19500930    11.7
19501001 19501031    34.3
19501101 19501130    26.4
19501201 19501231    16.2
19510101 19510131    15.7
19510201 19510228    11.7
19510301 19510331     0.8
19510401 19510430    12.3
19510501 19510531    27.8
19510601 19510630    82.2
19510701 19510731    20.7
19510801 19510831    34.7
19510901 19510930    19.8
19511001 19511031    23.9
19511101 19511130     1.8
19511201 19511231     1.5
19520101 19520131    29.2
19520201 19520229     3.3
19520301 19520331    33.5
19520401 19520430    21.0
19520501 19520531    79.2
19520601 19520630    14.8
19520701 19520731    11.5
19520801 19520831    13.9
19520901 19520930    10.5
19521001 19521031    73.6
19521101 19521130    49.1
19521201 19521231     2.0
19530101 19530131    18.6
19530201 19530228     8.9
19530301 19530331     0.0
19530401 19530430     5.3
19530501 19530531     4.7
19530601 19530630    22.3
19530701 19530731    29.4
19530801 19530831    33.0
19530901 19530930    96.6
19531001 19531031    28.5
19531101 19531130    15.3
19531201 19531231     6.1
19540101 19540131    19.8
19540201 19540228     0.0
19540301 19540331     1.8
19540401 19540430    54.4
19540501 19540531     6.4
19540601 19540630     7.6
19540701 19540731    11.8
19540801 19540831    50.3
19540901 19540930     8.6
19541001 19541031    30.0
19541101 19541130    33.6
19541201 19541231    33.3
19550101 19550131     0.0
19550201 19550228    39.1
19550301 19550331    16.3
19550401 19550430     8.9
19550501 19550531    53.3
19550601 19550630    50.3
19550701 19550731    20.1
19550801 19550831    48.7
19550901 19550930    42.9
19551001 19551031    18.5
19551101 19551130    18.0
19551201 19551231     5.9
19560101 19560131    12.5
19560201 19560229     0.0
19560301 19560331    62.8
19560401 19560430    25.9
19560501 19560531    90.8
19560601 19560630    45.5
19560701 19560731    57.0
19560801 19560831    13.2
19560901 19560930    40.7
19561001 19561031    48.7
19561101 19561130     9.4
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228   127.2
19570301 19570331    14.7
19570401 19570430     6.6
19570501 19570531     9.2
19570601 19570630    60.8
19570701 19570731    17.5
19570801 19570831     7.4
19570901 19570930     3.5
19571001 19571031    19.5
19571101 19571130     4.8
19571201 19571231    47.9
19580101 19580131    28.7
19580201 19580228     0.0
19580301 19580331     5.6
19580401 19580430    16.5
19580501 19580531    29.0
19580601 19580630     1.8
19580701 19580731    31.4
19580801 19580831    52.3
19580901 19580930    11.6
19581001 19581031    81.2
19581101 19581130   106.8
19581201 19581231     5.6
19590101 19590131     3.8
19590201 19590228    10.6
19590301 19590331     2.3
19590401 19590430     0.0
19590501 19590531    10.9
19590601 19590630     0.8
19590701 19590731    13.3
19590801 19590831    10.7
19590901 19590930    15.7
19591001 19591031    51.3
19591101 19591130     2.0
19591201 19591231     5.8
19600101 19600131    28.6
19600201 19600229    29.2
19600301 19600331    11.0
19600401 19600430    20.5
19600501 19600531    50.7
19600601 19600630    11.9
19600701 19600731    56.1
19600801 19600831    35.8
19600901 19600930    24.1
19601001 19601031    15.3
19601101 19601130    43.0
19601201 19601231     5.3
19610101 19610131     5.6
19610201 19610228    12.2
19610301 19610331    32.3
19610401 19610430    31.6
19610501 19610531     8.9
19610601 19610630    13.5
19610701 19610731    29.0
19610801 19610831     8.5
19610901 19610930    27.7
19611001 19611031     8.6
19611101 19611130    72.9
19611201 19611231    57.1
19620101 19620131    68.1
19620201 19620228     1.8
19620301 19620331    10.4
19620401 19620430     2.5
19620501 19620531    38.1
19620601 19620630     5.6
19620701 19620731    15.1
19620801 19620831    34.3
19620901 19620930     7.0
19621001 19621031     9.9
19621101 19621130     2.1
19621201 19621231    80.7
19630101 19630131    26.9
19630201 19630228     3.1
19630301 19630331     9.4
19630401 19630430    27.1
19630501 19630531    36.4
19630601 19630630    73.2
19630701 19630731    34.6
19630801 19630831    32.6
19630901 19630930    10.1
19631001 19631031    17.1
19631101 19631130     9.1
19631201 19631231    16.4
