PRCP       077039 19100101 20180131 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
19701001 19701031     4.5
19701101 19701130    79.0
19701201 19701231     7.9
19710101 19710131    25.9
19710201 19710228    32.4
19710301 19710331    62.9
19710401 19710430    64.2
19710501 19710531    25.6
19710601 19710630    25.6
19710701 19710731    19.5
19710801 19710831    23.4
19710901 19710930    20.3
19711001 19711031    16.5
19711101 19711130    65.8
19711201 19711231    27.7
19720101 19720131    76.4
19720201 19720229    74.1
19720301 19720331     0.0
19720401 19720430    27.2
19720501 19720531    23.3
19720601 19720630     8.3
19720701 19720731    12.7
19720801 19720831    52.9
19720901 19720930    17.0
19721001 19721031     3.0
19721101 19721130    25.9
19721201 19721231     4.1
19730101 19730131    22.0
19730201 19730228    96.4
19730301 19730331    39.9
19730401 19730430    39.7
19730501 19730531    46.1
19730601 19730630    82.1
19730701 19730731    49.2
19730801 19730831    76.1
19730901 19730930    60.2
19731001 19731031   113.1
19731101 19731130    30.5
19731201 19731231    13.2
19740101 19740131   101.8
19740201 19740228    20.0
19740301 19740331    31.6
19740401 19740430    75.0
19740501 19740531    51.8
19740601 19740630    11.6
19740701 19740731    40.6
19740801 19740831    29.7
19740901 19740930    48.4
19741001 19741031    59.2
19741101 19741130     3.6
19741201 19741231     0.0
19750101 19750131     5.2
19750201 19750228     4.4
19750301 19750331    34.2
19750401 19750430     1.0
19750501 19750531    22.2
19750601 19750630     1.0
19750701 19750731    33.6
19750801 19750831    30.8
19750901 19750930    35.2
19751001 19751031   173.2
19751101 19751130    16.6
19751201 19751231    47.4
19760101 19760131    28.6
19760201 19760229    31.4
19760301 19760331    20.0
19760401 19760430     7.8
19760501 19760531     5.8
19760601 19760630    29.4
19760701 19760731    21.2
19760801 19760831    13.4
19760901 19760930    14.3
19761001 19761031    40.8
19761101 19761130    44.6
19761201 19761231     6.6
19770101 19770131     0.0
19770201 19770228    82.1
19770301 19770331     7.0
19770401 19770430    24.0
19770501 19770531    57.2
19770601 19770630    24.4
19770701 19770731     9.8
19770801 19770831     8.4
19770901 19770930    23.3
19771001 19771031    18.4
19771101 19771130    30.0
19771201 19771231     0.0
19780101 19780131    23.6
19780201 19780228     2.2
19780301 19780331    28.8
19780401 19780430     3.0
19780501 19780531    67.0
19780601 19780630    24.4
19780701 19780731    74.0
19780801 19780831    62.0
19780901 19780930    65.2
19781001 19781031    20.8
19781101 19781130    78.0
19781201 19781231    13.8
19790101 19790131    91.4
19790201 19790228    26.2
19790301 19790331     8.2
19790401 19790430    36.4
19790501 19790531    49.6
19790601 19790630    15.6
19790701 19790731    10.4
19790801 19790831    49.2
19790901 19790930    44.4
19791001 19791031    36.4
19791101 19791130    23.6
19791201 19791231     0.4
19800101 19800131     0.4
19800201 19800229     0.0
19800301 19800331     8.2
19800401 19800430    52.5
19800501 19800531    29.4
19800601 19800630    32.4
19800701 19800731    26.4
19800801 19800831    22.8
19800901 19800930    13.8
19801001 19801031    73.8
19801101 19801130     6.6
19801201 19801231    21.4
19810101 19810131    14.4
19810201 19810228    23.6
19810301 19810331     1.8
19810401 19810430     7.8
19810501 19810531    38.0
19810601 19810630    56.0
19810701 19810731    51.2
19810801 19810831    38.4
19810901 19810930    13.0
19811001 19811031    27.6
19811101 19811130    23.0
19811201 19811231     3.0
19820101 19820131    21.2
19820201 19820228     0.0
19820301 19820331    21.4
19820401 19820430    16.6
19820501 19820531     9.8
19820601 19820630    22.4
19820701 19820731     1.8
19820801 19820831     8.8
19820901 19820930     4.4
19821001 19821031     6.2
19821101 19821130     5.2
19821201 19821231     3.0
19830101 19830131     0.4
19830201 19830228     9.0
19830301 19830331    72.0
19830401 19830430    13.0
19830501 19830531    22.4
19830601 19830630    15.7
19830701 19830731    49.6
19830801 19830831    43.0
19830901 19830930    49.2
19831001 19831031    31.0
19831101 19831130     9.8
19831201 19831231    20.6
19840101 19840131    86.4
19840201 19840229     5.2
19840301 19840331     9.6
19840401 19840430     8.6
19840501 19840531     3.2
19840601 19840630     1.5
19840701 19840731    41.6
19840801 19840831    61.3
19840901 19840930    20.6
19841001 19841031    11.0
19841101 19841130    22.0
19841201 19841231     1.8
19850101 19850131     6.4
19850201 19850228     0.6
19850301 19850331     8.4
19850401 19850430    11.4
19850501 19850531    17.0
19850601 19850630    15.2
19850701 19850731     5.0
19850801 19850831    73.2
19850901 19850930    19.6
19851001 19851031    24.4
19851101 19851130    28.2
19851201 19851231    72.0
19860101 19860131     2.0
19860201 19860228    12.0
19860301 19860331     0.0
19860401 19860430    34.4
19860501 19860531    47.0
19860601 19860630     5.2
19860701 19860731    66.6
19860801 19860831    54.4
19860901 19860930    47.4
19861001 19861031    57.8
19861101 19861130    15.6
19861201 19861231    37.2
19870101 19870131     5.8
19870201 19870228    17.2
19870301 19870331    17.2
19870401 19870430    11.0
19870501 19870531    51.0
19870601 19870630    45.1
19870701 19870731    25.6
19870801 19870831    53.2
19870901 19870930    13.3
19871001 19871031    27.0
19871101 19871130     9.8
19871201 19871231    35.3
19880101 19880131    42.6
19880201 19880229     9.4
19880301 19880331     7.7
19880401 19880430    17.5
19880501 19880531    52.8
19880601 19880630    36.1
19880701 19880731    27.0
19880801 19880831     5.4
19880901 19880930    52.4
19881001 19881031     9.8
19881101 19881130    54.6
19881201 19881231    13.4
19890101 19890131    16.2
19890201 19890228    18.0
19890301 19890331    50.6
19890401 19890430    42.0
19890501 19890531   102.9
19890601 19890630    50.8
19890701 19890731    39.9
19890801 19890831    45.2
19890901 19890930    14.2
19891001 19891031    17.2
19891101 19891130     8.4
19891201 19891231    20.5
19900101 19900131     6.4
19900201 19900228    25.0
19900301 19900331     9.6
19900401 19900430    42.8
19900501 19900531    29.2
19900601 19900630    30.8
19900701 19900731    61.2
19900801 19900831    28.4
19900901 19900930    14.4
19901001 19901031    13.6
19901101 19901130     9.4
19901201 19901231    13.0
19910101 19910131    49.6
19910201 19910228     0.0
19910301 19910331     5.0
19910401 19910430    22.6
19910501 19910531     0.4
19910601 19910630    52.2
19910701 19910731    39.0
19910801 19910831    27.2
19910901 19910930    43.8
19911001 19911031     0.0
19911101 19911130     9.6
19911201 19911231     4.4
19920101 19920131     0.0
19920201 19920229    18.8
19920301 19920331    17.6
19920401 19920430    23.9
19920501 19920531    57.8
19920601 19920630    21.8
19920701 19920731    11.8
19920801 19920831    51.4
19920901 19920930   123.0
19921001 19921031    88.1
19921101 19921130    48.1
19921201 19921231   107.1
19930101 19930131    42.4
19930201 19930228     4.0
19930301 19930331    19.2
19930401 19930430     0.8
19930501 19930531     6.2
19930601 19930630    11.2
19930701 19930731    43.2
19930801 19930831    22.8
19930901 19930930    66.2
19931001 19931031    52.8
19931101 19931130    23.6
19931201 19931231    33.2
19940101 19940131     8.0
19940201 19940228    36.6
19940301 19940331     4.8
19940401 19940430     3.0
19940501 19940531     5.2
19940601 19940630    35.8
19940701 19940731    12.6
19940801 19940831     2.4
19940901 19940930    11.4
19941001 19941031    14.8
19941101 19941130    12.2
19941201 19941231     0.0
19950101 19950131    22.8
19950201 19950228    16.0
19950301 19950331     1.2
19950401 19950430    17.0
19950501 19950531    90.2
19950601 19950630    60.8
19950701 19950731    65.6
19950801 19950831    15.4
19950901 19950930    21.0
19951001 19951031    47.6
19951101 19951130     2.2
19951201 19951231     1.6
19960101 19960131    35.0
19960201 19960229    24.4
19960301 19960331 99999.9
19960401 19960430 99999.9
19960501 19960531    10.8
19960601 19960630    51.0
19960701 19960731    67.0
19960801 19960831    42.8
19960901 19960930    49.8
19961001 19961031    16.6
19961101 19961130     4.4
19961201 19961231    12.4
19970101 19970131    26.4
19970201 19970228     1.4
19970301 19970331     4.6
19970401 19970430     0.2
19970501 19970531    25.4
19970601 19970630    18.4
19970701 19970731     7.0
19970801 19970831    41.2
19970901 19970930    45.4
