PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
19681201 19681231    91.7
19690101 19690131    25.4
19690201 19690228    93.0
19690301 19690331    64.3
19690401 19690430   138.9
19690501 19690531    59.2
19690601 19690630    54.4
19690701 19690731    52.1
19690801 19690831    74.9
19690901 19690930    54.6
19691001 19691031   122.4
19691101 19691130    40.4
19691201 19691231    44.7
19700101 19700131    61.7
19700201 19700228    39.9
19700301 19700331    51.8
19700401 19700430    74.2
19700501 19700531    44.2
19700601 19700630    32.3
19700701 19700731    20.8
19700801 19700831    78.7
19700901 19700930   133.4
19701001 19701031    30.7
19701101 19701130    90.7
19701201 19701231    72.9
19710101 19710131    40.4
19710201 19710228   177.1
19710301 19710331     6.9
19710401 19710430    29.6
19710501 19710531    33.8
19710601 19710630    21.9
19710701 19710731    48.2
19710801 19710831    30.7
19710901 19710930    38.7
19711001 19711031    16.5
19711101 19711130    95.2
19711201 19711231   130.8
19720101 19720131    80.0
19720201 19720229    47.0
19720301 19720331    12.5
19720401 19720430    33.5
19720501 19720531    62.3
19720601 19720630     7.4
19720701 19720731    27.5
19720801 19720831    91.1
19720901 19720930    12.7
19721001 19721031    43.7
19721101 19721130    43.6
19721201 19721231     8.7
19730101 19730131    26.6
19730201 19730228   100.1
19730301 19730331    37.2
19730401 19730430    26.9
19730501 19730531    34.1
19730601 19730630    73.0
19730701 19730731    60.0
19730801 19730831    73.2
19730901 19730930    46.2
19731001 19731031   161.2
19731101 19731130    93.2
19731201 19731231    79.3
19740101 19740131   150.8
19740201 19740228    67.8
19740301 19740331    10.2
19740401 19740430   213.2
19740501 19740531    49.8
19740601 19740630    15.0
19740701 19740731    90.8
19740801 19740831   112.8
19740901 19740930    67.0
19741001 19741031   145.6
19741101 19741130    44.8
19741201 19741231     4.4
19750101 19750131    34.8
19750201 19750228    53.8
19750301 19750331    43.6
19750401 19750430    17.6
19750501 19750531    27.4
19750601 19750630    17.4
19750701 19750731    59.0
19750801 19750831    61.4
19750901 19750930    79.7
19751001 19751031   115.4
19751101 19751130     7.6
19751201 19751231    74.2
19760101 19760131    93.8
19760201 19760229    37.4
19760301 19760331    31.4
19760401 19760430    32.4
19760501 19760531     9.6
19760601 19760630     2.4
19760701 19760731    20.8
19760801 19760831    12.4
19760901 19760930    88.2
19761001 19761031    87.6
19761101 19761130    37.0
19761201 19761231    16.6
19770101 19770131    27.2
19770201 19770228    85.2
19770301 19770331    58.2
19770401 19770430    28.4
19770501 19770531    85.0
19770601 19770630    52.4
19770701 19770731    20.2
19770801 19770831    20.6
19770901 19770930    49.6
19771001 19771031     1.0
19771101 19771130    15.0
19771201 19771231    20.8
19780101 19780131   123.2
19780201 19780228     0.0
19780301 19780331    43.8
19780401 19780430    27.4
19780501 19780531   105.7
19780601 19780630    62.5
19780701 19780731    46.8
19780801 19780831    16.6
19780901 19780930   144.0
19781001 19781031    44.2
19781101 19781130    59.2
19781201 19781231    79.2
19790101 19790131     6.0
19790201 19790228     5.2
19790301 19790331    48.2
19790401 19790430    67.4
19790501 19790531    30.0
19790601 19790630     6.8
19790701 19790731    21.4
19790801 19790831    40.2
19790901 19790930    38.4
19791001 19791031    32.4
19791101 19791130    30.0
19791201 19791231     0.0
19800101 19800131    61.8
19800201 19800229    26.2
19800301 19800331    13.4
19800401 19800430     2.6
19800501 19800531    90.2
19800601 19800630    58.0
19800701 19800731    38.6
19800801 19800831    30.0
19800901 19800930    39.2
19801001 19801031    61.6
19801101 19801130    20.4
19801201 19801231    65.0
19810101 19810131    40.4
19810201 19810228    92.8
19810301 19810331    20.4
19810401 19810430     9.0
19810501 19810531    53.8
19810601 19810630    94.8
19810701 19810731    87.8
19810801 19810831    63.0
19810901 19810930    23.2
19811001 19811031    30.2
19811101 19811130    41.0
19811201 19811231    28.0
19820101 19820131    13.8
19820201 19820228     1.0
19820301 19820331   134.8
19820401 19820430    16.0
19820501 19820531     2.8
19820601 19820630    28.4
19820701 19820731     2.6
19820801 19820831     5.0
19820901 19820930    44.4
19821001 19821031    10.6
19821101 19821130     0.4
19821201 19821231    15.6
19830101 19830131    20.0
19830201 19830228     2.2
19830301 19830331    24.0
19830401 19830430    70.2
19830501 19830531   128.8
19830601 19830630    38.4
19830701 19830731    60.4
19830801 19830831    92.2
19830901 19830930    55.8
19831001 19831031    84.0
19831101 19831130    69.4
19831201 19831231    56.2
19840101 19840131   263.0
19840201 19840229    44.4
