PRCP       087034 18770101 20161231 missing_value=99999.9 LOVELY BANKS RESERVOIR                    
19251001 19251031    15.1
19251101 19251130    72.1
19251201 19251231     7.4
19260101 19260131    28.4
19260201 19260228     7.4
19260301 19260331    35.4
19260401 19260430    29.3
19260501 19260531    46.1
19260601 19260630    35.7
19260701 19260731    41.0
19260801 19260831    29.2
19260901 19260930    44.1
19261001 19261031    44.7
19261101 19261130    19.4
19261201 19261231    17.2
19270101 19270131     5.9
19270201 19270228    11.8
19270301 19270331    26.8
19270401 19270430    10.2
19270501 19270531    44.7
19270601 19270630     9.8
19270701 19270731    58.6
19270801 19270831    42.5
19270901 19270930    14.1
19271001 19271031    33.8
19271101 19271130    21.4
19271201 19271231    52.4
19280101 19280131    57.6
19280201 19280229   143.0
19280301 19280331    73.2
19280401 19280430    29.6
19280501 19280531    34.9
19280601 19280630    37.1
19280701 19280731    11.3
19280801 19280831    14.0
19280901 19280930    34.6
19281001 19281031    71.1
19281101 19281130    16.4
19281201 19281231    12.5
19290101 19290131    23.3
19290201 19290228    45.3
19290301 19290331    31.3
19290401 19290430    61.3
19290501 19290531    22.8
19290601 19290630    38.7
19290701 19290731    25.9
19290801 19290831    41.8
19290901 19290930    32.0
19291001 19291031    46.2
19291101 19291130    63.6
19291201 19291231    53.5
19300101 19300131     2.0
19300201 19300228    58.0
19300301 19300331     7.6
19300401 19300430    30.3
19300501 19300531    70.7
19300601 19300630    41.5
19300701 19300731    36.4
19300801 19300831    64.6
19300901 19300930    39.8
19301001 19301031    55.8
19301101 19301130    41.5
19301201 19301231   104.2
19310101 19310131     6.6
19310201 19310228    25.3
19310301 19310331    63.7
19310401 19310430    61.8
19310501 19310531    57.3
19310601 19310630    67.6
19310701 19310731    41.7
19310801 19310831    29.2
19310901 19310930    32.5
19311001 19311031    24.9
19311101 19311130    79.6
19311201 19311231     7.4
19320101 19320131     1.3
19320201 19320229    50.9
19320301 19320331    80.8
19320401 19320430    76.4
19320501 19320531    15.2
19320601 19320630    27.4
19320701 19320731    38.6
19320801 19320831    65.1
19320901 19320930    27.1
19321001 19321031    59.9
19321101 19321130    13.8
19321201 19321231    42.2
19330101 19330131    12.9
19330201 19330228     8.2
19330301 19330331    11.5
19330401 19330430    33.0
19330501 19330531    50.2
19330601 19330630    27.6
19330701 19330731    43.5
19330801 19330831    34.4
19330901 19330930    27.4
19331001 19331031    23.0
19331101 19331130    66.4
19331201 19331231   146.4
19340101 19340131    58.1
19340201 19340228    17.6
19340301 19340331     7.7
19340401 19340430    91.2
19340501 19340531    10.2
19340601 19340630    30.2
19340701 19340731    35.6
19340801 19340831    53.0
19340901 19340930    39.2
19341001 19341031   120.4
19341101 19341130   142.3
19341201 19341231    64.5
19350101 19350131    30.5
19350201 19350228    33.3
19350301 19350331    29.5
19350401 19350430   135.9
19350501 19350531    24.0
19350601 19350630    34.6
19350701 19350731    30.7
19350801 19350831    44.6
19350901 19350930    34.8
19351001 19351031    49.3
19351101 19351130    23.8
19351201 19351231    16.5
19360101 19360131    24.2
19360201 19360229     8.7
19360301 19360331    36.8
19360401 19360430    35.4
19360501 19360531    22.1
19360601 19360630    42.4
19360701 19360731   115.6
19360801 19360831    56.0
19360901 19360930    22.6
19361001 19361031    48.7
19361101 19361130    43.3
19361201 19361231    59.0
19370101 19370131    45.6
19370201 19370228    34.4
19370301 19370331    25.5
19370401 19370430     9.4
19370501 19370531    43.7
19370601 19370630    16.3
19370701 19370731    36.8
19370801 19370831    37.6
19370901 19370930    26.2
19371001 19371031    66.3
19371101 19371130    10.4
19371201 19371231    36.4
19380101 19380131    29.8
19380201 19380228    31.6
19380301 19380331    28.7
19380401 19380430    31.9
19380501 19380531    19.3
19380601 19380630    87.1
19380701 19380731    53.2
19380801 19380831    17.4
19380901 19380930    27.5
19381001 19381031    13.8
19381101 19381130    45.8
19381201 19381231     8.6
19390101 19390131     2.1
19390201 19390228    95.2
19390301 19390331     4.9
19390401 19390430    67.1
19390501 19390531    44.3
19390601 19390630    79.3
19390701 19390731    25.4
19390801 19390831    89.1
19390901 19390930    46.9
19391001 19391031    49.3
19391101 19391130   104.9
19391201 19391231    18.3
19400101 19400131    40.7
19400201 19400229     8.6
19400301 19400331     8.9
19400401 19400430    46.2
19400501 19400531    20.0
19400601 19400630    20.4
19400701 19400731    33.4
19400801 19400831    12.3
19400901 19400930    55.9
19401001 19401031    16.3
19401101 19401130    49.6
19401201 19401231    42.5
19410101 19410131    93.4
19410201 19410228    18.6
19410301 19410331    58.2
19410401 19410430    49.9
19410501 19410531     6.8
19410601 19410630    51.9
19410701 19410731    39.2
19410801 19410831    56.2
19410901 19410930    73.9
19411001 19411031    27.9
19411101 19411130    45.1
19411201 19411231    22.2
19420101 19420131    22.1
19420201 19420228    33.6
19420301 19420331    41.0
19420401 19420430    27.7
19420501 19420531    71.4
19420601 19420630    23.2
19420701 19420731    34.2
19420801 19420831    48.4
19420901 19420930    55.5
19421001 19421031    52.1
19421101 19421130    60.4
19421201 19421231    23.7
19430101 19430131    39.2
19430201 19430228    16.7
19430301 19430331     9.9
19430401 19430430    45.4
19430501 19430531     9.4
19430601 19430630    58.5
19430701 19430731    45.0
19430801 19430831    41.5
19430901 19430930    74.7
19431001 19431031    20.3
19431101 19431130    25.8
19431201 19431231    19.8
19440101 19440131    23.9
19440201 19440229     7.1
19440301 19440331    18.6
19440401 19440430    39.6
19440501 19440531    63.6
19440601 19440630    13.9
19440701 19440731    19.4
19440801 19440831    20.4
19440901 19440930    27.7
19441001 19441031    51.1
19441101 19441130    26.4
19441201 19441231    46.2
19450101 19450131    41.4
19450201 19450228    64.6
19450301 19450331     1.3
19450401 19450430     8.2
19450501 19450531    80.1
19450601 19450630    32.2
19450701 19450731    73.8
19450801 19450831    38.8
19450901 19450930    33.4
19451001 19451031    47.7
19451101 19451130    62.3
19451201 19451231    18.9
19460101 19460131    66.8
19460201 19460228   101.1
19460301 19460331    49.5
19460401 19460430    41.2
19460501 19460531    39.4
19460601 19460630    63.4
19460701 19460731    34.3
19460801 19460831    36.7
19460901 19460930    54.9
19461001 19461031    36.5
19461101 19461130    28.8
19461201 19461231    83.0
19470101 19470131    13.3
19470201 19470228    62.6
19470301 19470331    77.1
19470401 19470430    51.3
19470501 19470531    11.4
19470601 19470630    55.0
19470701 19470731    53.1
19470801 19470831    40.0
19470901 19470930    46.9
19471001 19471031    79.7
19471101 19471130    51.6
19471201 19471231    91.5
19480101 19480131    20.0
19480201 19480229    14.7
19480301 19480331     8.6
19480401 19480430    60.6
19480501 19480531    61.4
19480601 19480630    43.5
19480701 19480731    35.2
19480801 19480831    16.1
19480901 19480930    43.3
19481001 19481031    96.6
19481101 19481130    32.3
19481201 19481231    34.3
19490101 19490131    12.2
19490201 19490228   104.9
19490301 19490331   111.2
19490401 19490430     7.5
19490501 19490531    40.2
19490601 19490630    61.5
19490701 19490731    35.2
19490801 19490831    30.4
19490901 19490930    46.8
19491001 19491031   133.7
19491101 19491130    92.1
19491201 19491231    24.4
19500101 19500131     8.9
19500201 19500228    73.2
19500301 19500331    73.1
19500401 19500430   117.2
19500501 19500531    51.3
19500601 19500630    24.5
19500701 19500731    37.7
19500801 19500831    41.4
19500901 19500930    75.0
19501001 19501031    54.7
19501101 19501130    55.2
19501201 19501231    56.4
19510101 19510131    17.8
19510201 19510228   120.4
19510301 19510331     8.6
19510401 19510430    80.5
19510501 19510531    77.3
19510601 19510630    49.6
19510701 19510731    54.4
19510801 19510831   124.2
19510901 19510930    40.8
19511001 19511031    38.7
19511101 19511130    40.0
19511201 19511231    35.2
19520101 19520131    12.3
19520201 19520229    35.8
19520301 19520331    15.0
19520401 19520430    49.0
19520501 19520531    79.0
19520601 19520630   110.0
19520701 19520731    63.0
19520801 19520831    34.6
19520901 19520930    55.7
19521001 19521031   104.6
19521101 19521130    86.1
19521201 19521231    54.0
19530101 19530131    30.1
19530201 19530228    16.6
19530301 19530331     3.7
19530401 19530430    27.2
19530501 19530531    42.5
19530601 19530630    36.8
19530701 19530731    49.7
19530801 19530831    65.0
19530901 19530930    54.3
19531001 19531031    75.8
19531101 19531130    69.2
19531201 19531231    19.5
19540101 19540131    40.0
19540201 19540228    62.6
19540301 19540331    10.8
19540401 19540430    69.1
19540501 19540531    38.1
19540601 19540630    46.3
19540701 19540731    26.3
19540801 19540831    45.2
19540901 19540930    46.0
19541001 19541031    65.5
19541101 19541130   123.9
19541201 19541231    65.1
19550101 19550131    22.9
19550201 19550228    62.1
19550301 19550331    72.4
19550401 19550430    27.3
19550501 19550531    48.3
19550601 19550630    70.7
19550701 19550731    35.7
19550801 19550831    86.3
19550901 19550930    62.7
19551001 19551031    77.9
19551101 19551130    30.0
19551201 19551231    36.7
19560101 19560131    49.4
19560201 19560229     6.7
19560301 19560331    38.0
19560401 19560430    45.7
19560501 19560531    55.3
19560601 19560630    34.6
19560701 19560731    57.5
19560801 19560831    53.4
19560901 19560930    59.1
19561001 19561031    63.1
19561101 19561130    35.5
19561201 19561231    33.2
19570101 19570131     1.3
19570201 19570228    38.7
19570301 19570331    24.1
19570401 19570430    25.7
19570501 19570531    32.5
19570601 19570630    40.4
19570701 19570731    62.8
19570801 19570831    40.7
19570901 19570930    58.9
19571001 19571031    65.6
19571101 19571130    22.9
19571201 19571231    45.7
19580101 19580131    12.2
19580201 19580228    59.8
19580301 19580331    11.2
19580401 19580430    24.6
19580501 19580531    67.3
19580601 19580630    23.1
19580701 19580731    74.7
19580801 19580831    70.3
19580901 19580930    37.3
19581001 19581031    85.0
19581101 19581130    40.2
19581201 19581231    34.6
19590101 19590131     7.7
19590201 19590228    59.9
19590301 19590331    90.5
19590401 19590430    14.8
19590501 19590531    15.3
19590601 19590630    36.8
19590701 19590731    31.9
19590801 19590831    56.8
19590901 19590930    63.8
19591001 19591031    48.4
19591101 19591130    38.5
19591201 19591231    68.5
19600101 19600131    24.9
19600201 19600229    46.9
19600301 19600331    10.2
19600401 19600430   119.9
19600501 19600531    72.3
19600601 19600630    20.0
19600701 19600731    59.6
19600801 19600831    43.0
19600901 19600930    71.8
19601001 19601031    21.1
19601101 19601130    77.2
19601201 19601231    19.5
19610101 19610131     6.1
19610201 19610228    28.6
19610301 19610331    48.9
19610401 19610430    48.4
19610501 19610531    26.9
19610601 19610630    51.1
19610701 19610731    38.4
19610801 19610831    45.7
19610901 19610930    19.1
19611001 19611031    30.5
19611101 19611130    29.1
19611201 19611231    50.1
19620101 19620131    24.8
19620201 19620228    27.2
19620301 19620331    14.5
19620401 19620430    23.5
19620501 19620531    77.2
19620601 19620630    40.5
19620701 19620731    50.6
19620801 19620831    53.9
19620901 19620930    78.4
19621001 19621031    71.0
19621101 19621130    15.5
19621201 19621231    30.4
19630101 19630131    89.2
19630201 19630228    45.9
19630301 19630331    30.3
19630401 19630430    21.3
19630501 19630531    89.8
19630601 19630630    52.3
19630701 19630731    52.3
19630801 19630831    24.4
19630901 19630930    76.6
19631001 19631031    34.7
19631101 19631130     9.9
19631201 19631231    24.5
19640101 19640131     3.0
19640201 19640229    98.9
19640301 19640331    28.5
19640401 19640430   100.4
19640501 19640531    48.9
19640601 19640630    31.1
19640701 19640731    87.1
19640801 19640831    40.9
19640901 19640930    69.2
19641001 19641031    82.5
19641101 19641130    57.5
19641201 19641231    62.9
19650101 19650131    12.6
19650201 19650228     1.3
19650301 19650331    11.3
19650401 19650430    80.9
19650501 19650531    46.5
19650601 19650630    37.8
19650701 19650731    72.5
19650801 19650831   112.1
19650901 19650930    30.2
19651001 19651031    18.9
19651101 19651130    70.1
19651201 19651231    59.7
19660101 19660131    34.7
19660201 19660228    53.4
19660301 19660331    85.7
19660401 19660430    34.8
19660501 19660531    31.9
19660601 19660630    20.9
19660701 19660731    46.5
19660801 19660831    62.1
19660901 19660930    74.0
19661001 19661031    78.1
19661101 19661130    51.5
19661201 19661231    68.7
19670101 19670131    19.1
19670201 19670228     1.3
19670301 19670331    14.3
19670401 19670430    14.4
19670501 19670531    25.8
19670601 19670630    27.5
19670701 19670731    22.3
19670801 19670831    66.5
19670901 19670930    37.1
19671001 19671031     9.3
19671101 19671130    14.1
19671201 19671231    33.7
19680101 19680131    21.1
19680201 19680229     9.5
19680301 19680331    11.5
19680401 19680430    98.1
19680501 19680531    57.7
19680601 19680630    45.0
19680701 19680731    36.9
19680801 19680831    55.3
19680901 19680930    20.1
19681001 19681031    47.7
19681101 19681130    39.0
19681201 19681231    35.7
19690101 19690131    14.8
19690201 19690228    58.5
19690301 19690331    22.6
19690401 19690430    21.5
19690501 19690531    68.5
19690601 19690630    10.9
19690701 19690731    50.5
19690801 19690831    54.2
19690901 19690930    48.2
19691001 19691031    16.4
19691101 19691130    35.0
19691201 19691231    27.3
19700101 19700131   102.0
19700201 19700228     1.3
19700301 19700331    97.4
19700401 19700430    62.3
19700501 19700531    57.7
19700601 19700630    35.5
19700701 19700731    29.6
19700801 19700831    69.1
19700901 19700930    51.6
19701001 19701031    34.4
19701101 19701130   109.2
19701201 19701231    85.6
19710101 19710131    72.0
19710201 19710228    83.3
19710301 19710331    20.1
19710401 19710430    53.0
19710501 19710531    41.7
19710601 19710630    59.5
19710701 19710731    23.0
19710801 19710831    34.0
19710901 19710930    45.8
19711001 19711031    67.8
19711101 19711130    60.7
19711201 19711231    64.1
19720101 19720131    48.7
19720201 19720229    97.1
19720301 19720331    43.7
19720401 19720430    49.1
19720501 19720531    31.6
19720601 19720630    23.3
19720701 19720731    27.3
19720801 19720831    30.4
19720901 19720930    17.4
19721001 19721031    41.8
19721101 19721130    40.6
