PRCP       008141 19070101 20160731 missing_value=99999.9 WILLI GULLI NORTH                         
19770701 19770731    22.4
19770801 19770831    55.4
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231    17.0
19780101 19780131     7.6
19780201 19780228     0.0
19780301 19780331     0.0
19780401 19780430     0.0
19780501 19780531    23.0
19780601 19780630   149.4
19780701 19780731   158.6
19780801 19780831    47.0
19780901 19780930    69.0
19781001 19781031    32.2
19781101 19781130     0.0
19781201 19781231     0.0
19790101 19790131     0.0
19790201 19790228     8.0
19790301 19790331    90.8
19790401 19790430    46.0
19790501 19790531    31.8
19790601 19790630    79.0
19790701 19790731    15.0
19790801 19790831    92.4
19790901 19790930     4.6
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231     0.0
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    31.1
19800501 19800531    82.2
19800601 19800630   106.8
19800701 19800731    74.6
19800801 19800831    41.8
19800901 19800930    24.4
19801001 19801031    20.8
19801101 19801130     5.0
19801201 19801231     0.0
19810101 19810131     8.0
19810201 19810228     0.0
19810301 19810331     0.0
19810401 19810430     0.0
19810501 19810531   102.0
19810601 19810630   140.4
19810701 19810731   113.5
19810801 19810831    67.8
19810901 19810930    17.0
19811001 19811031    11.2
19811101 19811130     3.2
19811201 19811231     0.0
19820101 19820131    19.2
19820201 19820228     0.0
19820301 19820331     0.0
19820401 19820430     0.0
19820501 19820531    41.0
19820601 19820630   186.2
19820701 19820731    74.6
19820801 19820831    72.8
19820901 19820930    43.8
19821001 19821031     7.4
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331     0.0
19830401 19830430     2.0
19830501 19830531    12.4
19830601 19830630   137.8
19830701 19830731    82.8
19830801 19830831    92.2
19830901 19830930    52.6
19831001 19831031     3.0
19831101 19831130    12.6
19831201 19831231    13.8
19840101 19840131     0.0
19840201 19840229    49.2
19840301 19840331    56.2
19840401 19840430    63.0
19840501 19840531   150.2
19840601 19840630    41.0
19840701 19840731    65.2
19840801 19840831    63.2
19840901 19840930    37.1
19841001 19841031     8.0
19841101 19841130    26.6
19841201 19841231     0.0
19850101 19850131     0.0
19850201 19850228     0.0
19850301 19850331    15.0
19850401 19850430     0.0
19850501 19850531     9.0
19850601 19850630    66.2
19850701 19850731    95.0
19850801 19850831    78.6
19850901 19850930    20.4
19851001 19851031     2.5
19851101 19851130    10.8
19851201 19851231     2.8
19860101 19860131     0.0
19860201 19860228    64.2
19860301 19860331     3.0
19860401 19860430     3.4
19860501 19860531    67.5
19860601 19860630   120.3
19860701 19860731   100.6
19860801 19860831    66.5
19860901 19860930    18.3
19861001 19861031    12.2
19861101 19861130     1.8
19861201 19861231     1.8
19870101 19870131     1.0
19870201 19870228     3.6
19870301 19870331    26.3
19870401 19870430    31.6
19870501 19870531    34.0
19870601 19870630    89.1
19870701 19870731    93.5
19870801 19870831    51.6
19870901 19870930    15.0
19871001 19871031    13.6
19871101 19871130    16.7
19871201 19871231     0.0
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331     3.0
19880401 19880430    32.8
19880501 19880531   145.2
19880601 19880630    63.2
19880701 19880731    98.6
19880801 19880831    52.3
19880901 19880930    25.0
19881001 19881031     3.8
19881101 19881130    14.1
19881201 19881231    13.2
19890101 19890131    27.6
19890201 19890228     0.0
