PRCP       010091 19000101 20160531 missing_value=99999.9 MECKERING                                 
19621001 19621031    29.3
19621101 19621130    17.3
19621201 19621231    10.6
19630101 19630131     6.6
19630201 19630228    65.0
19630301 19630331    22.7
19630401 19630430    15.3
19630501 19630531   115.5
19630601 19630630   121.4
19630701 19630731    87.9
19630801 19630831   103.8
19630901 19630930    19.3
19631001 19631031    11.4
19631101 19631130    12.1
19631201 19631231     4.8
19640101 19640131     0.0
19640201 19640229     7.6
19640301 19640331    12.2
19640401 19640430    39.1
19640501 19640531     2.0
19640601 19640630   126.6
19640701 19640731   129.3
19640801 19640831    63.0
19640901 19640930    35.4
19641001 19641031    11.7
19641101 19641130     1.3
19641201 19641231     5.6
19650101 19650131     2.3
19650201 19650228     2.8
19650301 19650331    12.7
19650401 19650430     5.7
19650501 19650531    62.5
19650601 19650630    75.3
19650701 19650731    77.6
19650801 19650831    69.9
19650901 19650930    23.9
19651001 19651031    32.5
19651101 19651130    23.2
19651201 19651231    22.4
19660101 19660131     5.1
19660201 19660228    10.5
19660301 19660331     0.8
19660401 19660430    72.0
19660501 19660531    11.2
19660601 19660630    66.0
19660701 19660731    86.3
19660801 19660831    14.2
19660901 19660930    31.8
19661001 19661031    49.4
19661101 19661130     3.6
19661201 19661231     2.5
19670101 19670131     6.9
19670201 19670228     1.3
19670301 19670331     0.3
19670401 19670430    13.2
19670501 19670531   111.3
19670601 19670630    74.1
19670701 19670731    78.9
19670801 19670831    29.6
19670901 19670930     9.9
19671001 19671031     6.9
19671101 19671130     5.5
19671201 19671231     7.9
19680101 19680131    71.1
19680201 19680229    16.9
19680301 19680331    53.5
19680401 19680430    38.1
19680501 19680531    34.7
19680601 19680630   185.6
19680701 19680731    61.0
19680801 19680831    40.2
19680901 19680930    42.9
19681001 19681031    11.5
19681101 19681130     3.8
19681201 19681231     0.0
19690101 19690131     1.0
19690201 19690228    15.7
19690301 19690331    10.7
19690401 19690430    16.0
19690501 19690531    37.4
19690601 19690630    48.8
19690701 19690731    28.2
19690801 19690831    12.1
19690901 19690930    10.8
19691001 19691031     0.8
19691101 19691130     3.4
19691201 19691231     0.8
19700101 19700131     0.0
19700201 19700228    93.0
19700301 19700331     0.0
19700401 19700430    20.0
19700501 19700531    33.7
19700601 19700630    75.4
19700701 19700731    25.2
19700801 19700831    26.3
19700901 19700930    31.0
19701001 19701031    19.8
19701101 19701130     0.5
19701201 19701231     8.4
19710101 19710131     0.0
19710201 19710228    13.5
19710301 19710331    68.4
19710401 19710430     7.1
19710501 19710531    19.4
19710601 19710630    22.9
19710701 19710731    29.3
19710801 19710831    35.1
19710901 19710930    61.4
19711001 19711031    19.7
19711101 19711130     7.7
19711201 19711231     0.0
19720101 19720131     0.0
19720201 19720229     0.0
19720301 19720331     5.1
19720401 19720430     8.1
19720501 19720531    37.1
19720601 19720630    51.2
19720701 19720731    40.2
19720801 19720831    54.4
19720901 19720930    25.9
19721001 19721031     5.2
19721101 19721130     0.0
19721201 19721231     0.0
19730101 19730131    15.3
19730201 19730228     0.0
19730301 19730331     1.3
19730401 19730430     6.3
19730501 19730531    40.1
19730601 19730630   106.8
19730701 19730731    80.1
19730801 19730831    47.0
19730901 19730930    87.1
19731001 19731031    26.7
19731101 19731130     0.0
19731201 19731231     0.0
19740101 19740131     0.0
19740201 19740228     1.2
19740301 19740331     7.4
19740401 19740430    78.6
19740501 19740531    91.5
19740601 19740630    47.2
19740701 19740731    78.9
19740801 19740831    56.7
19740901 19740930    23.0
19741001 19741031    20.6
19741101 19741130    16.2
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     1.4
19750301 19750331    11.4
19750401 19750430    46.5
19750501 19750531    25.1
19750601 19750630    44.4
19750701 19750731    94.1
19750801 19750831    26.8
19750901 19750930    27.3
19751001 19751031    20.0
19751101 19751130     5.2
19751201 19751231     5.6
19760101 19760131    13.2
19760201 19760229    32.2
19760301 19760331     0.0
19760401 19760430    57.9
19760501 19760531    31.5
19760601 19760630    37.2
19760701 19760731    17.0
19760801 19760831    77.1
19760901 19760930    47.4
19761001 19761031    19.2
19761101 19761130    29.1
19761201 19761231     0.0
19770101 19770131     0.8
19770201 19770228     7.0
19770301 19770331     0.0
19770401 19770430    20.1
19770501 19770531    27.5
19770601 19770630    49.1
19770701 19770731    30.6
19770801 19770831    69.8
19770901 19770930    12.0
19771001 19771031    35.6
19771101 19771130     2.5
19771201 19771231     4.8
19780101 19780131    16.8
19780201 19780228    43.0
19780301 19780331     0.0
19780401 19780430    23.4
19780501 19780531    33.2
19780601 19780630    32.2
19780701 19780731    78.9
19780801 19780831    20.4
19780901 19780930    26.1
19781001 19781031     7.8
19781101 19781130    17.0
19781201 19781231    13.2
19790101 19790131     0.4
19790201 19790228    36.9
19790301 19790331    32.2
19790401 19790430    12.7
19790501 19790531    20.3
19790601 19790630    54.6
19790701 19790731    29.1
19790801 19790831    51.0
19790901 19790930    12.3
19791001 19791031     3.5
19791101 19791130    17.2
19791201 19791231     3.4
19800101 19800131     0.0
19800201 19800229    20.0
19800301 19800331     0.2
19800401 19800430    26.2
19800501 19800531    39.8
