PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19310301 19310331    98.2
19310401 19310430    41.2
19310501 19310531    34.3
19310601 19310630    39.4
19310701 19310731    21.4
19310801 19310831     1.5
19310901 19310930    13.5
19311001 19311031    46.8
19311101 19311130   155.5
19311201 19311231   180.9
19320101 19320131    15.8
19320201 19320229     6.6
19320301 19320331    17.8
19320401 19320430   108.8
19320501 19320531    26.5
19320601 19320630    18.8
19320701 19320731    16.5
19320801 19320831     2.8
19320901 19320930    27.7
19321001 19321031    55.9
19321101 19321130    81.4
19321201 19321231    55.1
19330101 19330131    88.0
19330201 19330228    47.8
19330301 19330331    21.9
19330401 19330430    47.4
19330501 19330531     3.6
19330601 19330630    53.7
19330701 19330731    82.7
19330801 19330831    38.7
19330901 19330930    50.1
19331001 19331031   144.0
19331101 19331130   229.8
19331201 19331231    76.8
19340101 19340131    95.9
19340201 19340228   122.3
19340301 19340331     1.3
19340401 19340430    61.5
19340501 19340531    80.3
19340601 19340630    42.4
19340701 19340731    63.5
19340801 19340831     6.7
19340901 19340930    13.2
19341001 19341031    66.6
19341101 19341130   123.7
19341201 19341231   212.7
19350101 19350131   132.8
19350201 19350228     9.1
19350301 19350331    11.7
19350401 19350430     5.6
19350501 19350531    20.7
19350601 19350630     3.4
19350701 19350731    47.3
19350801 19350831    20.6
19350901 19350930    75.5
19351001 19351031    59.5
19351101 19351130     9.4
19351201 19351231    64.9
19360101 19360131    40.8
19360201 19360229    41.7
19360301 19360331   130.8
19360401 19360430     6.6
19360501 19360531     3.8
19360601 19360630    32.8
19360701 19360731    63.6
19360801 19360831     9.1
19360901 19360930    22.7
19361001 19361031     7.1
19361101 19361130    34.6
19361201 19361231    85.9
19370101 19370131    90.5
19370201 19370228    78.3
19370301 19370331   172.5
19370401 19370430    19.6
19370501 19370531     0.0
19370601 19370630    17.3
19370701 19370731    21.9
19370801 19370831    35.8
19370901 19370930     7.9
19371001 19371031    53.6
19371101 19371130   122.0
19371201 19371231    55.1
19380101 19380131    90.2
19380201 19380228     0.3
19380301 19380331    56.9
19380401 19380430    51.8
