PRCP       015553 18880101 20151231 missing_value=99999.9 HAMILTON DOWNS                            
19670501 19670531     3.3
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231    20.0
19680101 19680131    84.1
19680201 19680229    26.9
19680301 19680331    32.0
19680401 19680430    45.2
19680501 19680531    80.0
19680601 19680630     8.4
19680701 19680731    45.3
19680801 19680831    11.4
19680901 19680930    30.9
19681001 19681031    35.4
19681101 19681130    52.5
19681201 19681231    24.0
19690101 19690131    25.3
19690201 19690228    56.5
19690301 19690331    61.8
19690401 19690430     0.0
19690501 19690531     6.1
19690601 19690630     6.4
19690701 19690731    32.3
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    20.6
19691101 19691130     0.0
19691201 19691231    22.3
19700101 19700131     0.0
19700201 19700228    12.2
19700301 19700331    15.8
19700401 19700430    63.2
19700501 19700531     5.6
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     5.1
19701001 19701031     0.0
19701101 19701130    32.7
19701201 19701231    25.4
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331    28.5
19710401 19710430     4.6
19710501 19710531     0.0
19710601 19710630     6.9
19710701 19710731    16.5
19710801 19710831     7.3
19710901 19710930     0.0
19711001 19711031     2.8
19711101 19711130    60.5
19711201 19711231    26.7
19720101 19720131     1.0
19720201 19720229     4.0
19720301 19720331   247.4
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     9.4
19720901 19720930     9.4
19721001 19721031     2.3
19721101 19721130    35.5
19721201 19721231     0.0
19730101 19730131    59.4
19730201 19730228    35.1
19730301 19730331     0.8
19730401 19730430    15.2
19730501 19730531    17.1
19730601 19730630    84.2
19730701 19730731    19.6
19730801 19730831    97.3
19730901 19730930    20.3
19731001 19731031    24.1
19731101 19731130   173.8
19731201 19731231    57.8
19740101 19740131   347.1
19740201 19740228    29.3
19740301 19740331    79.0
19740401 19740430    65.0
19740501 19740531    41.6
19740601 19740630     0.0
19740701 19740731     0.6
19740801 19740831    27.6
19740901 19740930    91.8
19741001 19741031    56.6
19741101 19741130    39.6
19741201 19741231    35.0
19750101 19750131    42.8
19750201 19750228    57.0
19750301 19750331    65.4
19750401 19750430     0.0
19750501 19750531     0.0
