PRCP       009551 19020801 20161031 missing_value=99999.9 GRASSMERE                                 
19580501 19580531   145.8
19580601 19580630   113.6
19580701 19580731   223.9
19580801 19580831   104.1
19580901 19580930   132.2
19581001 19581031    57.8
19581101 19581130    33.1
19581201 19581231    24.4
19590101 19590131     8.9
19590201 19590228    21.0
19590301 19590331    21.8
19590401 19590430    69.9
19590501 19590531    49.9
19590601 19590630   128.7
19590701 19590731    72.6
19590801 19590831   128.1
19590901 19590930   163.6
19591001 19591031    67.8
19591101 19591130   118.1
19591201 19591231    44.5
19600101 19600131    36.4
19600201 19600229    11.6
19600301 19600331   133.1
19600401 19600430    65.7
19600501 19600531   115.8
19600601 19600630    75.9
19600701 19600731   224.3
19600801 19600831    78.9
19600901 19600930    79.8
19601001 19601031    35.7
19601101 19601130    27.8
19601201 19601231    76.2
19610101 19610131    39.9
19610201 19610228    21.3
19610301 19610331    31.5
19610401 19610430   224.9
19610501 19610531    74.4
19610601 19610630   106.0
19610701 19610731   167.2
19610801 19610831   103.0
19610901 19610930    92.0
19611001 19611031    60.5
19611101 19611130    37.4
19611201 19611231    18.9
19620101 19620131     3.9
19620201 19620228    16.9
19620301 19620331    21.9
19620401 19620430    44.1
19620501 19620531   125.6
19620601 19620630   175.2
19620701 19620731   149.6
19620801 19620831   132.3
19620901 19620930   104.3
19621001 19621031   131.5
19621101 19621130    50.7
19621201 19621231    73.0
19630101 19630131    46.6
19630201 19630228    14.3
19630301 19630331    34.7
19630401 19630430    71.8
19630501 19630531   300.8
19630601 19630630   123.4
19630701 19630731   194.8
19630801 19630831   112.6
19630901 19630930    83.6
19631001 19631031    63.3
19631101 19631130    28.5
19631201 19631231    19.0
19640101 19640131    28.1
19640201 19640229    17.3
19640301 19640331    14.0
19640401 19640430    63.6
19640501 19640531    94.1
19640601 19640630   148.9
19640701 19640731   273.4
19640801 19640831   114.9
19640901 19640930   115.0
19641001 19641031   164.1
19641101 19641130    35.8
19641201 19641231    23.0
19650101 19650131    30.3
19650201 19650228    16.8
19650301 19650331    35.6
19650401 19650430    42.3
19650501 19650531   111.0
19650601 19650630   129.7
19650701 19650731    64.6
19650801 19650831   148.6
19650901 19650930    75.4
19651001 19651031   131.3
19651101 19651130    64.5
19651201 19651231    76.7
19660101 19660131    18.1
19660201 19660228    12.8
19660301 19660331    24.0
19660401 19660430   127.2
19660501 19660531    79.7
19660601 19660630   194.7
19660701 19660731   148.3
19660801 19660831   119.6
19660901 19660930   174.0
19661001 19661031    81.1
19661101 19661130    25.0
19661201 19661231    37.4
19670101 19670131     4.3
19670201 19670228    18.6
19670301 19670331   108.9
19670401 19670430    69.0
19670501 19670531   154.4
19670601 19670630   122.5
19670701 19670731   235.4
19670801 19670831   142.6
19670901 19670930    61.9
19671001 19671031    55.2
19671101 19671130    55.0
19671201 19671231    49.7
19680101 19680131    35.9
19680201 19680229    21.7
19680301 19680331    46.0
19680401 19680430   136.4
19680501 19680531    52.5
19680601 19680630   105.9
19680701 19680731   122.9
19680801 19680831   160.9
19680901 19680930   159.1
19681001 19681031    86.0
19681101 19681130    36.7
19681201 19681231    15.2
19690101 19690131    13.3
19690201 19690228     3.8
19690301 19690331    34.1
19690401 19690430    80.5
19690501 19690531    75.2
19690601 19690630   144.1
19690701 19690731   108.7
19690801 19690831    94.1
19690901 19690930    58.9
19691001 19691031    43.2
19691101 19691130    37.5
19691201 19691231    27.5
19700101 19700131     4.3
19700201 19700228    82.7
19700301 19700331    11.2
19700401 19700430   156.9
19700501 19700531    69.9
19700601 19700630   172.2
19700701 19700731   147.1
19700801 19700831   120.9
19700901 19700930   137.4
19701001 19701031    53.4
19701101 19701130    41.6
19701201 19701231    21.2
19710101 19710131    26.8
19710201 19710228    30.8
19710301 19710331    37.3
19710401 19710430    72.7
19710501 19710531   189.3
19710601 19710630    95.1
19710701 19710731   101.5
19710801 19710831   144.8
19710901 19710930   132.9
19711001 19711031   111.4
19711101 19711130   109.0
19711201 19711231    24.4
19720101 19720131    12.4
19720201 19720229    11.2
19720301 19720331    15.4
19720401 19720430    83.5
19720501 19720531    76.5
19720601 19720630    80.6
19720701 19720731   198.5
19720801 19720831   128.8
19720901 19720930    60.1
19721001 19721031    71.9
19721101 19721130     7.8
19721201 19721231    10.6
19730101 19730131    16.5
19730201 19730228    13.2
19730301 19730331    29.1
19730401 19730430   107.1
19730501 19730531   110.0
19730601 19730630   153.7
19730701 19730731   133.7
19730801 19730831   178.5
19730901 19730930   109.1
19731001 19731031   137.7
19731101 19731130    41.4
19731201 19731231    11.8
19740101 19740131    19.1
19740201 19740228    18.6
19740301 19740331    11.2
19740401 19740430    60.3
19740501 19740531    89.0
19740601 19740630    83.2
19740701 19740731   183.4
19740801 19740831   102.3
19740901 19740930    67.7
19741001 19741031    97.5
19741101 19741130    57.0
19741201 19741231    11.6
19750101 19750131    13.9
19750201 19750228    10.0
19750301 19750331    13.4
19750401 19750430   123.2
19750501 19750531   161.4
19750601 19750630    98.0
19750701 19750731   227.7
19750801 19750831   100.5
19750901 19750930   114.9
19751001 19751031    83.4
19751101 19751130    40.0
19751201 19751231    10.9
19760101 19760131    66.0
19760201 19760229    41.0
19760301 19760331    16.7
19760401 19760430   110.4
19760501 19760531   150.0
19760601 19760630    72.1
19760701 19760731   155.4
19760801 19760831   114.0
19760901 19760930    73.7
19761001 19761031   171.6
19761101 19761130   110.4
19761201 19761231    21.2
19770101 19770131     8.0
19770201 19770228    12.1
19770301 19770331    16.9
19770401 19770430    31.8
19770501 19770531   127.0
19770601 19770630    92.0
19770701 19770731   102.0
19770801 19770831   155.6
19770901 19770930    89.0
19771001 19771031   144.8
19771101 19771130    26.6
19771201 19771231    37.0
19780101 19780131    21.0
19780201 19780228    31.8
19780301 19780331    14.4
19780401 19780430    72.2
19780501 19780531   161.8
19780601 19780630   218.8
19780701 19780731   173.3
19780801 19780831    76.7
19780901 19780930   139.4
19781001 19781031    49.4
19781101 19781130    32.0
19781201 19781231    34.8
19790101 19790131    18.8
19790201 19790228    36.2
19790301 19790331    49.6
19790401 19790430    32.3
19790501 19790531   133.2
19790601 19790630   118.8
19790701 19790731   146.2
19790801 19790831   198.2
19790901 19790930   106.0
19791001 19791031    77.8
19791101 19791130    83.2
19791201 19791231     7.2
19800101 19800131     4.5
19800201 19800229    17.0
19800301 19800331     7.0
19800401 19800430   121.0
19800501 19800531    77.0
19800601 19800630   136.2
19800701 19800731   130.8
19800801 19800831   104.4
19800901 19800930    71.4
19801001 19801031   113.2
19801101 19801130    45.4
19801201 19801231    17.8
19810101 19810131     9.8
19810201 19810228    13.8
19810301 19810331    19.8
19810401 19810430    61.2
19810501 19810531   189.2
19810601 19810630   197.6
19810701 19810731   148.4
19810801 19810831   152.8
19810901 19810930    58.2
19811001 19811031    60.2
19811101 19811130    51.2
19811201 19811231     8.8
19820101 19820131   117.8
19820201 19820228    21.6
19820301 19820331    38.8
19820401 19820430    21.0
19820501 19820531    90.2
19820601 19820630   138.6
19820701 19820731   128.4
19820801 19820831    90.2
19820901 19820930    73.6
19821001 19821031    37.4
19821101 19821130    48.4
19821201 19821231    15.0
19830101 19830131    10.6
19830201 19830228    39.4
19830301 19830331     6.2
19830401 19830430    41.0
19830501 19830531    56.4
19830601 19830630   117.6
19830701 19830731    95.4
19830801 19830831   130.2
19830901 19830930    94.6
19831001 19831031    69.2
19831101 19831130    69.8
19831201 19831231    25.0
19840101 19840131     6.0
19840201 19840229    32.8
19840301 19840331    25.8
19840401 19840430    23.6
19840501 19840531   135.0
19840601 19840630   100.8
19840701 19840731   131.6
19840801 19840831   175.4
19840901 19840930    84.4
19841001 19841031    55.0
19841101 19841130    97.8
19841201 19841231    46.8
19850101 19850131    50.4
19850201 19850228    18.4
19850301 19850331    34.0
19850401 19850430    90.6
19850501 19850531    68.6
19850601 19850630    61.8
19850701 19850731   166.2
19850801 19850831   124.2
19850901 19850930    63.4
19851001 19851031    82.2
19851101 19851130    38.4
19851201 19851231    38.2
19860101 19860131     6.4
19860201 19860228    51.2
19860301 19860331    36.0
19860401 19860430    17.0
19860501 19860531   104.8
19860601 19860630    67.6
19860701 19860731   151.4
19860801 19860831   119.8
19860901 19860930   129.6
19861001 19861031    78.4
19861101 19861130    27.2
19861201 19861231    11.2
19870101 19870131    12.2
19870201 19870228     5.6
19870301 19870331    37.8
19870401 19870430    58.8
19870501 19870531   131.2
19870601 19870630    71.4
19870701 19870731   144.6
19870801 19870831    40.0
19870901 19870930    59.6
19871001 19871031    61.4
19871101 19871130    86.2
19871201 19871231    19.4
19880101 19880131    14.6
19880201 19880229     1.0
19880301 19880331    32.4
19880401 19880430    28.2
19880501 19880531   201.6
19880601 19880630   245.8
19880701 19880731   133.2
19880801 19880831   116.0
19880901 19880930    85.0
19881001 19881031    56.6
19881101 19881130    52.6
19881201 19881231     7.2
19890101 19890131   130.8
19890201 19890228    49.6
19890301 19890331     7.6
19890401 19890430   123.0
19890501 19890531   101.2
19890601 19890630   111.6
19890701 19890731   131.4
19890801 19890831   113.4
19890901 19890930    96.2
19891001 19891031   135.6
19891101 19891130    23.6
19891201 19891231    18.6
19900101 19900131    59.2
19900201 19900228    50.6
19900301 19900331    49.0
19900401 19900430    88.0
19900501 19900531   111.4
19900601 19900630   134.6
19900701 19900731   190.6
19900801 19900831    98.6
19900901 19900930    70.4
