PRCP       005004 18970101 20140131 missing_value=99999.9 EXMOUTH GULF                              
19381001 19381031     0.0
19381101 19381130     0.9
19381201 19381231     0.0
19390101 19390131    23.3
19390201 19390228    48.3
19390301 19390331   102.8
19390401 19390430    13.6
19390501 19390531    13.9
19390601 19390630    44.8
19390701 19390731     4.1
19390801 19390831     5.5
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    41.6
19391201 19391231    16.6
19400101 19400131    76.4
19400201 19400229     0.0
19400301 19400331     0.3
19400401 19400430     0.0
19400501 19400531     0.0
19400601 19400630     9.1
19400701 19400731    22.6
19400801 19400831     3.0
19400901 19400930     2.7
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231    14.4
19410101 19410131     1.1
19410201 19410228    19.3
19410301 19410331     9.2
19410401 19410430     0.3
19410501 19410531    39.5
19410601 19410630    20.0
19410701 19410731    10.3
19410801 19410831    80.8
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130     0.0
19411201 19411231    11.7
19420101 19420131    27.7
19420201 19420228    88.4
19420301 19420331    52.6
19420401 19420430     0.0
19420501 19420531   208.1
19420601 19420630    67.3
19420701 19420731    30.2
19420801 19420831     0.0
19420901 19420930     0.5
19421001 19421031     0.0
19421101 19421130     3.5
19421201 19421231     5.1
19430101 19430131    53.6
19430201 19430228   157.6
19430301 19430331    15.4
19430401 19430430     7.1
19430501 19430531    13.1
19430601 19430630    68.6
19430701 19430731    21.2
19430801 19430831    10.9
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    19.8
19431201 19431231     0.0
19440101 19440131     0.9
19440201 19440229     1.9
19440301 19440331     7.1
19440401 19440430     2.1
19440501 19440531     0.3
19440601 19440630     0.0
19440701 19440731     2.5
19440801 19440831     6.3
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     1.9
19441201 19441231     0.0
19450101 19450131    14.4
19450201 19450228   138.7
19450301 19450331     8.5
19450401 19450430     0.0
19450501 19450531    10.3
19450601 19450630    28.8
19450701 19450731     2.5
19450801 19450831     0.0
19450901 19450930     2.7
19451001 19451031     0.0
19451101 19451130     3.9
19451201 19451231    18.5
19460101 19460131    10.1
19460201 19460228    59.7
19460301 19460331    57.1
19460401 19460430    29.3
19460501 19460531     3.5
19460601 19460630     6.8
19460701 19460731    16.1
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.5
19461101 19461130     2.5
19461201 19461231     0.0
19470101 19470131     1.1
19470201 19470228   107.6
19470301 19470331    69.3
19470401 19470430     0.0
19470501 19470531    73.7
19470601 19470630     6.7
19470701 19470731    51.4
19470801 19470831     8.1
19470901 19470930     0.5
19471001 19471031     8.1
19471101 19471130     0.0
19471201 19471231     0.0
19480101 19480131    56.1
19480201 19480229   140.0
19480301 19480331     5.5
19480401 19480430    41.8
19480501 19480531     2.2
19480601 19480630   106.4
19480701 19480731    80.8
19480801 19480831     4.4
19480901 19480930     5.7
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231     0.0
19490101 19490131     7.6
19490201 19490228    85.4
19490301 19490331     7.1
19490401 19490430    25.9
19490501 19490531   249.8
19490601 19490630    36.8
19490701 19490731     0.0
19490801 19490831    24.5
19490901 19490930     1.4
19491001 19491031     0.0
19491101 19491130    48.5
19491201 19491231     5.7
19500101 19500131    22.0
19500201 19500228     2.7
19500301 19500331    29.9
19500401 19500430     0.0
19500501 19500531    49.1
19500601 19500630    24.5
19500701 19500731    15.6
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     0.0
19501101 19501130     3.2
19501201 19501231     0.0
19510101 19510131     0.0
19510201 19510228    25.6
19510301 19510331    43.9
19510401 19510430    28.0
19510501 19510531     1.4
19510601 19510630   174.7
19510701 19510731    27.3
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    25.0
19520201 19520229    94.5
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531    50.3
19520601 19520630     0.0
19520701 19520731    73.1
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     3.0
19530201 19530228     1.1
19530301 19530331   300.7
19530401 19530430    15.7
19530501 19530531    62.2
19530601 19530630    40.4
19530701 19530731    27.2
19530801 19530831    10.9
19530901 19530930     0.0
19531001 19531031     2.7
19531101 19531130     0.0
19531201 19531231     1.6
19540101 19540131    19.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     0.0
19540501 19540531    27.5
19540601 19540630    55.2
19540701 19540731     6.8
19540801 19540831     7.4
19540901 19540930     0.0
19541001 19541031     0.0
19541101 19541130     0.0
19541201 19541231    33.7
19550101 19550131    39.5
19550201 19550228    14.7
19550301 19550331    49.5
19550401 19550430     0.0
19550501 19550531    78.0
19550601 19550630     3.5
19550701 19550731     0.0
19550801 19550831    36.4
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131    12.7
19560201 19560229    25.6
19560301 19560331   103.3
19560401 19560430    15.5
19560501 19560531    27.8
19560601 19560630    72.2
19560701 19560731    18.9
19560801 19560831    25.0
19560901 19560930     0.0
19561001 19561031     0.5
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131    43.3
19570201 19570228    54.0
19570301 19570331    54.2
19570401 19570430     0.0
19570501 19570531    82.4
19570601 19570630   141.6
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    17.7
19580101 19580131   134.5
19580201 19580228     0.0
19580301 19580331   145.2
19580401 19580430     0.0
19580501 19580531    46.2
19580601 19580630     7.1
19580701 19580731    19.4
19580801 19580831     0.5
19580901 19580930     4.9
19581001 19581031     0.0
19581101 19581130     9.7
19581201 19581231     0.0
19590101 19590131     0.0
19590201 19590228     0.0
19590301 19590331     0.0
19590401 19590430     0.0
19590501 19590531     6.5
19590601 19590630     4.6
19590701 19590731    53.1
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231     0.0
19600101 19600131    27.0
19600201 19600229   100.6
19600301 19600331    56.5
19600401 19600430     3.2
19600501 19600531     4.1
19600601 19600630    19.6
19600701 19600731    33.1
19600801 19600831     7.4
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131   199.8
19610201 19610228   302.2
19610301 19610331   142.7
19610401 19610430    46.3
19610501 19610531    23.4
19610601 19610630    34.8
19610701 19610731     3.2
19610801 19610831     8.1
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     0.0
19620101 19620131    85.9
19620201 19620228    26.6
19620301 19620331     0.0
19620401 19620430    19.0
19620501 19620531    32.5
19620601 19620630     0.0
19620701 19620731     7.4
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     5.5
19621101 19621130     0.0
19621201 19621231     0.0
19630101 19630131    90.0
19630201 19630228   274.6
19630301 19630331    16.5
19630401 19630430     0.0
19630501 19630531    71.8
19630601 19630630    24.7
19630701 19630731    34.2
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031    15.2
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131     1.4
19640201 19640229     7.1
19640301 19640331   158.6
19640401 19640430     0.0
19640501 19640531    18.2
19640601 19640630    81.3
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     1.1
19641001 19641031     0.0
19641101 19641130    32.4
19641201 19641231     0.0
19650101 19650131    75.9
19650201 19650228     3.7
19650301 19650331   113.1
19650401 19650430     0.0
19650501 19650531    26.6
19650601 19650630    87.5
19650701 19650731     3.9
19650801 19650831    97.5
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     0.0
19651201 19651231     0.0
19660101 19660131     0.0
19660201 19660228    19.5
19660301 19660331     0.0
19660401 19660430    24.0
19660501 19660531     0.0
19660601 19660630    13.3
19660701 19660731     0.0
19660801 19660831     3.9
19660901 19660930     0.0
19661001 19661031     4.6
19661101 19661130     4.6
19661201 19661231     0.0
19670101 19670131   379.7
19670201 19670228    57.6
19670301 19670331    20.1
19670401 19670430     0.0
19670501 19670531    11.8
19670601 19670630     7.1
19670701 19670731     0.0
19670801 19670831    22.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231     0.0
19680101 19680131    15.0
19680201 19680229    27.5
19680301 19680331     5.5
19680401 19680430    15.5
19680501 19680531    16.6
19680601 19680630   266.4
19680701 19680731     0.0
19680801 19680831    12.2
19680901 19680930     6.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228    12.0
19690301 19690331     0.0
19690401 19690430     0.0
19690501 19690531    83.8
19690601 19690630    45.9
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     3.5
19691101 19691130     0.0
19691201 19691231     0.0
19700101 19700131     5.1
19700201 19700228    84.7
19700301 19700331     0.0
19700401 19700430   117.5
19700501 19700531   225.8
19700601 19700630    12.2
19700701 19700731     5.5
19700801 19700831     0.0
19700901 19700930    12.8
19701001 19701031     0.0
19701101 19701130     0.0
19701201 19701231     0.9
19710101 19710131   231.1
19710201 19710228     8.6
19710301 19710331   101.9
19710401 19710430     0.0
19710501 19710531    34.8
19710601 19710630    29.8
19710701 19710731    54.7
19710801 19710831     1.0
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.5
19711201 19711231     0.0
19720101 19720131     0.3
19720201 19720229     4.0
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531    27.9
19720601 19720630    34.1
19720701 19720731    46.5
19720801 19720831    10.9
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     0.0
19721201 19721231    15.5
19730101 19730131     0.8
19730201 19730228     0.8
19730301 19730331    34.6
19730401 19730430    11.4
19730501 19730531    30.9
19730601 19730630    77.5
19730701 19730731    56.2
19730801 19730831    48.8
19730901 19730930     1.0
19731001 19731031     0.0
19731101 19731130     0.0
19731201 19731231    39.2
19740101 19740131    84.5
19740201 19740228     7.6
19740301 19740331    34.5
19740401 19740430     4.3
19740501 19740531    44.4
19740601 19740630    10.9
19740701 19740731    86.3
19740801 19740831    29.9
19740901 19740930     0.0
19741001 19741031    63.5
19741101 19741130     0.0
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    73.2
19750301 19750331   129.5
19750401 19750430    32.0
19750501 19750531    13.2
19750601 19750630     6.6
19750701 19750731    34.7
19750801 19750831     0.3
19750901 19750930     0.0
19751001 19751031    19.1
19751101 19751130    61.7
19751201 19751231    11.9
19760101 19760131    18.0
19760201 19760229    58.0
19760301 19760331     7.0
19760401 19760430     0.0
19760501 19760531     6.0
19760601 19760630     1.0
19760701 19760731    23.0
19760801 19760831    26.0
19760901 19760930     3.0
19761001 19761031     0.0
19761101 19761130     0.0
19761201 19761231     0.0
19770101 19770131     5.1
19770201 19770228     0.0
19770301 19770331    89.4
19770401 19770430    29.0
19770501 19770531    24.3
19770601 19770630     8.1
19770701 19770731     0.0
19770801 19770831     1.3
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     5.0
19771201 19771231     0.0
19780101 19780131    10.9
19780201 19780228    25.3
19780301 19780331     8.4
19780401 19780430    24.0
19780501 19780531    19.4
19780601 19780630     3.8
19780701 19780731    39.0
19780801 19780831    36.1
19780901 19780930     0.8
19781001 19781031     0.0
19781101 19781130     0.0
19781201 19781231     0.0
19790101 19790131     0.0
19790201 19790228    10.7
19790301 19790331    81.1
19790401 19790430     2.1
19790501 19790531     9.4
19790601 19790630     3.0
19790701 19790731     0.0
19790801 19790831    40.7
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231     0.0
19800101 19800131    61.2
19800201 19800229    56.4
19800301 19800331     7.8
19800401 19800430    79.8
19800501 19800531    74.0
19800601 19800630   144.3
19800701 19800731    65.2
19800801 19800831     1.5
19800901 19800930     0.0
19801001 19801031     1.8
19801101 19801130     0.0
19801201 19801231     1.0
19810101 19810131    25.0
19810201 19810228    35.0
19810301 19810331    28.0
19810401 19810430     0.0
19810501 19810531    17.0
19810601 19810630    59.0
19810701 19810731     5.0
19810801 19810831    16.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231     2.0
19820101 19820131    75.0
19820201 19820228     5.0
19820301 19820331    12.0
19820401 19820430     0.0
19820501 19820531    96.0
19820601 19820630    33.0
19820701 19820731     1.0
19820801 19820831    11.0
19820901 19820930     4.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131     3.5
19830201 19830228     0.0
19830301 19830331    23.8
