PRCP       026010 19010101 20170228 missing_value=99999.9 KEILIRA STATION                           
19700101 19700131    41.5
19700201 19700228     0.3
19700301 19700331    28.2
19700401 19700430    72.6
19700501 19700531    39.7
19700601 19700630    88.1
19700701 19700731    70.0
19700801 19700831   108.4
19700901 19700930    45.3
19701001 19701031    37.1
19701101 19701130    53.7
19701201 19701231    54.9
19710101 19710131    18.0
19710201 19710228    26.4
19710301 19710331    38.0
19710401 19710430   164.6
19710501 19710531   104.9
19710601 19710630    71.3
19710701 19710731    47.4
19710801 19710831   107.6
19710901 19710930    63.9
19711001 19711031    52.6
19711101 19711130    72.9
19711201 19711231    57.0
19720101 19720131    38.5
19720201 19720229    40.4
19720301 19720331     0.0
19720401 19720430    49.3
19720501 19720531    29.6
19720601 19720630    61.2
19720701 19720731   132.8
19720801 19720831    90.3
19720901 19720930    17.4
19721001 19721031    29.3
19721101 19721130    16.8
19721201 19721231     0.0
19730101 19730131    18.5
19730201 19730228    57.4
19730301 19730331    41.9
19730401 19730430    40.3
19730501 19730531    61.1
19730601 19730630    95.8
19730701 19730731    61.0
19730801 19730831    96.8
19730901 19730930    78.9
19731001 19731031    87.1
19731101 19731130    15.7
19731201 19731231    20.3
19740101 19740131     6.4
19740201 19740228    38.4
19740301 19740331    11.6
19740401 19740430    81.2
19740501 19740531    38.2
19740601 19740630    36.4
19740701 19740731   118.4
19740801 19740831    78.6
19740901 19740930    86.6
19741001 19741031    88.8
19741101 19741130     8.8
19741201 19741231    20.6
19750101 19750131    18.6
19750201 19750228     3.2
19750301 19750331    59.8
19750401 19750430    21.2
19750501 19750531    78.2
19750601 19750630    45.0
19750701 19750731   104.2
19750801 19750831    55.0
19750901 19750930    51.6
19751001 19751031    92.4
19751101 19751130    28.8
19751201 19751231    12.4
19760101 19760131    16.4
19760201 19760229    43.4
19760301 19760331    13.6
19760401 19760430    22.0
19760501 19760531    29.6
19760601 19760630    57.8
19760701 19760731    44.5
19760801 19760831    50.4
19760901 19760930    89.4
19761001 19761031    31.0
19761101 19761130    28.4
19761201 19761231    45.0
19770101 19770131    39.6
19770201 19770228     7.0
19770301 19770331    32.6
19770401 19770430    11.8
19770501 19770531    80.2
19770601 19770630    64.8
19770701 19770731    35.6
19770801 19770831    22.2
19770901 19770930    26.4
19771001 19771031    38.0
19771101 19771130    79.6
19771201 19771231     3.8
19780101 19780131     2.2
19780201 19780228     1.0
19780301 19780331     1.6
19780401 19780430    36.4
19780501 19780531    39.4
19780601 19780630    70.0
19780701 19780731    63.2
19780801 19780831    60.6
19780901 19780930    78.6
19781001 19781031    26.4
19781101 19781130    41.4
19781201 19781231    18.4
19790101 19790131    14.2
19790201 19790228    24.8
19790301 19790331     1.6
19790401 19790430    35.8
19790501 19790531    35.4
19790601 19790630    36.4
19790701 19790731    87.6
19790801 19790831   110.6
19790901 19790930   107.0
19791001 19791031    49.2
19791101 19791130    83.2
19791201 19791231    14.6
19800101 19800131    11.0
19800201 19800229     0.0
19800301 19800331     1.8
19800401 19800430    72.0
19800501 19800531    50.4
19800601 19800630    57.4
19800701 19800731   106.6
19800801 19800831    47.2
19800901 19800930    47.4
19801001 19801031    64.0
19801101 19801130    24.6
19801201 19801231    22.5
19810101 19810131    57.4
19810201 19810228     2.2
19810301 19810331    45.2
19810401 19810430     8.0
19810501 19810531    49.5
19810601 19810630    81.5
19810701 19810731    95.9
19810801 19810831   130.2
19810901 19810930    30.4
19811001 19811031    33.3
19811101 19811130    21.6
19811201 19811231     9.7
19820101 19820131    15.6
19820201 19820228     6.8
19820301 19820331    25.4
19820401 19820430    54.2
19820501 19820531    48.5
19820601 19820630    52.1
19820701 19820731    34.8
19820801 19820831    28.4
19820901 19820930    12.8
19821001 19821031    13.4
19821101 19821130     6.6
19821201 19821231     3.6
19830101 19830131    11.0
19830201 19830228     5.6
19830301 19830331   121.5
19830401 19830430    63.5
19830501 19830531    58.3
19830601 19830630    58.0
19830701 19830731    76.9
19830801 19830831    80.6
19830901 19830930   108.8
19831001 19831031    18.9
19831101 19831130    38.5
19831201 19831231    39.3
19840101 19840131     7.6
19840201 19840229     3.2
19840301 19840331    51.2
19840401 19840430    28.3
19840501 19840531    32.8
19840601 19840630    49.4
19840701 19840731    79.2
19840801 19840831   136.6
19840901 19840930    88.6
19841001 19841031    23.6
19841101 19841130    79.6
19841201 19841231    13.0
19850101 19850131     4.0
19850201 19850228     3.0
19850301 19850331    28.5
19850401 19850430    57.8
19850501 19850531    76.6
19850601 19850630    73.8
19850701 19850731    62.6
19850801 19850831    79.0
19850901 19850930    19.8
19851001 19851031    36.8
19851101 19851130     9.6
19851201 19851231    28.0
19860101 19860131    14.4
19860201 19860228     1.4
19860301 19860331     1.6
19860401 19860430    63.0
19860501 19860531    64.2
19860601 19860630    41.6
19860701 19860731   106.8
19860801 19860831    78.2
19860901 19860930    68.2
19861001 19861031    74.2
19861101 19861130    13.8
19861201 19861231    65.6
19870101 19870131     8.8
19870201 19870228     9.5
19870301 19870331     6.8
19870401 19870430    20.9
19870501 19870531   137.8
19870601 19870630    63.8
19870701 19870731    80.8
19870801 19870831    55.4
19870901 19870930    17.8
19871001 19871031    41.2
19871101 19871130    14.6
19871201 19871231    41.0
19880101 19880131    23.0
19880201 19880229    39.0
19880301 19880331    33.6
19880401 19880430     6.9
19880501 19880531   115.0
19880601 19880630   121.6
19880701 19880731    75.8
19880801 19880831    69.0
19880901 19880930    69.6
19881001 19881031    36.0
19881101 19881130    25.2
19881201 19881231    19.0
19890101 19890131     7.4
19890201 19890228     4.8
19890301 19890331     8.0
19890401 19890430    22.4
19890501 19890531    60.2
19890601 19890630   132.6
19890701 19890731   126.6
19890801 19890831   106.6
19890901 19890930    60.8
19891001 19891031    58.8
19891101 19891130     9.6
19891201 19891231    10.6
19900101 19900131    35.2
19900201 19900228     6.8
19900301 19900331     7.2
19900401 19900430     6.4
19900501 19900531    24.4
19900601 19900630    92.2
19900701 19900731   106.2
19900801 19900831    98.6
19900901 19900930    57.3
19901001 19901031    37.2
19901101 19901130    17.0
19901201 19901231    23.8
19910101 19910131    46.1
19910201 19910228     0.0
19910301 19910331    13.1
19910401 19910430    53.4
19910501 19910531     3.4
19910601 19910630   103.6
19910701 19910731    66.3
19910801 19910831   122.4
19910901 19910930    79.7
19911001 19911031     6.8
