PRCP       023721 18630101 20171231 missing_value=99999.9 HAPPY VALLEY RESERVOIR E&WS               
19270301 19270331    37.5
19270401 19270430    19.7
19270501 19270531    75.6
19270601 19270630    66.3
19270701 19270731    96.3
19270801 19270831    98.6
19270901 19270930    25.3
19271001 19271031    20.4
19271101 19271130    42.2
19271201 19271231    43.5
19280101 19280131    21.2
19280201 19280229    64.7
19280301 19280331    41.3
19280401 19280430    31.1
19280501 19280531    61.3
19280601 19280630   137.9
19280701 19280731    97.1
19280801 19280831    23.4
19280901 19280930    55.4
19281001 19281031    78.6
19281101 19281130    12.0
19281201 19281231     2.3
19290101 19290131    16.8
19290201 19290228     0.0
19290301 19290331     6.8
19290401 19290430    22.9
19290501 19290531    36.8
19290601 19290630   112.4
19290701 19290731    68.0
19290801 19290831    51.3
19290901 19290930    70.7
19291001 19291031    21.0
19291101 19291130    24.6
19291201 19291231    91.8
19300101 19300131     0.8
19300201 19300228     7.7
19300301 19300331     2.3
19300401 19300430    24.5
19300501 19300531    29.9
19300601 19300630    34.2
19300701 19300731   130.7
19300801 19300831    90.3
19300901 19300930    71.1
19301001 19301031    57.0
19301101 19301130    27.8
19301201 19301231    21.2
19310101 19310131    10.2
19310201 19310228     5.4
19310301 19310331    37.9
19310401 19310430    36.8
19310501 19310531    70.9
19310601 19310630   138.6
19310701 19310731    97.1
19310801 19310831    67.9
19310901 19310930    89.5
19311001 19311031    18.1
19311101 19311130    37.7
19311201 19311231     6.4
19320101 19320131     2.0
19320201 19320229    27.0
19320301 19320331    35.6
19320401 19320430   111.1
19320501 19320531    33.8
19320601 19320630   121.3
19320701 19320731    75.0
19320801 19320831    74.6
19320901 19320930    43.1
19321001 19321031    52.3
19321101 19321130    12.8
19321201 19321231    10.4
19330101 19330131    28.4
19330201 19330228     2.3
19330301 19330331    26.8
19330401 19330430    31.4
19330501 19330531   114.1
19330601 19330630    45.5
19330701 19330731    46.4
19330801 19330831    83.6
19330901 19330930    60.3
19331001 19331031    22.1
19331101 19331130     7.7
19331201 19331231    11.5
19340101 19340131     7.4
19340201 19340228     3.1
19340301 19340331    17.4
19340401 19340430    42.7
19340501 19340531     3.8
19340601 19340630    26.3
19340701 19340731    25.5
19340801 19340831    81.9
19340901 19340930    79.9
19341001 19341031    65.3
19341101 19341130    76.2
19341201 19341231    32.1
19350101 19350131    19.8
19350201 19350228     0.0
19350301 19350331    68.6
19350401 19350430    47.3
19350501 19350531    77.5
19350601 19350630    86.2
19350701 19350731    86.1
19350801 19350831    65.2
19350901 19350930   107.0
19351001 19351031    64.3
19351101 19351130    24.7
19351201 19351231    18.8
19360101 19360131    22.2
19360201 19360229    19.6
19360301 19360331     3.3
19360401 19360430    49.6
19360501 19360531    67.9
19360601 19360630    66.6
19360701 19360731    70.4
19360801 19360831    66.4
19360901 19360930    25.3
19361001 19361031    76.3
19361101 19361130    17.9
19361201 19361231    55.8
19370101 19370131    62.0
19370201 19370228    18.4
19370301 19370331    30.4
19370401 19370430    27.9
19370501 19370531   103.5
19370601 19370630    61.7
19370701 19370731    54.2
19370801 19370831    81.5
19370901 19370930    81.8
19371001 19371031    17.1
19371101 19371130    34.0
19371201 19371231    50.5
19380101 19380131    21.7
19380201 19380228    54.4
19380301 19380331     6.1
19380401 19380430   153.3
19380501 19380531    32.8
19380601 19380630    62.7
19380701 19380731    72.6
19380801 19380831    92.2
19380901 19380930    26.0
19381001 19381031    16.0
19381101 19381130    16.2
19381201 19381231    16.8
19390101 19390131    31.2
19390201 19390228    49.4
19390301 19390331    32.0
19390401 19390430    61.2
19390501 19390531    66.7
19390601 19390630    99.2
19390701 19390731    61.9
19390801 19390831   102.4
19390901 19390930    26.7
19391001 19391031    28.8
19391101 19391130   120.1
19391201 19391231     9.0
19400101 19400131    25.4
19400201 19400229    18.8
19400301 19400331    14.8
19400401 19400430    71.7
19400501 19400531    29.5
19400601 19400630    21.8
19400701 19400731    94.8
19400801 19400831    45.0
19400901 19400930    44.0
19401001 19401031    20.0
19401101 19401130    51.0
19401201 19401231    27.3
19410101 19410131   115.1
19410201 19410228    21.1
19410301 19410331    54.1
19410401 19410430    43.8
19410501 19410531    39.8
19410601 19410630    42.3
19410701 19410731   121.0
19410801 19410831    59.9
19410901 19410930   100.2
19411001 19411031    37.0
19411101 19411130    18.5
19411201 19411231    25.1
19420101 19420131    44.5
19420201 19420228     8.2
19420301 19420331    13.8
19420401 19420430    61.2
19420501 19420531   147.3
19420601 19420630   165.6
19420701 19420731    78.4
19420801 19420831   107.5
19420901 19420930    88.6
19421001 19421031    41.9
19421101 19421130    55.2
19421201 19421231    10.4
19430101 19430131    19.1
19430201 19430228    73.9
19430301 19430331     1.3
19430401 19430430    83.4
19430501 19430531    36.5
19430601 19430630    73.5
19430701 19430731    76.0
19430801 19430831    89.8
19430901 19430930    64.5
19431001 19431031    25.2
19431101 19431130    10.0
19431201 19431231     9.1
19440101 19440131     4.1
19440201 19440229    32.8
19440301 19440331     7.4
19440401 19440430    50.4
19440501 19440531   128.0
19440601 19440630    13.1
19440701 19440731    62.6
19440801 19440831     6.7
19440901 19440930    23.1
19441001 19441031    52.7
19441101 19441130    61.0
19441201 19441231    56.0
19450101 19450131    35.1
19450201 19450228    30.8
19450301 19450331     9.9
19450401 19450430     1.8
19450501 19450531    75.0
19450601 19450630    49.2
19450701 19450731    36.4
19450801 19450831    99.4
19450901 19450930    63.6
19451001 19451031    78.4
19451101 19451130    56.1
19451201 19451231    37.9
19460101 19460131    58.1
19460201 19460228    65.3
19460301 19460331    40.9
19460401 19460430    42.6
19460501 19460531    78.6
19460601 19460630    64.2
19460701 19460731    79.5
19460801 19460831    67.8
19460901 19460930    45.3
19461001 19461031    33.3
19461101 19461130    47.8
19461201 19461231    45.2
19470101 19470131     8.7
19470201 19470228    30.5
19470301 19470331   103.4
19470401 19470430    37.9
19470501 19470531    36.5
19470601 19470630    71.8
19470701 19470731   105.7
19470801 19470831    86.3
19470901 19470930    67.3
19471001 19471031    89.2
19471101 19471130    41.3
19471201 19471231    44.9
19480101 19480131     1.5
19480201 19480229     6.3
19480301 19480331     8.0
19480401 19480430   100.4
19480501 19480531    74.4
19480601 19480630    63.9
19480701 19480731    48.4
19480801 19480831   104.9
19480901 19480930    16.3
19481001 19481031   117.4
19481101 19481130    54.0
19481201 19481231    30.0
19490101 19490131     6.6
19490201 19490228    69.5
19490301 19490331     4.4
19490401 19490430    12.0
19490501 19490531    60.7
19490601 19490630    40.1
19490701 19490731    80.5
19490801 19490831    45.1
19490901 19490930    30.3
19491001 19491031   147.1
19491101 19491130    60.5
19491201 19491231     3.4
19500101 19500131     0.3
19500201 19500228    24.0
19500301 19500331     9.1
19500401 19500430     0.8
19500501 19500531   102.7
19500601 19500630    80.5
19500701 19500731    39.3
19500801 19500831    50.4
19500901 19500930    56.6
19501001 19501031    60.5
19501101 19501130    15.4
19501201 19501231    24.6
19510101 19510131    13.8
19510201 19510228    17.6
19510301 19510331     2.7
19510401 19510430    65.2
19510501 19510531   134.7
19510601 19510630    92.3
19510701 19510731   152.2
19510801 19510831    83.7
19510901 19510930    16.5
19511001 19511031    74.8
19511101 19511130    14.4
19511201 19511231    80.3
19520101 19520131    40.4
19520201 19520229     8.2
19520301 19520331     3.1
19520401 19520430    74.1
19520501 19520531   112.3
19520601 19520630    53.5
19520701 19520731    45.7
19520801 19520831    46.7
19520901 19520930    36.3
19521001 19521031    49.5
19521101 19521130    99.6
19521201 19521231    26.2
19530101 19530131    33.8
19530201 19530228    19.1
19530301 19530331     1.3
19530401 19530430    54.8
19530501 19530531    48.2
19530601 19530630   162.9
19530701 19530731   103.8
19530801 19530831    64.8
19530901 19530930    56.2
19531001 19531031    34.6
19531101 19531130    36.8
19531201 19531231    46.2
19540101 19540131    28.8
19540201 19540228     0.3
19540301 19540331    14.7
19540401 19540430   137.9
19540501 19540531    38.1
19540601 19540630    90.3
19540701 19540731    49.5
19540801 19540831    45.4
19540901 19540930    40.3
19541001 19541031    53.4
19541101 19541130    22.3
19541201 19541231    36.0
19550101 19550131     2.1
19550201 19550228    64.7
19550301 19550331     2.1
19550401 19550430    53.6
19550501 19550531   143.2
19550601 19550630   186.0
19550701 19550731    65.2
19550801 19550831   128.1
19550901 19550930    36.2
19551001 19551031    68.2
19551101 19551130    70.0
19551201 19551231    31.1
19560101 19560131    40.3
19560201 19560229     4.1
19560301 19560331    31.2
19560401 19560430   109.5
19560501 19560531    77.9
19560601 19560630   170.6
19560701 19560731   110.5
19560801 19560831    73.7
19560901 19560930    90.4
19561001 19561031    43.9
19561101 19561130    13.2
19561201 19561231    20.3
19570101 19570131     0.5
19570201 19570228     0.0
19570301 19570331    30.3
19570401 19570430    48.4
19570501 19570531    42.5
19570601 19570630    82.4
19570701 19570731    92.7
19570801 19570831    38.6
