PRCP       036028 18910101 20140630 missing_value=99999.9 LERIDA                                    
19521101 19521130    20.1
19521201 19521231    11.8
19530101 19530131   147.2
19530201 19530228   118.9
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531    16.8
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    16.3
19530901 19530930     0.0
19531001 19531031    14.2
19531101 19531130     2.0
19531201 19531231    27.2
19540101 19540131   262.3
19540201 19540228   203.8
19540301 19540331    53.1
19540401 19540430    57.9
19540501 19540531     0.0
19540601 19540630    27.7
19540701 19540731     0.0
19540801 19540831    14.4
19540901 19540930     9.9
19541001 19541031    86.4
19541101 19541130    22.3
19541201 19541231    38.5
19550101 19550131   104.0
19550201 19550228   134.3
19550301 19550331   270.5
19550401 19550430    48.9
19550501 19550531   311.2
19550601 19550630    16.8
19550701 19550731    11.6
19550801 19550831     2.0
19550901 19550930     0.0
19551001 19551031    15.3
19551101 19551130     8.1
19551201 19551231    24.1
19560101 19560131   202.4
19560201 19560229    95.6
19560301 19560331   115.2
19560401 19560430    57.2
19560501 19560531    79.2
19560601 19560630    58.4
19560701 19560731    51.9
19560801 19560831     6.9
19560901 19560930     5.1
19561001 19561031     3.0
19561101 19561130    26.7
19561201 19561231   244.6
19570101 19570131   195.4
19570201 19570228    15.3
19570301 19570331    49.2
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     8.6
19570701 19570731    36.6
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    12.2
19571101 19571130    14.5
19571201 19571231    39.9
19580101 19580131    21.1
19580201 19580228    16.8
19580301 19580331    60.6
19580401 19580430    57.4
19580501 19580531    13.2
19580601 19580630    36.5
19580701 19580731     1.1
19580801 19580831     0.0
19580901 19580930     0.8
19581001 19581031     9.9
19581101 19581130     9.7
19581201 19581231    20.1
19590101 19590131   174.7
19590201 19590228    17.3
19590301 19590331    52.4
19590401 19590430    29.2
19590501 19590531    55.8
19590601 19590630     0.0
19590701 19590731     7.6
19590801 19590831     4.3
19590901 19590930     5.1
19591001 19591031    13.7
19591101 19591130     0.0
19591201 19591231    24.4
19600101 19600131    61.7
19600201 19600229   142.6
19600301 19600331    18.5
19600401 19600430    16.5
19600501 19600531    24.4
19600601 19600630     0.0
19600701 19600731     5.3
19600801 19600831    12.4
19600901 19600930     6.8
19601001 19601031     4.6
19601101 19601130    37.4
19601201 19601231   118.5
19610101 19610131    17.8
19610201 19610228    92.9
19610301 19610331    34.5
19610401 19610430     0.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     3.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     9.4
19611101 19611130    41.1
19611201 19611231   108.1
19620101 19620131    67.8
19620201 19620228    25.6
19620301 19620331    70.1
19620401 19620430    43.4
19620501 19620531    27.7
19620601 19620630     2.3
19620701 19620731     7.9
19620801 19620831     0.0
19620901 19620930    33.2
19621001 19621031    19.0
19621101 19621130    20.3
19621201 19621231    83.9
19630101 19630131    25.1
19630201 19630228    63.8
19630301 19630331   176.5
19630401 19630430   146.0
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831    29.0
19630901 19630930     0.0
19631001 19631031    18.0
19631101 19631130     9.4
19631201 19631231    51.0
19640101 19640131    26.5
19640201 19640229    81.7
19640301 19640331    38.2
19640401 19640430     2.5
19640501 19640531     0.0
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    38.0
19641001 19641031    70.3
19641101 19641130    14.5
19641201 19641231    38.9
19650101 19650131     0.0
19650201 19650228    10.4
19650301 19650331    46.0
19650401 19650430    19.1
19650501 19650531    10.4
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     4.8
19651201 19651231   126.4
19660101 19660131   216.9
19660201 19660228     6.9
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531    20.8
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831    40.2
19660901 19660930     7.9
19661001 19661031     0.0
19661101 19661130    27.9
19661201 19661231    14.0
19670101 19670131    11.2
19670201 19670228   113.8
19670301 19670331    37.6
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630    32.3
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     5.8
19671101 19671130    32.3
19671201 19671231    31.0
19680101 19680131    10.2
19680201 19680229   182.5
19680301 19680331    10.2
19680401 19680430    62.0
19680501 19680531    41.4
19680601 19680630     0.0
19680701 19680731    31.0
19680801 19680831     0.0
19680901 19680930    12.7
19681001 19681031     6.4
19681101 19681130     4.6
19681201 19681231     7.6
19690101 19690131    21.4
19690201 19690228    19.7
19690301 19690331    24.2
19690401 19690430     0.0
19690501 19690531    35.3
19690601 19690630     0.0
19690701 19690731    18.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    54.1
19691101 19691130     0.0
19691201 19691231    72.6
19700101 19700131    12.2
19700201 19700228    22.1
19700301 19700331    17.5
19700401 19700430     3.8
19700501 19700531     0.0
19700601 19700630     0.0
