PRCP       013017 19560901 20180131 missing_value=99999.9 GILES METEOROLOGICAL OFFICE               
20120101 20120131   106.8
20120201 20120229    59.4
20120301 20120331     2.2
20120401 20120430     8.4
20120501 20120531     0.0
20120601 20120630     1.6
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.6
20121001 20121031    10.8
20121101 20121130     2.6
20121201 20121231    40.8
20130101 20130131     2.8
20130201 20130228    20.0
20130301 20130331    73.4
20130401 20130430     0.0
20130501 20130531    59.6
20130601 20130630    41.8
20130701 20130731     2.0
20130801 20130831     0.0
20130901 20130930     2.4
20131001 20131031     0.0
20131101 20131130    55.0
20131201 20131231    43.6
20140101 20140131    24.8
20140201 20140228    41.2
20140301 20140331     0.0
20140401 20140430   124.8
20140501 20140531    49.6
20140601 20140630     0.0
20140701 20140731     1.2
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031     0.2
20141101 20141130    19.6
20141201 20141231    81.8
20150101 20150131    10.6
20150201 20150228     6.0
20150301 20150331     1.8
20150401 20150430     4.8
20150501 20150531    65.8
20150601 20150630     0.8
20150701 20150731     0.8
20150801 20150831     8.8
20150901 20150930     0.2
20151001 20151031    29.2
20151101 20151130    67.8
20151201 20151231    53.4
20160101 20160131    84.8
20160201 20160229     8.4
20160301 20160331    92.4
20160401 20160430     0.6
20160501 20160531    45.6
20160601 20160630   118.0
20160701 20160731    16.2
20160801 20160831     6.6
20160901 20160930     2.6
20161001 20161031     0.8
20161101 20161130    31.4
20161201 20161231   110.4
20170101 20170131   103.2
20170201 20170228    22.4
20170301 20170331    16.2
20170401 20170430    87.6
20170501 20170531     0.0
20170601 20170630    10.2
20170701 20170731     2.6
20170801 20170831     0.0
20170901 20170930     3.6
20171001 20171031    52.0
20171101 20171130    26.2
20171201 20171231    51.4
20180101 20180131    55.8
