PRCP       084016 18700501 20180131 missing_value=99999.9 GABO ISLAND LIGHTHOUSE                    
19471101 19471130    75.1
19471201 19471231    90.0
19480101 19480131   212.2
19480201 19480229    36.6
19480301 19480331     4.6
19480401 19480430   157.9
19480501 19480531   141.2
19480601 19480630    54.3
19480701 19480731    23.8
19480801 19480831    11.2
19480901 19480930    19.0
19481001 19481031    96.1
19481101 19481130    32.8
19481201 19481231    67.6
19490101 19490131   171.3
19490201 19490228   115.3
19490301 19490331    85.3
19490401 19490430    77.0
19490501 19490531   138.5
19490601 19490630   224.3
19490701 19490731    51.7
19490801 19490831    27.8
19490901 19490930    63.3
19491001 19491031    80.8
19491101 19491130   171.9
19491201 19491231    35.5
19500101 19500131    42.3
19500201 19500228   307.4
19500301 19500331   225.7
19500401 19500430   121.6
19500501 19500531   210.6
19500601 19500630   137.9
19500701 19500731    93.6
19500801 19500831    70.2
19500901 19500930    54.7
19501001 19501031   149.6
19501101 19501130    73.0
19501201 19501231    50.4
19510101 19510131    42.0
19510201 19510228    84.4
19510301 19510331    13.3
19510401 19510430    37.7
19510501 19510531    42.9
19510601 19510630   290.2
19510701 19510731   104.3
19510801 19510831   192.7
19510901 19510930   122.1
19511001 19511031    76.4
19511101 19511130    54.8
19511201 19511231    28.8
19520101 19520131     8.7
19520201 19520229    24.6
19520301 19520331    95.4
19520401 19520430   106.0
19520501 19520531   261.6
19520601 19520630   270.2
19520701 19520731    95.8
19520801 19520831    66.5
19520901 19520930    25.5
19521001 19521031   134.3
19521101 19521130   101.1
19521201 19521231   110.2
19530101 19530131    46.7
19530201 19530228    40.8
19530301 19530331    48.3
19530401 19530430    16.3
19530501 19530531   194.8
19530601 19530630    57.1
19530701 19530731    41.0
19530801 19530831   149.2
19530901 19530930    18.9
19531001 19531031    68.9
19531101 19531130    56.7
19531201 19531231    34.1
19540101 19540131   137.3
19540201 19540228   120.5
19540301 19540331    11.4
19540401 19540430    11.8
19540501 19540531    36.6
19540601 19540630   154.0
19540701 19540731    76.2
19540801 19540831    45.0
19540901 19540930    23.5
19541001 19541031    46.5
19541101 19541130   131.5
19541201 19541231    17.5
19550101 19550131    18.7
19550201 19550228    17.7
19550301 19550331    34.9
19550401 19550430     9.9
19550501 19550531    64.2
19550601 19550630    59.0
19550701 19550731    42.0
19550801 19550831    52.5
19550901 19550930    42.6
19551001 19551031    72.8
19551101 19551130    57.0
19551201 19551231   114.6
19560101 19560131   175.5
19560201 19560229   143.0
19560301 19560331   121.8
19560401 19560430    40.6
19560501 19560531   305.3
19560601 19560630   151.9
19560701 19560731    47.5
19560801 19560831    67.1
19560901 19560930    47.5
19561001 19561031   111.2
19561101 19561130    62.8
19561201 19561231    30.9
19570101 19570131     4.3
19570201 19570228    64.1
19570301 19570331    36.6
19570401 19570430    30.1
19570501 19570531    66.2
19570601 19570630    52.1
19570701 19570731   144.8
19570801 19570831   104.0
19570901 19570930    47.2
19571001 19571031    54.7
19571101 19571130    60.9
19571201 19571231    56.3
19580101 19580131    82.0
19580201 19580228   108.1
19580301 19580331    27.1
19580401 19580430    24.8
19580501 19580531    22.8
19580601 19580630    56.3
19580701 19580731    39.6
19580801 19580831    81.5
19580901 19580930   127.9
19581001 19581031   116.4
19581101 19581130    36.9
19581201 19581231    55.0
19590101 19590131    18.3
19590201 19590228    42.4
19590301 19590331   150.2
19590401 19590430    50.0
19590501 19590531    71.1
19590601 19590630   169.7
19590701 19590731   168.2
19590801 19590831    23.7
19590901 19590930    81.0
19591001 19591031   122.6
19591101 19591130    50.0
19591201 19591231   152.6
19600101 19600131    29.3
19600201 19600229    20.9
19600301 19600331   137.6
19600401 19600430    23.4
19600501 19600531   119.4
19600601 19600630   106.1
19600701 19600731   103.0
19600801 19600831    47.0
19600901 19600930   159.7
19601001 19601031    74.9
