PRCP       010541 19070101 20180131 missing_value=99999.9 NYERILUP                                  
19780501 19780531    17.4
19780601 19780630    74.0
19780701 19780731   109.5
19780801 19780831    21.2
19780901 19780930    32.8
19781001 19781031    22.4
19781101 19781130    19.6
19781201 19781231     6.8
19790101 19790131    10.6
19790201 19790228    37.8
19790301 19790331    16.0
19790401 19790430     2.8
19790501 19790531    48.7
19790601 19790630    32.4
19790701 19790731    38.2
19790801 19790831    35.8
19790901 19790930    34.8
19791001 19791031    12.4
19791101 19791130    37.2
19791201 19791231     3.0
19800101 19800131    25.8
19800201 19800229    28.2
19800301 19800331     5.2
19800401 19800430    35.6
19800501 19800531    24.6
19800601 19800630    34.8
19800701 19800731    30.0
19800801 19800831    24.4
19800901 19800930    14.7
19801001 19801031    35.4
19801101 19801130    42.2
19801201 19801231    42.0
19810101 19810131    22.0
19810201 19810228    21.0
19810301 19810331     2.0
19810401 19810430     8.6
19810501 19810531    50.5
19810601 19810630    28.2
19810701 19810731    51.8
19810801 19810831    27.8
19810901 19810930    20.3
19811001 19811031     6.6
19811101 19811130    15.6
19811201 19811231     8.0
19820101 19820131   114.8
19820201 19820228    14.8
19820301 19820331    30.2
19820401 19820430     5.6
19820501 19820531    15.0
19820601 19820630    33.0
19820701 19820731    16.8
19820801 19820831    64.0
19820901 19820930    34.2
19821001 19821031     5.6
19821101 19821130    30.2
19821201 19821231     3.0
19830101 19830131     5.6
19830201 19830228    37.4
19830301 19830331     3.0
19830401 19830430    18.0
19830501 19830531     9.0
19830601 19830630    85.0
19830701 19830731    48.4
19830801 19830831    31.2
19830901 19830930    50.4
19831001 19831031    22.2
19831101 19831130    60.2
19831201 19831231   107.0
19840101 19840131     0.0
19840201 19840229     6.4
19840301 19840331    15.4
19840401 19840430    17.0
19840501 19840531    57.2
19840601 19840630    31.0
19840701 19840731    35.4
19840801 19840831    62.5
19840901 19840930    71.0
19841001 19841031    19.0
19841101 19841130     9.4
19841201 19841231     1.2
19850101 19850131    10.2
19850201 19850228    15.0
19850301 19850331    11.8
19850401 19850430    21.0
19850501 19850531    39.2
19850601 19850630    43.2
19850701 19850731    74.0
19850801 19850831    49.0
19850901 19850930    48.0
19851001 19851031    25.2
19851101 19851130    34.2
19851201 19851231     0.4
19860101 19860131     0.0
19860201 19860228    66.8
19860301 19860331     8.8
19860401 19860430     1.2
19860501 19860531    45.6
19860601 19860630    48.0
19860701 19860731    59.4
19860801 19860831    36.8
19860901 19860930    44.4
19861001 19861031    12.8
19861101 19861130    13.6
19861201 19861231    15.0
19870101 19870131     0.0
19870201 19870228     0.2
19870301 19870331    10.8
19870401 19870430    48.6
19870501 19870531    26.4
19870601 19870630    22.4
19870701 19870731    57.4
19870801 19870831    17.0
19870901 19870930    26.2
19871001 19871031    14.6
19871101 19871130    43.0
19871201 19871231    36.4
19880101 19880131     5.8
19880201 19880229     0.0
19880301 19880331    55.4
19880401 19880430    24.6
19880501 19880531   194.2
19880601 19880630    80.8
19880701 19880731    74.6
19880801 19880831    33.4
19880901 19880930    44.2
19881001 19881031     6.6
19881101 19881130     2.2
19881201 19881231    10.4
19890101 19890131    33.0
19890201 19890228    28.4
19890301 19890331     9.2
19890401 19890430    39.2
19890501 19890531    60.0
19890601 19890630    38.4
19890701 19890731    45.6
19890801 19890831    24.8
19890901 19890930    22.2
19891001 19891031    81.0
19891101 19891130    19.6
19891201 19891231     0.0
19900101 19900131   116.6
19900201 19900228     8.6
19900301 19900331    12.2
19900401 19900430    24.0
19900501 19900531    48.4
19900601 19900630    65.9
19900701 19900731    74.2
19900801 19900831    23.8
19900901 19900930    30.2
19901001 19901031    26.4
19901101 19901130    17.8
19901201 19901231     2.2
19910101 19910131     5.6
19910201 19910228    37.4
19910301 19910331     1.2
19910401 19910430    29.8
19910501 19910531    25.2
19910601 19910630    33.8
19910701 19910731    83.6
19910801 19910831    29.4
19910901 19910930    48.4
19911001 19911031    22.6
19911101 19911130    33.4
19911201 19911231    22.4
19920101 19920131     0.0
19920201 19920229    41.2
19920301 19920331    34.2
19920401 19920430    32.6
19920501 19920531    32.2
19920601 19920630    64.4
19920701 19920731    36.8
19920801 19920831    86.6
19920901 19920930    71.0
19921001 19921031    38.2
19921101 19921130    32.4
19921201 19921231    21.0
19930101 19930131     0.0
19930201 19930228    62.2
19930301 19930331   108.4
19930401 19930430     5.0
19930501 19930531   116.5
19930601 19930630    40.0
19930701 19930731    41.2
19930801 19930831    85.8
19930901 19930930    19.6
19931001 19931031    32.0
19931101 19931130    35.6
19931201 19931231     8.0
19940101 19940131     0.0
19940201 19940228     1.0
19940301 19940331     0.0
19940401 19940430     0.8
19940501 19940531    56.8
19940601 19940630    13.4
19940701 19940731    13.8
19940801 19940831    36.2
19940901 19940930    20.4
19941001 19941031    33.6
19941101 19941130    17.0
19941201 19941231     6.2
19950101 19950131    21.4
19950201 19950228    26.8
19950301 19950331     5.0
19950401 19950430     3.0
19950501 19950531    38.6
19950601 19950630    46.2
19950701 19950731    63.0
19950801 19950831    21.2
19950901 19950930    65.6
19951001 19951031    39.8
19951101 19951130     5.6
19951201 19951231    41.3
19960101 19960131     1.0
19960201 19960229     4.9
19960301 19960331     3.2
19960401 19960430     8.8
19960501 19960531    14.6
19960601 19960630    42.0
19960701 19960731    78.6
19960801 19960831    33.2
19960901 19960930    41.8
19961001 19961031    22.2
19961101 19961130    32.2
19961201 19961231     0.2
19970101 19970131     0.0
19970201 19970228    50.8
19970301 19970331    66.2
19970401 19970430    63.6
19970501 19970531    50.4
19970601 19970630    30.8
19970701 19970731    33.6
19970801 19970831    49.4
19970901 19970930    41.4
19971001 19971031    15.8
19971101 19971130    30.8
19971201 19971231    14.8
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331    45.2
19980401 19980430    67.2
19980501 19980531    27.8
19980601 19980630    88.0
19980701 19980731    24.0
19980801 19980831    87.8
19980901 19980930    22.4
19981001 19981031    23.0
19981101 19981130    21.6
19981201 19981231    18.4
19990101 19990131    27.0
19990201 19990228    14.8
19990301 19990331    24.5
19990401 19990430     2.4
19990501 19990531    43.8
19990601 19990630    37.2
19990701 19990731    36.2
19990801 19990831    33.4
19990901 19990930    30.4
19991001 19991031    38.2
19991101 19991130    26.8
19991201 19991231    26.6
20000101 20000131   101.2
20000201 20000229    16.8
20000301 20000331    15.8
20000401 20000430    17.4
20000501 20000531    11.4
20000601 20000630    33.8
20000701 20000731    38.8
20000801 20000831    39.5
20000901 20000930    11.0
20001001 20001031    11.0
20001101 20001130     6.0
20001201 20001231     1.8
20010101 20010131    17.6
20010201 20010228     7.4
20010301 20010331     5.8
20010401 20010430    21.4
20010501 20010531    28.0
20010601 20010630    29.0
20010701 20010731    63.4
20010801 20010831    66.0
20010901 20010930    39.2
20011001 20011031    25.6
20011101 20011130    44.0
20011201 20011231   102.6
20020101 20020131     3.8
20020201 20020228     3.0
20020301 20020331    10.0
20020401 20020430    35.0
20020501 20020531     9.4
20020601 20020630    21.8
20020701 20020731    39.2
20020801 20020831    28.2
20020901 20020930    18.8
20021001 20021031    30.6
20021101 20021130    12.6
20021201 20021231    14.4
20030101 20030131     0.0
20030201 20030228    68.6
