PRCP       058063 18790101 20120731 missing_value=99999.9 CASINO AIRPORT                            
19660801 19660831    88.1
19660901 19660930    25.4
19661001 19661031    37.5
19661101 19661130    53.3
19661201 19661231    95.8
19670101 19670131   138.7
19670201 19670228    61.5
19670301 19670331   332.8
19670401 19670430    75.1
19670501 19670531    72.9
19670601 19670630   395.5
19670701 19670731    45.7
19670801 19670831    43.7
19670901 19670930    20.6
19671001 19671031   129.8
19671101 19671130    52.6
19671201 19671231    38.7
19680101 19680131   271.1
19680201 19680229   246.8
19680301 19680331   108.5
19680401 19680430    33.5
19680501 19680531    59.5
19680601 19680630     8.4
19680701 19680731    50.5
19680801 19680831   118.5
19680901 19680930    10.2
19681001 19681031    33.0
19681101 19681130    24.4
19681201 19681231   158.3
19690101 19690131    76.7
19690201 19690228    86.1
19690301 19690331    55.6
19690401 19690430    18.3
19690501 19690531   156.8
19690601 19690630    24.6
19690701 19690731    28.2
19690801 19690831    86.4
19690901 19690930    27.2
19691001 19691031   177.2
19691101 19691130   108.5
19691201 19691231   120.6
19700101 19700131   133.3
19700201 19700228   166.9
19700301 19700331   123.3
19700401 19700430    23.4
19700501 19700531    25.1
19700601 19700630    16.5
19700701 19700731     0.0
19700801 19700831    16.3
19700901 19700930    32.3
19701001 19701031    51.4
19701101 19701130    67.1
19701201 19701231   405.3
19710101 19710131   141.7
19710201 19710228   272.7
19710301 19710331   160.4
19710401 19710430    52.2
19710501 19710531    28.6
19710601 19710630    32.0
19710701 19710731    17.3
19710801 19710831    62.2
19710901 19710930    49.6
19711001 19711031    16.3
19711101 19711130    87.7
19711201 19711231   126.8
19720101 19720131   212.0
19720201 19720229   310.8
19720301 19720331   152.1
19720401 19720430    47.7
19720501 19720531   109.3
19720601 19720630    45.0
19720701 19720731     1.5
19720801 19720831    24.2
19720901 19720930    19.3
19721001 19721031   379.4
19721101 19721130    80.8
19721201 19721231    82.6
19730101 19730131   141.9
19730201 19730228   270.6
19730301 19730331    66.8
19730401 19730430    10.0
19730501 19730531    42.3
19730601 19730630    17.0
19730701 19730731   201.1
19730801 19730831    24.4
19730901 19730930    57.1
19731001 19731031    50.5
19731101 19731130    88.3
19731201 19731231   125.8
19740101 19740131   301.5
19740201 19740228    73.8
19740301 19740331   428.7
19740401 19740430   210.5
19740501 19740531    41.4
19740601 19740630   215.0
19740701 19740731    10.2
19740801 19740831    46.4
19740901 19740930    29.4
19741001 19741031    41.8
19741101 19741130   116.8
19741201 19741231    61.1
19750101 19750131    82.4
