PRCP       037001 18850101 20171231 missing_value=99999.9 AYRSHIRE DOWNS                            
19250201 19250228    35.1
19250301 19250331    56.5
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     8.1
19251001 19251031     0.0
19251101 19251130    34.3
19251201 19251231     0.0
19260101 19260131    49.7
19260201 19260228    18.3
19260301 19260331     0.0
19260401 19260430     2.5
19260501 19260531    25.7
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    55.3
19261001 19261031     6.6
19261101 19261130     3.8
19261201 19261231    81.8
19270101 19270131    47.5
19270201 19270228    53.6
19270301 19270331    15.8
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    19.1
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     8.1
19271001 19271031     7.2
19271101 19271130     0.0
19271201 19271231   101.4
19280101 19280131     2.5
19280201 19280229    13.2
19280301 19280331     4.8
19280401 19280430     3.3
19280501 19280531     0.0
19280601 19280630     7.6
19280701 19280731     5.1
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    24.6
19281201 19281231    43.1
19290101 19290131   116.1
19290201 19290228    38.4
19290301 19290331    59.5
19290401 19290430    69.8
19290501 19290531     0.0
19290601 19290630     3.8
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    20.6
19291201 19291231     1.3
19300101 19300131   189.1
19300201 19300228   158.7
19300301 19300331     0.0
19300401 19300430     0.0
19300501 19300531    29.7
19300601 19300630    34.2
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031   147.8
19301101 19301130    11.7
19301201 19301231    50.7
19310101 19310131    20.5
19310201 19310228     0.0
19310301 19310331    53.1
19310401 19310430    12.7
19310501 19310531    18.6
19310601 19310630     3.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     8.6
19311001 19311031    16.3
19311101 19311130    25.6
19311201 19311231    91.5
19320101 19320131     6.9
19320201 19320229    18.5
19320301 19320331    29.4
19320401 19320430    10.4
19320501 19320531    71.7
19320601 19320630     5.1
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     3.3
19321101 19321130     1.0
19321201 19321231     3.3
19330101 19330131     5.9
19330201 19330228   124.0
19330301 19330331     1.3
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630    25.1
19330701 19330731    71.9
19330801 19330831     2.8
19330901 19330930     0.0
19331001 19331031     2.3
19331101 19331130    70.0
19331201 19331231    13.5
19340101 19340131   100.8
19340201 19340228    62.7
19340301 19340331     0.0
19340401 19340430     3.6
19340501 19340531     0.0
19340601 19340630    24.9
19340701 19340731    35.3
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    10.2
19341101 19341130     3.8
19341201 19341231     0.0
19350101 19350131    46.7
19350201 19350228     6.4
19350301 19350331     1.3
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630   157.8
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930    12.0
19351001 19351031    23.4
19351101 19351130    12.2
19351201 19351231     1.5
19360101 19360131    53.4
19360201 19360229   178.3
19360301 19360331   114.8
19360401 19360430     0.0
19360501 19360531   105.9
19360601 19360630     0.0
19360701 19360731    18.3
19360801 19360831     2.8
19360901 19360930    10.0
19361001 19361031     0.0
19361101 19361130    26.7
19361201 19361231    18.5
19370101 19370131    66.8
19370201 19370228    39.0
19370301 19370331   273.6
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    35.9
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     2.5
19371101 19371130    20.6
19371201 19371231     4.3
19380101 19380131    30.0
19380201 19380228   210.5
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    12.9
19380701 19380731    33.2
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    13.7
19381201 19381231     0.0
19390101 19390131    12.4
19390201 19390228   167.4
19390301 19390331     6.4
19390401 19390430   137.6
19390501 19390531     0.0
19390601 19390630    19.6
19390701 19390731     5.0
19390801 19390831    20.9
19390901 19390930     2.0
19391001 19391031    85.6
19391101 19391130    26.0
19391201 19391231     0.0
19400101 19400131    76.4
19400201 19400229   357.7
19400301 19400331    20.6
19400401 19400430    13.2
19400501 19400531     0.0
19400601 19400630    12.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    23.2
19401201 19401231    32.8
19410101 19410131   214.6
19410201 19410228     0.0
19410301 19410331   162.7
19410401 19410430    38.3
19410501 19410531    23.6
19410601 19410630    69.2
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     3.8
19411101 19411130    32.2
19411201 19411231    72.3
19420101 19420131     7.4
19420201 19420228   125.5
19420301 19420331     0.0
19420401 19420430    24.7
19420501 19420531    39.8
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930    14.2
19421001 19421031    16.8
19421101 19421130    23.9
19421201 19421231    71.5
19430101 19430131     3.6
19430201 19430228    26.9
19430301 19430331     7.9
19430401 19430430    17.3
19430501 19430531    15.0
19430601 19430630     2.3
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    25.9
19431001 19431031     1.0
19431101 19431130     2.1
19431201 19431231    35.5
19440101 19440131    17.3
19440201 19440229   360.7
19440301 19440331    21.3
19440401 19440430     0.0
19440501 19440531    63.8
19440601 19440630     0.0
19440701 19440731    55.9
19440801 19440831     1.5
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     0.0
19441201 19441231    42.2
19450101 19450131    53.2
19450201 19450228    77.8
19450301 19450331    10.4
19450401 19450430     6.4
19450501 19450531    28.2
19450601 19450630    20.6
19450701 19450731    31.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130     0.0
19451201 19451231    31.5
19460101 19460131   307.2
19460201 19460228    27.5
19460301 19460331     4.6
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    17.0
19461201 19461231     2.0
19470101 19470131    42.9
19470201 19470228    35.6
19470301 19470331    19.6
19470401 19470430     0.0
19470501 19470531     3.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    58.9
19470901 19470930    51.2
19471001 19471031     2.0
19471101 19471130    35.8
19471201 19471231    18.1
19480101 19480131    11.9
19480201 19480229     8.9
19480301 19480331    14.2
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     5.1
19480701 19480731    11.4
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     3.6
19481101 19481130     8.1
19481201 19481231    37.6
19490101 19490131     2.8
19490201 19490228    52.1
19490301 19490331   246.2
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031    99.3
19491101 19491130     0.0
19491201 19491231    52.8
19500101 19500131   131.1
19500201 19500228   188.0
19500301 19500331   340.4
19500401 19500430    57.6
19500501 19500531    24.9
19500601 19500630    42.0
19500701 19500731    88.9
19500801 19500831     0.0
19500901 19500930    18.0
19501001 19501031    65.3
19501101 19501130   102.2
19501201 19501231    70.0
19510101 19510131   201.4
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    33.0
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     2.5
19511201 19511231     7.9
19520101 19520131    19.0
19520201 19520229    46.5
19520301 19520331     2.5
19520401 19520430    42.6
19520501 19520531    43.7
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     4.6
19520901 19520930     0.0
19521001 19521031    20.0
19521101 19521130    30.0
19521201 19521231    26.9
19530101 19530131   173.0
19530201 19530228   115.8
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531    17.8
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    13.2
19530901 19530930     0.0
19531001 19531031    16.5
19531101 19531130     6.4
19531201 19531231     8.9
19540101 19540131   181.5
19540201 19540228   134.4
19540301 19540331    69.1
19540401 19540430     0.0
19540501 19540531     0.0
19540601 19540630    28.4
19540701 19540731     0.8
19540801 19540831    22.7
19540901 19540930     1.3
19541001 19541031    35.5
19541101 19541130    10.1
19541201 19541231    19.6
19550101 19550131   155.5
19550201 19550228   192.9
19550301 19550331   165.1
19550401 19550430    42.1
19550501 19550531   231.9
19550601 19550630    16.5
19550701 19550731     8.9
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    17.0
19551101 19551130     0.8
19551201 19551231     8.9
19560101 19560131   126.8
19560201 19560229   116.8
19560301 19560331    51.3
19560401 19560430    21.8
19560501 19560531    36.0
19560601 19560630     8.1
19560701 19560731    91.6
19560801 19560831     0.0
19560901 19560930     6.6
19561001 19561031     6.8
19561101 19561130    20.4
19561201 19561231   206.3
19570101 19570131   151.3
19570201 19570228    37.5
19570301 19570331    27.2
19570401 19570430     5.3
19570501 19570531     0.0
19570601 19570630    11.0
19570701 19570731    14.7
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    12.9
19571101 19571130     2.8
19571201 19571231    43.1
19580101 19580131    89.4
19580201 19580228     8.9
19580301 19580331   122.1
19580401 19580430     6.6
19580501 19580531    11.7
19580601 19580630    76.7
19580701 19580731     1.3
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130    32.7
19581201 19581231    44.8
19590101 19590131    35.3
19590201 19590228     2.8
19590301 19590331    94.0
19590401 19590430     0.0
19590501 19590531    58.4
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     7.9
19590901 19590930     0.0
19591001 19591031     4.6
19591101 19591130     2.3
19591201 19591231    16.8
19600101 19600131    27.7
19600201 19600229    26.7
19600301 19600331     9.7
19600401 19600430    10.2
19600501 19600531    28.7
19600601 19600630     0.0
19600701 19600731     8.4
19600801 19600831    11.7
19600901 19600930     7.9
19601001 19601031     0.8
19601101 19601130     6.4
19601201 19601231   126.0
19610101 19610131    34.8
19610201 19610228    65.7
19610301 19610331     1.8
19610401 19610430    27.4
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731    17.8
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.5
19611101 19611130    17.8
19611201 19611231   119.4
19620101 19620131    95.9
19620201 19620228   108.1
19620301 19620331    32.1
19620401 19620430     3.1
19620501 19620531    15.2
19620601 19620630    10.7
19620701 19620731     6.6
19620801 19620831     0.0
19620901 19620930    58.7
19621001 19621031     7.4
19621101 19621130    26.7
19621201 19621231    78.0
19630101 19630131    59.0
19630201 19630228    28.2
19630301 19630331   172.7
19630401 19630430    21.8
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     3.8
19630901 19630930     0.0
19631001 19631031     1.3
19631101 19631130     3.8
19631201 19631231    11.4
19640101 19640131    42.2
19640201 19640229   150.7
19640301 19640331    57.1
19640401 19640430    33.9
19640501 19640531     6.4
19640601 19640630     3.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    15.8
19641001 19641031    48.5
19641101 19641130     2.5
19641201 19641231    46.4
19650101 19650131     0.0
19650201 19650228    13.3
19650301 19650331    33.0
19650401 19650430    51.4
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.5
19651001 19651031     2.5
19651101 19651130     6.9
19651201 19651231    87.4
