PRCP       010525 18910101 20171231 missing_value=99999.9 BROOMEHILL POST OFFICE                    
19460901 19460930    26.5
19461001 19461031     3.9
19461101 19461130    40.7
19461201 19461231    17.8
19470101 19470131     0.8
19470201 19470228    14.0
19470301 19470331    10.2
19470401 19470430   105.1
19470501 19470531    87.1
19470601 19470630   132.6
19470701 19470731    46.0
19470801 19470831    27.4
19470901 19470930    32.5
19471001 19471031    91.0
19471101 19471130    27.2
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     6.2
19480401 19480430    24.2
19480501 19480531     5.5
19480601 19480630    52.6
19480701 19480731    77.3
19480801 19480831    75.4
19480901 19480930    64.9
19481001 19481031    20.1
19481101 19481130    22.9
19481201 19481231    25.9
19490101 19490131     3.0
19490201 19490228    14.2
19490301 19490331    12.2
19490401 19490430    24.9
19490501 19490531    10.9
19490601 19490630    48.4
19490701 19490731    84.4
19490801 19490831    86.4
19490901 19490930    24.7
19491001 19491031    71.8
19491101 19491130    35.5
19491201 19491231     3.8
19500101 19500131    12.4
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     2.5
19500501 19500531   112.9
19500601 19500630    65.4
19500701 19500731    56.9
19500801 19500831    35.4
19500901 19500930    41.9
19501001 19501031    44.5
19501101 19501130    18.6
19501201 19501231    27.5
19510101 19510131    14.7
19510201 19510228    37.6
19510301 19510331     7.4
19510401 19510430    37.9
19510501 19510531    41.6
19510601 19510630    84.7
19510701 19510731    46.6
19510801 19510831    48.3
19510901 19510930    33.3
19511001 19511031    16.4
19511101 19511130    42.2
19511201 19511231    49.1
19520101 19520131     5.1
19520201 19520229     0.0
19520301 19520331    15.0
19520401 19520430    13.8
19520501 19520531    60.2
19520601 19520630    74.8
19520701 19520731    56.4
19520801 19520831    31.4
19520901 19520930    27.8
19521001 19521031    41.6
19521101 19521130    29.5
19521201 19521231    25.6
19530101 19530131     0.8
19530201 19530228     9.2
19530301 19530331     4.3
19530401 19530430    10.5
19530501 19530531    72.2
19530601 19530630    75.6
19530701 19530731    48.6
19530801 19530831    28.5
19530901 19530930    59.3
19531001 19531031    60.5
19531101 19531130    17.3
19531201 19531231     0.0
19540101 19540131     8.1
19540201 19540228     0.0
19540301 19540331     0.8
19540401 19540430     8.4
19540501 19540531    44.4
19540601 19540630    31.8
19540701 19540731    68.3
19540801 19540831    34.1
19540901 19540930    16.5
19541001 19541031    11.0
19541101 19541130    29.8
19541201 19541231     0.0
19550101 19550131     2.3
19550201 19550228   175.8
19550301 19550331     6.8
19550401 19550430    75.2
19550501 19550531    46.6
19550601 19550630    37.0
19550701 19550731    61.0
19550801 19550831   161.2
19550901 19550930    78.1
19551001 19551031    59.4
19551101 19551130     0.0
19551201 19551231     9.3
19560101 19560131     0.0
19560201 19560229     3.8
19560301 19560331    36.3
19560401 19560430    15.3
19560501 19560531    98.6
19560601 19560630    77.2
19560701 19560731    83.4
19560801 19560831    14.5
19560901 19560930    34.7
19561001 19561031    23.9
19561101 19561130    27.2
19561201 19561231     1.8
19570101 19570131    14.2
19570201 19570228     6.1
19570301 19570331     2.3
19570401 19570430    40.2
19570501 19570531    49.8
19570601 19570630    76.3
19570701 19570731    22.3
19570801 19570831    44.3
19570901 19570930    16.1
19571001 19571031    23.0
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     6.1
19580201 19580228    21.6
19580301 19580331     0.5
19580401 19580430    10.9
19580501 19580531    93.7
19580601 19580630    29.8
19580701 19580731   155.9
19580801 19580831    34.8
19580901 19580930    64.1
19581001 19581031    18.4
19581101 19581130    16.6
19581201 19581231    37.8
19590101 19590131     7.6
19590201 19590228    22.4
19590301 19590331    12.2
19590401 19590430    28.7
19590501 19590531    25.4
19590601 19590630   112.2
19590701 19590731    30.0
19590801 19590831    61.9
19590901 19590930    73.6
19591001 19591031    52.9
19591101 19591130    25.8
19591201 19591231    51.6
19600101 19600131    27.3
19600201 19600229     8.5
19600301 19600331    53.1
19600401 19600430    18.6
19600501 19600531    79.7
19600601 19600630    52.2
19600701 19600731   117.0
19600801 19600831    30.6
19600901 19600930    38.1
19601001 19601031     5.4
19601101 19601130    13.5
19601201 19601231    22.6
19610101 19610131    29.2
19610201 19610228     0.0
19610301 19610331    13.0
19610401 19610430   111.7
19610501 19610531    13.5
19610601 19610630    94.4
19610701 19610731    91.3
19610801 19610831    38.1
19610901 19610930    32.9
19611001 19611031    43.1
19611101 19611130     1.8
19611201 19611231    17.7
19620101 19620131    32.0
19620201 19620228     8.1
19620301 19620331     0.3
19620401 19620430     1.0
19620501 19620531    79.2
19620601 19620630    66.6
19620701 19620731    35.8
19620801 19620831    70.7
19620901 19620930    24.4
19621001 19621031    46.0
19621101 19621130    16.3
19621201 19621231    15.2
19630101 19630131    14.3
19630201 19630228     9.6
19630301 19630331    21.9
19630401 19630430     7.6
19630501 19630531    73.4
19630601 19630630    96.3
19630701 19630731    92.5
19630801 19630831   104.2
19630901 19630930    79.5
19631001 19631031    48.8
19631101 19631130    11.7
19631201 19631231    14.0
19640101 19640131     1.3
19640201 19640229     3.8
19640301 19640331     0.3
19640401 19640430    52.2
19640501 19640531    12.5
19640601 19640630   112.2
19640701 19640731   116.1
19640801 19640831    91.4
19640901 19640930    28.0
19641001 19641031    50.3
19641101 19641130     5.3
19641201 19641231     8.9
19650101 19650131     0.0
19650201 19650228     9.4
19650301 19650331    22.5
19650401 19650430     2.5
19650501 19650531    55.6
19650601 19650630    70.1
19650701 19650731    44.4
19650801 19650831    65.1
19650901 19650930    37.0
19651001 19651031    93.2
19651101 19651130    76.0
19651201 19651231    24.8
19660101 19660131     7.4
19660201 19660228    64.5
19660301 19660331     3.0
19660401 19660430    39.6
19660501 19660531    25.2
19660601 19660630   106.5
19660701 19660731    98.2
19660801 19660831    39.2
19660901 19660930    55.4
19661001 19661031    44.2
19661101 19661130     5.0
19661201 19661231    19.3
19670101 19670131     2.5
19670201 19670228    32.0
19670301 19670331    16.8
19670401 19670430    34.0
19670501 19670531    85.2
19670601 19670630   108.9
19670701 19670731    68.3
19670801 19670831    81.7
19670901 19670930    16.5
19671001 19671031    19.7
19671101 19671130     6.9
19671201 19671231    38.9
19680101 19680131    33.0
19680201 19680229    18.6
19680301 19680331   117.5
19680401 19680430    37.3
19680501 19680531    36.7
19680601 19680630   112.2
19680701 19680731    53.4
19680801 19680831    27.7
19680901 19680930    79.1
19681001 19681031    25.9
19681101 19681130     1.8
19681201 19681231     2.0
19690101 19690131     4.6
19690201 19690228     0.0
19690301 19690331    15.5
19690401 19690430    41.0
19690501 19690531    48.0
19690601 19690630    65.3
19690701 19690731    43.6
19690801 19690831    31.7
19690901 19690930    21.3
19691001 19691031     8.5
19691101 19691130    42.2
19691201 19691231     5.5
19700101 19700131     1.0
19700201 19700228    36.5
19700301 19700331     8.2
19700401 19700430    44.4
19700501 19700531    35.6
19700601 19700630   121.7
19700701 19700731    43.7
19700801 19700831    29.8
19700901 19700930    57.2
19701001 19701031    37.8
19701101 19701130    17.9
19701201 19701231    15.3
19710101 19710131    28.1
19710201 19710228     9.9
19710301 19710331    87.9
19710401 19710430    11.5
19710501 19710531    63.9
19710601 19710630    29.5
19710701 19710731    38.7
19710801 19710831    38.4
19710901 19710930    86.3
19711001 19711031    42.5
19711101 19711130    96.6
19711201 19711231     2.8
19720101 19720131     1.7
19720201 19720229     2.0
19720301 19720331     3.3
19720401 19720430    12.3
19720501 19720531    23.4
19720601 19720630    40.0
19720701 19720731    70.7
19720801 19720831    60.1
19720901 19720930    13.0
19721001 19721031    21.7
19721101 19721130     6.6
19721201 19721231     0.0
19730101 19730131    26.2
19730201 19730228     0.0
19730301 19730331     0.8
19730401 19730430    40.9
19730501 19730531    47.7
19730601 19730630    53.1
19730701 19730731    88.4
19730801 19730831    35.1
19730901 19730930    51.5
19731001 19731031    46.0
19731101 19731130    28.3
19731201 19731231     5.3
19740101 19740131     1.4
19740201 19740228    15.8
19740301 19740331     7.8
19740401 19740430    39.4
19740501 19740531   123.0
19740601 19740630    56.0
19740701 19740731    87.0
19740801 19740831    51.2
19740901 19740930    30.2
19741001 19741031    42.4
19741101 19741130    39.0
19741201 19741231     0.0
19750101 19750131     1.1
19750201 19750228     4.9
19750301 19750331     8.6
19750401 19750430    62.8
19750501 19750531    46.0
19750601 19750630    60.0
19750701 19750731    79.7
19750801 19750831    51.0
19750901 19750930    24.3
19751001 19751031    49.4
19751101 19751130    22.9
19751201 19751231     2.8
19760101 19760131    52.6
19760201 19760229    39.6
19760301 19760331     1.6
19760401 19760430    53.0
19760501 19760531    54.8
19760601 19760630    29.6
19760701 19760731    33.2
19760801 19760831    83.2
19760901 19760930    61.5
19761001 19761031    26.7
19761101 19761130    32.2
19761201 19761231     1.0
19770101 19770131     3.0
19770201 19770228     3.6
19770301 19770331     2.0
19770401 19770430     9.0
19770501 19770531    64.4
19770601 19770630    44.2
19770701 19770731    31.4
19770801 19770831    49.9
19770901 19770930    24.9
19771001 19771031    78.4
19771101 19771130     9.8
19771201 19771231     9.0
19780101 19780131    18.4
19780201 19780228    38.0
19780301 19780331     3.3
19780401 19780430     9.6
19780501 19780531    37.7
19780601 19780630    54.8
19780701 19780731    64.2
19780801 19780831    15.6
19780901 19780930    58.7
19781001 19781031     7.2
19781101 19781130    15.0
19781201 19781231    26.2
19790101 19790131    15.4
19790201 19790228    26.8
19790301 19790331     7.2
19790401 19790430     1.4
19790501 19790531    38.2
19790601 19790630    35.4
19790701 19790731    59.6
19790801 19790831    32.4
