PRCP       010582 18850101 20180131 missing_value=99999.9 KOJONUP                                   
19581001 19581031    14.6
19581101 19581130     9.2
19581201 19581231    18.3
19590101 19590131     4.6
19590201 19590228    32.0
19590301 19590331     8.1
19590401 19590430    22.2
19590501 19590531    30.1
19590601 19590630   114.0
19590701 19590731    32.8
19590801 19590831    81.5
19590901 19590930    51.3
19591001 19591031    31.4
19591101 19591130    23.6
19591201 19591231    40.0
19600101 19600131    18.8
19600201 19600229     9.4
19600301 19600331    66.7
19600401 19600430    18.4
19600501 19600531    63.5
19600601 19600630    41.5
19600701 19600731   113.5
19600801 19600831    24.6
19600901 19600930    42.0
19601001 19601031     8.0
19601101 19601130     6.5
19601201 19601231    16.8
19610101 19610131    23.9
19610201 19610228     4.4
19610301 19610331    12.4
19610401 19610430    69.3
19610501 19610531    14.8
19610601 19610630   109.6
19610701 19610731   105.2
19610801 19610831    50.2
19610901 19610930    35.9
19611001 19611031    16.7
19611101 19611130     4.6
19611201 19611231    21.8
19620101 19620131     3.7
19620201 19620228     7.6
19620301 19620331     1.0
19620401 19620430     2.6
19620501 19620531    57.5
19620601 19620630    77.0
19620701 19620731    39.2
19620801 19620831    81.2
19620901 19620930    24.0
19621001 19621031    40.4
19621101 19621130    23.2
19621201 19621231     7.4
19630101 19630131    13.2
19630201 19630228     4.9
19630301 19630331    42.7
19630401 19630430    14.0
19630501 19630531   104.9
19630601 19630630   108.1
19630701 19630731   119.1
19630801 19630831   129.1
19630901 19630930    66.0
19631001 19631031    34.7
19631101 19631130     3.8
19631201 19631231     2.8
19640101 19640131     0.3
19640201 19640229     4.3
19640301 19640331     1.3
19640401 19640430    25.6
19640501 19640531    12.1
19640601 19640630   150.3
19640701 19640731   128.0
19640801 19640831   101.6
19640901 19640930    19.0
19641001 19641031    52.3
19641101 19641130     7.6
19641201 19641231    18.8
19650101 19650131     2.2
19650201 19650228    11.5
19650301 19650331    22.9
19650401 19650430    11.2
19650501 19650531    62.3
19650601 19650630    65.9
19650701 19650731    59.1
19650801 19650831    79.3
19650901 19650930    36.1
19651001 19651031    63.9
19651101 19651130    78.1
