PRCP       070028 18980801 20160630 missing_value=99999.9 YASS (DERRINGULLEN)                       
19500301 19500331   263.4
19500401 19500430    83.3
19500501 19500531   102.9
19500601 19500630    79.2
19500701 19500731   138.8
19500801 19500831    84.0
19500901 19500930    47.1
19501001 19501031   175.3
19501101 19501130   110.1
19501201 19501231    11.7
19510101 19510131    30.8
19510201 19510228    14.6
19510301 19510331    17.0
19510401 19510430    48.6
19510501 19510531    61.9
19510601 19510630    96.7
19510701 19510731    77.9
19510801 19510831   125.6
19510901 19510930    87.8
19511001 19511031    90.4
19511101 19511130    36.9
19511201 19511231    65.2
19520101 19520131    50.9
19520201 19520229     5.6
19520301 19520331   195.6
19520401 19520430   170.3
19520501 19520531   174.6
19520601 19520630   179.3
19520701 19520731    57.6
19520801 19520831    82.9
19520901 19520930    58.7
19521001 19521031   134.9
19521101 19521130    61.3
19521201 19521231   102.2
19530101 19530131    50.3
19530201 19530228    17.5
19530301 19530331     8.3
19530401 19530430    31.4
19530501 19530531    85.6
19530601 19530630    64.4
19530701 19530731    37.6
19530801 19530831    49.0
19530901 19530930    49.5
19531001 19531031    83.4
19531101 19531130    75.8
19531201 19531231    27.5
19540101 19540131    57.4
19540201 19540228    47.9
19540301 19540331     0.5
19540401 19540430    59.1
19540501 19540531    13.5
19540601 19540630    50.8
19540701 19540731    28.9
19540801 19540831    38.8
19540901 19540930    21.9
19541001 19541031    75.0
19541101 19541130   132.1
19541201 19541231    50.4
19550101 19550131    32.5
19550201 19550228   156.6
19550301 19550331    32.8
19550401 19550430    28.7
19550501 19550531   105.3
19550601 19550630    86.6
19550701 19550731    70.0
19550801 19550831   140.9
19550901 19550930    49.5
19551001 19551031    97.1
19551101 19551130    85.2
19551201 19551231    42.4
19560101 19560131    93.6
19560201 19560229    35.3
19560301 19560331   223.5
19560401 19560430   156.7
19560501 19560531   109.0
19560601 19560630   169.7
19560701 19560731   130.1
19560801 19560831    87.0
19560901 19560930    76.4
19561001 19561031   125.3
19561101 19561130    31.5
19561201 19561231    13.7
19570101 19570131     2.5
19570201 19570228    56.4
19570301 19570331    47.9
19570401 19570430    36.8
19570501 19570531     4.1
19570601 19570630    42.1
19570701 19570731    59.5
19570801 19570831    50.6
19570901 19570930    20.3
19571001 19571031    22.1
19571101 19571130    22.1
19571201 19571231    66.5
19580101 19580131    94.0
19580201 19580228    50.1
19580301 19580331    57.9
19580401 19580430    17.1
19580501 19580531    71.7
19580601 19580630    84.5
19580701 19580731   102.6
19580801 19580831   110.4
19580901 19580930    43.8
19581001 19581031   102.1
19581101 19581130    39.4
19581201 19581231    55.1
19590101 19590131    65.0
19590201 19590228   111.7
19590301 19590331    77.5
19590401 19590430    76.0
19590501 19590531    23.6
19590601 19590630    92.1
19590701 19590731    84.5
19590801 19590831    28.6
19590901 19590930    37.3
19591001 19591031   125.9
19591101 19591130    83.4
19591201 19591231     7.0
19600101 19600131    77.3
19600201 19600229    66.4
19600301 19600331    34.5
19600401 19600430    34.1
19600501 19600531   161.2
19600601 19600630    21.0
19600701 19600731   189.3
19600801 19600831    84.2
19600901 19600930   131.2
19601001 19601031    51.7
19601101 19601130    49.6
19601201 19601231    88.7
19610101 19610131    48.5
19610201 19610228    49.8
19610301 19610331    60.9
19610401 19610430    76.9
19610501 19610531    10.2
19610601 19610630    59.7
19610701 19610731   108.6
19610801 19610831    63.9
19610901 19610930    49.8
19611001 19611031    84.9
19611101 19611130   188.4
19611201 19611231   160.7
19620101 19620131   107.3
19620201 19620228    42.4
19620301 19620331    26.5
19620401 19620430    19.1
19620501 19620531    69.4
19620601 19620630    20.2
19620701 19620731    47.0
19620801 19620831    75.9
19620901 19620930    68.9
19621001 19621031    48.8
19621101 19621130    30.0
19621201 19621231   193.1
19630101 19630131    79.5
19630201 19630228    20.8
19630301 19630331    43.7
19630401 19630430    19.8
19630501 19630531    73.1
19630601 19630630    63.7
19630701 19630731    61.9
19630801 19630831    69.4
19630901 19630930    54.6
19631001 19631031    41.6
19631101 19631130    33.8
19631201 19631231    58.1
19640101 19640131    35.3
19640201 19640229    12.8
19640301 19640331    61.2
19640401 19640430    57.5
19640501 19640531    43.0
19640601 19640630    51.4
19640701 19640731    99.9
19640801 19640831    53.7
19640901 19640930    95.0
19641001 19641031   145.0
19641101 19641130     4.8
19641201 19641231    50.7
19650101 19650131     0.0
19650201 19650228     0.5
19650301 19650331    13.0
19650401 19650430    51.1
19650501 19650531    36.4
19650601 19650630    22.1
19650701 19650731    32.9
19650801 19650831    68.4
19650901 19650930    66.0
19651001 19651031   105.5
19651101 19651130    44.9
19651201 19651231    70.9
19660101 19660131    35.6
19660201 19660228    43.5
19660301 19660331    79.2
19660401 19660430    13.5
19660501 19660531    41.2
19660601 19660630    62.2
19660701 19660731    48.5
19660801 19660831    56.6
19660901 19660930    67.8
19661001 19661031    87.5
19661101 19661130    79.4
19661201 19661231    97.1
19670101 19670131    94.4
19670201 19670228     6.9
19670301 19670331    14.7
19670401 19670430     0.0
19670501 19670531    24.5
19670601 19670630    37.9
19670701 19670731    16.9
19670801 19670831    82.6
19670901 19670930    63.7
19671001 19671031    31.0
19671101 19671130    11.2
19671201 19671231     0.0
19680101 19680131    73.8
19680201 19680229     0.0
19680301 19680331    18.5
19680401 19680430    51.7
19680501 19680531   208.6
19680601 19680630    33.2
19680701 19680731    35.6
19680801 19680831    98.4
19680901 19680930    17.4
19681001 19681031    63.4
19681101 19681130    56.3
19681201 19681231   118.6
19690101 19690131    39.5
19690201 19690228   109.0
19690301 19690331   103.0
19690401 19690430   100.1
19690501 19690531    68.3
19690601 19690630    63.8
19690701 19690731    72.3
19690801 19690831    54.2
19690901 19690930    54.1
19691001 19691031   140.4
19691101 19691130    35.9
19691201 19691231    29.8
19700101 19700131   140.4
19700201 19700228    30.7
19700301 19700331    55.6
19700401 19700430    74.2
19700501 19700531    67.9
19700601 19700630    41.7
19700701 19700731    17.8
19700801 19700831    79.6
19700901 19700930   146.9
19701001 19701031    61.7
19701101 19701130    71.6
19701201 19701231    64.3
19710101 19710131    70.4
19710201 19710228    92.5
19710301 19710331     9.2
19710401 19710430    27.2
19710501 19710531    50.1
19710601 19710630    21.7
19710701 19710731    42.5
19710801 19710831    59.4
19710901 19710930    40.0
19711001 19711031    27.6
19711101 19711130    96.4
19711201 19711231   169.0
19720101 19720131    92.8
19720201 19720229    52.9
19720301 19720331    12.2
19720401 19720430    54.2
19720501 19720531    47.3
19720601 19720630     8.8
19720701 19720731    25.2
19720801 19720831    85.8
19720901 19720930    21.2
19721001 19721031    79.4
19721101 19721130    45.7
19721201 19721231    12.5
19730101 19730131    25.8
19730201 19730228   155.2
19730301 19730331    41.0
19730401 19730430    19.1
19730501 19730531    65.1
19730601 19730630    81.6
19730701 19730731    73.8
19730801 19730831    99.7
19730901 19730930    54.1
19731001 19731031   139.9
19731101 19731130    89.2
19731201 19731231    84.8
19740101 19740131    82.2
19740201 19740228   146.6
19740301 19740331    10.2
19740401 19740430   233.0
19740501 19740531    44.6
19740601 19740630    25.0
19740701 19740731   119.8
19740801 19740831   147.0
19740901 19740930   107.2
19741001 19741031   152.0
19741101 19741130    38.6
19741201 19741231     3.2
19750101 19750131    43.4
19750201 19750228    78.2
19750301 19750331    82.0
19750401 19750430    26.2
19750501 19750531    33.4
19750601 19750630    43.1
19750701 19750731    82.3
19750801 19750831    71.6
19750901 19750930    92.2
19751001 19751031   130.2
19751101 19751130    12.2
19751201 19751231    52.3
19760101 19760131   107.0
19760201 19760229    36.8
19760301 19760331    26.5
19760401 19760430    21.6
19760501 19760531     7.4
19760601 19760630    21.1
19760701 19760731    50.6
19760801 19760831    37.4
19760901 19760930    75.0
