PRCP       085046 18880701 20160630 missing_value=99999.9 LABERTOUCHE                               
19411001 19411031    74.0
19411101 19411130    47.2
19411201 19411231    93.0
19420101 19420131    35.0
19420201 19420228    41.8
19420301 19420331    93.5
19420401 19420430    67.5
19420501 19420531   209.7
19420601 19420630    38.8
19420701 19420731    63.1
19420801 19420831    53.7
19420901 19420930   117.9
19421001 19421031   111.5
19421101 19421130   109.2
19421201 19421231    26.0
19430101 19430131    87.5
19430201 19430228    54.4
19430301 19430331    10.1
19430401 19430430   178.5
19430501 19430531    50.7
19430601 19430630    96.2
19430701 19430731    75.9
19430801 19430831    82.2
19430901 19430930   112.4
19431001 19431031    34.9
19431101 19431130    53.1
19431201 19431231    25.5
19440101 19440131    29.6
19440201 19440229    19.9
19440301 19440331    75.5
19440401 19440430   118.2
19440501 19440531   186.6
19440601 19440630    61.3
19440701 19440731    50.5
19440801 19440831    31.0
19440901 19440930    59.7
19441001 19441031    64.9
19441101 19441130    51.8
19441201 19441231    87.4
19450101 19450131    51.1
19450201 19450228    45.8
19450301 19450331    27.3
19450401 19450430    27.0
19450501 19450531    73.7
19450601 19450630    71.9
19450701 19450731    74.3
19450801 19450831   124.3
19450901 19450930    84.3
19451001 19451031    82.2
19451101 19451130   109.8
19451201 19451231    24.2
19460101 19460131    86.3
19460201 19460228   203.8
19460301 19460331   146.5
19460401 19460430    83.6
19460501 19460531    38.8
19460601 19460630   123.7
19460701 19460731   121.7
19460801 19460831   113.0
19460901 19460930    82.8
19461001 19461031   128.2
19461101 19461130    64.1
19461201 19461231   100.4
19470101 19470131    63.7
19470201 19470228    47.7
19470301 19470331   130.6
19470401 19470430   103.7
19470501 19470531    37.2
19470601 19470630   115.7
19470701 19470731   152.2
19470801 19470831    93.5
19470901 19470930    98.9
19471001 19471031   168.2
19471101 19471130   100.8
19471201 19471231   101.5
19480101 19480131    11.7
19480201 19480229    31.2
19480301 19480331    55.4
19480401 19480430    94.9
19480501 19480531   205.8
19480601 19480630    61.9
19480701 19480731    76.0
19480801 19480831   103.9
19480901 19480930    46.4
19481001 19481031   160.6
19481101 19481130    74.7
19481201 19481231    56.7
19490101 19490131    64.1
19490201 19490228    61.7
19490301 19490331   133.2
19490401 19490430    43.7
19490501 19490531    59.2
19490601 19490630    63.9
19490701 19490731    80.2
19490801 19490831    52.3
19490901 19490930    55.1
19491001 19491031   125.5
19491101 19491130   124.7
19491201 19491231    37.7
19500101 19500131    28.5
19500201 19500228    75.9
19500301 19500331    89.5
19500401 19500430    42.6
19500501 19500531    54.0
19500601 19500630    85.6
19500701 19500731    37.6
19500801 19500831    55.1
19500901 19500930   103.2
19501001 19501031   142.2
19501101 19501130    67.2
19501201 19501231    71.4
19510101 19510131    31.4
19510201 19510228   148.9
19510301 19510331     3.1
19510401 19510430   172.2
19510501 19510531   115.1
19510601 19510630    42.5
19510701 19510731   112.2
19510801 19510831   144.6
19510901 19510930    49.3
19511001 19511031    97.1
19511101 19511130    90.1
19511201 19511231    94.5
19520101 19520131    24.5
19520201 19520229    46.6
19520301 19520331    44.8
19520401 19520430   106.4
19520501 19520531   120.7
19520601 19520630   211.7
19520701 19520731   119.1
19520801 19520831    84.0
19520901 19520930   129.8
19521001 19521031   138.6
19521101 19521130   191.1
19521201 19521231   127.9
19530101 19530131    88.0
19530201 19530228    38.2
19530301 19530331    18.2
19530401 19530430    43.4
19530501 19530531    73.7
19530601 19530630   102.5
19530701 19530731   110.3
19530801 19530831    89.4
19530901 19530930   142.6
19531001 19531031   168.9
19531101 19531130   169.5
19531201 19531231    77.4
19540101 19540131    29.8
19540201 19540228    89.6
19540301 19540331    34.7
19540401 19540430    64.0
19540501 19540531    73.8
19540601 19540630    92.3
19540701 19540731    78.8
19540801 19540831    96.1
19540901 19540930    52.3
19541001 19541031    82.5
19541101 19541130   106.0
19541201 19541231    81.3
19550101 19550131    12.5
19550201 19550228    77.2
19550301 19550331    53.3
19550401 19550430    55.0
19550501 19550531    75.5
19550601 19550630    74.0
19550701 19550731    78.1
19550801 19550831   132.9
19550901 19550930   126.6
19551001 19551031   100.8
19551101 19551130    91.8
19551201 19551231   116.6
19560101 19560131   137.3
19560201 19560229     0.9
19560301 19560331    46.3
19560401 19560430   100.5
19560501 19560531   160.9
19560601 19560630   121.1
19560701 19560731    75.8
19560801 19560831   154.1
19560901 19560930   126.8
19561001 19561031   115.0
19561101 19561130   173.7
19561201 19561231    77.7
19570101 19570131    19.8
19570201 19570228    51.8
19570301 19570331    50.0
19570401 19570430    79.0
19570501 19570531   116.0
19570601 19570630    41.3
19570701 19570731    76.3
19570801 19570831    67.5
19570901 19570930   164.6
19571001 19571031   121.1
19571101 19571130   118.5
19571201 19571231    39.4
19580101 19580131    20.1
19580201 19580228    82.4
19580301 19580331    34.8
19580401 19580430    15.4
19580501 19580531   164.2
19580601 19580630    48.3
19580701 19580731   120.1
19580801 19580831   140.2
19580901 19580930    91.3
19581001 19581031   133.2
19581101 19581130    99.5
19581201 19581231    78.7
19590101 19590131    25.7
19590201 19590228    52.6
19590301 19590331    73.4
19590401 19590430    47.2
19590501 19590531    38.9
19590601 19590630    79.1
19590701 19590731    67.9
19590801 19590831    97.5
19590901 19590930   180.5
19591001 19591031    90.6
19591101 19591130    52.3
19591201 19591231    93.3
19600101 19600131    67.3
19600201 19600229    84.6
19600301 19600331    23.9
19600401 19600430   178.2
19600501 19600531   199.8
19600601 19600630    60.7
19600701 19600731   146.2
19600801 19600831    89.4
19600901 19600930   143.6
19601001 19601031    69.5
19601101 19601130   169.2
19601201 19601231    35.3
19610101 19610131    37.1
19610201 19610228    29.0
19610301 19610331   124.2
19610401 19610430   109.8
19610501 19610531    96.9
19610601 19610630   102.4
19610701 19610731    73.2
19610801 19610831   105.7
19610901 19610930    21.6
19611001 19611031    67.4
19611101 19611130    57.4
19611201 19611231    44.5
19620101 19620131    78.3
19620201 19620228    62.5
19620301 19620331    21.1
19620401 19620430    46.3
19620501 19620531   117.4
19620601 19620630    89.0
19620701 19620731    69.0
19620801 19620831   125.0
19620901 19620930   116.5
19621001 19621031   108.9
19621101 19621130    43.3
19621201 19621231   122.5
19630101 19630131   163.6
19630201 19630228    55.9
19630301 19630331    65.3
19630401 19630430    29.7
19630501 19630531   131.4
19630601 19630630    64.1
19630701 19630731   113.7
19630801 19630831    68.5
19630901 19630930   104.1
19631001 19631031    99.3
19631101 19631130    67.0
19631201 19631231    19.5
19640101 19640131    31.7
19640201 19640229    86.4
19640301 19640331    73.9
19640401 19640430    98.3
19640501 19640531    68.2
19640601 19640630    63.6
19640701 19640731   137.1
19640801 19640831   124.9
19640901 19640930   119.2
19641001 19641031   122.1
19641101 19641130    49.4
19641201 19641231   172.8
19650101 19650131    57.4
19650201 19650228    12.2
19650301 19650331    47.1
19650401 19650430   133.4
19650501 19650531    44.6
19650601 19650630    21.2
19650701 19650731   113.9
19650801 19650831    90.3
19650901 19650930    92.4
19651001 19651031    46.4
19651101 19651130   135.6
19651201 19651231    54.6
19660101 19660131    57.9
19660201 19660228    74.9
19660301 19660331    64.1
19660401 19660430    87.0
19660501 19660531    77.6
19660601 19660630    51.6
19660701 19660731   128.3
19660801 19660831    91.9
19660901 19660930    92.3
19661001 19661031    86.8
19661101 19661130    73.4
19661201 19661231   131.8
19670101 19670131    31.1
19670201 19670228     8.5
19670301 19670331    53.0
19670401 19670430     9.3
19670501 19670531    65.2
19670601 19670630    44.2
19670701 19670731    28.1
19670801 19670831   109.8
19670901 19670930    69.0
19671001 19671031    36.7
19671101 19671130    37.1
19671201 19671231    89.4
19680101 19680131    25.4
19680201 19680229     1.6
19680301 19680331    36.2
19680401 19680430    84.1
19680501 19680531   157.3
19680601 19680630   119.4
19680701 19680731    67.1
19680801 19680831    69.3
19680901 19680930    59.8
19681001 19681031   123.2
19681101 19681130   122.8
19681201 19681231    53.0
19690101 19690131    50.1
19690201 19690228    75.7
19690301 19690331   110.8
19690401 19690430    34.0
19690501 19690531   128.2
19690601 19690630    35.7
19690701 19690731    46.0
19690801 19690831    46.5
19690901 19690930   110.4
19691001 19691031    85.5
19691101 19691130    79.3
19691201 19691231    57.1
19700101 19700131    91.7
19700201 19700228    12.5
19700301 19700331   187.6
19700401 19700430   119.5
19700501 19700531   147.8
19700601 19700630    50.7
19700701 19700731    55.3
19700801 19700831   130.4
19700901 19700930    69.4
19701001 19701031    73.4
19701101 19701130   117.3
19701201 19701231   114.6
19710101 19710131   104.2
19710201 19710228    36.9
19710301 19710331    44.1
19710401 19710430    69.2
19710501 19710531    77.8
19710601 19710630    80.5
19710701 19710731    35.9
19710801 19710831    40.6
19710901 19710930    77.3
19711001 19711031   141.2
19711101 19711130   141.7
19711201 19711231    93.6
19720101 19720131    98.0
19720201 19720229   120.1
19720301 19720331    15.1
19720401 19720430    69.4
19720501 19720531    52.6
19720601 19720630    25.8
19720701 19720731    87.1
19720801 19720831    67.8
19720901 19720930    69.2
19721001 19721031    55.8
19721101 19721130    59.7
19721201 19721231     3.1
19730101 19730131    58.0
19730201 19730228   198.7
19730301 19730331   110.7
19730401 19730430    67.1
19730501 19730531    63.2
19730601 19730630    71.8
19730701 19730731    37.6
19730801 19730831    81.8
19730901 19730930   114.0
19731001 19731031   119.6
19731101 19731130    96.6
19731201 19731231    79.4
19740101 19740131    44.4
19740201 19740228    41.8
19740301 19740331    40.6
19740401 19740430   127.4
19740501 19740531   136.4
19740601 19740630    18.0
19740701 19740731   110.4
19740801 19740831    93.0
19740901 19740930   106.8
19741001 19741031   103.8
19741101 19741130    96.0
19741201 19741231   106.4
19750101 19750131    63.2
19750201 19750228     7.7
19750301 19750331    49.0
19750401 19750430    58.4
19750501 19750531    85.6
19750601 19750630    50.6
19750701 19750731    58.2
19750801 19750831   152.4
19750901 19750930   113.8
19751001 19751031   154.4
19751101 19751130    90.2
19751201 19751231    78.4
19760101 19760131    48.0
19760201 19760229    20.6
19760301 19760331    66.6
19760401 19760430    41.6
19760501 19760531    20.8
19760601 19760630    62.9
19760701 19760731    26.0
19760801 19760831   123.6
19760901 19760930   139.8
19761001 19761031    96.8
19761101 19761130   123.4
19761201 19761231    83.0
19770101 19770131    73.8
19770201 19770228    76.2
19770301 19770331    68.4
19770401 19770430    79.6
19770501 19770531    98.4
19770601 19770630   161.4
19770701 19770731   120.2
19770801 19770831    50.2
19770901 19770930    52.6
19771001 19771031    37.2
19771101 19771130    62.4
19771201 19771231    37.0
19780101 19780131    70.4
