PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
19320501 19320531    21.5
19320601 19320630    23.5
19320701 19320731   267.5
19320801 19320831    83.1
19320901 19320930    20.4
19321001 19321031    73.1
19321101 19321130    28.3
19321201 19321231    57.9
19330101 19330131    39.6
19330201 19330228     7.1
19330301 19330331    43.8
19330401 19330430    13.4
19330501 19330531    49.1
19330601 19330630   163.5
19330701 19330731   157.9
19330801 19330831    38.8
19330901 19330930    38.9
19331001 19331031    70.7
19331101 19331130    83.9
19331201 19331231    86.2
19340101 19340131   153.4
19340201 19340228   120.1
19340301 19340331    60.3
19340401 19340430   251.0
19340501 19340531    10.4
19340601 19340630   216.6
19340701 19340731    54.7
19340801 19340831    91.9
19340901 19340930    40.4
19341001 19341031   112.7
19341101 19341130   110.6
19341201 19341231    42.8
19350101 19350131   113.8
19350201 19350228   151.6
19350301 19350331    25.9
19350401 19350430   195.0
19350501 19350531    56.9
19350601 19350630    19.1
19350701 19350731    23.0
19350801 19350831    22.6
19350901 19350930    35.8
19351001 19351031    79.3
19351101 19351130    68.6
19351201 19351231   509.9
19360101 19360131   208.8
19360201 19360229    40.0
19360301 19360331    56.4
19360401 19360430   114.7
19360501 19360531    24.7
19360601 19360630   200.7
19360701 19360731    67.3
19360801 19360831    46.8
19360901 19360930    22.4
19361001 19361031    43.0
19361101 19361130    50.3
19361201 19361231    82.9
19370101 19370131    59.9
19370201 19370228    29.8
19370301 19370331    35.6
19370401 19370430    15.5
19370501 19370531    32.2
19370601 19370630   100.7
19370701 19370731    24.2
19370801 19370831    82.3
19370901 19370930    61.2
19371001 19371031    96.3
19371101 19371130    18.5
19371201 19371231    60.5
19380101 19380131    70.6
19380201 19380228    56.2
19380301 19380331   442.7
19380401 19380430    32.3
19380501 19380531    22.8
19380601 19380630    38.3
19380701 19380731    66.8
19380801 19380831    51.3
19380901 19380930    57.4
19381001 19381031    18.7
19381101 19381130    48.7
19381201 19381231    25.2
19390101 19390131    15.7
19390201 19390228    73.1
19390301 19390331    73.1
19390401 19390430    45.4
19390501 19390531    12.7
19390601 19390630    78.3
19390701 19390731    30.5
19390801 19390831   106.2
19390901 19390930    45.4
19391001 19391031    76.7
19391101 19391130    98.0
19391201 19391231    22.1
19400101 19400131    42.0
19400201 19400229    22.4
19400301 19400331    11.7
19400401 19400430   108.0
19400501 19400531    69.4
19400601 19400630    47.3
19400701 19400731    29.4
19400801 19400831    29.2
19400901 19400930   113.4
19401001 19401031    24.3
19401101 19401130    60.7
19401201 19401231   106.8
19410101 19410131   143.6
19410201 19410228    48.0
19410301 19410331    90.8
19410401 19410430   140.3
19410501 19410531    26.2
19410601 19410630    66.8
19410701 19410731    48.3
19410801 19410831    96.6
19410901 19410930    61.8
19411001 19411031    78.4
19411101 19411130    33.4
19411201 19411231    70.6
19420101 19420131    12.6
19420201 19420228    33.5
19420301 19420331   165.4
19420401 19420430    18.0
19420501 19420531    58.7
19420601 19420630    35.2
19420701 19420731    38.4
19420801 19420831    10.9
19420901 19420930    64.1
19421001 19421031   109.9
19421101 19421130   255.0
19421201 19421231    45.5
19430101 19430131   167.9
19430201 19430228    29.2
19430301 19430331    15.6
19430401 19430430    67.0
19430501 19430531    50.2
19430601 19430630    89.8
19430701 19430731    26.7
19430801 19430831    72.0
19430901 19430930    51.1
19431001 19431031    23.1
19431101 19431130    50.2
19431201 19431231   113.3
19440101 19440131     4.6
19440201 19440229    12.2
19440301 19440331    49.7
19440401 19440430   134.1
19440501 19440531   171.6
19440601 19440630    17.9
19440701 19440731    38.5
19440801 19440831    27.4
19440901 19440930    37.8
19441001 19441031    69.8
19441101 19441130    22.8
19441201 19441231    31.7
19450101 19450131   107.8
19450201 19450228    36.3
19450301 19450331    44.8
19450401 19450430   173.1
19450501 19450531    48.3
19450601 19450630    26.9
19450701 19450731    57.4
19450801 19450831    53.6
19450901 19450930    65.9
19451001 19451031   117.5
19451101 19451130    94.4
19451201 19451231    26.7
19460101 19460131    27.3
19460201 19460228   116.2
19460301 19460331    72.6
19460401 19460430   125.4
19460501 19460531    49.3
19460601 19460630   135.1
19460701 19460731    19.2
