PRCP       047029 18821101 20180131 missing_value=99999.9 POONCARIE TELECENTRE                      
19390801 19390831    13.2
19390901 19390930     8.6
19391001 19391031    32.2
19391101 19391130    82.8
19391201 19391231     0.0
19400101 19400131    18.0
19400201 19400229     1.0
19400301 19400331     0.0
19400401 19400430     7.9
19400501 19400531     4.6
19400601 19400630     0.0
19400701 19400731     7.4
19400801 19400831     0.8
19400901 19400930    29.6
19401001 19401031     3.6
19401101 19401130     3.5
19401201 19401231     5.6
19410101 19410131   149.6
19410201 19410228     6.3
19410301 19410331    17.8
19410401 19410430     0.5
19410501 19410531     3.5
19410601 19410630    16.7
19410701 19410731    17.7
19410801 19410831    19.6
19410901 19410930     5.9
19411001 19411031    16.8
19411101 19411130    40.9
19411201 19411231     8.8
19420101 19420131     6.3
19420201 19420228    11.2
19420301 19420331     4.3
19420401 19420430    12.5
19420501 19420531    47.2
19420601 19420630    54.9
19420701 19420731    23.1
19420801 19420831    17.0
19420901 19420930    12.8
19421001 19421031    25.6
19421101 19421130     2.8
19421201 19421231    28.2
19430101 19430131     0.0
19430201 19430228    12.7
19430301 19430331     0.0
19430401 19430430    29.7
19430501 19430531     5.4
19430601 19430630     1.8
19430701 19430731    17.7
19430801 19430831    25.0
19430901 19430930    12.6
19431001 19431031    17.3
19431101 19431130     5.6
19431201 19431231     0.0
19440101 19440131     4.8
19440201 19440229     0.5
19440301 19440331     5.0
19440401 19440430     7.1
19440501 19440531    20.9
19440601 19440630     1.5
19440701 19440731    16.5
19440801 19440831     2.3
19440901 19440930     2.5
19441001 19441031    14.0
19441101 19441130     9.1
19441201 19441231    26.0
19450101 19450131     1.3
19450201 19450228     0.0
19450301 19450331     0.0
19450401 19450430     2.8
19450501 19450531    10.9
19450601 19450630    36.9
19450701 19450731    60.1
19450801 19450831    35.4
19450901 19450930     2.6
19451001 19451031    12.3
19451101 19451130     6.7
19451201 19451231    23.2
19460101 19460131   124.5
19460201 19460228    63.7
19460301 19460331    12.5
19460401 19460430     5.4
19460501 19460531    25.4
19460601 19460630    58.9
19460701 19460731    18.2
19460801 19460831     4.1
19460901 19460930     4.3
19461001 19461031     6.3
19461101 19461130    29.7
19461201 19461231    15.7
19470101 19470131     0.0
19470201 19470228   117.7
19470301 19470331    56.1
19470401 19470430     9.2
19470501 19470531     0.0
19470601 19470630    16.3
19470701 19470731    19.7
19470801 19470831    16.3
19470901 19470930    49.5
19471001 19471031    21.5
19471101 19471130    52.1
19471201 19471231    35.1
19480101 19480131     0.0
19480201 19480229     1.0
19480301 19480331     0.0
19480401 19480430    27.0
19480501 19480531    10.2
19480601 19480630    25.6
19480701 19480731    12.5
19480801 19480831    19.5
19480901 19480930    17.3
19481001 19481031    36.1
19481101 19481130     4.8
19481201 19481231    65.8
19490101 19490131     1.3
19490201 19490228    28.2
19490301 19490331    29.0
19490401 19490430     8.7
19490501 19490531    97.9
19490601 19490630     1.8
19490701 19490731    26.7
19490801 19490831     3.8
19490901 19490930    14.7
19491001 19491031    64.3
19491101 19491130     4.1
19491201 19491231    12.5
19500101 19500131     0.0
19500201 19500228    87.1
19500301 19500331    58.2
19500401 19500430     0.0
19500501 19500531    22.4
19500601 19500630     4.3
19500701 19500731    51.6
19500801 19500831     2.8
19500901 19500930     3.8
19501001 19501031    37.0
19501101 19501130    13.8
19501201 19501231    14.5
19510101 19510131     9.4
19510201 19510228    10.9
19510301 19510331     1.3
19510401 19510430     2.5
19510501 19510531    19.8
19510601 19510630   106.9
19510701 19510731    11.8
19510801 19510831    24.7
19510901 19510930    33.7
19511001 19511031    18.0
19511101 19511130     4.1
19511201 19511231     0.0
19520101 19520131    23.6
19520201 19520229     4.8
19520301 19520331    21.8
19520401 19520430    29.8
19520501 19520531    66.0
19520601 19520630    29.1
19520701 19520731    13.0
19520801 19520831    17.0
19520901 19520930    19.6
19521001 19521031    70.3
19521101 19521130     8.9
19521201 19521231     0.5
19530101 19530131    28.7
19530201 19530228    17.8
19530301 19530331     0.0
19530401 19530430    13.3
19530501 19530531     0.0
19530601 19530630     7.8
19530701 19530731     5.9
19530801 19530831    29.8
19530901 19530930    41.2
19531001 19531031    25.5
19531101 19531130    13.5
19531201 19531231     7.6
19540101 19540131    19.9
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    57.5
19540501 19540531     3.8
19540601 19540630     7.6
19540701 19540731    10.2
19540801 19540831    26.9
19540901 19540930     4.3
