PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19710801 19710831    45.4
19710901 19710930    33.1
19711001 19711031     7.7
19711101 19711130    40.5
19711201 19711231    18.8
19720101 19720131    61.8
19720201 19720229    26.4
19720301 19720331     3.1
19720401 19720430     9.0
19720501 19720531     3.1
19720601 19720630    16.9
19720701 19720731    30.2
19720801 19720831    51.6
19720901 19720930    19.4
19721001 19721031     7.4
19721101 19721130     4.3
19721201 19721231     9.1
19730101 19730131     4.1
19730201 19730228    31.9
19730301 19730331    41.3
19730401 19730430    23.3
19730501 19730531    41.0
19730601 19730630    48.7
19730701 19730731    41.0
19730801 19730831    60.6
19730901 19730930    34.4
19731001 19731031    25.1
19731101 19731130    12.1
19731201 19731231    13.3
19740101 19740131    72.4
19740201 19740228    12.2
19740301 19740331    11.2
19740401 19740430    25.8
19740501 19740531   120.4
19740601 19740630    12.6
19740701 19740731    81.8
19740801 19740831    42.4
19740901 19740930    34.6
19741001 19741031    60.8
19741101 19741130     6.4
19741201 19741231     3.4
19750101 19750131     3.0
19750201 19750228     9.6
19750301 19750331    13.6
19750401 19750430    11.6
19750501 19750531    30.0
19750601 19750630    12.0
19750701 19750731    38.8
19750801 19750831    27.0
19750901 19750930    63.6
19751001 19751031    77.4
19751101 19751130     8.0
19751201 19751231    11.2
19760101 19760131     5.2
19760201 19760229    38.6
19760301 19760331     1.0
19760401 19760430     4.8
19760501 19760531    22.6
19760601 19760630    25.2
19760701 19760731     8.4
19760801 19760831    19.2
19760901 19760930    43.0
19761001 19761031    50.0
19761101 19761130    10.4
19761201 19761231     7.2
19770101 19770131    15.4
19770201 19770228     9.2
19770301 19770331    10.8
19770401 19770430     6.6
19770501 19770531    22.4
19770601 19770630    12.4
19770701 19770731    11.0
19770801 19770831    16.4
19770901 19770930    36.8
19771001 19771031    25.4
19771101 19771130    53.8
19771201 19771231    30.4
19780101 19780131    15.8
19780201 19780228     0.4
19780301 19780331     4.2
19780401 19780430    17.4
19780501 19780531    28.2
19780601 19780630    88.6
19780701 19780731    60.0
19780801 19780831    81.4
19780901 19780930    51.6
19781001 19781031    11.2
19781101 19781130    20.0
19781201 19781231    14.2
19790101 19790131    16.0
19790201 19790228    32.4
19790301 19790331     3.2
19790401 19790430    49.0
19790501 19790531    67.0
19790601 19790630    28.6
19790701 19790731    26.1
19790801 19790831    48.2
19790901 19790930   100.4
19791001 19791031    26.8
19791101 19791130    26.2
