PRCP       010670 19050901 20180131 missing_value=99999.9 LAKE CARMODY                              
19701201 19701231     1.5
19710101 19710131    29.5
19710201 19710228     4.3
19710301 19710331    92.2
19710401 19710430    13.7
19710501 19710531    41.9
19710601 19710630    22.0
19710701 19710731    32.8
19710801 19710831    30.4
19710901 19710930    40.7
19711001 19711031    16.7
19711101 19711130    40.3
19711201 19711231     4.0
19720101 19720131     3.6
19720201 19720229     0.0
19720301 19720331     7.7
19720401 19720430    14.5
19720501 19720531    12.2
19720601 19720630    56.5
19720701 19720731    47.1
19720801 19720831    26.7
19720901 19720930     5.8
19721001 19721031     9.4
19721101 19721130     4.9
19721201 19721231     0.8
19730101 19730131     7.9
19730201 19730228     3.3
19730301 19730331     1.5
19730401 19730430    42.9
19730501 19730531    23.2
19730601 19730630   104.3
19730701 19730731    60.5
19730801 19730831    36.9
19730901 19730930    57.1
19731001 19731031    24.7
19731101 19731130    17.5
19731201 19731231     6.1
19740101 19740131     0.2
19740201 19740228     0.0
19740301 19740331    36.3
19740401 19740430    97.5
19740501 19740531    99.8
19740601 19740630    36.5
19740701 19740731    36.2
19740801 19740831    48.4
19740901 19740930    32.8
19741001 19741031    25.2
19741101 19741130    72.3
19741201 19741231     9.4
19750101 19750131     0.0
19750201 19750228    27.8
19750301 19750331     1.6
19750401 19750430    92.0
19750501 19750531    36.2
19750601 19750630    60.8
19750701 19750731    58.2
19750801 19750831    38.2
19750901 19750930    17.1
19751001 19751031    40.6
19751101 19751130     4.6
19751201 19751231    35.8
19760101 19760131     7.8
19760201 19760229    75.2
19760301 19760331     7.0
19760401 19760430    33.2
19760501 19760531    22.6
19760601 19760630    16.3
19760701 19760731    15.6
19760801 19760831    65.2
19760901 19760930    33.8
19761001 19761031    44.8
19761101 19761130    28.4
19761201 19761231     0.0
19770101 19770131     0.2
19770201 19770228    14.2
19770301 19770331     0.6
19770401 19770430     4.8
19770501 19770531    27.2
19770601 19770630    27.4
19770701 19770731    13.6
19770801 19770831    34.8
19770901 19770930    21.0
19771001 19771031    45.7
19771101 19771130    28.8
19771201 19771231    69.2
19780101 19780131    31.8
19780201 19780228   103.8
19780301 19780331     0.6
19780401 19780430    79.4
19780501 19780531    19.8
19780601 19780630    53.0
19780701 19780731    86.2
19780801 19780831     4.4
19780901 19780930    39.8
19781001 19781031    19.8
19781101 19781130    21.8
19781201 19781231    11.2
19790101 19790131    16.8
19790201 19790228    45.8
19790301 19790331    13.4
19790401 19790430     4.6
19790501 19790531    21.0
19790601 19790630    52.0
19790701 19790731    22.0
19790801 19790831    47.6
19790901 19790930    29.8
19791001 19791031     6.0
19791101 19791130    23.0
19791201 19791231     9.8
19800101 19800131    13.4
19800201 19800229    44.8
19800301 19800331     1.8
19800401 19800430    32.2
19800501 19800531    18.2
19800601 19800630    42.8
19800701 19800731    32.0
19800801 19800831    24.0
19800901 19800930     5.0
19801001 19801031    22.2
19801101 19801130    23.0
19801201 19801231    18.6
19810101 19810131    21.2
19810201 19810228    29.8
19810301 19810331     9.4
19810401 19810430    19.0
19810501 19810531    47.0
19810601 19810630    46.8
19810701 19810731    48.2
19810801 19810831    39.0
19810901 19810930    12.6
19811001 19811031    13.8
19811101 19811130    22.8
19811201 19811231     1.8
19820101 19820131    26.4
19820201 19820228     2.4
19820301 19820331     8.6
19820401 19820430     0.0
19820501 19820531    22.6
19820601 19820630    60.6
19820701 19820731    20.8
19820801 19820831    63.6
19820901 19820930    30.8
19821001 19821031    27.4
19821101 19821130    11.6
19821201 19821231    14.4
19830101 19830131     5.6
19830201 19830228     5.4
19830301 19830331     1.6
19830401 19830430     1.2
19830501 19830531     9.0
19830601 19830630    45.6
19830701 19830731    62.6
19830801 19830831    25.4
19830901 19830930    53.0
19831001 19831031     8.0
19831101 19831130    56.2
19831201 19831231    46.2
19840101 19840131     4.2
19840201 19840229    18.8
19840301 19840331    14.0
19840401 19840430    27.2
19840501 19840531    81.4
19840601 19840630    17.8
19840701 19840731    47.4
19840801 19840831    46.4
19840901 19840930    34.2
19841001 19841031     9.4
19841101 19841130    13.4
19841201 19841231     8.0
19850101 19850131     0.0
19850201 19850228     8.8
19850301 19850331    23.6
19850401 19850430    16.2
19850501 19850531    10.6
19850601 19850630    15.6
19850701 19850731    50.8
19850801 19850831    51.0
19850901 19850930    32.2
19851001 19851031    24.6
19851101 19851130    19.2
19851201 19851231     0.0
19860101 19860131    23.4
19860201 19860228    30.2
19860301 19860331    15.2
19860401 19860430     5.6
19860501 19860531    46.0
19860601 19860630    85.8
19860701 19860731    27.4
19860801 19860831    64.4
19860901 19860930    29.6
19861001 19861031    18.4
19861101 19861130     8.4
19861201 19861231     4.2
19870101 19870131     1.6
19870201 19870228     0.6
19870301 19870331     2.6
19870401 19870430    23.6
19870501 19870531    42.0
19870601 19870630    20.0
19870701 19870731    46.2
19870801 19870831    37.4
19870901 19870930    33.0
19871001 19871031    11.6
19871101 19871130    25.2
19871201 19871231    52.8
19880101 19880131     2.6
19880201 19880229     0.4
19880301 19880331    20.0
19880401 19880430    24.8
19880501 19880531    56.4
19880601 19880630    30.9
19880701 19880731    35.8
19880801 19880831    36.0
19880901 19880930    34.0
19881001 19881031     8.8
19881101 19881130    11.2
19881201 19881231    23.3
19890101 19890131    21.8
19890201 19890228    39.4
19890301 19890331     2.4
19890401 19890430    43.2
19890501 19890531    97.6
19890601 19890630    56.6
19890701 19890731    32.4
19890801 19890831    29.0
19890901 19890930     9.4
19891001 19891031    12.6
19891101 19891130    15.6
19891201 19891231    10.8
19900101 19900131    73.4
19900201 19900228    20.8
19900301 19900331    42.8
19900401 19900430    21.2
19900501 19900531    31.8
19900601 19900630    44.4
19900701 19900731    44.8
19900801 19900831    18.0
19900901 19900930    28.6
19901001 19901031    50.4
19901101 19901130     2.6
19901201 19901231     0.8
19910101 19910131    15.0
19910201 19910228     0.0
19910301 19910331     8.6
19910401 19910430    15.2
19910501 19910531    19.8
19910601 19910630    58.2
19910701 19910731    69.2
19910801 19910831    33.0
19910901 19910930    24.8
19911001 19911031    29.2
19911101 19911130    24.4
19911201 19911231    21.4
19920101 19920131     7.0
19920201 19920229    44.2
19920301 19920331   144.0
19920401 19920430    10.2
19920501 19920531    39.4
19920601 19920630    74.4
19920701 19920731    38.0
19920801 19920831   106.4
19920901 19920930    45.8
19921001 19921031    18.6
19921101 19921130    29.0
19921201 19921231     5.8
19930101 19930131     4.0
19930201 19930228     1.2
19930301 19930331    24.8
19930401 19930430    11.0
19930501 19930531    50.2
19930601 19930630    65.2
19930701 19930731    22.6
19930801 19930831    61.4
19930901 19930930    35.4
19931001 19931031    10.6
19931101 19931130    47.2
19931201 19931231     4.2
19940101 19940131     1.0
19940201 19940228     2.8
19940301 19940331     2.8
19940401 19940430     0.4
19940501 19940531    50.2
19940601 19940630    40.2
19940701 19940731    25.4
19940801 19940831    40.0
19940901 19940930    26.6
19941001 19941031    12.0
19941101 19941130    12.8
19941201 19941231    12.6
19950101 19950131    12.2
19950201 19950228    38.8
19950301 19950331    13.2
19950401 19950430     8.4
19950501 19950531    51.6
19950601 19950630    71.6
19950701 19950731    76.2
19950801 19950831    28.4
19950901 19950930    24.4
19951001 19951031    52.4
19951101 19951130     5.6
19951201 19951231    25.6
19960101 19960131     1.2
19960201 19960229    17.2
19960301 19960331     5.0
19960401 19960430    26.0
19960501 19960531    24.0
19960601 19960630    71.8
19960701 19960731    63.2
19960801 19960831    31.2
19960901 19960930    66.6
19961001 19961031    24.4
19961101 19961130    27.2
19961201 19961231     0.4
19970101 19970131     0.0
19970201 19970228   125.0
19970301 19970331    47.4
19970401 19970430    31.2
19970501 19970531    34.4
19970601 19970630    23.2
19970701 19970731    43.0
19970801 19970831    31.2
19970901 19970930    41.8
19971001 19971031     8.0
19971101 19971130    18.8
19971201 19971231     3.8
19980101 19980131     0.0
