PRCP       009557 19070101 20100930 missing_value=99999.9 HOPETOUN POST OFFICE                      
19840201 19840229     9.0
19840301 19840331    15.0
19840401 19840430     9.2
19840501 19840531    35.3
19840601 19840630    35.5
19840701 19840731    94.1
19840801 19840831    96.3
19840901 19840930    91.2
19841001 19841031    33.4
19841101 19841130    56.6
19841201 19841231     0.0
19850101 19850131    16.0
19850201 19850228     1.8
19850301 19850331    53.4
19850401 19850430    15.0
19850501 19850531    37.2
19850601 19850630    52.0
19850701 19850731    52.2
19850801 19850831    97.4
19850901 19850930    95.1
19851001 19851031    70.5
19851101 19851130    63.3
19851201 19851231     8.8
19860101 19860131     4.0
19860201 19860228    64.4
19860301 19860331     4.5
19860401 19860430     4.8
19860501 19860531   108.0
19860601 19860630    67.8
19860701 19860731    97.6
19860801 19860831    65.9
19860901 19860930    63.5
19861001 19861031     5.0
19861101 19861130    11.8
19861201 19861231     5.8
19870101 19870131     0.0
19870201 19870228     2.3
19870301 19870331    10.5
19870401 19870430    38.6
19870501 19870531   124.7
19870601 19870630    26.0
19870701 19870731    72.4
19870801 19870831    30.0
19870901 19870930    75.8
19871001 19871031     9.4
19871101 19871130    54.9
19871201 19871231    37.3
19880101 19880131    58.0
19880201 19880229     0.0
19880301 19880331    23.2
19880401 19880430    59.6
19880501 19880531   329.9
19880601 19880630    72.2
19880701 19880731    57.0
19880801 19880831    58.4
19880901 19880930    18.2
19881001 19881031     0.0
19881101 19881130     8.7
19881201 19881231     2.0
19890101 19890131    28.7
19890201 19890228    27.7
19890301 19890331    16.0
19890401 19890430    80.0
19890501 19890531   104.3
19890601 19890630    82.0
19890701 19890731   100.8
19890801 19890831    66.0
19890901 19890930     8.7
19891001 19891031    62.6
19891101 19891130    22.4
19891201 19891231     2.6
19900101 19900131    97.7
19900201 19900228     6.7
19900301 19900331     9.7
19900401 19900430    25.0
19900501 19900531    90.5
19900601 19900630    40.3
19900701 19900731    73.1
19900801 19900831    22.3
19900901 19900930    31.0
19901001 19901031    55.0
19901101 19901130     6.5
19901201 19901231     5.3
19910101 19910131     7.1
19910201 19910228     7.6
19910301 19910331     8.8
19910401 19910430    15.3
19910501 19910531    26.4
19910601 19910630    51.0
19910701 19910731    62.0
19910801 19910831    24.4
19910901 19910930    46.1
19911001 19911031    19.4
19911101 19911130    40.8
19911201 19911231    17.9
19920101 19920131    11.5
19920201 19920229    15.7
19920301 19920331    64.4
19920401 19920430    40.7
19920501 19920531    85.4
19920601 19920630    66.3
19920701 19920731    26.6
19920801 19920831    95.9
19920901 19920930   112.8
19921001 19921031    69.8
19921101 19921130    57.9
19921201 19921231    17.1
19930101 19930131     1.2
19930201 19930228    42.4
19930301 19930331    39.9
19930401 19930430    21.3
19930501 19930531   177.6
19930601 19930630    24.6
19930701 19930731    62.9
19930801 19930831    49.7
19930901 19930930    24.0
19931001 19931031    36.0
19931101 19931130    31.0
19931201 19931231     7.4
19940101 19940131     1.6
19940201 19940228     4.4
19940301 19940331    14.0
19940401 19940430    14.1
19940501 19940531    58.1
19940601 19940630    47.0
19940701 19940731    26.2
19940801 19940831    50.1
19940901 19940930    29.4
19941001 19941031    76.6
19941101 19941130    11.8
19941201 19941231     0.6
19950101 19950131     9.1
19950201 19950228    37.7
19950301 19950331     7.9
19950401 19950430     6.4
19950501 19950531    88.5
19950601 19950630    59.6
19950701 19950731    88.7
19950801 19950831    14.0
19950901 19950930    81.5
19951001 19951031    31.9
19951101 19951130    14.5
19951201 19951231    60.9
19960101 19960131     0.6
19960201 19960229     4.0
19960301 19960331    23.0
19960401 19960430    50.0
19960501 19960531    44.8
19960601 19960630    37.9
19960701 19960731    42.8
19960801 19960831    28.3
19960901 19960930    95.2
19961001 19961031    37.5
19961101 19961130    11.1
19961201 19961231    20.4
19970101 19970131     2.7
19970201 19970228    60.6
19970301 19970331    62.5
19970401 19970430    30.7
19970501 19970531    25.5
19970601 19970630    41.5
19970701 19970731    68.9
19970801 19970831    61.8
19970901 19970930    92.9
19971001 19971031    16.6
19971101 19971130    33.2
19971201 19971231    13.2
19980101 19980131     0.0
19980201 19980228     1.9
19980301 19980331    32.4
19980401 19980430    71.8
19980501 19980531    19.6
19980601 19980630    71.4
19980701 19980731   112.8
19980801 19980831    66.8
19980901 19980930    73.0
19981001 19981031    39.2
19981101 19981130    46.6
19981201 19981231    26.0
19990101 19990131    80.8
19990201 19990228    33.9
19990301 19990331    70.0
19990401 19990430    41.2
19990501 19990531    65.2
19990601 19990630    61.8
19990701 19990731    77.3
19990801 19990831    44.2
19990901 19990930    43.6
19991001 19991031    51.0
19991101 19991130    24.0
19991201 19991231    30.0
20000101 20000131   161.4
20000201 20000229    37.8
20000301 20000331    55.2
20000401 20000430    31.5
20000501 20000531    32.4
20000601 20000630    40.2
20000701 20000731    25.4
20000801 20000831    73.6
20000901 20000930     4.1
20001001 20001031    25.0
20001101 20001130     8.2
20001201 20001231    17.0
20010101 20010131    40.4
20010201 20010228     6.6
20010301 20010331    12.2
20010401 20010430     5.4
20010501 20010531    24.8
20010601 20010630    30.2
20010701 20010731   114.6
20010801 20010831   118.4
20010901 20010930    57.8
20011001 20011031    43.8
20011101 20011130    68.6
20011201 20011231    59.0
20020101 20020131    18.6
20020201 20020228     7.2
20020301 20020331     9.8
20020401 20020430    25.6
20020501 20020531    10.4
20020601 20020630    17.0
20020701 20020731    39.4
20020801 20020831    31.8
20020901 20020930    27.4
20021001 20021031    30.6
20021101 20021130    23.2
20021201 20021231    40.8
