PRCP       018063 19070101 20180131 missing_value=99999.9 PENONG                                    
19740901 19740930    63.2
19741001 19741031   123.4
19741101 19741130    10.6
19741201 19741231     1.2
19750101 19750131    19.0
19750201 19750228    50.6
19750301 19750331    14.0
19750401 19750430    26.6
19750501 19750531    43.0
19750601 19750630    24.8
19750701 19750731    36.6
19750801 19750831    28.2
19750901 19750930    43.2
19751001 19751031    51.4
19751101 19751130    48.4
19751201 19751231     4.0
19760101 19760131    19.0
19760201 19760229    50.6
19760301 19760331     2.4
19760401 19760430    14.4
19760501 19760531    22.6
19760601 19760630    37.8
19760701 19760731     6.6
19760801 19760831    21.5
19760901 19760930    47.8
19761001 19761031    57.4
19761101 19761130    41.6
19761201 19761231     2.8
19770101 19770131    10.2
19770201 19770228    13.4
19770301 19770331     2.0
19770401 19770430     2.4
19770501 19770531    67.2
19770601 19770630    16.2
19770701 19770731    15.0
19770801 19770831    16.0
19770901 19770930    28.6
19771001 19771031    16.4
19771101 19771130    18.0
19771201 19771231     5.4
19780101 19780131    18.4
19780201 19780228     0.0
19780301 19780331     6.8
19780401 19780430    11.8
19780501 19780531    35.2
19780601 19780630    61.8
19780701 19780731   102.0
19780801 19780831    64.2
19780901 19780930    84.0
19781001 19781031     9.2
19781101 19781130    46.0
19781201 19781231    10.2
19790101 19790131     0.0
19790201 19790228     2.0
19790301 19790331     3.4
19790401 19790430    38.4
19790501 19790531    90.9
19790601 19790630    18.4
19790701 19790731    84.2
19790801 19790831    52.1
19790901 19790930    88.4
19791001 19791031     6.0
19791101 19791130    39.0
19791201 19791231     4.5
19800101 19800131     1.0
19800201 19800229     3.0
19800301 19800331     0.0
19800401 19800430    23.6
19800501 19800531    36.8
19800601 19800630    40.7
19800701 19800731    32.2
19800801 19800831    11.2
19800901 19800930    18.6
19801001 19801031    58.3
19801101 19801130    30.6
19801201 19801231    34.8
19810101 19810131    17.2
19810201 19810228    76.2
19810301 19810331    20.0
19810401 19810430     0.0
19810501 19810531    42.1
19810601 19810630    84.6
19810701 19810731    38.6
19810801 19810831    44.2
19810901 19810930     0.4
19811001 19811031    10.3
19811101 19811130    34.0
19811201 19811231     0.4
19820101 19820131     4.6
19820201 19820228    12.7
19820301 19820331    35.8
19820401 19820430     7.8
19820501 19820531    32.4
19820601 19820630    31.4
19820701 19820731    16.6
19820801 19820831     4.4
19820901 19820930    27.0
19821001 19821031     4.0
19821101 19821130     0.2
19821201 19821231    15.4
