PRCP       042003 18800101 20110131 missing_value=99999.9 CHERITON                                  
19610301 19610331    41.5
19610401 19610430    31.5
19610501 19610531    48.5
19610601 19610630    22.6
19610701 19610731    32.2
19610801 19610831    21.3
19610901 19610930     1.8
19611001 19611031   102.3
19611101 19611130   129.1
19611201 19611231    45.0
19620101 19620131   193.7
19620201 19620228    18.8
19620301 19620331   152.5
19620401 19620430    58.9
19620501 19620531    14.5
19620601 19620630    14.8
19620701 19620731    21.9
19620801 19620831    41.7
19620901 19620930    31.7
19621001 19621031    16.4
19621101 19621130    32.5
19621201 19621231    95.7
19630101 19630131   160.3
19630201 19630228     8.9
19630301 19630331   200.9
19630401 19630430     6.4
19630501 19630531    81.1
19630601 19630630    12.9
19630701 19630731     0.0
19630801 19630831    51.8
19630901 19630930    49.4
19631001 19631031     3.3
19631101 19631130    41.9
19631201 19631231    63.4
19640101 19640131    34.0
19640201 19640229    31.3
19640301 19640331    13.2
19640401 19640430    43.9
19640501 19640531    55.6
19640601 19640630    10.9
19640701 19640731    31.2
19640801 19640831    15.7
19640901 19640930    86.2
19641001 19641031    54.4
19641101 19641130    28.8
19641201 19641231    57.1
19650101 19650131    25.5
19650201 19650228    37.6
19650301 19650331     2.8
19650401 19650430     2.0
19650501 19650531     1.8
19650601 19650630     9.7
19650701 19650731    33.2
19650801 19650831     8.7
19650901 19650930    28.7
19651001 19651031    11.7
19651101 19651130     4.1
19651201 19651231   164.0
19660101 19660131    52.3
19660201 19660228     9.1
19660301 19660331    13.2
19660401 19660430     0.8
19660501 19660531     3.3
19660601 19660630    45.5
19660701 19660731    14.2
19660801 19660831   157.3
19660901 19660930     2.0
19661001 19661031    32.1
19661101 19661130    27.2
19661201 19661231    26.6
19670101 19670131    14.5
19670201 19670228    29.7
19670301 19670331   104.4
19670401 19670430     0.0
19670501 19670531    14.0
19670601 19670630    64.1
19670701 19670731    18.3
19670801 19670831    20.3
19670901 19670930     0.0
19671001 19671031    27.5
19671101 19671130     6.4
19671201 19671231    29.8
19680101 19680131    97.7
19680201 19680229    16.3
19680301 19680331    88.1
19680401 19680430    31.0
19680501 19680531    42.7
19680601 19680630     7.6
19680701 19680731    42.3
19680801 19680831    73.7
19680901 19680930    24.2
19681001 19681031     9.7
19681101 19681130     1.6
19681201 19681231    86.8
19690101 19690131    23.6
19690201 19690228     4.1
19690301 19690331   112.3
19690401 19690430    32.0
19690501 19690531   119.9
19690601 19690630    36.0
19690701 19690731    10.8
19690801 19690831    13.2
19690901 19690930    37.6
19691001 19691031   220.8
19691101 19691130   117.3
19691201 19691231    13.3
19700101 19700131   118.4
