PRCP       069018 18750701 20180131 missing_value=99999.9 MORUYA HEADS PILOT STATION                
19140101 19140131    21.4
19140201 19140228    12.2
19140301 19140331   326.2
19140401 19140430   164.4
19140501 19140531    36.8
19140601 19140630    15.5
19140701 19140731   109.8
19140801 19140831     4.9
19140901 19140930   128.8
19141001 19141031    31.8
19141101 19141130    86.5
19141201 19141231   137.7
19150101 19150131   115.5
19150201 19150228    14.5
19150301 19150331    21.2
19150401 19150430    64.8
19150501 19150531    23.9
19150601 19150630    39.4
19150701 19150731    34.4
19150801 19150831    22.2
19150901 19150930   120.2
19151001 19151031     6.7
19151101 19151130     4.9
19151201 19151231    76.5
19160101 19160131    50.0
19160201 19160229    95.3
19160301 19160331   170.5
19160401 19160430   110.5
19160501 19160531    15.5
19160601 19160630    19.8
19160701 19160731    44.8
19160801 19160831    15.4
19160901 19160930   179.3
19161001 19161031   226.2
19161101 19161130   102.6
19161201 19161231   138.9
19170101 19170131    77.0
19170201 19170228    41.3
19170301 19170331    62.0
19170401 19170430    76.6
19170501 19170531    75.7
19170601 19170630    47.8
19170701 19170731     6.3
19170801 19170831    11.4
19170901 19170930    56.1
19171001 19171031    41.9
19171101 19171130    77.1
19171201 19171231    23.4
19180101 19180131   151.9
19180201 19180228    44.8
19180301 19180331    18.4
19180401 19180430    54.8
19180501 19180531    19.6
19180601 19180630     4.3
19180701 19180731   143.6
19180801 19180831    36.1
19180901 19180930    44.3
19181001 19181031    17.1
19181101 19181130    61.5
19181201 19181231    10.9
19190101 19190131    15.9
19190201 19190228   284.5
19190301 19190331    43.1
19190401 19190430    31.0
19190501 19190531   196.2
19190601 19190630     8.1
19190701 19190731    19.0
19190801 19190831    36.1
19190901 19190930    36.5
19191001 19191031    43.9
19191101 19191130   113.4
19191201 19191231   122.2
19200101 19200131   222.8
19200201 19200229    30.6
19200301 19200331    72.7
19200401 19200430    27.8
19200501 19200531    15.6
19200601 19200630    23.1
19200701 19200731    58.2
19200801 19200831    24.9
19200901 19200930    38.4
19201001 19201031    32.0
19201101 19201130    76.4
19201201 19201231   254.2
19210101 19210131    87.0
19210201 19210228   192.3
19210301 19210331    53.1
19210401 19210430   151.8
19210501 19210531   116.8
19210601 19210630    68.7
19210701 19210731    31.5
19210801 19210831    23.3
19210901 19210930     9.8
19211001 19211031    70.4
19211101 19211130    56.8
19211201 19211231   149.8
19220101 19220131   202.1
19220201 19220228   102.3
19220301 19220331     3.1
19220401 19220430    35.2
19220501 19220531    33.3
19220601 19220630    63.0
19220701 19220731   248.7
19220801 19220831    45.2
19220901 19220930   132.2
19221001 19221031   104.7
19221101 19221130    11.6
19221201 19221231    46.1
19230101 19230131    44.7
19230201 19230228    24.4
19230301 19230331    20.2
19230401 19230430    34.7
19230501 19230531     6.6
19230601 19230630    64.4
19230701 19230731    31.0
19230801 19230831    18.3
19230901 19230930   102.5
19231001 19231031    79.9
19231101 19231130    51.8
19231201 19231231   141.4
19240101 19240131    52.5
19240201 19240229    67.4
19240301 19240331    93.3
19240401 19240430    82.2
19240501 19240531    28.8
19240601 19240630    21.8
19240701 19240731   104.1
19240801 19240831    20.0
19240901 19240930    20.4
19241001 19241031    20.9
19241101 19241130    89.3
19241201 19241231   226.3
19250101 19250131   158.8
19250201 19250228    48.6
19250301 19250331    55.8
19250401 19250430     9.9
19250501 19250531   867.5
19250601 19250630   112.3
19250701 19250731    36.7
19250801 19250831    32.7
19250901 19250930     5.3
19251001 19251031    36.7
19251101 19251130    60.3
19251201 19251231    15.9
19260101 19260131    93.8
19260201 19260228     9.2
19260301 19260331   180.2
19260401 19260430    42.8
19260501 19260531    54.4
19260601 19260630    53.3
19260701 19260731    38.5
19260801 19260831    16.2
19260901 19260930    66.4
19261001 19261031    29.7
19261101 19261130     1.3
19261201 19261231    70.9
19270101 19270131    63.6
19270201 19270228     6.6
19270301 19270331    57.3
19270401 19270430   222.8
19270501 19270531    73.1
19270601 19270630     5.1
19270701 19270731    22.4
19270801 19270831    10.3
19270901 19270930    75.5
19271001 19271031    58.7
19271101 19271130   112.1
19271201 19271231    21.0
19280101 19280131    78.2
19280201 19280229   156.9
19280301 19280331   205.1
19280401 19280430    31.5
19280501 19280531    57.8
19280601 19280630   154.1
19280701 19280731    34.3
19280801 19280831    14.7
19280901 19280930     5.0
19281001 19281031    15.8
19281101 19281130     8.1
19281201 19281231    26.9
19290101 19290131    57.3
19290201 19290228   434.4
19290301 19290331    69.2
19290401 19290430   122.7
19290501 19290531    18.4
19290601 19290630     4.1
19290701 19290731    34.0
19290801 19290831   164.0
19290901 19290930    25.8
19291001 19291031    26.0
19291101 19291130   121.5
19291201 19291231    69.2
19300101 19300131    30.3
19300201 19300228     8.2
19300301 19300331    43.6
19300401 19300430    35.5
19300501 19300531   188.6
19300601 19300630   200.7
19300701 19300731    26.2
19300801 19300831    13.7
19300901 19300930     9.8
19301001 19301031   110.1
19301101 19301130    20.9
19301201 19301231    87.6
19310101 19310131    36.6
19310201 19310228    23.9
19310301 19310331    44.4
19310401 19310430   193.7
19310501 19310531   102.4
19310601 19310630    45.2
19310701 19310731    57.4
19310801 19310831     6.6
19310901 19310930    56.2
19311001 19311031    65.1
19311101 19311130    65.7
19311201 19311231    45.5
19320101 19320131     0.8
19320201 19320229    45.0
19320301 19320331    97.9
19320401 19320430    23.8
19320501 19320531    71.5
19320601 19320630     7.1
19320701 19320731    58.3
19320801 19320831    75.2
19320901 19320930    93.7
19321001 19321031    51.9
19321101 19321130   116.4
19321201 19321231    59.0
19330101 19330131   181.1
19330201 19330228    22.9
19330301 19330331    87.6
19330401 19330430   117.4
19330501 19330531    83.6
19330601 19330630    64.1
19330701 19330731   102.5
19330801 19330831    20.6
19330901 19330930    24.5
19331001 19331031    70.6
19331101 19331130   116.8
19331201 19331231    83.0
19340101 19340131   455.9
19340201 19340228   216.0
19340301 19340331    66.0
19340401 19340430   243.6
19340501 19340531    82.4
19340601 19340630   177.7
19340701 19340731   259.5
19340801 19340831    90.6
19340901 19340930    45.7
19341001 19341031    71.4
19341101 19341130    84.0
19341201 19341231    29.4
19350101 19350131    89.2
19350201 19350228   114.6
19350301 19350331    96.8
19350401 19350430   124.7
19350501 19350531    16.3
19350601 19350630    48.8
19350701 19350731    41.9
19350801 19350831     5.1
19350901 19350930    43.5
19351001 19351031    91.5
19351101 19351130   114.5
19351201 19351231   106.9
19360101 19360131   122.0
19360201 19360229   106.4
19360301 19360331   185.5
19360401 19360430    74.0
19360501 19360531    53.8
19360601 19360630    77.5
19360701 19360731    69.2
19360801 19360831    31.2
19360901 19360930    28.7
19361001 19361031    25.4
19361101 19361130    21.0
19361201 19361231   160.0
19370101 19370131   137.4
19370201 19370228    64.3
19370301 19370331   219.3
19370401 19370430    38.2
19370501 19370531    14.0
19370601 19370630   185.2
19370701 19370731    10.9
19370801 19370831   121.5
19370901 19370930    38.8
19371001 19371031    74.9
19371101 19371130    29.0
19371201 19371231    44.0
19380101 19380131   176.5
19380201 19380228    69.6
19380301 19380331    77.7
19380401 19380430    23.5
19380501 19380531    76.3
19380601 19380630    16.8
19380701 19380731    59.6
19380801 19380831   165.2
19380901 19380930    29.1
19381001 19381031   140.2
19381101 19381130    80.3
19381201 19381231     6.0
19390101 19390131   125.3
19390201 19390228    20.6
19390301 19390331   180.8
19390401 19390430   135.5
19390501 19390531    30.5
19390601 19390630    22.5
19390701 19390731    31.1
19390801 19390831    83.3
19390901 19390930    35.8
19391001 19391031    43.0
19391101 19391130   121.6
19391201 19391231    29.5
19400101 19400131    73.9
19400201 19400229    24.1
19400301 19400331     4.6
19400401 19400430   153.9
19400501 19400531    42.4
19400601 19400630     9.6
19400701 19400731     8.7
19400801 19400831     2.8
19400901 19400930    70.0
19401001 19401031    11.0
19401101 19401130    33.1
19401201 19401231   112.0
19410101 19410131   105.7
19410201 19410228   104.2
19410301 19410331   109.8
19410401 19410430   137.2
19410501 19410531    23.1
19410601 19410630    14.1
19410701 19410731     8.9
19410801 19410831    70.0
19410901 19410930    74.7
19411001 19411031    45.7
19411101 19411130    27.7
19411201 19411231    53.3
19420101 19420131    28.9
19420201 19420228    51.7
19420301 19420331   205.5
19420401 19420430    54.8
19420501 19420531    68.0
19420601 19420630    34.4
19420701 19420731    13.3
19420801 19420831     4.8
19420901 19420930    16.5
19421001 19421031   115.7
19421101 19421130   211.2
19421201 19421231    27.0
19430101 19430131    83.6
19430201 19430228    26.1
19430301 19430331    21.5
19430401 19430430    28.2
19430501 19430531   297.0
19430601 19430630    37.8
19430701 19430731     1.3
19430801 19430831   140.9
19430901 19430930   101.1
19431001 19431031   146.1
19431101 19431130   117.2
19431201 19431231   118.3
19440101 19440131    24.1
19440201 19440229    11.7
19440301 19440331    17.4
19440401 19440430    83.8
19440501 19440531   295.8
19440601 19440630     5.9
19440701 19440731    22.8
19440801 19440831    25.4
19440901 19440930     6.1
19441001 19441031    24.9
19441101 19441130    19.6
19441201 19441231    44.8
19450101 19450131   144.2
19450201 19450228    54.8
19450301 19450331    29.8
19450401 19450430   353.1
19450501 19450531    32.8
19450601 19450630   135.3
19450701 19450731    21.7
19450801 19450831    13.6
19450901 19450930    14.2
19451001 19451031    51.6
19451101 19451130    32.7
19451201 19451231    55.5
19460101 19460131    69.6
19460201 19460228    70.3
19460301 19460331    34.9
19460401 19460430    72.5
19460501 19460531    33.8
19460601 19460630   118.0
19460701 19460731     0.5
19460801 19460831    14.2
19460901 19460930    42.4
19461001 19461031    37.9
19461101 19461130   188.2
19461201 19461231    34.2
19470101 19470131    13.6
19470201 19470228    96.4
19470301 19470331    13.3
19470401 19470430   103.6
19470501 19470531    22.4
19470601 19470630    89.9
19470701 19470731     2.8
19470801 19470831   109.6
19470901 19470930    13.4
19471001 19471031    21.8
19471101 19471130   112.4
19471201 19471231   206.7
19480101 19480131   257.2
19480201 19480229    96.3
19480301 19480331    21.4
19480401 19480430    27.3
19480501 19480531   153.2
19480601 19480630   127.0
19480701 19480731     3.1
19480801 19480831     2.9
19480901 19480930    15.5
19481001 19481031    67.4
19481101 19481130    53.6
19481201 19481231    57.7
19490101 19490131   120.9
19490201 19490228    90.3
19490301 19490331   159.7
19490401 19490430    36.0
19490501 19490531   106.7
19490601 19490630   264.3
19490701 19490731    52.4
19490801 19490831    42.5
19490901 19490930    53.1
19491001 19491031    75.3
19491101 19491130   129.0
19491201 19491231    63.3
19500101 19500131   166.2
19500201 19500228   124.2
19500301 19500331   341.3
19500401 19500430   208.3
19500501 19500531   139.3
19500601 19500630   168.0
19500701 19500731   144.7
19500801 19500831    27.9
19500901 19500930    52.7
19501001 19501031   172.1
19501101 19501130    65.1
19501201 19501231    52.9
19510101 19510131   132.5
19510201 19510228   139.5
19510301 19510331    10.0
19510401 19510430    16.5
19510501 19510531    23.6
19510601 19510630   286.7
19510701 19510731    33.0
19510801 19510831    82.7
19510901 19510930   237.8
19511001 19511031    92.4
19511101 19511130    34.4
19511201 19511231    34.5
19520101 19520131    56.3
19520201 19520229    44.4
19520301 19520331   198.4
19520401 19520430   308.9
19520501 19520531    78.7
19520601 19520630   295.5
19520701 19520731    51.5
19520801 19520831   215.6
19520901 19520930    17.6
19521001 19521031   226.5
19521101 19521130   120.6
19521201 19521231    88.4
19530101 19530131    76.8
19530201 19530228    47.1
19530301 19530331    25.2
19530401 19530430    36.5
19530501 19530531   442.7
19530601 19530630     7.8
19530701 19530731     3.1
19530801 19530831    44.6
19530901 19530930    34.0
19531001 19531031    84.4
19531101 19531130    28.4
19531201 19531231    61.3
19540101 19540131    69.4
19540201 19540228   285.5
19540301 19540331    10.7
19540401 19540430    12.8
19540501 19540531    23.4
19540601 19540630    34.3
19540701 19540731    23.2
19540801 19540831     6.6
19540901 19540930    32.8
19541001 19541031    66.5
