PRCP       018058 19101001 20170930 missing_value=99999.9 MULLAQUANA                                
19511201 19511231     3.0
19520101 19520131    48.6
19520201 19520229     0.0
19520301 19520331     7.1
19520401 19520430    60.5
19520501 19520531    53.5
19520601 19520630    19.1
19520701 19520731    21.3
19520801 19520831    23.1
19520901 19520930    32.9
19521001 19521031    22.1
19521101 19521130    32.1
19521201 19521231     7.1
19530101 19530131    12.4
19530201 19530228     1.5
19530301 19530331     0.0
19530401 19530430     1.8
19530501 19530531     0.0
19530601 19530630    17.6
19530701 19530731    15.6
19530801 19530831     7.8
19530901 19530930    22.7
19531001 19531031    11.1
19531101 19531130    10.7
19531201 19531231    18.3
19540101 19540131    18.5
19540201 19540228     7.6
19540301 19540331     0.0
19540401 19540430    67.5
19540501 19540531    14.7
19540601 19540630    26.9
19540701 19540731     0.0
19540801 19540831    10.2
19540901 19540930     8.4
19541001 19541031    46.0
19541101 19541130     4.1
19541201 19541231     2.0
19550101 19550131     0.8
19550201 19550228    49.8
19550301 19550331    11.6
19550401 19550430    37.1
19550501 19550531    43.3
19550601 19550630    48.5
19550701 19550731    12.9
19550801 19550831    24.7
19550901 19550930    20.8
19551001 19551031    17.5
19551101 19551130     9.2
19551201 19551231     0.0
19560101 19560131    20.8
19560201 19560229     7.6
19560301 19560331    21.3
19560401 19560430    10.1
19560501 19560531    37.8
19560601 19560630    21.9
19560701 19560731    58.1
19560801 19560831     7.6
19560901 19560930    10.9
19561001 19561031     0.0
19561101 19561130    16.4
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     6.2
19570301 19570331     8.6
19570401 19570430     5.7
19570501 19570531     5.2
19570601 19570630    24.4
19570701 19570731    13.7
19570801 19570831    10.6
19570901 19570930     4.6
19571001 19571031    13.0
19571101 19571130     3.4
19571201 19571231    38.7
19580101 19580131     0.0
19580201 19580228    16.6
19580301 19580331    22.2
19580401 19580430    19.8
19580501 19580531    23.8
19580601 19580630     0.0
19580701 19580731    10.0
19580801 19580831    26.2
19580901 19580930    53.3
19581001 19581031     9.2
19581101 19581130     6.9
19581201 19581231    23.3
19590101 19590131     2.9
19590201 19590228    16.8
19590301 19590331    36.7
19590401 19590430     0.0
19590501 19590531     8.1
19590601 19590630     2.9
19590701 19590731    26.9
19590801 19590831     1.7
19590901 19590930     3.0
19591001 19591031     2.4
19591101 19591130    17.6
19591201 19591231     1.9
19600101 19600131     0.0
19600201 19600229    52.0
19600301 19600331     8.6
19600401 19600430    24.9
19600501 19600531    34.1
19600601 19600630     9.2
19600701 19600731    37.8
19600801 19600831    17.0
19600901 19600930    55.7
19601001 19601031     0.0
19601101 19601130     6.3
19601201 19601231     9.3
19610101 19610131    10.8
19610201 19610228     0.0
19610301 19610331     2.9
19610401 19610430    97.5
19610501 19610531    10.9
19610601 19610630     7.0
19610701 19610731     6.2
19610801 19610831    14.1
19610901 19610930    18.4
19611001 19611031     1.4
19611101 19611130   108.5
19611201 19611231    14.6
19620101 19620131    15.4
19620201 19620228     4.1
19620301 19620331    17.8
19620401 19620430     3.2
19620501 19620531    59.9
19620601 19620630     8.6
19620701 19620731    13.8
19620801 19620831    13.2
19620901 19620930     2.4
19621001 19621031    32.5
19621101 19621130     0.0
19621201 19621231    57.1
19630101 19630131    24.7
19630201 19630228     0.0
19630301 19630331    41.9
19630401 19630430   101.9
19630501 19630531    54.0
19630601 19630630    70.4
19630701 19630731    36.2
19630801 19630831    13.4
19630901 19630930     1.3
19631001 19631031    42.7
19631101 19631130     6.9
19631201 19631231     3.1
19640101 19640131    13.2
19640201 19640229     4.9
19640301 19640331     0.0
19640401 19640430    26.3
19640501 19640531     9.2
19640601 19640630    18.8
19640701 19640731    26.7
19640801 19640831    19.8
19640901 19640930    34.3
19641001 19641031    15.0
19641101 19641130    12.8
19641201 19641231     4.8
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     2.0
19650401 19650430     3.6
19650501 19650531    21.4
19650601 19650630    28.6
19650701 19650731    13.0
19650801 19650831    54.8
19650901 19650930    40.2
19651001 19651031     0.8
19651101 19651130     9.7
19651201 19651231    11.9
19660101 19660131     8.2
19660201 19660228    22.3
19660301 19660331    11.7
19660401 19660430     1.0
19660501 19660531    40.2
19660601 19660630    25.2
19660701 19660731    14.8
19660801 19660831     5.6
19660901 19660930    23.2
19661001 19661031    26.5
19661101 19661130    53.9
19661201 19661231    73.4
19670101 19670131    22.6
19670201 19670228    47.8
19670301 19670331     0.8
19670401 19670430     0.0
19670501 19670531    11.7
19670601 19670630     8.9
19670701 19670731    14.2
19670801 19670831    18.0
19670901 19670930    10.9
19671001 19671031     0.8
19671101 19671130     0.0
19671201 19671231     3.0
19680101 19680131    37.4
19680201 19680229    32.0
19680301 19680331    13.4
19680401 19680430    48.8
19680501 19680531    20.0
19680601 19680630    77.6
19680701 19680731    50.9
19680801 19680831    22.0
19680901 19680930     9.6
19681001 19681031    10.6
19681101 19681130    20.8
19681201 19681231     6.4
19690101 19690131    16.5
19690201 19690228    58.0
19690301 19690331    24.1
19690401 19690430     8.6
19690501 19690531    50.9
19690601 19690630    16.3
19690701 19690731    50.4
19690801 19690831    33.6
19690901 19690930    33.9
19691001 19691031     0.8
19691101 19691130     8.7
19691201 19691231    12.7
19700101 19700131     0.0
19700201 19700228     1.3
19700301 19700331    13.8
19700401 19700430    13.2
19700501 19700531    21.9
19700601 19700630     9.4
19700701 19700731     7.3
19700801 19700831    24.7
19700901 19700930    54.6
19701001 19701031     5.6
19701101 19701130     8.9
19701201 19701231    18.6
19710101 19710131     1.3
19710201 19710228    10.2
19710301 19710331    20.8
19710401 19710430    29.6
19710501 19710531     6.3
19710601 19710630    23.6
19710701 19710731    21.8
19710801 19710831    30.9
19710901 19710930    27.7
19711001 19711031     1.8
19711101 19711130    63.0
19711201 19711231    19.8
19720101 19720131    50.8
19720201 19720229    23.4
19720301 19720331     0.8
19720401 19720430     1.5
19720501 19720531     2.8
19720601 19720630     4.1
19720701 19720731    11.6
19720801 19720831    45.1
19720901 19720930    13.2
19721001 19721031     8.9
19721101 19721130     7.2
19721201 19721231     9.4
19730101 19730131    20.5
19730201 19730228   123.1
19730301 19730331    20.9
19730401 19730430    21.9
19730501 19730531    31.2
19730601 19730630    39.1
19730701 19730731    41.8
19730801 19730831    71.0
19730901 19730930    39.1
19731001 19731031    79.5
19731101 19731130    22.1
19731201 19731231    20.1
19740101 19740131    89.5
19740201 19740228    31.6
19740301 19740331     6.5
19740401 19740430    27.4
19740501 19740531   157.1
19740601 19740630    41.7
19740701 19740731    40.8
19740801 19740831    27.0
19740901 19740930    37.3
19741001 19741031    79.0
19741101 19741130     7.0
19741201 19741231     5.5
19750101 19750131    15.3
19750201 19750228     5.6
19750301 19750331    17.8
19750401 19750430    18.0
19750501 19750531    16.5
19750601 19750630     0.0
19750701 19750731    24.6
19750801 19750831    33.0
19750901 19750930    66.0
19751001 19751031    65.2
19751101 19751130    10.4
19751201 19751231    14.6
19760101 19760131     0.0
19760201 19760229    22.5
19760301 19760331     0.0
19760401 19760430    11.0
19760501 19760531     9.6
19760601 19760630    14.2
19760701 19760731     6.3
19760801 19760831     8.8
19760901 19760930     8.8
19761001 19761031   102.0
19761101 19761130    18.1
19761201 19761231     3.5
19770101 19770131     3.8
19770201 19770228    12.5
19770301 19770331     0.0
19770401 19770430     2.0
19770501 19770531     9.2
19770601 19770630    11.0
19770701 19770731     0.0
19770801 19770831    16.2
19770901 19770930    34.9
19771001 19771031    22.5
19771101 19771130    14.8
19771201 19771231     8.0
19780101 19780131    24.0
19780201 19780228     0.0
19780301 19780331     4.8
19780401 19780430     6.8
19780501 19780531    31.5
19780601 19780630    43.1
19780701 19780731    42.8
19780801 19780831    51.7
19780901 19780930    58.6
19781001 19781031    13.3
19781101 19781130    30.9
19781201 19781231     3.8
19790101 19790131    17.4
19790201 19790228   121.5
19790301 19790331    10.5
19790401 19790430    14.7
19790501 19790531    58.4
19790601 19790630     5.7
19790701 19790731    16.8
19790801 19790831    38.0
19790901 19790930    94.6
19791001 19791031    25.6
19791101 19791130    48.2
19791201 19791231    24.6
19800101 19800131     0.0
19800201 19800229     7.0
19800301 19800331     0.0
19800401 19800430    29.1
19800501 19800531    16.4
19800601 19800630    31.9
19800701 19800731    18.2
19800801 19800831     3.6
19800901 19800930     2.6
19801001 19801031    65.0
19801101 19801130     5.3
19801201 19801231    11.8
19810101 19810131    20.0
19810201 19810228    16.7
19810301 19810331    11.1
19810401 19810430     0.0
19810501 19810531    33.6
19810601 19810630    23.4
19810701 19810731    25.4
19810801 19810831    18.3
19810901 19810930     0.8
19811001 19811031    12.7
19811101 19811130     7.2
19811201 19811231     0.1
19820101 19820131     9.1
19820201 19820228     0.0
19820301 19820331    43.5
19820401 19820430     9.9
19820501 19820531    25.8
19820601 19820630    13.4
19820701 19820731     2.6
19820801 19820831     3.0
19820901 19820930    18.9
19821001 19821031     7.6
19821101 19821130     0.1
19821201 19821231     8.6
19830101 19830131     4.2
19830201 19830228    20.4
19830301 19830331    38.6
19830401 19830430    42.5
19830501 19830531    22.6
19830601 19830630     8.6
19830701 19830731    46.4
19830801 19830831    17.1
19830901 19830930    18.8
19831001 19831031    19.1
19831101 19831130    12.4
19831201 19831231    30.1
19840101 19840131     3.4
19840201 19840229     0.0
19840301 19840331     1.6
19840401 19840430    36.4
19840501 19840531    12.9
19840601 19840630    21.3
19840701 19840731    26.2
19840801 19840831    42.0
19840901 19840930    23.4
19841001 19841031    23.0
19841101 19841130    21.6
19841201 19841231    15.0
19850101 19850131     2.4
19850201 19850228     0.0
19850301 19850331    17.0
19850401 19850430    13.8
19850501 19850531    20.2
19850601 19850630     6.6
19850701 19850731     5.3
19850801 19850831    73.6
19850901 19850930     9.8
19851001 19851031    54.0
19851101 19851130    19.8
19851201 19851231    12.8
19860101 19860131 99999.9
19860201 19860228     9.0
19860301 19860331     0.0
19860401 19860430     3.2
19860501 19860531    17.7
19860601 19860630    21.5
19860701 19860731    27.2
19860801 19860831    47.4
19860901 19860930    16.6
19861001 19861031    30.2
19861101 19861130    26.0
19861201 19861231     4.0
19870101 19870131    24.4
19870201 19870228    21.3
19870301 19870331 99999.9
19870401 19870430 99999.9
19870501 19870531    23.3
19870601 19870630    11.3
19870701 19870731    42.4
19870801 19870831    10.8
19870901 19870930    14.8
19871001 19871031     7.8
19871101 19871130     7.0
19871201 19871231    17.0
19880101 19880131     5.4
19880201 19880229     1.4
19880301 19880331    10.4
19880401 19880430     6.2
19880501 19880531    21.8
19880601 19880630    34.2
19880701 19880731     6.4
19880801 19880831     5.8
19880901 19880930    26.6
19881001 19881031    11.5
19881101 19881130    24.6
19881201 19881231    36.2
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    75.6
19890401 19890430    14.8
19890501 19890531    27.8
19890601 19890630    65.2
19890701 19890731    44.2
19890801 19890831    11.2
19890901 19890930     7.8
19891001 19891031     7.0
19891101 19891130    31.4
19891201 19891231    32.0
19900101 19900131     5.2
19900201 19900228     8.6
19900301 19900331     5.4
19900401 19900430    16.8
19900501 19900531    24.4
19900601 19900630    43.8
19900701 19900731    25.0
19900801 19900831    14.0
19900901 19900930    23.9
19901001 19901031    11.6
19901101 19901130     0.0
19901201 19901231    32.6
19910101 19910131     7.0
19910201 19910228     0.0
19910301 19910331    12.4
19910401 19910430    15.1
19910501 19910531     7.6
19910601 19910630    71.9
19910701 19910731    10.8
19910801 19910831     7.8
19910901 19910930     9.0
19911001 19911031     2.0
19911101 19911130    61.6
19911201 19911231     2.8
19920101 19920131    12.4
19920201 19920229     6.8
19920301 19920331    73.4
19920401 19920430    29.2
19920501 19920531    30.8
19920601 19920630     7.8
19920701 19920731     5.8
19920801 19920831    42.6
19920901 19920930    83.2
19921001 19921031    73.4
19921101 19921130    17.2
19921201 19921231    73.8
19930101 19930131   129.2
19930201 19930228     1.6
19930301 19930331     2.6
19930401 19930430     2.0
19930501 19930531    28.0
19930601 19930630    15.4
19930701 19930731    23.4
19930801 19930831     9.2
19930901 19930930    38.2
19931001 19931031    53.6
19931101 19931130    14.7
19931201 19931231    46.9
19940101 19940131     1.2
19940201 19940228     7.3
19940301 19940331     0.0
19940401 19940430    15.8
19940501 19940531    19.8
19940601 19940630    82.8
19940701 19940731    16.8
19940801 19940831     5.6
19940901 19940930     8.0
19941001 19941031     2.0
19941101 19941130     9.4
19941201 19941231     4.2
19950101 19950131    50.3
19950201 19950228    11.4
19950301 19950331    22.0
19950401 19950430    18.6
19950501 19950531    28.0
19950601 19950630    34.7
19950701 19950731    32.5
19950801 19950831    16.5
19950901 19950930    14.6
19951001 19951031    33.8
19951101 19951130    22.6
19951201 19951231    19.8
19960101 19960131     4.0
19960201 19960229    23.2
19960301 19960331     0.0
19960401 19960430     2.6
19960501 19960531     3.0
19960601 19960630    19.0
19960701 19960731    46.9
19960801 19960831    52.4
19960901 19960930    46.6
19961001 19961031    33.0
19961101 19961130     9.4
19961201 19961231    10.0
19970101 19970131    72.8
19970201 19970228    20.2
19970301 19970331     0.5
19970401 19970430     0.0
19970501 19970531    23.2
19970601 19970630     2.0
19970701 19970731     3.0
19970801 19970831    25.6
19970901 19970930    76.4
19971001 19971031    62.0
19971101 19971130    45.8
19971201 19971231    62.4
19980101 19980131    10.2
19980201 19980228    33.2
19980301 19980331     9.2
19980401 19980430    40.8
19980501 19980531     6.2
19980601 19980630    40.2
19980701 19980731    24.5
19980801 19980831    28.8
19980901 19980930    38.9
19981001 19981031    19.0
19981101 19981130    68.2
19981201 19981231    18.0
19990101 19990131    35.0
19990201 19990228     4.2
19990301 19990331    23.3
19990401 19990430     0.0
19990501 19990531 99999.9
19990601 19990630    22.6
19990701 19990731    10.6
19990801 19990831    12.6
19990901 19990930    15.9
19991001 19991031    49.7
19991101 19991130    32.4
19991201 19991231    35.2
20000101 20000131     1.3
20000201 20000229    28.2
20000301 20000331    23.2
20000401 20000430    11.8
20000501 20000531    10.1
20000601 20000630    19.9
20000701 20000731    20.7
20000801 20000831    39.6
20000901 20000930    19.8
20001001 20001031    18.8
20001101 20001130    35.8
20001201 20001231     1.6
20010101 20010131    22.1
20010201 20010228     9.8
20010301 20010331     6.5
20010401 20010430    25.7
20010501 20010531    17.7
20010601 20010630    68.0
20010701 20010731    23.2
20010801 20010831    12.3
20010901 20010930   103.1
20011001 20011031    32.2
20011101 20011130    44.9
20011201 20011231    12.6
20020101 20020131    12.4
20020201 20020228     0.0
20020301 20020331     2.8
20020401 20020430     0.8
20020501 20020531    35.0
20020601 20020630    12.2
20020701 20020731    22.0
20020801 20020831     4.2
20020901 20020930     9.2
20021001 20021031     4.0
20021101 20021130    23.4
20021201 20021231     1.8
20030101 20030131    15.8
20030201 20030228    80.0
20030301 20030331     1.6
20030401 20030430     6.6
20030501 20030531    45.6
20030601 20030630    16.8
20030701 20030731    11.6
20030801 20030831    47.8
20030901 20030930     3.0
20031001 20031031    30.8
20031101 20031130    28.0
20031201 20031231    16.4
20040101 20040131     6.4
20040201 20040229     3.8
20040301 20040331     6.4
20040401 20040430     2.8
20040501 20040531    12.0
20040601 20040630    25.6
20040701 20040731    13.8
20040801 20040831    32.9
20040901 20040930    14.4
20041001 20041031     0.4
20041101 20041130    14.1
20041201 20041231    22.0
20050101 20050131    20.6
20050201 20050228    13.3
20050301 20050331    10.0
20050401 20050430    10.5
20050501 20050531     7.3
20050601 20050630    23.8
20050701 20050731    32.0
20050801 20050831    44.0
20050901 20050930    42.0
20051001 20051031    28.2
20051101 20051130    29.2
20051201 20051231    28.0
20060101 20060131     7.0
20060201 20060228    12.5
20060301 20060331    16.9
20060401 20060430    28.7
20060501 20060531     9.6
20060601 20060630    13.6
20060701 20060731    46.2
20060801 20060831     2.0
20060901 20060930     2.8
20061001 20061031     0.6
