PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19531101 19531130    93.0
19531201 19531231    40.7
19540101 19540131   104.2
19540201 19540228   117.6
19540301 19540331     0.0
19540401 19540430    57.7
19540501 19540531     3.8
19540601 19540630    25.2
19540701 19540731    24.0
19540801 19540831    19.8
19540901 19540930    30.3
19541001 19541031   114.3
19541101 19541130   104.6
19541201 19541231    67.3
19550101 19550131   102.4
19550201 19550228   143.3
19550301 19550331    30.7
19550401 19550430    30.6
19550501 19550531    68.5
19550601 19550630    36.1
19550701 19550731    35.2
19550801 19550831    65.5
19550901 19550930    45.6
19551001 19551031   144.9
19551101 19551130   117.1
19551201 19551231    53.9
19560101 19560131    96.5
19560201 19560229   103.9
19560301 19560331   174.4
19560401 19560430    88.4
19560501 19560531    60.7
19560601 19560630    86.4
19560701 19560731    81.4
19560801 19560831    66.3
19560901 19560930    75.1
19561001 19561031   105.4
19561101 19561130    17.9
19561201 19561231     4.5
19570101 19570131    19.3
19570201 19570228    44.8
19570301 19570331    33.7
19570401 19570430    55.5
19570501 19570531     4.9
19570601 19570630    28.5
19570701 19570731    18.4
19570801 19570831    67.2
19570901 19570930     4.4
19571001 19571031     6.1
19571101 19571130     9.5
19571201 19571231    98.7
19580101 19580131    88.6
19580201 19580228    63.0
19580301 19580331    51.2
19580401 19580430    50.4
19580501 19580531    31.5
19580601 19580630    38.0
19580701 19580731    46.8
19580801 19580831    82.4
19580901 19580930    70.6
19581001 19581031    71.5
19581101 19581130    29.6
19581201 19581231   148.8
19590101 19590131    95.3
19590201 19590228    69.8
19590301 19590331    60.2
19590401 19590430    67.4
19590501 19590531    13.8
19590601 19590630    61.1
19590701 19590731    35.4
19590801 19590831    11.1
19590901 19590930    16.8
19591001 19591031   125.3
19591101 19591130    90.7
19591201 19591231    32.3
19600101 19600131   104.7
19600201 19600229   100.0
19600301 19600331    22.4
19600401 19600430    74.0
19600501 19600531    59.8
19600601 19600630    18.4
19600701 19600731    92.0
19600801 19600831    81.3
19600901 19600930    71.8
19601001 19601031    61.1
19601101 19601130    75.0
19601201 19601231    98.9
19610101 19610131    47.2
19610201 19610228    26.1
19610301 19610331    69.1
19610401 19610430    41.1
19610501 19610531     6.8
19610601 19610630    25.5
19610701 19610731    59.3
19610801 19610831    62.4
19610901 19610930    15.5
19611001 19611031    63.5
19611101 19611130   195.7
19611201 19611231    53.4
19620101 19620131   102.6
19620201 19620228    42.2
19620301 19620331    17.5
