PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
19351101 19351130     0.5
19351201 19351231     4.6
19360101 19360131   159.5
19360201 19360229    60.9
19360301 19360331    69.1
19360401 19360430    18.3
19360501 19360531    75.7
19360601 19360630     0.0
19360701 19360731     2.3
19360801 19360831     0.0
19360901 19360930     1.8
19361001 19361031     2.0
19361101 19361130    30.2
19361201 19361231    22.1
19370101 19370131    58.4
19370201 19370228    28.0
19370301 19370331    25.2
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    47.0
19370701 19370731     0.0
19370801 19370831    16.0
19370901 19370930     0.0
19371001 19371031     1.6
19371101 19371130     6.4
19371201 19371231     2.4
19380101 19380131    31.0
19380201 19380228   131.0
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     8.6
19380701 19380731    24.7
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    28.7
19381101 19381130    14.5
19381201 19381231     3.8
19390101 19390131     1.1
19390201 19390228    71.2
19390301 19390331   157.3
19390401 19390430    16.0
19390501 19390531     0.0
19390601 19390630    14.2
19390701 19390731    71.2
19390801 19390831     8.6
19390901 19390930     6.1
19391001 19391031    51.0
19391101 19391130    22.6
19391201 19391231    25.7
19400101 19400131    70.1
19400201 19400229    97.3
19400301 19400331    21.6
19400401 19400430    17.3
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.5
19401001 19401031     0.0
19401101 19401130     3.0
19401201 19401231     3.1
19410101 19410131   176.4
19410201 19410228     7.6
19410301 19410331   137.1
19410401 19410430    43.2
19410501 19410531     0.0
19410601 19410630    46.2
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    22.6
19411101 19411130     9.2
19411201 19411231    14.8
19420101 19420131    59.6
19420201 19420228    17.8
19420301 19420331     2.0
19420401 19420430    28.7
19420501 19420531    45.0
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    40.1
19421101 19421130     0.0
19421201 19421231   151.8
19430101 19430131    10.7
19430201 19430228    82.5
19430301 19430331    12.5
19430401 19430430     6.9
19430501 19430531     0.0
19430601 19430630     2.0
19430701 19430731     4.6
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031    47.5
19431101 19431130     4.3
19431201 19431231    18.8
19440101 19440131     7.1
19440201 19440229   242.8
19440301 19440331    12.5
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630    54.6
19440701 19440731    16.5
19440801 19440831     0.0
19440901 19440930     6.4
19441001 19441031     6.4
19441101 19441130     0.0
19441201 19441231   144.8
19450101 19450131    50.9
19450201 19450228    46.7
19450301 19450331    12.4
19450401 19450430     0.0
19450501 19450531     3.8
19450601 19450630     0.0
19450701 19450731     2.5
19450801 19450831     2.8
19450901 19450930     0.0
19451001 19451031     8.4
19451101 19451130     2.3
19451201 19451231   163.2
19460101 19460131    31.5
19460201 19460228    96.8
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     1.0
19461001 19461031     0.0
19461101 19461130     7.1
19461201 19461231    44.2
19470101 19470131     1.3
19470201 19470228    99.1
19470301 19470331    75.4
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     9.4
19470701 19470731     0.0
19470801 19470831    63.1
19470901 19470930    91.2
19471001 19471031    11.0
19471101 19471130    17.1
19471201 19471231    20.1
19480101 19480131     6.6
19480201 19480229     3.7
19480301 19480331    20.3
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731    21.1
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     2.8
19481101 19481130     0.0
19481201 19481231    79.3
19490101 19490131    58.4
19490201 19490228   134.2
19490301 19490331   103.5
